Feature	Pfam
Pfam_0	GO:0005634;GO:0006397
Pfam_1	GO:0003676
Pfam_2	GO:0003676
Pfam_3	GO:0003676
Pfam_4	GO:0003676
Pfam_5	GO:0003676
Pfam_6	GO:0005515
Pfam_7	GO:0005515
Pfam_8	GO:0005515
Pfam_9	GO:0005515
Pfam_10	GO:0005515
Pfam_11	GO:0005515
Pfam_12	GO:0005515
Pfam_13	GO:0045454
Pfam_14	GO:0003676
Pfam_15	GO:0004672;GO:0006468
Pfam_16	GO:0016746
Pfam_17	GO:0004930;GO:0007186;GO:0016021
Pfam_18	GO:0022857;GO:0043190;GO:0055085
Pfam_19	GO:0016021;GO:0022857;GO:0055085
Pfam_20	GO:0016021;GO:0022857;GO:0055085
Pfam_21	GO:0004672;GO:0005524;GO:0006468
Pfam_22	GO:0005515
Pfam_23	GO:0005515
Pfam_24	GO:0005515
Pfam_25	GO:0005515
Pfam_26	GO:0005515
Pfam_27	GO:0005515
Pfam_28	GO:0005515
Pfam_29	GO:0005515
Pfam_30	GO:0005515
Pfam_31	GO:0007154;GO:0016021
Pfam_32	GO:0007154;GO:0016021
Pfam_33	GO:0007154;GO:0016021
Pfam_34	GO:0007154;GO:0016021
Pfam_35	GO:0005509
Pfam_36	GO:0005509
Pfam_37	GO:0031124
Pfam_38	GO:0003676;GO:0005524
Pfam_39	GO:0005515
Pfam_40	GO:0035091
Pfam_41	GO:0004612;GO:0005524;GO:0006094
Pfam_42	GO:0008080
Pfam_43	GO:0005247;GO:0006821;GO:0016020;GO:0055085
Pfam_44	GO:0004930;GO:0007186;GO:0016021
Pfam_45	GO:0005515
Pfam_46	GO:0005515
Pfam_47	GO:0005096;GO:0051056
Pfam_48	GO:0007165
Pfam_49	GO:0007165
Pfam_50	GO:0007165
Pfam_51	GO:0005515
Pfam_52	GO:0005515
Pfam_53	GO:0003950
Pfam_54	GO:0003677;GO:0008270
Pfam_55	GO:0003950;GO:0006471
Pfam_56	GO:0005887;GO:0055085
Pfam_57	GO:0003700;GO:0005634;GO:0006355
Pfam_58	GO:0016020;GO:0016021
Pfam_59	GO:0016409
Pfam_60	GO:0000160
Pfam_61	GO:0000155;GO:0007165
Pfam_62	GO:0005515
Pfam_63	GO:0005515
Pfam_64	GO:0005515
Pfam_65	GO:0005515
Pfam_66	GO:0016021
Pfam_67	GO:0003824
Pfam_68	GO:0003774;GO:0005524;GO:0016459
Pfam_69	GO:0003774;GO:0005524;GO:0016459
Pfam_70	GO:0003774;GO:0016459
Pfam_71	GO:0003951;GO:0006741
Pfam_72	GO:0016491;GO:0055114
Pfam_73	GO:0016746
Pfam_74	GO:0035556
Pfam_75	GO:0035556
Pfam_76	GO:0005096
Pfam_77	GO:0005089;GO:0035023
Pfam_78	GO:0005515
Pfam_79	GO:0005515
Pfam_80	GO:0005515
Pfam_81	GO:0005515
Pfam_82	GO:0005515
Pfam_83	GO:0005515
Pfam_84	GO:0005515
Pfam_85	GO:0005515
Pfam_86	GO:0005515
Pfam_87	GO:0005515
Pfam_88	GO:0005524;GO:0016021;GO:0042626;GO:0055085
Pfam_89	GO:0005524;GO:0016887
Pfam_90	GO:0004061;GO:0019441
Pfam_91	GO:0003677;GO:0006355
Pfam_92	GO:0004672;GO:0005524;GO:0006468
Pfam_93	GO:0004540;GO:0006397
Pfam_94	GO:0006886;GO:0016192
Pfam_95	GO:0005515
Pfam_96	GO:0030001;GO:0046872
Pfam_97	GO:0030001;GO:0046872
Pfam_98	GO:0035091
Pfam_99	GO:0046983
Pfam_100	GO:0008289
Pfam_101	GO:0004672;GO:0005524;GO:0006468
Pfam_102	GO:0005515
Pfam_103	GO:0005515
Pfam_104	GO:0005515
Pfam_105	GO:0005515
Pfam_106	GO:0005515
Pfam_107	GO:0005515
Pfam_108	GO:0005515
Pfam_109	GO:0005524;GO:0016887
Pfam_110	GO:0005524;GO:0016021;GO:0042626;GO:0055085
Pfam_111	GO:0005515
Pfam_112	GO:0016192;GO:0030008
Pfam_113	GO:0004672;GO:0006468
Pfam_114	GO:0005515
Pfam_115	GO:0005515
Pfam_116	GO:0005515
Pfam_117	GO:0004930;GO:0007186;GO:0016021
Pfam_118	GO:0005887;GO:0055085
Pfam_119	GO:0016757
Pfam_120	GO:0004143;GO:0007205
Pfam_121	GO:0016301
Pfam_122	GO:0035556
Pfam_123	GO:0035556
Pfam_124	GO:0005515
Pfam_125	GO:0004553;GO:0005975
Pfam_126	GO:0016021
Pfam_127	GO:0007094
Pfam_128	GO:0005524;GO:0016021;GO:0042626;GO:0055085
Pfam_129	GO:0005524;GO:0016021;GO:0042626;GO:0055085
Pfam_130	GO:0005524;GO:0016887
Pfam_131	GO:0009190;GO:0016849;GO:0035556
Pfam_132	GO:0009190;GO:0016849;GO:0035556
Pfam_133	GO:0043087
Pfam_134	GO:0005515
Pfam_135	GO:0005515
Pfam_136	GO:0005515
Pfam_137	GO:0005515
Pfam_138	GO:0005515
Pfam_139	GO:0004672;GO:0006468
Pfam_140	GO:0005315;GO:0006817;GO:0016020
Pfam_141	GO:0004671;GO:0006481;GO:0016021
Pfam_142	GO:0006511;GO:0031625
Pfam_143	GO:0005534
Pfam_144	GO:0005524
Pfam_145	GO:0043087
Pfam_146	GO:0005089;GO:0035023
Pfam_147	GO:0004672;GO:0005524;GO:0006468
Pfam_148	GO:0005515
Pfam_149	GO:0005515
Pfam_150	GO:0005515
Pfam_151	GO:0005515
Pfam_152	GO:0005515
Pfam_153	GO:0005515
Pfam_154	GO:0035556
Pfam_155	GO:0003700;GO:0006355
Pfam_156	GO:0004672;GO:0006468
Pfam_157	GO:0005515
Pfam_158	GO:0005515
Pfam_159	GO:0004930;GO:0007186;GO:0016021
Pfam_160	GO:0005515;GO:0007165
Pfam_161	GO:0005515;GO:0007165
Pfam_162	GO:0004672;GO:0005524;GO:0006468
Pfam_163	GO:0005515
Pfam_164	GO:0005515
Pfam_165	GO:0016787
Pfam_166	GO:0005216;GO:0006811;GO:0016020;GO:0055085
Pfam_167	GO:0000030;GO:0030176
Pfam_168	GO:0016020
Pfam_169	GO:0000030;GO:0006493;GO:0016020
Pfam_170	GO:0005789;GO:0006506
