Feature	Pfam
Pfam_0	GO:0016021;GO:0055085
Pfam_1	GO:0016021;GO:0055085
Pfam_2	GO:0004402;GO:0006355;GO:0016573
Pfam_3	GO:0008121;GO:0055114
Pfam_4	GO:0016491;GO:0051537;GO:0055114
Pfam_5	GO:0003723;GO:0006396;GO:0016779
Pfam_6	GO:0016491;GO:0055114
Pfam_7	GO:0005524
Pfam_8	GO:0003677;GO:0003899;GO:0005634;GO:0006351
Pfam_9	GO:0003677;GO:0003899;GO:0006351
Pfam_10	GO:0006355
Pfam_11	GO:0006355
Pfam_12	GO:0005515
Pfam_13	GO:0005515
Pfam_14	GO:0005515;GO:0007165
Pfam_15	GO:0003777;GO:0005524;GO:0007018;GO:0008017
Pfam_16	GO:0005634;GO:0045892
Pfam_17	GO:0005634;GO:0045892
Pfam_18	GO:0005634;GO:0045892
Pfam_19	GO:0016616;GO:0051287;GO:0055114
Pfam_20	GO:0016616;GO:0051287;GO:0055114
Pfam_21	GO:0016616;GO:0051287;GO:0055114
Pfam_22	GO:0016409
Pfam_23	GO:0004045
Pfam_24	GO:0016021
Pfam_25	GO:0016021
Pfam_26	GO:0051287
Pfam_27	GO:0050661
Pfam_28	GO:0005515;GO:0005524;GO:0005694;GO:0051276
Pfam_29	GO:0016798
Pfam_30	GO:0019346;GO:0030170
Pfam_31	GO:0004812;GO:0006418
Pfam_32	GO:0000166;GO:0004832;GO:0005524;GO:0005737;GO:0006438
Pfam_33	GO:0000166;GO:0004812;GO:0005524;GO:0006418
Pfam_34	GO:0005471;GO:0006862;GO:0016021
Pfam_35	GO:0006813;GO:0008324
Pfam_36	GO:0006813;GO:0008324
Pfam_37	GO:0016021;GO:0055085
Pfam_38	GO:0016021;GO:0055085
Pfam_39	GO:0003747;GO:0006415
Pfam_40	GO:0006415
Pfam_41	GO:0005515
Pfam_42	GO:0005507
Pfam_43	GO:0005507;GO:0016491;GO:0055114
Pfam_44	GO:0006629
Pfam_45	GO:0005524
Pfam_46	GO:0005524
Pfam_47	GO:0003676;GO:0006351;GO:0008270
Pfam_48	GO:0006351
Pfam_49	GO:0016787
Pfam_50	GO:0003824;GO:0050662
Pfam_51	GO:0016020;GO:0030001;GO:0046873
Pfam_52	GO:0003735;GO:0005840;GO:0006412
Pfam_53	GO:0005515
Pfam_54	GO:0005524
Pfam_55	GO:0008519;GO:0015696;GO:0016020
Pfam_56	GO:0004814;GO:0005524;GO:0006420
Pfam_57	GO:0000166;GO:0004814;GO:0005524;GO:0005737;GO:0006420
Pfam_58	GO:0016021
Pfam_59	GO:0016021
Pfam_60	GO:0004114;GO:0007165
Pfam_61	GO:0008299
Pfam_62	GO:0005515
Pfam_63	GO:0005515
Pfam_64	GO:0045454
Pfam_65	GO:0005515
Pfam_66	GO:0003676
Pfam_67	GO:0016020;GO:0022857;GO:0055085
Pfam_68	GO:0009055;GO:0016020;GO:0016491
Pfam_69	GO:0003676;GO:0005524
Pfam_70	GO:0006886;GO:0008536
Pfam_71	GO:0003735;GO:0005840;GO:0006412
Pfam_72	GO:0005515
Pfam_73	GO:0005515
Pfam_74	GO:0005515
Pfam_75	GO:0005887;GO:0055085
Pfam_76	GO:0006352;GO:0030880
Pfam_77	GO:0003723;GO:0006396;GO:0008173
Pfam_78	GO:0003824
Pfam_79	GO:0016021;GO:0016765
Pfam_80	GO:0006807;GO:0015930;GO:0055114
Pfam_81	GO:0006537;GO:0015930;GO:0016638;GO:0055114
Pfam_82	GO:0016491;GO:0055114
Pfam_83	GO:0019346;GO:0030170
Pfam_84	GO:0005669;GO:0006352
Pfam_85	GO:0003676
Pfam_86	GO:0003676
Pfam_87	GO:0003676
Pfam_88	GO:0003676
Pfam_89	GO:0003676
Pfam_90	GO:0005515
Pfam_91	GO:0003682
Pfam_92	GO:0005524
Pfam_93	GO:0004672;GO:0005524;GO:0006468
Pfam_94	GO:0003677;GO:0005524;GO:0016787
