GO	CC	annotation
GO:0003730	5.63531390484809e-23	mRNA 3'-UTR binding
GO:0043086	7.19837710048823e-23	negative regulation of catalytic activity
GO:0051341	7.19837710048823e-23	regulation of oxidoreductase activity
GO:0051354	7.19837710048823e-23	negative regulation of oxidoreductase activity
GO:1900757	7.19837710048823e-23	regulation of D-amino-acid oxidase activity
GO:1900758	7.19837710048823e-23	negative regulation of D-amino-acid oxidase activity
GO:0098657	1.54778634013274e-16	import into cell
GO:0006897	1.57793387026941e-16	endocytosis
GO:0030100	1.93166656885226e-16	regulation of endocytosis
GO:0060627	4.91189107595836e-16	regulation of vesicle-mediated transport
GO:0010498	3.80697818652495e-13	proteasomal protein catabolic process
GO:0030433	3.80697818652495e-13	ubiquitin-dependent ERAD pathway
GO:0034976	3.80697818652495e-13	response to endoplasmic reticulum stress
GO:0036503	3.80697818652495e-13	ERAD pathway
GO:0043161	3.80697818652495e-13	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0019902	2.53566743131709e-11	phosphatase binding
GO:0034237	2.62932183661423e-11	protein kinase A regulatory subunit binding
GO:0003729	4.07940304534122e-11	mRNA binding
GO:0004252	7.36315433974834e-11	serine-type endopeptidase activity
GO:0031854	7.68992414613858e-10	orexigenic neuropeptide QRFP receptor binding
GO:0071855	7.68992414613858e-10	neuropeptide receptor binding
GO:0004709	1.00106871851512e-09	MAP kinase kinase kinase activity
GO:0032879	5.41441472315311e-09	regulation of localization
GO:0051049	5.41441472315311e-09	regulation of transport
GO:0051018	1.6810999847704e-08	protein kinase A binding
GO:0004550	2.99076987579379e-08	nucleoside diphosphate kinase activity
GO:0006816	2.99076987579379e-08	calcium ion transport
GO:0010959	2.99076987579379e-08	regulation of metal ion transport
GO:0022898	2.99076987579379e-08	regulation of transmembrane transporter activity
GO:0032409	2.99076987579379e-08	regulation of transporter activity
GO:0032410	2.99076987579379e-08	negative regulation of transporter activity
GO:0032412	2.99076987579379e-08	regulation of ion transmembrane transporter activity
GO:0032413	2.99076987579379e-08	negative regulation of ion transmembrane transporter activity
GO:0034762	2.99076987579379e-08	regulation of transmembrane transport
GO:0034763	2.99076987579379e-08	negative regulation of transmembrane transport
GO:0034765	2.99076987579379e-08	regulation of ion transmembrane transport
GO:0034766	2.99076987579379e-08	negative regulation of ion transmembrane transport
GO:0043269	2.99076987579379e-08	regulation of ion transport
GO:0043271	2.99076987579379e-08	negative regulation of ion transport
GO:0051051	2.99076987579379e-08	negative regulation of transport
GO:0051924	2.99076987579379e-08	regulation of calcium ion transport
GO:0051926	2.99076987579379e-08	negative regulation of calcium ion transport
GO:0070588	2.99076987579379e-08	calcium ion transmembrane transport
GO:0070838	2.99076987579379e-08	divalent metal ion transport
GO:0072511	2.99076987579379e-08	divalent inorganic cation transport
GO:1901019	2.99076987579379e-08	regulation of calcium ion transmembrane transporter activity
GO:1901020	2.99076987579379e-08	negative regulation of calcium ion transmembrane transporter activity
GO:1901385	2.99076987579379e-08	regulation of voltage-gated calcium channel activity
GO:1901386	2.99076987579379e-08	negative regulation of voltage-gated calcium channel activity
GO:1901841	2.99076987579379e-08	regulation of high voltage-gated calcium channel activity
GO:1901842	2.99076987579379e-08	negative regulation of high voltage-gated calcium channel activity
GO:1903169	2.99076987579379e-08	regulation of calcium ion transmembrane transport
GO:1903170	2.99076987579379e-08	negative regulation of calcium ion transmembrane transport
GO:1904062	2.99076987579379e-08	regulation of cation transmembrane transport
GO:1904063	2.99076987579379e-08	negative regulation of cation transmembrane transport
GO:2001257	2.99076987579379e-08	regulation of cation channel activity
GO:2001258	2.99076987579379e-08	negative regulation of cation channel activity
GO:0005742	2.99076987579379e-08	mitochondrial outer membrane translocase complex
GO:0098799	2.99076987579379e-08	outer mitochondrial membrane protein complex
GO:0043228	4.91423605986958e-08	non-membrane-bounded organelle
GO:0043232	4.91423605986958e-08	intracellular non-membrane-bounded organelle
GO:0046907	6.58089083132086e-08	intracellular transport
GO:0051649	6.58089083132086e-08	establishment of localization in cell
GO:0005212	6.67923397659169e-08	structural constituent of eye lens
GO:0005856	6.7054102637294e-08	cytoskeleton
GO:0031593	6.7054102637294e-08	polyubiquitin modification-dependent protein binding
GO:0070530	6.7054102637294e-08	K63-linked polyubiquitin modification-dependent protein binding
GO:0001932	4.70042888774775e-07	regulation of protein phosphorylation
GO:0001934	4.70042888774775e-07	positive regulation of protein phosphorylation
GO:0006468	4.70042888774775e-07	protein phosphorylation
GO:0010562	4.70042888774775e-07	positive regulation of phosphorus metabolic process
GO:0018108	4.70042888774775e-07	peptidyl-tyrosine phosphorylation
GO:0018212	4.70042888774775e-07	peptidyl-tyrosine modification
GO:0019220	4.70042888774775e-07	regulation of phosphate metabolic process
GO:0033674	4.70042888774775e-07	positive regulation of kinase activity
GO:0042325	4.70042888774775e-07	regulation of phosphorylation
GO:0042327	4.70042888774775e-07	positive regulation of phosphorylation
GO:0043549	4.70042888774775e-07	regulation of kinase activity
