GO	CC	annotation
GO:0003730	2.46083576630921e-26	mRNA 3'-UTR binding
GO:0043086	1.88603766825019e-25	negative regulation of catalytic activity
GO:0051341	1.88603766825019e-25	regulation of oxidoreductase activity
GO:0051354	1.88603766825019e-25	negative regulation of oxidoreductase activity
GO:1900757	1.88603766825019e-25	regulation of D-amino-acid oxidase activity
GO:1900758	1.88603766825019e-25	negative regulation of D-amino-acid oxidase activity
GO:0098657	4.7312246204931e-19	import into cell
GO:0006897	5.51243273456564e-19	endocytosis
GO:0030100	7.59170267234512e-19	regulation of endocytosis
GO:0060627	2.14493060085518e-18	regulation of vesicle-mediated transport
GO:0010498	2.49365383396831e-15	proteasomal protein catabolic process
GO:0030433	2.49365383396831e-15	ubiquitin-dependent ERAD pathway
GO:0034976	2.49365383396831e-15	response to endoplasmic reticulum stress
GO:0036503	2.49365383396831e-15	ERAD pathway
GO:0043161	2.49365383396831e-15	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0019902	1.7716453668591e-13	phosphatase binding
GO:0034237	1.95189830665685e-13	protein kinase A regulatory subunit binding
GO:0003729	3.20651767756078e-13	mRNA binding
GO:0004252	6.10916735612308e-13	serine-type endopeptidase activity
GO:0031854	7.05189550519258e-12	orexigenic neuropeptide QRFP receptor binding
GO:0071855	7.05189550519258e-12	neuropeptide receptor binding
GO:0004709	9.61725406433737e-12	MAP kinase kinase kinase activity
GO:0032879	5.67449577972378e-11	regulation of localization
GO:0051049	5.67449577972378e-11	regulation of transport
GO:0051018	1.83526199210743e-10	protein kinase A binding
GO:0004550	4.98060465509031e-10	nucleoside diphosphate kinase activity
GO:0006816	7.47989243236799e-10	calcium ion transport
GO:0010959	7.47989243236799e-10	regulation of metal ion transport
GO:0022898	7.47989243236799e-10	regulation of transmembrane transporter activity
GO:0032409	7.47989243236799e-10	regulation of transporter activity
GO:0032410	7.47989243236799e-10	negative regulation of transporter activity
GO:0032412	7.47989243236799e-10	regulation of ion transmembrane transporter activity
GO:0032413	7.47989243236799e-10	negative regulation of ion transmembrane transporter activity
GO:0034762	7.47989243236799e-10	regulation of transmembrane transport
GO:0034763	7.47989243236799e-10	negative regulation of transmembrane transport
GO:0034765	7.47989243236799e-10	regulation of ion transmembrane transport
GO:0034766	7.47989243236799e-10	negative regulation of ion transmembrane transport
GO:0043269	7.47989243236799e-10	regulation of ion transport
