GO	CC	annotation
GO:0030036	1	actin cytoskeleton organization
GO:0030029	1	actin filament-based process
GO:0006302	0.991859535513682	double-strand break repair
GO:0032039	0.991859535513682	integrator complex
GO:0005088	0.991823112758243	Ras guanyl-nucleotide exchange factor activity
GO:0005089	0.991823112758243	Rho guanyl-nucleotide exchange factor activity
GO:0008297	0.991823112758243	single-stranded DNA exodeoxyribonuclease activity
GO:0008409	0.991823112758243	5'-3' exonuclease activity
GO:0035312	0.991823112758243	5'-3' exodeoxyribonuclease activity
GO:0045145	0.991823112758243	single-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0007005	0.986364871418414	mitochondrion organization
GO:0015850	0.986364871418414	organic hydroxy compound transport
GO:0015918	0.986364871418414	sterol transport
GO:0032365	0.986364871418414	intracellular lipid transport
GO:0032366	0.986364871418414	intracellular sterol transport
GO:0023051	0.979511403471553	regulation of signaling
GO:0008982	0.973069968206572	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0015144	0.973069968206572	carbohydrate transmembrane transporter activity
GO:0004792	0.971144482742103	thiosulfate sulfurtransferase activity
GO:0016043	0.96316541772034	cellular component organization
GO:1902494	0.96316541772034	catalytic complex
GO:0016925	0.96316541772034	protein sumoylation
GO:0043414	0.96316541772034	macromolecule methylation
GO:0004529	0.960790308730534	exodeoxyribonuclease activity
GO:0016895	0.960790308730534	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0008289	0.947620625852039	lipid binding
GO:0098800	0.946666875184906	inner mitochondrial membrane protein complex
GO:0050832	0.943729641410586	defense response to fungus
GO:0009620	0.943729641410586	response to fungus
GO:0030597	0.943729641410586	RNA glycosylase activity
GO:0030598	0.943729641410586	rRNA N-glycosylase activity
GO:0140102	0.943729641410586	catalytic activity, acting on a rRNA
GO:0016796	0.941291277185412	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
GO:0006869	0.940921346594167	lipid transport
GO:0005815	0.940921346594167	microtubule organizing center
GO:0016153	0.940806388090388	urocanate hydratase activity
GO:0045735	0.940290164787879	nutrient reservoir activity
GO:0005199	0.936879725702254	structural constituent of cell wall
GO:0009045	0.936879725702254	xylose isomerase activity
GO:0043565	0.935337728981542	sequence-specific DNA binding
GO:0140110	0.917610092650927	transcription regulator activity
GO:0015074	0.908097709728892	DNA integration
GO:0019838	0.898280127139169	growth factor binding
GO:0017134	0.898280127139169	fibroblast growth factor binding
GO:0030990	0.898280127139169	intraciliary transport particle
GO:0030991	0.898280127139169	intraciliary transport particle A
GO:0016755	0.891540101595175	transferase activity, transferring amino-acyl groups
GO:0000149	0.883993405506452	SNARE binding
GO:0019905	0.883993405506452	syntaxin binding
GO:0001539	0.883993405506452	cilium or flagellum-dependent cell motility
GO:0006089	0.883993405506452	lactate metabolic process
GO:0006805	0.883993405506452	xenobiotic metabolic process
GO:0019079	0.883993405506452	viral genome replication
GO:0009636	0.883993405506452	response to toxic substance
GO:0009407	0.883993405506452	toxin catabolic process
GO:0009410	0.883993405506452	response to xenobiotic stimulus
GO:0009850	0.883993405506452	auxin metabolic process
GO:0009852	0.883993405506452	auxin catabolic process
GO:0010124	0.883993405506452	phenylacetate catabolic process
GO:0010817	0.883993405506452	regulation of hormone levels
GO:0019516	0.883993405506452	lactate oxidation
GO:0042178	0.883993405506452	xenobiotic catabolic process
GO:0042445	0.883993405506452	hormone metabolic process
GO:0042447	0.883993405506452	hormone catabolic process
GO:0042537	0.883993405506452	benzene-containing compound metabolic process
GO:0048870	0.883993405506452	cell motility
GO:0051674	0.883993405506452	localization of cell
GO:0071973	0.883993405506452	bacterial-type flagellum-dependent cell motility
GO:0071466	0.883993405506452	cellular response to xenobiotic stimulus
GO:0072329	0.883993405506452	monocarboxylic acid catabolic process
GO:0097588	0.883993405506452	archaeal or bacterial-type flagellum-dependent cell motility
GO:0098754	0.883993405506452	detoxification
GO:1901615	0.883993405506452	organic hydroxy compound metabolic process
GO:0009279	0.883993405506452	cell outer membrane
GO:0030288	0.883993405506452	outer membrane-bounded periplasmic space
GO:0030313	0.883993405506452	cell envelope
GO:0042597	0.883993405506452	periplasmic space
GO:0044462	0.883993405506452	external encapsulating structure part
GO:0042834	0.883993405506452	peptidoglycan binding
GO:0000723	0.883993405506452	telomere maintenance
GO:0001101	0.883993405506452	response to acid chemical
GO:0002682	0.883993405506452	regulation of immune system process
GO:0002831	0.883993405506452	regulation of response to biotic stimulus
GO:0022900	0.883993405506452	electron transport chain
GO:0006304	0.883993405506452	DNA modification
GO:0006305	0.883993405506452	DNA alkylation
GO:0006306	0.883993405506452	DNA methylation
GO:0009790	0.883993405506452	embryo development
GO:0008037	0.883993405506452	cell recognition
GO:0009269	0.883993405506452	response to desiccation
GO:0009314	0.883993405506452	response to radiation
GO:0009414	0.883993405506452	response to water deprivation
GO:0009415	0.883993405506452	response to water
GO:0009416	0.883993405506452	response to light stimulus
GO:0009767	0.883993405506452	photosynthetic electron transport chain
GO:0009627	0.883993405506452	systemic acquired resistance
GO:0009628	0.883993405506452	response to abiotic stimulus
GO:0009648	0.883993405506452	photoperiodism
GO:0009664	0.883993405506452	plant-type cell wall organization
GO:0009723	0.883993405506452	response to ethylene
GO:0009755	0.883993405506452	hormone-mediated signaling pathway
GO:0009791	0.883993405506452	post-embryonic development
GO:0009793	0.883993405506452	embryo development ending in seed dormancy
GO:0009814	0.883993405506452	defense response, incompatible interaction
GO:0009856	0.883993405506452	pollination
GO:0009873	0.883993405506452	ethylene-activated signaling pathway
GO:0009875	0.883993405506452	pollen-pistil interaction
GO:0010112	0.883993405506452	regulation of systemic acquired resistance
GO:0010154	0.883993405506452	fruit development
GO:0010228	0.883993405506452	vegetative to reproductive phase transition of meristem
GO:0010374	0.883993405506452	stomatal complex development
GO:0031347	0.883993405506452	regulation of defense response
GO:0032101	0.883993405506452	regulation of response to external stimulus
GO:0032200	0.883993405506452	telomere organization
GO:0043900	0.883993405506452	regulation of multi-organism process
GO:0044706	0.883993405506452	multi-multicellular organism process
GO:0044728	0.883993405506452	DNA methylation or demethylation
GO:0045088	0.883993405506452	regulation of innate immune response
GO:0048316	0.883993405506452	seed development
GO:0048544	0.883993405506452	recognition of pollen
GO:0048573	0.883993405506452	photoperiodism, flowering
GO:0048580	0.883993405506452	regulation of post-embryonic development
GO:0048582	0.883993405506452	positive regulation of post-embryonic development
GO:0048608	0.883993405506452	reproductive structure development
GO:0050776	0.883993405506452	regulation of immune response
GO:0051094	0.883993405506452	positive regulation of developmental process
