GO	CC	annotation
GO:0098657	0.785382074815885	import into cell
GO:0006897	0.776967266871429	endocytosis
GO:0099080	0.760137650982517	supramolecular complex
GO:0099081	0.760137650982517	supramolecular polymer
GO:0099512	0.760137650982517	supramolecular fiber
GO:0018149	0.731165481809188	peptide cross-linking
GO:0005102	0.726486460378258	signaling receptor binding
GO:0048018	0.726486460378258	receptor ligand activity
GO:0030545	0.726486460378258	receptor regulator activity
GO:0032879	0.723064156297966	regulation of localization
GO:0051049	0.723064156297966	regulation of transport
GO:0008083	0.7155823484026	growth factor activity
GO:0140030	0.708556108328954	modification-dependent protein binding
GO:0007267	0.706092802177928	cell-cell signaling
GO:0060627	0.700913394398247	regulation of vesicle-mediated transport
GO:0030100	0.694584605284042	regulation of endocytosis
GO:0016055	0.69281918742687	Wnt signaling pathway
GO:0198738	0.69281918742687	cell-cell signaling by wnt
GO:1905114	0.69281918742687	cell surface receptor signaling pathway involved in cell-cell signaling
GO:0007166	0.690204117412519	cell surface receptor signaling pathway
GO:0005179	0.684404379482414	hormone activity
GO:0007217	0.681646617388638	tachykinin receptor signaling pathway
GO:0044092	0.681646617388638	negative regulation of molecular function
GO:0007276	0.679855623436613	gamete generation
GO:0031109	0.679855623436613	microtubule polymerization or depolymerization
GO:0031110	0.679855623436613	regulation of microtubule polymerization or depolymerization
GO:0032504	0.679855623436613	multicellular organism reproduction
GO:0032886	0.679855623436613	regulation of microtubule-based process
GO:0048609	0.679855623436613	multicellular organismal reproductive process
GO:0070507	0.679855623436613	regulation of microtubule cytoskeleton organization
GO:0030141	0.67818648227499	secretory granule
GO:0099503	0.67818648227499	secretory vesicle
GO:0005882	0.67456671486123	intermediate filament
GO:0045095	0.67456671486123	keratin filament
GO:0045111	0.67456671486123	intermediate filament cytoskeleton
GO:0099513	0.67456671486123	polymeric cytoskeletal fiber
GO:0006816	0.667806076934046	calcium ion transport
GO:0010959	0.667806076934046	regulation of metal ion transport
GO:0022898	0.667806076934046	regulation of transmembrane transporter activity
GO:0032409	0.667806076934046	regulation of transporter activity
GO:0032410	0.667806076934046	negative regulation of transporter activity
GO:0032412	0.667806076934046	regulation of ion transmembrane transporter activity
GO:0032413	0.667806076934046	negative regulation of ion transmembrane transporter activity
GO:0034762	0.667806076934046	regulation of transmembrane transport
GO:0034763	0.667806076934046	negative regulation of transmembrane transport
GO:0034765	0.667806076934046	regulation of ion transmembrane transport
GO:0034766	0.667806076934046	negative regulation of ion transmembrane transport
GO:0043269	0.667806076934046	regulation of ion transport
GO:0043271	0.667806076934046	negative regulation of ion transport
GO:0051051	0.667806076934046	negative regulation of transport
GO:0051924	0.667806076934046	regulation of calcium ion transport
GO:0051926	0.667806076934046	negative regulation of calcium ion transport
GO:0070588	0.667806076934046	calcium ion transmembrane transport
GO:0070838	0.667806076934046	divalent metal ion transport
GO:0072511	0.667806076934046	divalent inorganic cation transport
GO:1901019	0.667806076934046	regulation of calcium ion transmembrane transporter activity
GO:1901020	0.667806076934046	negative regulation of calcium ion transmembrane transporter activity
GO:1901385	0.667806076934046	regulation of voltage-gated calcium channel activity
GO:1901386	0.667806076934046	negative regulation of voltage-gated calcium channel activity
GO:1901841	0.667806076934046	regulation of high voltage-gated calcium channel activity
GO:1901842	0.667806076934046	negative regulation of high voltage-gated calcium channel activity
GO:1903169	0.667806076934046	regulation of calcium ion transmembrane transport
GO:1903170	0.667806076934046	negative regulation of calcium ion transmembrane transport
GO:1904062	0.667806076934046	regulation of cation transmembrane transport
GO:1904063	0.667806076934046	negative regulation of cation transmembrane transport
GO:2001257	0.667806076934046	regulation of cation channel activity
GO:2001258	0.667806076934046	negative regulation of cation channel activity
GO:0031593	0.665332642025662	polyubiquitin modification-dependent protein binding
GO:0070530	0.665332642025662	K63-linked polyubiquitin modification-dependent protein binding
GO:0003008	0.664345941820398	system process
GO:0016528	0.66088580670675	sarcoplasm
GO:0030314	0.66088580670675	junctional membrane complex
