GO	CC	annotation
GO:0042138	0.997083200721673	meiotic DNA double-strand break formation
GO:0009236	0.996780930211928	cobalamin biosynthetic process
GO:0015689	0.996780930211928	molybdate ion transport
GO:0033014	0.996780930211928	tetrapyrrole biosynthetic process
GO:0042274	0.996780930211928	ribosomal small subunit biogenesis
GO:0008855	0.996780930211928	exodeoxyribonuclease VII activity
GO:0031409	0.996780930211928	pigment binding
GO:0050790	0.990172467257929	regulation of catalytic activity
GO:0008430	0.989938922501477	selenium binding
GO:0043087	0.989341456473097	regulation of GTPase activity
GO:0051336	0.989341456473097	regulation of hydrolase activity
GO:0070011	0.987934329298072	peptidase activity, acting on L-amino acid peptides
GO:0048523	0.984109620372212	negative regulation of cellular process
GO:0006342	0.983049054142555	chromatin silencing
GO:0045814	0.983049054142555	negative regulation of gene expression, epigenetic
GO:0000904	0.978496732338903	cell morphogenesis involved in differentiation
GO:0006935	0.978496732338903	chemotaxis
GO:0007286	0.978496732338903	spermatid development
GO:0007291	0.978496732338903	sperm individualization
GO:0007349	0.978496732338903	cellularization
GO:0007409	0.978496732338903	axonogenesis
GO:0007411	0.978496732338903	axon guidance
GO:0022008	0.978496732338903	neurogenesis
GO:0030182	0.978496732338903	neuron differentiation
GO:0031175	0.978496732338903	neuron projection development
GO:0032990	0.978496732338903	cell part morphogenesis
GO:0042330	0.978496732338903	taxis
GO:0048666	0.978496732338903	neuron development
GO:0048667	0.978496732338903	cell morphogenesis involved in neuron differentiation
GO:0048699	0.978496732338903	generation of neurons
GO:0048812	0.978496732338903	neuron projection morphogenesis
GO:0048858	0.978496732338903	cell projection morphogenesis
GO:0061564	0.978496732338903	axon development
GO:0097485	0.978496732338903	neuron projection guidance
GO:0120039	0.978496732338903	plasma membrane bounded cell projection morphogenesis
GO:0016773	0.978496732338903	phosphotransferase activity, alcohol group as acceptor
GO:0005549	0.978496732338903	odorant binding
GO:0008408	0.978496732338903	3'-5' exonuclease activity
GO:0012505	0.978496732338903	endomembrane system
GO:0031090	0.973355719794198	organelle membrane
GO:0040011	0.957223049890469	locomotion
GO:0008081	0.952434377278278	phosphoric diester hydrolase activity
GO:0005085	0.951830576309093	guanyl-nucleotide exchange factor activity
GO:0048519	0.949647014237223	negative regulation of biological process
GO:0050793	0.938081489470632	regulation of developmental process
GO:0003847	0.926799750725756	1-alkyl-2-acetylglycerophosphocholine esterase activity
GO:0005887	0.926799750725756	integral component of plasma membrane
GO:0031226	0.926799750725756	intrinsic component of plasma membrane
GO:0006952	0.926799750725756	defense response
GO:0005911	0.926799750725756	cell-cell junction
GO:0030054	0.926799750725756	cell junction
GO:0000323	0.921331683613639	lytic vacuole
GO:0005764	0.921331683613639	lysosome
GO:0097190	0.916742066228858	apoptotic signaling pathway
GO:0097193	0.916742066228858	intrinsic apoptotic signaling pathway
GO:0003682	0.910611904771289	chromatin binding
GO:0001539	0.909766826891977	cilium or flagellum-dependent cell motility
GO:0019079	0.909766826891977	viral genome replication
GO:0048870	0.909766826891977	cell motility
GO:0051674	0.909766826891977	localization of cell
GO:0071973	0.909766826891977	bacterial-type flagellum-dependent cell motility
GO:0097588	0.909766826891977	archaeal or bacterial-type flagellum-dependent cell motility
GO:0042834	0.909766826891977	peptidoglycan binding
GO:0009725	0.909766826891977	response to hormone
GO:0098588	0.905604751035588	bounding membrane of organelle
GO:0071107	0.905399886534431	response to parathyroid hormone
GO:0007015	0.902281439345755	actin filament organization
GO:0097435	0.902281439345755	supramolecular fiber organization
GO:0000502	0.899460146379285	proteasome complex
GO:1905368	0.899460146379285	peptidase complex
GO:1905369	0.899460146379285	endopeptidase complex
GO:0065009	0.874732523481314	regulation of molecular function
