GO	CC	annotation
GO:0005102	0.91499569730852	signaling receptor binding
GO:0048018	0.904906195547416	receptor ligand activity
GO:0030545	0.904906195547416	receptor regulator activity
GO:0008083	0.899200348840076	growth factor activity
GO:0098657	0.898544176601474	import into cell
GO:0005856	0.897133138503729	cytoskeleton
GO:0006897	0.895340288468609	endocytosis
GO:0043228	0.890856094362549	non-membrane-bounded organelle
GO:0043232	0.890856094362549	intracellular non-membrane-bounded organelle
GO:0031012	0.888146558382005	extracellular matrix
GO:0005923	0.884832386875912	bicellular tight junction
GO:0043296	0.884832386875912	apical junction complex
GO:0070160	0.884832386875912	tight junction
GO:0016528	0.884621841683145	sarcoplasm
GO:0030314	0.884621841683145	junctional membrane complex
GO:0032879	0.884187418169578	regulation of localization
GO:0051049	0.884187418169578	regulation of transport
GO:0003008	0.88252108597723	system process
GO:0019902	0.880710161514239	phosphatase binding
GO:0004713	0.880416226050668	protein tyrosine kinase activity
GO:0044092	0.879995381616736	negative regulation of molecular function
GO:0007267	0.874226848456051	cell-cell signaling
GO:0140030	0.874120817481942	modification-dependent protein binding
GO:0001503	0.872737150327296	ossification
GO:0060627	0.868393436362869	regulation of vesicle-mediated transport
GO:0018149	0.867930761839119	peptide cross-linking
GO:0048040	0.867322077028084	UDP-glucuronate decarboxylase activity
GO:0007217	0.866707585094705	tachykinin receptor signaling pathway
GO:0004709	0.864726903145946	MAP kinase kinase kinase activity
GO:0005212	0.863723204057251	structural constituent of eye lens
GO:0009968	0.86339915751013	negative regulation of signal transduction
GO:0010648	0.86339915751013	negative regulation of cell communication
GO:0023057	0.86339915751013	negative regulation of signaling
GO:1902532	0.86339915751013	negative regulation of intracellular signal transduction
GO:0004721	0.862787967323905	phosphoprotein phosphatase activity
GO:0030100	0.86245528233574	regulation of endocytosis
GO:0005742	0.861940401707479	mitochondrial outer membrane translocase complex
GO:0098799	0.861940401707479	outer mitochondrial membrane protein complex
GO:0001527	0.861599537382382	microfibril
GO:0044420	0.861599537382382	extracellular matrix component
GO:0016055	0.861191866274239	Wnt signaling pathway
GO:0198738	0.861191866274239	cell-cell signaling by wnt
GO:1905114	0.861191866274239	cell surface receptor signaling pathway involved in cell-cell signaling
GO:0008138	0.859890039505619	protein tyrosine/serine/threonine phosphatase activity
GO:0017017	0.859890039505619	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	0.859890039505619	MAP kinase phosphatase activity
GO:0031593	0.858189471146938	polyubiquitin modification-dependent protein binding
GO:0070530	0.858189471146938	K63-linked polyubiquitin modification-dependent protein binding
GO:0051128	0.857594837510482	regulation of cellular component organization
GO:0048513	0.856626155685186	animal organ development
GO:0005125	0.855768718747309	cytokine activity
GO:0004715	0.855681295044413	non-membrane spanning protein tyrosine kinase activity
GO:0031109	0.853818023656163	microtubule polymerization or depolymerization
GO:0031110	0.853818023656163	regulation of microtubule polymerization or depolymerization
GO:0032886	0.853818023656163	regulation of microtubule-based process
GO:0070507	0.853818023656163	regulation of microtubule cytoskeleton organization
GO:0051493	0.853413894729555	regulation of cytoskeleton organization
GO:0006816	0.852384690200783	calcium ion transport
GO:0010959	0.852384690200783	regulation of metal ion transport
GO:0022898	0.852384690200783	regulation of transmembrane transporter activity
GO:0032409	0.852384690200783	regulation of transporter activity
GO:0032410	0.852384690200783	negative regulation of transporter activity
GO:0032412	0.852384690200783	regulation of ion transmembrane transporter activity
GO:0032413	0.852384690200783	negative regulation of ion transmembrane transporter activity
GO:0034762	0.852384690200783	regulation of transmembrane transport
GO:0034763	0.852384690200783	negative regulation of transmembrane transport
GO:0034765	0.852384690200783	regulation of ion transmembrane transport
GO:0034766	0.852384690200783	negative regulation of ion transmembrane transport
GO:0043269	0.852384690200783	regulation of ion transport
GO:0043271	0.852384690200783	negative regulation of ion transport
GO:0051051	0.852384690200783	negative regulation of transport
GO:0051924	0.852384690200783	regulation of calcium ion transport
GO:0051926	0.852384690200783	negative regulation of calcium ion transport
GO:0070588	0.852384690200783	calcium ion transmembrane transport
GO:0070838	0.852384690200783	divalent metal ion transport
GO:0072511	0.852384690200783	divalent inorganic cation transport
GO:1901019	0.852384690200783	regulation of calcium ion transmembrane transporter activity
GO:1901020	0.852384690200783	negative regulation of calcium ion transmembrane transporter activity
GO:1901385	0.852384690200783	regulation of voltage-gated calcium channel activity
GO:1901386	0.852384690200783	negative regulation of voltage-gated calcium channel activity
GO:1901841	0.852384690200783	regulation of high voltage-gated calcium channel activity
GO:1901842	0.852384690200783	negative regulation of high voltage-gated calcium channel activity
GO:1903169	0.852384690200783	regulation of calcium ion transmembrane transport
GO:1903170	0.852384690200783	negative regulation of calcium ion transmembrane transport
GO:1904062	0.852384690200783	regulation of cation transmembrane transport
GO:1904063	0.852384690200783	negative regulation of cation transmembrane transport
GO:2001257	0.852384690200783	regulation of cation channel activity
GO:2001258	0.852384690200783	negative regulation of cation channel activity
GO:0048585	0.852251388241929	negative regulation of response to stimulus
GO:0019888	0.850750099945549	protein phosphatase regulator activity
GO:0051262	0.847298575543739	protein tetramerization
GO:0031410	0.847290553343693	cytoplasmic vesicle
GO:0031982	0.847290553343693	vesicle
GO:0097708	0.847290553343693	intracellular vesicle
GO:0001649	0.846300596172176	osteoblast differentiation
GO:0030141	0.845306919585496	secretory granule
GO:0099503	0.845306919585496	secretory vesicle
GO:0003012	0.844687123145342	muscle system process
GO:0006936	0.844687123145342	muscle contraction
GO:0006937	0.844687123145342	regulation of muscle contraction
GO:0006939	0.844687123145342	smooth muscle contraction
GO:0006940	0.844687123145342	regulation of smooth muscle contraction
GO:0044057	0.844687123145342	regulation of system process
GO:0090257	0.844687123145342	regulation of muscle system process
GO:0004714	0.844687123145342	transmembrane receptor protein tyrosine kinase activity
GO:0005007	0.844687123145342	fibroblast growth factor-activated receptor activity
GO:0019199	0.844687123145342	transmembrane receptor protein kinase activity
GO:0040007	0.842326290345493	growth
GO:0040008	0.842326290345493	regulation of growth
GO:0003676	0.841179122241512	nucleic acid binding
GO:0042470	0.83707934200378	melanosome
GO:0048770	0.83707934200378	pigment granule
GO:0001990	0.836487497262642	regulation of systemic arterial blood pressure by hormone
GO:0003013	0.836487497262642	circulatory system process
GO:0003044	0.836487497262642	regulation of systemic arterial blood pressure mediated by a chemical signal
GO:0003073	0.836487497262642	regulation of systemic arterial blood pressure
GO:0003081	0.836487497262642	regulation of systemic arterial blood pressure by renin-angiotensin
GO:0008015	0.836487497262642	blood circulation
GO:0008217	0.836487497262642	regulation of blood pressure
GO:0050886	0.836487497262642	endocrine process
