GO	CC	annotation
GO:0016043	0.993958360540601	cellular component organization
GO:0140110	0.986190239273222	transcription regulator activity
GO:0006658	0.982017872104232	phosphatidylserine metabolic process
GO:0006659	0.982017872104232	phosphatidylserine biosynthetic process
GO:0008297	0.982017872104232	single-stranded DNA exodeoxyribonuclease activity
GO:0008409	0.982017872104232	5'-3' exonuclease activity
GO:0035312	0.982017872104232	5'-3' exodeoxyribonuclease activity
GO:0045145	0.982017872104232	single-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0004529	0.982017872104232	exodeoxyribonuclease activity
GO:0016895	0.982017872104232	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:1902494	0.978817033546964	catalytic complex
GO:0008982	0.971574501009133	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0015144	0.971574501009133	carbohydrate transmembrane transporter activity
GO:0051726	0.957119856532059	regulation of cell cycle
GO:0045735	0.948954272822473	nutrient reservoir activity
GO:0000175	0.942646089892591	3'-5'-exoribonuclease activity
GO:0004532	0.942646089892591	exoribonuclease activity
GO:0016896	0.942646089892591	exoribonuclease activity, producing 5'-phosphomonoesters
GO:0016796	0.94171748697667	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
GO:0050832	0.941682871891618	defense response to fungus
GO:0009620	0.941682871891618	response to fungus
GO:0030597	0.941682871891618	RNA glycosylase activity
GO:0030598	0.941682871891618	rRNA N-glycosylase activity
GO:0140102	0.941682871891618	catalytic activity, acting on a rRNA
GO:0005929	0.941682871891618	cilium
GO:0034464	0.941682871891618	BBSome
GO:0042995	0.941682871891618	cell projection
GO:0044441	0.941682871891618	ciliary part
GO:0044463	0.941682871891618	cell projection part
GO:0120025	0.941682871891618	plasma membrane bounded cell projection
GO:0120038	0.941682871891618	plasma membrane bounded cell projection part
GO:0005088	0.941682871891618	Ras guanyl-nucleotide exchange factor activity
GO:0005089	0.941682871891618	Rho guanyl-nucleotide exchange factor activity
GO:0007005	0.937656257361043	mitochondrion organization
GO:0016755	0.937339021743701	transferase activity, transferring amino-acyl groups
GO:0023051	0.931522614043084	regulation of signaling
