GO	CC	annotation
GO:0098657	0.903964497924689	import into cell
GO:0006897	0.900534596225134	endocytosis
GO:0099080	0.900163796041398	supramolecular complex
GO:0099081	0.900163796041398	supramolecular polymer
GO:0099512	0.900163796041398	supramolecular fiber
GO:0048018	0.879287223580594	receptor ligand activity
GO:0030545	0.879287223580594	receptor regulator activity
GO:0005102	0.87874065809585	signaling receptor binding
GO:0007267	0.876011927019786	cell-cell signaling
GO:0008083	0.875643453682306	growth factor activity
GO:0018149	0.865642854585433	peptide cross-linking
GO:0007166	0.853897315536168	cell surface receptor signaling pathway
GO:0140030	0.848756564410401	modification-dependent protein binding
GO:0016055	0.847602869996862	Wnt signaling pathway
GO:0198738	0.847602869996862	cell-cell signaling by wnt
GO:1905114	0.847602869996862	cell surface receptor signaling pathway involved in cell-cell signaling
GO:0031109	0.844378821689546	microtubule polymerization or depolymerization
GO:0031110	0.844378821689546	regulation of microtubule polymerization or depolymerization
GO:0032886	0.844378821689546	regulation of microtubule-based process
GO:0070507	0.844378821689546	regulation of microtubule cytoskeleton organization
GO:0005179	0.84213356728676	hormone activity
GO:0007276	0.836884889391436	gamete generation
GO:0032504	0.836884889391436	multicellular organism reproduction
GO:0048609	0.836884889391436	multicellular organismal reproductive process
GO:0005615	0.836522255990421	extracellular space
GO:0044421	0.836522255990421	extracellular region part
GO:0003676	0.833122862707604	nucleic acid binding
GO:0032879	0.831003396294513	regulation of localization
GO:0051049	0.831003396294513	regulation of transport
GO:0031593	0.829727925880882	polyubiquitin modification-dependent protein binding
GO:0070530	0.829727925880882	K63-linked polyubiquitin modification-dependent protein binding
GO:0060627	0.824137268597304	regulation of vesicle-mediated transport
GO:0004721	0.821997541478265	phosphoprotein phosphatase activity
GO:0003796	0.820290538311446	lysozyme activity
GO:0061783	0.820290538311446	peptidoglycan muralytic activity
GO:0030100	0.819896425019616	regulation of endocytosis
GO:0051493	0.815794533102927	regulation of cytoskeleton organization
GO:0000226	0.81358195313911	microtubule cytoskeleton organization
GO:0019902	0.809206083338915	phosphatase binding
GO:0005882	0.80724699623603	intermediate filament
GO:0045095	0.80724699623603	keratin filament
GO:0045111	0.80724699623603	intermediate filament cytoskeleton
GO:0099513	0.80724699623603	polymeric cytoskeletal fiber
GO:0008138	0.806770004422012	protein tyrosine/serine/threonine phosphatase activity
GO:0017017	0.806770004422012	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	0.806770004422012	MAP kinase phosphatase activity
GO:0008201	0.804219248499784	heparin binding
GO:0048284	0.802260870467376	organelle fusion
GO:0007217	0.800034154845764	tachykinin receptor signaling pathway
GO:0030141	0.799708893636313	secretory granule
GO:0099503	0.799708893636313	secretory vesicle
GO:0043292	0.799227879593433	contractile fiber
GO:0005861	0.799227879593433	troponin complex
GO:0005865	0.799227879593433	striated muscle thin filament
GO:0030016	0.799227879593433	myofibril
GO:0030017	0.799227879593433	sarcomere
GO:0036379	0.799227879593433	myofilament
GO:0044449	0.799227879593433	contractile fiber part
GO:0044092	0.798841530411111	negative regulation of molecular function
GO:0004896	0.795480497913453	cytokine receptor activity
GO:0004908	0.795480497913453	interleukin-1 receptor activity
GO:0003008	0.795046816300852	system process
GO:0016528	0.794613134688251	sarcoplasm
GO:0030314	0.794613134688251	junctional membrane complex
GO:0004713	0.794504714285101	protein tyrosine kinase activity
GO:0006816	0.79417945307565	calcium ion transport
GO:0010959	0.79417945307565	regulation of metal ion transport
GO:0022898	0.79417945307565	regulation of transmembrane transporter activity
GO:0032409	0.79417945307565	regulation of transporter activity
GO:0032410	0.79417945307565	negative regulation of transporter activity
GO:0032412	0.79417945307565	regulation of ion transmembrane transporter activity
GO:0032413	0.79417945307565	negative regulation of ion transmembrane transporter activity
GO:0034762	0.79417945307565	regulation of transmembrane transport
GO:0034763	0.79417945307565	negative regulation of transmembrane transport
GO:0034765	0.79417945307565	regulation of ion transmembrane transport
GO:0034766	0.79417945307565	negative regulation of ion transmembrane transport
GO:0043269	0.79417945307565	regulation of ion transport
GO:0043271	0.79417945307565	negative regulation of ion transport
GO:0051051	0.79417945307565	negative regulation of transport
GO:0051924	0.79417945307565	regulation of calcium ion transport
GO:0051926	0.79417945307565	negative regulation of calcium ion transport
GO:0070588	0.79417945307565	calcium ion transmembrane transport
GO:0070838	0.79417945307565	divalent metal ion transport
GO:0072511	0.79417945307565	divalent inorganic cation transport
GO:1901019	0.79417945307565	regulation of calcium ion transmembrane transporter activity
GO:1901020	0.79417945307565	negative regulation of calcium ion transmembrane transporter activity
GO:1901385	0.79417945307565	regulation of voltage-gated calcium channel activity
GO:1901386	0.79417945307565	negative regulation of voltage-gated calcium channel activity
GO:1901841	0.79417945307565	regulation of high voltage-gated calcium channel activity
GO:1901842	0.79417945307565	negative regulation of high voltage-gated calcium channel activity
GO:1903169	0.79417945307565	regulation of calcium ion transmembrane transport
GO:1903170	0.79417945307565	negative regulation of calcium ion transmembrane transport
GO:1904062	0.79417945307565	regulation of cation transmembrane transport
GO:1904063	0.79417945307565	negative regulation of cation transmembrane transport
GO:2001257	0.79417945307565	regulation of cation channel activity
GO:2001258	0.79417945307565	negative regulation of cation channel activity
GO:0001664	0.792940884055255	G protein-coupled receptor binding
GO:0009968	0.792878408237847	negative regulation of signal transduction
GO:0010648	0.792878408237847	negative regulation of cell communication
GO:0023057	0.792878408237847	negative regulation of signaling
GO:1902532	0.792878408237847	negative regulation of intracellular signal transduction
GO:0032501	0.789879949998136	multicellular organismal process
GO:0048585	0.789408955337038	negative regulation of response to stimulus
GO:0038023	0.789391616884497	signaling receptor activity
GO:0031012	0.788866853321287	extracellular matrix
GO:0008544	0.788758432918137	epidermis development
GO:0019888	0.787999490096085	protein phosphatase regulator activity
GO:0001503	0.787457388080334	ossification
