GO	CC	annotation
GO:0000001	0	mitochondrion inheritance
GO:0000002	0.436169579910182	mitochondrial genome maintenance
GO:0000003	93.0777933223392	reproduction
GO:0042254	4.21379847180375	ribosome biogenesis
GO:0000011	0	vacuole inheritance
GO:0000012	0	single strand break repair
GO:0000017	0	alpha-glucoside transport
GO:0000018	0	regulation of DNA recombination
GO:0000019	0	regulation of mitotic recombination
GO:0045950	0	negative regulation of mitotic recombination
GO:0000022	0	mitotic spindle elongation
GO:0000023	0	maltose metabolic process
GO:0000024	0	maltose biosynthetic process
GO:0000025	0	maltose catabolic process
GO:0000027	0.223606797749979	ribosomal large subunit assembly
GO:0000028	0	ribosomal small subunit assembly
GO:0000032	0	cell wall mannoprotein biosynthetic process
GO:0000038	0	very long-chain fatty acid metabolic process
GO:0000041	0	transition metal ion transport
GO:0000045	0	autophagosome assembly
GO:0000050	0	urea cycle
GO:0000052	0	citrulline metabolic process
GO:0000053	0	argininosuccinate metabolic process
GO:0000054	0	ribosomal subunit export from nucleus
GO:0000055	0	ribosomal large subunit export from nucleus
GO:0000056	0	ribosomal small subunit export from nucleus
GO:0000060	0	protein import into nucleus, translocation
GO:0000061	0	protein import into nucleus, substrate release
GO:0006260	0.972173827676672	DNA replication
GO:0007059	1.15082155171966	chromosome segregation
GO:0051276	3.76861234732232	chromosome organization
GO:0000070	1.15082155171966	mitotic sister chromatid segregation
GO:0007017	21.9614684746029	microtubule-based process
GO:0000073	0	mitotic spindle pole body separation
GO:0000075	1.06324400063111	cell cycle checkpoint
GO:0000076	0	DNA replication checkpoint
GO:0000077	0.374491525189856	DNA damage checkpoint
GO:0044878	0	mitotic cytokinesis checkpoint
GO:0044879	0	morphogenesis checkpoint
GO:0000079	0	regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000080	0	mitotic G1 phase
GO:0000082	0	G1/S transition of mitotic cell cycle
GO:0000083	0	regulation of transcription involved in G1/S transition of mitotic cell cycle
GO:0000084	0	mitotic S phase
GO:0000085	0	mitotic G2 phase
GO:0000086	0	G2/M transition of mitotic cell cycle
GO:0000087	0	mitotic M phase
GO:0000088	0	mitotic prophase
GO:0000089	0	mitotic metaphase
GO:0000090	0	mitotic anaphase
GO:0000091	0	mitotic anaphase A
GO:0000092	0	mitotic anaphase B
GO:0000093	0	mitotic telophase
GO:0000917	0	division septum assembly
GO:0000918	0	division septum site selection
GO:0000921	0	septin ring assembly
GO:0000096	1.71933055605245	sulfur amino acid metabolic process
GO:0000097	1.69935425325292	sulfur amino acid biosynthetic process
GO:0000098	0	sulfur amino acid catabolic process
GO:0000101	0	sulfur amino acid transport
GO:0000103	0	sulfate assimilation
GO:0000105	1.06782203687648	histidine biosynthetic process
GO:0000117	0	regulation of transcription involved in G2/M transition of mitotic cell cycle
GO:0000122	0	negative regulation of transcription by RNA polymerase II
GO:0000128	10.1212165469495	flocculation
GO:0000132	0	establishment of mitotic spindle orientation
GO:0000147	0	actin cortical patch assembly
GO:0000154	0	rRNA modification
GO:0000160	50.2100830414011	phosphorelay signal transduction system
GO:0000161	0	osmosensory signaling MAPK cascade
GO:0000162	0	tryptophan biosynthetic process
GO:0000165	0	MAPK cascade
GO:0000167	0	activation of MAPKKK activity involved in osmosensory signaling pathway
GO:0000168	0	activation of MAPKK activity involved in osmosensory signaling pathway
GO:0000169	0	activation of MAPK activity involved in osmosensory signaling pathway
GO:0000173	0	inactivation of MAPK activity involved in osmosensory signaling pathway
GO:0000750	0	pheromone-dependent signal transduction involved in conjugation with cellular fusion
GO:0000183	0	chromatin silencing at rDNA
GO:0000184	1.06094757462259	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0000185	0	activation of MAPKKK activity
GO:0000186	0	activation of MAPKK activity
GO:0000187	0	activation of MAPK activity
GO:0000188	0	inactivation of MAPK activity
GO:0006606	0.509662729224902	protein import into nucleus
GO:0000196	0	cell wall integrity MAPK cascade
