ID	CC	annotation
PF15231	2.28712019480748e-23	Variable charge X/Y family
PF04680	2.28712019480748e-23	Opioid growth factor receptor repeat
PF06758	4.10301935313892e-23	Repeat of unknown function (DUF1220)
PF15825	4.10301935313892e-23	FAM25 family
PF05240	2.16705728081947e-22	APOBEC-like C-terminal domain
PF08180	2.16705728081947e-22	B melanoma antigen family
PF15199	2.16705728081947e-22	D-amino acid oxidase activator
PF15354	2.16705728081947e-22	Kidney-associated antigen 1
PF15708	2.72018055113782e-22	Proline-rich protein family 20
PF16704	2.72018055113782e-22	Rab binding domain
PF14642	9.45311951078751e-22	FAM47 family
PF06409	1.72878638171717e-21	Nuclear pore complex interacting protein (NPIP)
PF05324	1.81454666865419e-20	Sperm antigen HE2
PF15039	1.81454666865419e-20	Domain of unknown function (DUF4530)
PF15840	5.00503859823295e-20	ADP-ribosylation factor-like protein 17
PF15623	2.22144564144475e-19	Cancer/testis gene family 47
PF12549	4.00129925121554e-19	Tyrosine hydroxylase N terminal
PF08954	5.21723637248353e-17	Trimerisation motif
PF06387	1.56220423729113e-16	D1 dopamine receptor-interacting protein (calcyon)
PF15897	6.56960745799529e-16	Domain of unknown function (DUF4741)
PF15826	1.29995521059795e-15	Bcl-2-binding component 3, p53 upregulated modulator of apoptosis
PF15194	4.69204079570616e-15	TMEM191C family
PF15722	8.92551741012269e-15	FAM153 family
PF15750	1.08234067007834e-14	Ubiquitin-binding zinc-finger
PF14976	1.40047499797747e-14	FAM72 protein
PF00638	3.62658398000055e-14	RanBP1 domain
PF15682	4.02825048091492e-14	Musculoskeletal, temporally activated-embryonic nuclear protein 1
PF04774	4.85689510564016e-14	Hyaluronan / mRNA binding family
PF15441	9.9157222912939e-14	Rho guanine nucleotide exchange factor 5/35
PF15371	1.87376678504668e-13	Domain of unknown function (DUF4599)
PF15077	1.99763611463853e-13	Membrane-anchored junction protein
PF06881	2.06074245825432e-13	RNA polymerase II transcription factor SIII (Elongin) subunit A
PF14048	3.13029074601362e-13	C-terminal domain of methyl-CpG binding protein 2 and 3
PF06374	1.05220610281613e-12	NADH-ubiquinone oxidoreductase subunit b14.5b (NDUFC2)
PF14946	3.34410347353284e-12	Domain of unknown function (DUF4501)
PF17307	3.83304412361293e-12	Small integral membrane protein 3
PF15895	6.02567042198106e-12	CAAX box cerebral protein 1
PF15068	6.94398603358571e-12	FAM101 family
PF16564	9.56814556299438e-12	p55-binding region of Methyl-CpG-binding domain proteins MBD
PF03516	2.19412981824933e-11	Filaggrin
PF07681	2.57197001468611e-11	DoxX
PF15176	2.69938472883818e-11	Leucine-rich repeat family 19 TM domain
PF13914	3.78720097957415e-11	Phostensin PP1-binding and SH3-binding region
PF11627	3.98707760773106e-11	Nuclear factor hnRNPA1
PF15127	3.98707760773106e-11	Small membrane A-kinase anchor protein
PF14982	5.83080433665066e-11	UPF0731 family
PF00034	6.64707747128662e-11	Cytochrome c
PF08563	7.68430445237465e-11	P53 transactivation motif
PF15167	8.2656632048398e-11	Domain of unknown function (DUF4581)
PF09310	8.2656632048398e-11	POU domain, class 2, associating factor 1
PF15229	1.0715849228046e-10	POM121 family
PF00252	1.36931678886842e-10	Ribosomal protein L16p/L10e
PF07192	1.36931678886842e-10	SNURF/RPN4 protein
PF04979	1.58234514559085e-10	Protein phosphatase inhibitor 2 (IPP-2)
PF03002	1.94582007721952e-10	Somatostatin/Cortistatin family
PF15157	2.09121035735844e-10	Fusion protein IQCJ-SCHIP1 with IQ-like motif
PF15444	2.24171314660178e-10	Transmembrane protein 247
PF15803	2.40616986820319e-10	Zinc-finger of sodium channel modifier 1
PF15732	2.78414547470614e-10	Domain of unknown function (DUF4681)
PF15248	3.13892265904751e-10	Domain of unknown function (DUF4587)
PF15212	4.04767532092066e-10	Spermatogenesis-associated protein 19, mitochondrial
PF03487	4.92899281274839e-10	Interleukin-13
PF12346	4.92899281274839e-10	Holliday junction recognition protein-associated repeat
PF15164	4.92899281274839e-10	Williams-Beuren syndrome chromosomal region 28 protein homologue
PF15838	4.92899281274839e-10	Domain of unknown function (DUF4717)
PF15372	5.36967966730062e-10	Domain of unknown function (DUF4600)
PF15304	6.30406898140979e-10	A-kinase anchor protein 2 C-terminus
PF15112	7.011648414366e-10	Domain of unknown function (DUF4559)
PF15050	7.011648414366e-10	SCIMP protein
PF12605	1.04380318157819e-09	Casein kinase 1 gamma C terminal
PF16780	1.07633822503146e-09	AIMP2 lysyl-tRNA synthetase binding domain
PF03508	1.07633822503146e-09	Gap junction alpha-1 protein (Cx43)
PF15184	1.07633822503146e-09	Mitochondrial import receptor subunit TOM6 homolog
PF15192	1.45895691476451e-09	TMEM213 family
PF16611	1.45895691476451e-09	Unstructured region between RBD and GoLoco
PF01465	1.47417674804184e-09	GRIP domain
PF16545	1.92383237584036e-09	Cerebral cavernous malformation protein, harmonin-homology
PF09042	2.12270620161211e-09	Titin Z
PF15812	2.1640871877984e-09	Melanoregulin
PF11109	2.28043655930532e-09	Orexigenic neuropeptide Qrfp/P518
PF02025	2.32960759756117e-09	Interleukin 5
PF06573	2.62411432104226e-09	Churchill protein
PF15870	3.09712063374497e-09	ElonginA binding-protein 1
PF07114	3.14690929464794e-09	Transmembrane protein 126
PF07837	3.70290326694258e-09	Formiminotransferase domain, N-terminal subdomain
PF15287	3.7641166026235e-09	KRBA1 family repeat
PF14818	4.15623281635655e-09	Domain of unknown function (DUF4482)
PF00047	4.58121474660426e-09	Immunoglobulin domain
PF16005	4.75053635931512e-09	KH-like RNA-binding domain
PF01157	5.10310747873108e-09	Ribosomal protein L21e
PF15118	5.4034521694805e-09	Domain of unknown function (DUF4560)
PF15487	6.19963937836943e-09	FAM220 family
PF15282	6.19963937836943e-09	BMP-2-inducible protein kinase C-terminus
PF15784	6.19963937836943e-09	G-protein pathway suppressor 2-interacting domain
PF06229	6.21997058250982e-09	FRG1-like domain
PF15788	6.25401896459258e-09	Domain of unknown function (DUF4705)
PF12001	6.25401896459258e-09	Domain of unknown function (DUF3496)
PF01283	6.25401896459258e-09	Ribosomal protein S26e
PF00681	7.02118235335652e-09	Plectin repeat
PF17229	7.65140232262044e-09	Region of unknown function (DUF5303)
PF02060	7.65140232262044e-09	Slow voltage-gated potassium channel
PF16689	8.08900520801287e-09	Coiled-coil N-terminus of APC, dimerisation domain
PF15110	9.08684231172304e-09	TMEM141 protein family
PF15419	9.4944757188043e-09	Leukemia NUP98 fusion partner 1
PF16613	9.94194410794342e-09	Unstructured region of RGS12
PF10034	1.06826539489019e-08	Q-cell neuroblast polarisation
PF07711	1.09664269353725e-08	Rab geranylgeranyl transferase alpha-subunit, insert domain
PF14994	1.46891795799962e-08	Testis-specific gene 13 protein
PF15158	1.46891795799962e-08	Domain of unknown function (DUF4579)
PF12037	1.55451903495272e-08	Domain of unknown function (DUF3523)
PF15729	2.09185856534296e-08	Amyotrophic lateral sclerosis 2 candidate 11
PF12185	2.12223519455136e-08	Nup358/RanBP2 E3 ligase domain
PF16642	2.24577430458823e-08	Unstructured region on Potassium channel subunit alpha KvLQT2
PF05778	2.30301570425935e-08	Apolipoprotein CIII (Apo-CIII)
PF15133	2.70119399021583e-08	Domain of unknown function (DUF4569)
PF08172	2.85014476488378e-08	CASP C terminal
PF02165	3.2199936851972e-08	Wilm's tumour protein
PF04950	3.76450887041794e-08	40S ribosome biogenesis protein Tsr1 and BMS1 C-terminal
PF11357	3.98955697256007e-08	Cell cycle regulatory protein
PF04190	4.63866348526139e-08	Protein of unknown function (DUF410)
PF07975	5.00521548820131e-08	TFIIH C1-like domain
PF15805	5.05312043295472e-08	Acidic C-terminal region of sodium channel modifier 1 SCNM1
PF10195	5.82798343365266e-08	DNA-binding nuclear phosphoprotein p8
PF02946	6.03885762753253e-08	GTF2I-like repeat
PF15317	6.45587039145646e-08	Cardiac transcription factor regulator, Developmental protein
PF16122	7.87751742468251e-08	40S ribosomal protein SA C-terminus
PF15079	9.93379361201071e-08	Testis-specific protein 35
PF15703	9.93379361201071e-08	Linker for activation of T-cells family member 2
PF15716	1.01517324492695e-07	Domain of unknown function (DUF4672)
PF10630	1.03438687105504e-07	Protein of unknown function (DUF2476)
PF01390	1.03438687105504e-07	SEA domain
PF00007	1.20692626226051e-07	Cystine-knot domain
PF15336	1.20692626226051e-07	Autism susceptibility gene 2 protein
