ID	CC	annotation
PF08686	0.760137650982517	PLAC (protease and lacunin) domain
PF07686	0.758600681791943	Immunoglobulin V-set domain
PF06512	0.75690550548936	Sodium ion transport-associated
PF13909	0.755395137151793	C2H2-type zinc-finger domain
PF00045	0.750309963958151	Hemopexin
PF06008	0.727338884181182	Laminin Domain I
PF00038	0.726197356484224	Intermediate filament protein
PF06467	0.723993060580129	MYM-type Zinc finger with FCS sequence motif
PF07303	0.718747651764586	Occludin homology domain
PF07546	0.718338017216044	EMI domain
PF14575	0.718063611260237	Ephrin type-A receptor 2 transmembrane domain
PF01530	0.717147092622984	Zinc finger, C2HC type
PF06009	0.715487469528679	Laminin Domain II
PF11414	0.715487469528679	Adenomatous polyposis coli tumour suppressor protein
PF00047	0.712856320408685	Immunoglobulin domain
PF03250	0.711619947400456	Tropomodulin
PF00229	0.711211647997631	TNF(Tumour Necrosis Factor) family
PF07525	0.71013029241477	SOCS box
PF00061	0.709648803315782	Lipocalin / cytosolic fatty-acid binding protein family
PF10524	0.709648803315782	Nuclear factor I protein pre-N-terminus
PF01049	0.706843867334296	Cadherin cytoplasmic region
PF02351	0.706843867334296	GDNF/GAS1 domain
PF14160	0.706642249265457	Centrosome-associated C terminus
PF00093	0.704678236426941	von Willebrand factor type C domain
PF01034	0.704085278779218	Syndecan domain
PF05110	0.702636463362068	AF-4 proto-oncoprotein
PF13895	0.701952208433026	Immunoglobulin domain
PF15705	0.701805448696298	Mature oligodendrocyte transmembrane protein, TMEM132D, N-term
PF04089	0.700571903638329	BRICHOS domain
PF00880	0.69980945724817	Nebulin repeat
PF11933	0.699293936978248	Cytoplasmic domain of voltage-gated Na+ ion channel
PF00019	0.699226180439112	Transforming growth factor beta like domain
PF01403	0.699226180439112	Sema domain
PF00683	0.698786930637389	TB domain
PF16184	0.697802084344136	Cadherin-like
PF12026	0.697026591399098	Domain of unknown function (DUF3513)
PF00007	0.696958909560805	Cystine-knot domain
PF08337	0.696500152445197	Plexin cytoplasmic RasGAP domain
PF05210	0.696220525354861	Sprouty protein (Spry)
PF00473	0.69300240800549	Corticotropin-releasing factor family
PF10034	0.69281918742687	Q-cell neuroblast polarisation
PF16423	0.69281918742687	Transcription factor COE1 helix-loop-helix domain
PF02946	0.690821334496441	GTF2I-like repeat
PF00777	0.690014251445384	Glycosyltransferase family 29 (sialyltransferase)
PF05902	0.689832540342392	4.1 protein C-terminal domain (CTD)
PF00927	0.688407266498709	Transglutaminase family, C-terminal ig like domain
PF14061	0.683694340342845	Polycomb-like MTF2 factor 2
PF02060	0.681646617388638	Slow voltage-gated potassium channel
PF00688	0.681220648676553	TGF-beta propeptide
PF01421	0.680143984481709	Reprolysin (M12B) family zinc metalloprotease
PF08516	0.680143984481709	ADAM cysteine-rich
PF06021	0.679795259191962	Aralkyl acyl-CoA:amino acid N-acyltransferase
PF14723	0.679795259191962	Sperm-specific antigen 2 C-terminus
PF14998	0.678762632498528	Transcription Regulator
PF01390	0.678457076065289	SEA domain
PF01463	0.678430349592931	Leucine rich repeat C-terminal domain
PF14722	0.677682203826603	Ki-ras-induced actin-interacting protein-IP3R-interacting domain
PF02793	0.677417956487794	Hormone receptor domain
PF15068	0.67644651407279	FAM101 family
PF01271	0.674726347161342	Granin (chromogranin or secretogranin)
PF01462	0.674562465146084	Leucine rich repeat N-terminal domain
PF07092	0.67305111815125	Protein of unknown function (DUF1356)
PF08430	0.673013174509699	Forkhead N-terminal region
PF11971	0.6727292542182	CAMSAP CH domain
PF12052	0.6727292542182	Voltage gated calcium channel subunit beta domain 4Aa N terminal
PF05283	0.672433843384323	Multi-glycosylated core protein 24 (MGC-24), sialomucin
PF13912	0.67143952437749	C2H2-type zinc finger
PF08758	0.671266212047694	Cadherin prodomain like
PF09240	0.671266212047694	Interleukin-6 receptor alpha chain, binding
PF16674	0.671266212047694	N-terminal of ubiquitin carboxyl-terminal hydrolase 37
PF08687	0.670112255654053	Apx/Shroom domain ASD2
PF02828	0.66923987250605	L27 domain
PF05986	0.66923987250605	ADAM-TS Spacer 1
PF08416	0.66923987250605	Phosphotyrosine-binding domain
PF12347	0.668453432687152	Holliday junction regulator protein family C-terminal repeat
PF08826	0.668420032475897	DMPK coiled coil domain like
PF12605	0.668205641564826	Casein kinase 1 gamma C terminal
PF15706	0.668205641564826	Mature oligodendrocyte transmembrane protein, TMEM132D, C-term
PF12549	0.667806076934046	Tyrosine hydroxylase N terminal
PF03068	0.666400278715273	Protein-arginine deiminase (PAD)
PF08527	0.666400278715273	Protein-arginine deiminase (PAD) middle domain
PF01839	0.666224145715329	FG-GAP repeat
PF07966	0.666105054270117	A1 Propeptide
PF12496	0.665760877370586	Bcl2-/adenovirus E1B nineteen kDa-interacting protein 2
PF11879	0.664769827612017	Domain of unknown function (DUF3399)
PF02038	0.664345941820398	ATP1G1/PLM/MAT8 family
PF06387	0.664345941820398	D1 dopamine receptor-interacting protein (calcyon)
PF08444	0.664345941820398	Aralkyl acyl-CoA:amino acid N-acyltransferase, C-terminal region
PF17069	0.664345941820398	Arginine/Serine-Rich protein 1
PF00055	0.663787816518221	Laminin N-terminal (Domain VI)
PF00167	0.663787816518221	Fibroblast growth factor
PF05350	0.663051533596101	Glycogen synthase kinase-3 binding
PF09727	0.66285995851494	Cortactin-binding protein-2
PF12140	0.66229231730319	SLED domain
PF09738	0.661327063468739	LRRFIP family
PF00157	0.661061788524306	Pou domain - N-terminal to homeobox domain
PF02188	0.661061788524306	GoLoco motif
PF00969	0.66088580670675	Class II histocompatibility antigen, beta domain
PF00868	0.659901789625057	Transglutaminase family
PF01759	0.659112067786442	UNC-6/NTR/C345C module
PF01562	0.658596489639668	Reprolysin family propeptide
PF02191	0.658476515781374	Olfactomedin-like domain
PF07469	0.658413811003307	Domain of unknown function (DUF1518)
PF14161	0.658194067877361	Centrosome-associated N terminus
PF16208	0.657425671593103	Keratin type II head
PF16526	0.657051241937691	C-terminal leucine zipper domain of cyclic nucleotide-gated channels
PF03281	0.656355019667561	Mab-21 protein
PF11461	0.656355019667561	Rab interacting lysosomal protein
PF01586	0.656070470674957	Myogenic Basic domain
PF12075	0.656070470674957	KN motif
PF05392	0.653965536479455	Cytochrome C oxidase chain VIIB
PF11914	0.653965536479455	Domain of unknown function (DUF3432)
PF10515	0.653550083686075	beta-amyloid precursor protein C-terminus
PF12336	0.653509159753757	SOX transcription factor
PF09596	0.653422330910737	MamL-1 domain
PF08347	0.652983080224722	N-terminal CTNNB1 binding
PF09289	0.652983080224722	Follistatin/Osteonectin-like EGF domain
PF02078	0.652775420406643	Synapsin, N-terminal domain
PF01437	0.651943999845328	Plexin repeat
PF02208	0.651865278763155	Sorbin homologous domain
PF15027	0.651810247371936	Domain of unknown function (DUF4525)
PF09457	0.65082134995265	FIP domain
PF00049	0.65074514770459	Insulin/IGF/Relaxin family
PF01023	0.650505401365807	S-100/ICaBP type calcium binding domain
PF06907	0.650505401365807	Latexin
PF15229	0.650505401365807	POM121 family
PF15274	0.650505401365807	Muscular LMNA-interacting protein
PF16920	0.650505401365807	Tyrosine-protein kinase receptor C2 Ig-like domain
PF00021	0.650490641694848	u-PAR/Ly-6 domain
PF16519	0.650490641694848	Tetramerisation domain of TRPM
PF03826	0.650465668779919	OAR domain
PF06345	0.650465668779919	DRF Autoregulatory Domain
PF16564	0.650465668779919	p55-binding region of Methyl-CpG-binding domain proteins MBD
PF15494	0.650184785408415	Scavenger receptor cysteine-rich domain
PF08736	0.650157676548648	FERM adjacent (FA)
PF02318	0.650103213112912	FYVE-type zinc finger
PF13922	0.649895689774487	PHD domain of transcriptional enhancer, Asx
PF03520	0.649805823664537	KCNQ voltage-gated potassium channel
PF05924	0.649656553119412	SAMP Motif
PF12310	0.649656553119412	Transcription factor protein N terminal
PF14709	0.649342679713848	double strand RNA binding domain from DEAD END PROTEIN 1
PF15017	0.648559323444894	Putative WW-binding domain and destruction box
PF01186	0.648499598875596	Lysyl oxidase
PF17217	0.648355364236714	UPA domain
PF06461	0.648057777341386	Domain of Unknown Function (DUF1086)
PF00418	0.647940211723105	Tau and MAP protein, tubulin-binding repeat
PF01275	0.647940211723105	Myelin proteolipid protein (PLP or lipophilin)
PF14513	0.647940211723105	Diacylglycerol kinase N-terminus
PF05640	0.647431648554733	Na,K-Atpase Interacting protein
PF00748	0.647045266252159	Calpain inhibitor
PF16665	0.647045266252159	Unstructured region on nuclear receptor coactivator protein
PF07502	0.646537743732362	MANEC domain
PF02758	0.64630780800024	PAAD/DAPIN/Pyrin domain
PF00341	0.64513527574162	PDGF/VEGF domain
PF17205	0.644705620560818	Integrin plexin domain
PF05672	0.644552344518283	MAP7 (E-MAP-115) family
PF08788	0.644453605577031	NHR2 domain like
PF08065	0.644061466349284	K167R (NUC007) repeat
PF08081	0.644061466349284	RBM1CTR (NUC064) family
PF08412	0.644003985953246	Ion transport protein N-terminal
PF08824	0.644003985953246	Serine rich protein interaction domain
PF12509	0.643954292370399	Protein of unknown function (DUF3715)
PF16034	0.643720908874017	JAKMIP CC3 domain
PF08080	0.643585131138511	RNPHF zinc finger
PF10482	0.643585131138511	Tumour-suppressor protein CtIP N-terminal domain
PF16788	0.643585131138511	ATF-interacting protein binding domain
PF00859	0.642959062881068	CTF/NF-I family transcription modulation region
PF01108	0.642959062881068	Tissue factor
PF00554	0.642798503500865	Rel homology DNA-binding domain
PF16516	0.642798503500865	Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
PF12533	0.642372095091847	Neuronal helix-loop-helix transcription factor
PF11601	0.642330339760134	Shal-type voltage-gated potassium channels, N-terminal
PF06668	0.64205747559081	Inter-alpha-trypsin inhibitor heavy chain C-terminus
PF14957	0.64205747559081	Cdc42 effector
PF07531	0.641979592566904	NHR1 homology to TAF
PF00028	0.641452602136873	Cadherin domain
PF15949	0.641435087518122	Domain of unknown function (DUF4757)
PF00048	0.640124996024863	Small cytokines (intecrine/chemokine), interleukin-8 like
PF00993	0.640124996024863	Class II histocompatibility antigen, alpha domain
PF01101	0.640124996024863	HMG14 and HMG17
PF04988	0.640124996024863	A-kinase anchoring protein 95 (AKAP95)
PF05805	0.640124996024863	L6 membrane protein
PF15176	0.640124996024863	Leucine-rich repeat family 19 TM domain
PF12240	0.639207700534745	Angiomotin C terminal
PF13914	0.638806551663768	Phostensin PP1-binding and SH3-binding region
PF02820	0.638639020256648	mbt repeat
PF03185	0.637625503256193	Calcium-activated potassium channel, beta subunit
PF11577	0.637546127973546	NF-kappa-B essential modulator NEMO
PF00836	0.637097408126135	Stathmin family
PF05361	0.636720467797164	PKC-activated protein phosphatase-1 inhibitor
PF03521	0.636664860911215	Kv2 voltage-gated K+ channel
