ID	CC	annotation
PF15068	0.932472758645826	FAM101 family
PF00045	0.928824576426519	Hemopexin
PF08686	0.922127059365995	PLAC (protease and lacunin) domain
PF06512	0.921737761689818	Sodium ion transport-associated
PF06008	0.913351956806965	Laminin Domain I
PF06387	0.911109456920821	D1 dopamine receptor-interacting protein (calcyon)
PF12549	0.905867059828981	Tyrosine hydroxylase N terminal
PF11914	0.905187237279436	Domain of unknown function (DUF3432)
PF07546	0.903947310880889	EMI domain
PF00038	0.903361341424728	Intermediate filament protein
PF02038	0.899334252777566	ATP1G1/PLM/MAT8 family
PF00683	0.894526992105922	TB domain
PF12310	0.893915703530918	Transcription factor protein N terminal
PF14160	0.891693117607826	Centrosome-associated C terminus
PF14723	0.889077975213714	Sperm-specific antigen 2 C-terminus
PF08758	0.888382596436302	Cadherin prodomain like
PF14818	0.887834606621796	Domain of unknown function (DUF4482)
PF00859	0.886713474405474	CTF/NF-I family transcription modulation region
PF14998	0.886279809896194	Transcription Regulator
PF07525	0.885191242173269	SOCS box
PF02060	0.884729811691021	Slow voltage-gated potassium channel
PF09047	0.884348591882282	MEF2 binding
PF14919	0.884348591882282	MDM2-binding
PF16605	0.884348591882282	LSM-interacting associated unstructured
PF16748	0.884348591882282	Inscuteable LGN-binding domain
PF03250	0.88376841623967	Tropomodulin
PF00229	0.883328464552701	TNF(Tumour Necrosis Factor) family
PF15705	0.882304682915359	Mature oligodendrocyte transmembrane protein, TMEM132D, N-term
PF01034	0.881677693876846	Syndecan domain
PF05924	0.880885268667135	SAMP Motif
PF13914	0.880710161514239	Phostensin PP1-binding and SH3-binding region
PF05210	0.879306577776921	Sprouty protein (Spry)
PF01023	0.878660020212253	S-100/ICaBP type calcium binding domain
PF11933	0.87831771396593	Cytoplasmic domain of voltage-gated Na+ ion channel
PF05395	0.878145249489141	Protein phosphatase inhibitor 1/DARPP-32
PF00007	0.877651531164338	Cystine-knot domain
PF00019	0.877572669781604	Transforming growth factor beta like domain
PF15077	0.876743239763905	Membrane-anchored junction protein
PF01049	0.876367326775559	Cadherin cytoplasmic region
PF15682	0.875691173961772	Musculoskeletal, temporally activated-embryonic nuclear protein 1
PF05392	0.875661200048677	Cytochrome C oxidase chain VIIB
PF01586	0.875630642911744	Myogenic Basic domain
PF09289	0.875549701122621	Follistatin/Osteonectin-like EGF domain
PF16674	0.875479176864037	N-terminal of ubiquitin carboxyl-terminal hydrolase 37
