ID	CC	annotation
PF07303	0.90212310623637	Occludin homology domain
PF08686	0.900071095995464	PLAC (protease and lacunin) domain
PF07686	0.898605650446801	Immunoglobulin V-set domain
PF13909	0.893183055780988	C2H2-type zinc-finger domain
PF06512	0.888096372852811	Sodium ion transport-associated
PF14575	0.883755887911093	Ephrin type-A receptor 2 transmembrane domain
PF07546	0.881099089950285	EMI domain
PF01530	0.880879680441053	Zinc finger, C2HC type
PF01049	0.88060408634934	Cadherin cytoplasmic region
PF00045	0.880420458420179	Hemopexin
PF06009	0.878757236107126	Laminin Domain II
PF01034	0.877071101340051	Syndecan domain
PF06008	0.87493867813227	Laminin Domain I
PF02351	0.874115083133965	GDNF/GAS1 domain
PF07525	0.874003757228076	SOCS box
PF16184	0.873899505723764	Cadherin-like
PF11414	0.873792505959628	Adenomatous polyposis coli tumour suppressor protein
PF16423	0.873373482766493	Transcription factor COE1 helix-loop-helix domain
PF05902	0.872387393653732	4.1 protein C-terminal domain (CTD)
PF00061	0.871334081755947	Lipocalin / cytosolic fatty-acid binding protein family
PF00777	0.870268031227707	Glycosyltransferase family 29 (sialyltransferase)
PF14160	0.868695976257562	Centrosome-associated C terminus
PF00038	0.866906698120245	Intermediate filament protein
PF00229	0.86573652873916	TNF(Tumour Necrosis Factor) family
PF00880	0.86573652873916	Nebulin repeat
PF00093	0.865714180709471	von Willebrand factor type C domain
PF12052	0.865268157970528	Voltage gated calcium channel subunit beta domain 4Aa N terminal
PF00019	0.864894332482357	Transforming growth factor beta like domain
PF10524	0.864845078540572	Nuclear factor I protein pre-N-terminus
PF01403	0.864256672750156	Sema domain
PF05210	0.863890243392417	Sprouty protein (Spry)
PF00007	0.860209753669304	Cystine-knot domain
PF13895	0.859884148872211	Immunoglobulin domain
PF06467	0.856586056305359	MYM-type Zinc finger with FCS sequence motif
PF01463	0.856369113366522	Leucine rich repeat C-terminal domain
PF00047	0.855876001984094	Immunoglobulin domain
PF08337	0.853871928540036	Plexin cytoplasmic RasGAP domain
PF02191	0.85383991121591	Olfactomedin-like domain
PF13912	0.853442558420118	C2H2-type zinc finger
PF04089	0.852705971219472	BRICHOS domain
PF09738	0.852434798910015	LRRFIP family
PF08416	0.851685666601063	Phosphotyrosine-binding domain
PF08430	0.851568587608664	Forkhead N-terminal region
PF15705	0.851294748778363	Mature oligodendrocyte transmembrane protein, TMEM132D, N-term
PF11879	0.851032771696417	Domain of unknown function (DUF3399)
PF00927	0.849624574298223	Transglutaminase family, C-terminal ig like domain
PF00688	0.849468894213252	TGF-beta propeptide
PF02793	0.848679556434976	Hormone receptor domain
PF03250	0.846621717683832	Tropomodulin
PF00683	0.846615966166425	TB domain
PF00157	0.846493294496003	Pou domain - N-terminal to homeobox domain
PF08687	0.845976451522192	Apx/Shroom domain ASD2
PF01275	0.843153267792033	Myelin proteolipid protein (PLP or lipophilin)
PF05110	0.842226267332694	AF-4 proto-oncoprotein
PF02828	0.841756393628229	L27 domain
PF08736	0.841209828143485	FERM adjacent (FA)
PF01421	0.841118733896028	Reprolysin (M12B) family zinc metalloprotease
PF11971	0.840725529694218	CAMSAP CH domain
PF10034	0.840279566368081	Q-cell neuroblast polarisation
PF00055	0.840116697173999	Laminin N-terminal (Domain VI)
PF02188	0.840116697173999	GoLoco motif
PF11461	0.840094166276213	Rab interacting lysosomal protein
PF00167	0.839570131689256	Fibroblast growth factor
PF14061	0.839207893697523	Polycomb-like MTF2 factor 2
PF01390	0.839182320945668	SEA domain
PF09727	0.837635638376267	Cortactin-binding protein-2
PF05986	0.837019492760454	ADAM-TS Spacer 1
PF15706	0.837002259047501	Mature oligodendrocyte transmembrane protein, TMEM132D, C-term
PF00418	0.83647886448479	Tau and MAP protein, tubulin-binding repeat
PF01186	0.836416518622804	Lysyl oxidase
PF12496	0.835692608041137	Bcl2-/adenovirus E1B nineteen kDa-interacting protein 2
PF01839	0.835553431707955	FG-GAP repeat
PF02078	0.835386102931814	Synapsin, N-terminal domain
PF03520	0.835313480170867	KCNQ voltage-gated potassium channel
PF11933	0.835178837959651	Cytoplasmic domain of voltage-gated Na+ ion channel
PF16526	0.834824058009456	C-terminal leucine zipper domain of cyclic nucleotide-gated channels
PF00868	0.83473038385573	Transglutaminase family
PF12026	0.834624863566112	Domain of unknown function (DUF3513)
PF14722	0.834187763036238	Ki-ras-induced actin-interacting protein-IP3R-interacting domain
PF01437	0.833742721798552	Plexin repeat
PF00554	0.833606294011013	Rel homology DNA-binding domain
PF06345	0.833256637922676	DRF Autoregulatory Domain
PF03826	0.833160596355373	OAR domain
PF08516	0.83228259189268	ADAM cysteine-rich
PF08412	0.831759156387093	Ion transport protein N-terminal
PF12075	0.831710075727707	KN motif
PF12605	0.831431848143915	Casein kinase 1 gamma C terminal
PF00049	0.831194961866557	Insulin/IGF/Relaxin family
PF00341	0.831194961866557	PDGF/VEGF domain
PF11601	0.831194961866557	Shal-type voltage-gated potassium channels, N-terminal
PF09457	0.830732635761581	FIP domain
PF01562	0.830732171415339	Reprolysin family propeptide
PF10515	0.830453361499085	beta-amyloid precursor protein C-terminus
PF01586	0.830421678327271	Myogenic Basic domain
PF16493	0.830267961407217	N-terminal of Homeobox Meis and PKNOX1
PF00096	0.830246418423303	Zinc finger, C2H2 type
PF02318	0.82986281933082	FYVE-type zinc finger
PF16564	0.829607058365154	p55-binding region of Methyl-CpG-binding domain proteins MBD
PF07531	0.82936757597405	NHR1 homology to TAF
PF00094	0.829003198984221	von Willebrand factor type D domain
PF02377	0.828360541402336	Dishevelled specific domain
PF16519	0.828193259631919	Tetramerisation domain of TRPM
PF01835	0.828135860350737	MG2 domain
PF17217	0.828062659651967	UPA domain
PF00473	0.827721791145111	Corticotropin-releasing factor family
PF05672	0.826725811346057	MAP7 (E-MAP-115) family
PF12140	0.826533728211451	SLED domain
PF08826	0.82635827114128	DMPK coiled coil domain like
PF06461	0.825956726744489	Domain of Unknown Function (DUF1086)
PF09596	0.825765395673025	MamL-1 domain
