ID	CC	annotation
PF00002	27.3586166031659	7 transmembrane receptor (Secretin family)
PF00003	53.7939950407016	7 transmembrane sweet-taste receptor of 3 GCPR
PF00004	18.9844930300958	ATPase family associated with various cellular activities (AAA)
PF00005	54.8213506565177	ABC transporter
PF00006	2.25939771814979	ATP synthase alpha/beta family, nucleotide-binding domain
PF00007	5.5713771997989	Cystine-knot domain
PF00008	215.033531134554	EGF-like domain
PF00009	4.28838476613736	Elongation factor Tu GTP binding domain
PF00010	46.8032988205725	Helix-loop-helix DNA-binding domain
PF00011	7.5302641420325	Hsp20/alpha crystallin family
PF00012	5.83868511759617	Hsp70 protein
PF00013	32.8616835220358	KH domain
PF00014	30.9200779350925	Kunitz/Bovine pancreatic trypsin inhibitor domain
PF00015	0.640121939602898	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016	0.949325819829589	Ribulose bisphosphate carboxylase large chain, catalytic domain
PF00017	48.6414332065806	SH2 domain
PF00018	48.0788732062274	SH3 domain
PF00019	17.4108880988376	Transforming growth factor beta like domain
PF00020	16.4468471290945	TNFR/NGFR cysteine-rich region
PF00021	12.9808019595168	u-PAR/Ly-6 domain
PF00022	11.1618907393886	Actin
PF00023	27.3423864642605	Ankyrin repeat
PF00024	16.2754491152299	PAN domain
PF00025	10.8605349551574	ADP-ribosylation factor family
PF00026	7.23962672531887	Eukaryotic aspartyl protease
PF00027	32.459186380558	Cyclic nucleotide-binding domain
PF00028	306.224744105435	Cadherin domain
PF00029	13.8742171829269	Connexin
PF00030	37.9535820476	Beta/Gamma crystallin
PF00031	9.73897124832031	Cystatin domain
PF00032	1.01392740395346	Cytochrome b(C-terminal)/b6/petD
PF00033	1.76345005530664	Cytochrome b/b6/petB
PF00034	1.71613576130198	Cytochrome c
PF00035	12.5676219688221	Double-stranded RNA binding motif
PF00036	6.01897406378261	EF hand
PF00037	0.969661746403881	4Fe-4S binding domain
PF00038	30.302821248355	Intermediate filament protein
PF00039	7.69597614214648	Fibronectin type I domain
PF00040	10.1658203033019	Fibronectin type II domain
PF00041	244.748743737278	Fibronectin type III domain
PF00042	8.05143526062885	Globin
PF00043	8.69826167102146	Glutathione S-transferase, C-terminal domain
PF00044	2.35998139719828	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00045	35.5754437094178	Hemopexin
PF00046	99.9468883347795	Homeobox domain
PF00047	26.1379081776342	Immunoglobulin domain
PF00048	17.9370851698442	Small cytokines (intecrine/chemokine), interleukin-8 like
PF00049	3.95724097036824	Insulin/IGF/Relaxin family
PF00050	13.2655798876678	Kazal-type serine protease inhibitor domain
PF00051	39.9417563764918	Kringle domain
PF00052	4.72332045255888	Laminin B (Domain IV)
PF00053	93.7133342934198	Laminin EGF domain
PF00054	10.0072534669219	Laminin G domain
PF00055	7.71283377741597	Laminin N-terminal (Domain VI)
PF00056	2.5155613251296	lactate/malate dehydrogenase, NAD binding domain
PF00057	126.966132415254	Low-density lipoprotein receptor domain class A
PF00058	49.4975239587677	Low-density lipoprotein receptor repeat class B
PF00059	133.395793805045	Lectin C-type domain
PF00060	23.3920457608574	Ligand-gated ion channel
PF00061	16.9793992826602	Lipocalin / cytosolic fatty-acid binding protein family
PF00062	4.46408431601463	C-type lysozyme/alpha-lactalbumin family
PF00063	24.4058419635795	Myosin head (motor domain)
PF00066	6.11156440792332	LNR domain
PF00067	67.6440107853012	Cytochrome P450
PF00068	4.37634996594082	Phospholipase A2
PF00069	180.037340300392	Protein kinase domain
PF00070	0.218084789955091	Pyridine nucleotide-disulphide oxidoreductase
PF00071	52.515619047122	Ras family
PF00072	10.8832496043792	Response regulator receiver domain
PF00074	6.29604986498988	Pancreatic ribonuclease
PF00075	8.26253666830725	RNase H
PF00076	106.250205164795	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00077	7.1137105682464	Retroviral aspartyl protease
PF00078	23.2583056237509	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079	18.2883076068277	Serpin (serine protease inhibitor)
PF00080	3.55325340443059	Copper/zinc superoxide dismutase (SODC)
PF00081	1.35115127061982	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082	12.8475583710509	Subtilase family
PF00083	25.3361787019967	Sugar (and other) transporter
PF00084	179.927654838298	Sushi repeat (SCR repeat)
PF00085	14.6419877365762	Thioredoxin
PF00086	14.7656902905383	Thyroglobulin type-1 repeat
PF00087	1.39248856018421	Snake toxin and toxin-like protein
PF00088	9.35277446771291	Trefoil (P-type) domain
PF00089	86.1794285339548	Trypsin
PF00090	139.332428421226	Thrombospondin type 1 domain
PF00091	8.24243925534479	Tubulin/FtsZ family, GTPase domain
PF00092	56.2766468049559	von Willebrand factor type A domain
PF00093	25.266964839393	von Willebrand factor type C domain
PF00094	32.0944110323308	von Willebrand factor type D domain
PF00095	10.9745270468681	WAP-type (Whey Acidic Protein) 'four-disulfide core'
PF00096	2213.51822401551	Zinc finger, C2H2 type
PF00097	10.6169445790737	Zinc finger, C3HC4 type (RING finger)
PF00098	21.7326044817683	Zinc knuckle
PF00100	16.5576597851561	Zona pellucida-like domain
PF00101	1.5507669227774	Ribulose bisphosphate carboxylase, small chain
PF00102	32.1364089544523	Protein-tyrosine phosphatase
PF00103	6.69655899989124	Somatotropin hormone family
PF00104	53.9525310783108	Ligand-binding domain of nuclear hormone receptor
PF00105	56.4945173251784	Zinc finger, C4 type (two domains)
PF00106	23.7694977732018	short chain dehydrogenase
PF00107	11.3542728606953	Zinc-binding dehydrogenase
PF00108	2.02333942753666	Thiolase, N-terminal domain
PF00109	8.69131890970777	Beta-ketoacyl synthase, N-terminal domain
PF00110	9.69649169645971	wnt family
PF00111	3.85689120355988	2Fe-2S iron-sulfur cluster binding domain
PF00112	14.7034092612033	Papain family cysteine protease
PF00113	1.76759447948404	Enolase, C-terminal TIM barrel domain
PF00115	0.833739738299376	Cytochrome C and Quinol oxidase polypeptide I
PF00116	0.546608166610121	Cytochrome C oxidase subunit II, periplasmic domain
PF00117	3.42088278436871	Glutamine amidotransferase class-I
PF00118	4.28226632497896	TCP-1/cpn60 chaperonin family
PF00119	1.11803398874989	ATP synthase A chain
PF00120	1.30617669592426	Glutamine synthetase, catalytic domain
PF00121	0.868837181973981	Triosephosphate isomerase
PF00122	12.6745375631233	E1-E2 ATPase
PF00123	4.79061582680139	Peptide hormone
PF00124	0.928544625718775	Photosynthetic reaction centre protein
PF00125	37.1762775134372	Core histone H2A/H2B/H3/H4
PF00126	0.803194840135015	Bacterial regulatory helix-turn-helix protein, lysR family
PF00127	0.60081245805667	Copper binding proteins, plastocyanin/azurin family
PF00128	3.8663652812176	Alpha amylase, catalytic domain
PF00129	11.1724836202119	Class I Histocompatibility antigen, domains alpha 1 and 2
PF00130	26.9463559235934	Phorbol esters/diacylglycerol binding domain (C1 domain)
PF00131	2.9728445768403	Metallothionein
PF00132	4.57924799449887	Bacterial transferase hexapeptide (six repeats)
