ann_term	q_val	annotation
GO:0042136	1	neurotransmitter biosynthetic process
GO:0000123	1	histone acetyltransferase complex
GO:0005388	1	calcium-transporting ATPase activity
GO:0008174	1	mRNA methyltransferase activity
GO:0008830	1	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0033108	0.99317584121294	mitochondrial respiratory chain complex assembly
GO:0008446	0.99317584121294	GDP-mannose 4,6-dehydratase activity
GO:0002790	0.99317584121294	peptide secretion
GO:0009306	0.99317584121294	protein secretion
GO:0009698	0.987267734991311	phenylpropanoid metabolic process
GO:0009737	0.987267734991311	response to abscisic acid
GO:0009738	0.987267734991311	abscisic acid-activated signaling pathway
GO:0009791	0.987267734991311	post-embryonic development
GO:0009808	0.987267734991311	lignin metabolic process
GO:0046271	0.987267734991311	phenylpropanoid catabolic process
GO:0046274	0.987267734991311	lignin catabolic process
GO:0071973	0.987267734991311	bacterial-type flagellum-dependent cell motility
GO:0071215	0.987267734991311	cellular response to abscisic acid stimulus
GO:0097588	0.987267734991311	archaeal or bacterial-type flagellum-dependent cell motility
GO:0010427	0.987267734991311	abscisic acid binding
GO:0019139	0.987267734991311	cytokinin dehydrogenase activity
GO:0052716	0.987267734991311	hydroquinone:oxygen oxidoreductase activity
GO:0000280	0.987267734991311	nuclear division
GO:0044085	0.987267734991311	cellular component biogenesis
GO:0005215	0.987267734991311	transporter activity
GO:0019213	0.987267734991311	deacetylase activity
GO:0007091	0.987267734991311	metaphase/anaphase transition of mitotic cell cycle
GO:0010965	0.987267734991311	regulation of mitotic sister chromatid separation
GO:0030071	0.987267734991311	regulation of mitotic metaphase/anaphase transition
GO:0033045	0.987267734991311	regulation of sister chromatid segregation
GO:0033047	0.987267734991311	regulation of mitotic sister chromatid segregation
GO:0044784	0.987267734991311	metaphase/anaphase transition of cell cycle
GO:0051306	0.987267734991311	mitotic sister chromatid separation
GO:0051983	0.987267734991311	regulation of chromosome segregation
GO:1902099	0.987267734991311	regulation of metaphase/anaphase transition of cell cycle
GO:1905818	0.987267734991311	regulation of chromosome separation
GO:0006625	0.987267734991311	protein targeting to peroxisome
GO:0043574	0.987267734991311	peroxisomal transport
GO:0072662	0.987267734991311	protein localization to peroxisome
GO:0072663	0.987267734991311	establishment of protein localization to peroxisome
GO:0006788	0.987267734991311	heme oxidation
