ann_term	q_val	annotation
GO:0005743	0.999534355864043	mitochondrial inner membrane
GO:0043649	0.995491358802288	dicarboxylic acid catabolic process
GO:0043226	0.991495126776628	organelle
GO:0007271	0.991495126776628	synaptic transmission, cholinergic
GO:0043229	0.990478820226091	intracellular organelle
GO:0000380	0.990412693532191	alternative mRNA splicing, via spliceosome
GO:0001700	0.990412693532191	embryonic development via the syncytial blastoderm
GO:0002065	0.990412693532191	columnar/cuboidal epithelial cell differentiation
GO:0002066	0.990412693532191	columnar/cuboidal epithelial cell development
GO:0007289	0.990412693532191	spermatid nucleus differentiation
GO:0007291	0.990412693532191	sperm individualization
GO:0007292	0.990412693532191	female gamete generation
GO:0007304	0.990412693532191	chorion-containing eggshell formation
GO:0007617	0.990412693532191	mating behavior
GO:0009792	0.990412693532191	embryo development ending in birth or egg hatching
GO:0030703	0.990412693532191	eggshell formation
GO:0030707	0.990412693532191	ovarian follicle cell development
GO:0035092	0.990412693532191	sperm chromatin condensation
GO:0045924	0.990412693532191	regulation of female receptivity
GO:0046008	0.990412693532191	regulation of female receptivity, post-mating
GO:0048477	0.990412693532191	oogenesis
GO:0060180	0.990412693532191	female mating behavior
GO:0005213	0.990412693532191	structural constituent of chorion
GO:0006928	0.990412693532191	movement of cell or subcellular component
GO:0044422	0.990412693532191	organelle part
GO:0009628	0.990412693532191	response to abiotic stimulus
GO:1902652	0.987982905468659	secondary alcohol metabolic process
GO:0032988	0.987602653913312	ribonucleoprotein complex disassembly
GO:0000334	0.984806421507682	3-hydroxyanthranilate 3,4-dioxygenase activity
GO:0016755	0.983434748712851	transferase activity, transferring amino-acyl groups
GO:0043227	0.979652312153574	membrane-bounded organelle
GO:0008970	0.977635995641859	phospholipase A1 activity
GO:0050912	0.977242841643403	detection of chemical stimulus involved in sensory perception of taste
GO:0009593	0.977242841643403	detection of chemical stimulus
GO:0050907	0.977242841643403	detection of chemical stimulus involved in sensory perception
GO:0008527	0.977242841643403	taste receptor activity
GO:0099516	0.975907922509423	ion antiporter activity
GO:0044446	0.974651827866336	intracellular organelle part
GO:0030215	0.97339102320977	semaphorin receptor binding
GO:0006729	0.97339102320977	tetrahydrobiopterin biosynthetic process
GO:0034311	0.97339102320977	diol metabolic process
GO:0034312	0.97339102320977	diol biosynthetic process
GO:0046146	0.97339102320977	tetrahydrobiopterin metabolic process
GO:0030431	0.97339102320977	sleep
GO:0032222	0.97339102320977	regulation of synaptic transmission, cholinergic
GO:0043266	0.97339102320977	regulation of potassium ion transport
GO:0043268	0.97339102320977	positive regulation of potassium ion transport
GO:0050804	0.97339102320977	modulation of chemical synaptic transmission
GO:0099177	0.97339102320977	regulation of trans-synaptic signaling
GO:1901016	0.97339102320977	regulation of potassium ion transmembrane transporter activity
GO:1901018	0.97339102320977	positive regulation of potassium ion transmembrane transporter activity
GO:1901379	0.97339102320977	regulation of potassium ion transmembrane transport
GO:1901381	0.97339102320977	positive regulation of potassium ion transmembrane transport
