ann_term	CC	annotation
GO:0048731	0.919283600742126	system development
GO:0007275	0.916880407291771	multicellular organism development
GO:0048856	0.916445715992823	anatomical structure development
GO:0048018	0.914425775288679	receptor ligand activity
GO:0030545	0.914425775288679	receptor regulator activity
GO:0032502	0.913360247957024	developmental process
GO:0009888	0.900411893798729	tissue development
GO:0048513	0.897563965390612	animal organ development
GO:0009611	0.892108981731426	response to wounding
GO:0008083	0.891904281177208	growth factor activity
GO:0008091	0.882340624726541	spectrin
GO:0010942	0.882142697106523	positive regulation of cell death
GO:0043065	0.882142697106523	positive regulation of apoptotic process
GO:0043068	0.882142697106523	positive regulation of programmed cell death
GO:0005576	0.878741296595367	extracellular region
GO:0004890	0.877744233264827	GABA-A receptor activity
GO:0016917	0.8762787171466	GABA receptor activity
GO:0099528	0.874740629458728	G protein-coupled neurotransmitter receptor activity
GO:0008283	0.873298602281941	cell proliferation
GO:0051240	0.873038230576839	positive regulation of multicellular organismal process
GO:0008227	0.87243191050608	G protein-coupled amine receptor activity
GO:0015296	0.868211489053617	anion:cation symporter activity
GO:0023061	0.867484655607551	signal release
GO:0004860	0.867190456463737	protein kinase inhibitor activity
GO:0019210	0.867190456463737	kinase inhibitor activity
GO:0045995	0.86689857027256	regulation of embryonic development
GO:0007269	0.865571717046786	neurotransmitter secretion
GO:0099643	0.865571717046786	signal release from synapse
GO:0030141	0.864610262616455	secretory granule
GO:0005126	0.862356314023437	cytokine receptor binding
GO:0031012	0.860195493302431	extracellular matrix
GO:0002682	0.858676798142829	regulation of immune system process
GO:0007399	0.858625909358858	nervous system development
GO:0050776	0.85795758358564	regulation of immune response
GO:0015377	0.857901775934564	cation:chloride symporter activity
GO:0070840	0.857794125731733	dynein complex binding
GO:0030522	0.856810333074464	intracellular receptor signaling pathway
GO:0008373	0.855898014626415	sialyltransferase activity
GO:0004715	0.855832631484852	non-membrane spanning protein tyrosine kinase activity
GO:0005164	0.855361805277351	tumor necrosis factor receptor binding
GO:0032813	0.855361805277351	tumor necrosis factor receptor superfamily binding
GO:0016477	0.854551277926984	cell migration
GO:0030334	0.853448547418045	regulation of cell migration
GO:0005125	0.851700730965846	cytokine activity
GO:0045087	0.851372819401219	innate immune response
GO:0048584	0.851138099625399	positive regulation of response to stimulus
GO:0006955	0.850014649761553	immune response
GO:0007187	0.848405036068904	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
GO:0007188	0.848405036068904	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
GO:0015464	0.848367296531265	acetylcholine receptor activity
GO:0016907	0.848367296531265	G protein-coupled acetylcholine receptor activity
GO:0002376	0.848079819440487	immune system process
GO:0015379	0.846921639729111	potassium:chloride symporter activity
GO:1903522	0.84673689327772	regulation of blood circulation
GO:0051239	0.845253732089732	regulation of multicellular organismal process
GO:0007229	0.845252044745583	integrin-mediated signaling pathway
GO:0004896	0.844754274516734	cytokine receptor activity
GO:0006869	0.844554310758721	lipid transport
GO:0044057	0.844384846351948	regulation of system process
GO:0016604	0.843894568049215	nuclear body
GO:0016607	0.843894568049215	nuclear speck
