ann_term	CC	annotation
PF15282	4.36729327134898e-08	BMP-2-inducible protein kinase C-terminus
PF00859	1.56992708551185e-06	CTF/NF-I family transcription modulation region
PF12016	1.73412780874129e-06	Stonin 2
PF13908	3.18327832076869e-06	Wnt and FGF inhibitory regulator
PF11414	3.75016097032851e-06	Adenomatous polyposis coli tumour suppressor protein
PF08504	7.43326938882884e-06	Runx inhibition domain
PF08383	1.58028145805911e-05	Maf N-terminal region
PF14946	2.05542163502642e-05	Domain of unknown function (DUF4501)
PF17695	3.56605706951824e-05	Family of unknown function (DUF5541)
PF06008	3.60619805099539e-05	Laminin Domain I
PF15298	5.43340363168458e-05	AJAP1/PANP C-terminus
PF16665	5.51903182089243e-05	Unstructured region on nuclear receptor coactivator protein
PF05760	5.63047161257206e-05	Immediate early response protein (IER)
PF14161	5.99682291483133e-05	Centrosome-associated N terminus
PF00123	7.71097411498669e-05	Peptide hormone
PF00045	8.87630268312331e-05	Hemopexin
PF13916	9.05324917293294e-05	PP1-regulatory protein, Phostensin N-terminal
PF09047	0.000114173440576977	MEF2 binding
PF12185	0.000114173440576977	Nup358/RanBP2 E3 ligase domain
PF14919	0.000114173440576977	MDM2-binding
PF18440	0.000114173440576977	Putative GlcNAc-1 phosphotransferase regulatory domain
PF14160	0.000125893504570574	Centrosome-associated C terminus
PF07525	0.000148553901105661	SOCS box
PF15706	0.000166153916429277	Mature oligodendrocyte transmembrane protein, TMEM132D, C-term
PF18411	0.00017047708339854	Annexin-like domain
PF18696	0.00017047708339854	Synaptotagmin-like, mitochondrial and lipid-binding domain
PF12284	0.000194854429990708	Hox protein A13 N terminal
PF14981	0.000200375590415015	FAM165 family
PF01463	0.000227971515515295	Leucine rich repeat C-terminal domain
PF01271	0.00023447030441142	Granin (chromogranin or secretogranin)
PF08832	0.000244652489170093	Steroid receptor coactivator
PF03826	0.000254841812863963	OAR domain
PF06512	0.000262919910675002	Sodium ion transport-associated
PF11628	0.000284726843267989	T-cell surface glycoprotein CD3 zeta chain
PF15342	0.000287718398412622	FAM212 family
PF18162	0.000319650138643898	Arc C-lobe
PF00969	0.00035907016868081	Class II histocompatibility antigen, beta domain
PF16218	0.000364294840880944	Peptidase family C101
PF03700	0.000394101122306773	Sorting nexin, N-terminal domain
PF06009	0.000429417616600403	Laminin Domain II
PF00193	0.000457299331463369	Extracellular link domain
PF18606	0.000482326422254953	Zap  helix turn helix N-terminal domain
PF16920	0.000508413759090686	Tyrosine-protein kinase receptor C2 Ig-like domain
PF02038	0.000509767997704446	ATP1G1/PLM/MAT8 family
PF05604	0.000514550619925111	Protein of unknown function (DUF776)
PF08081	0.000529364805507843	RBM1CTR (NUC064) family
PF09596	0.000537951690697282	MamL-1 domain
PF15235	0.000596902000345871	G protein-regulated inducer of neurite outgrowth C-terminus
PF00688	0.000608878489155112	TGF-beta propeptide
PF15147	0.000627419724895024	Domain of unknown function (DUF4578)
PF04089	0.000629506613773483	BRICHOS domain
PF18861	0.000635437273747971	Transmembrane domain of protein tyrosine phosphatase, receptor type J
PF05986	0.000660735903187543	ADAM-TS Spacer 1
PF08686	0.000665932033675596	PLAC (protease and lacunin) domain
PF00038	0.000717173387991483	Intermediate filament protein
PF06789	0.000750991095548003	Uncharacterised protein family (UPF0258)
PF12598	0.000750991095548003	T-box transcription factor
PF00157	0.000777370557876171	Pou domain - N-terminal to homeobox domain
PF10541	0.000793818865829	Nuclear envelope localisation domain
PF10581	0.00085317172513309	Synapsin N-terminal
PF00993	0.000859837932497469	Class II histocompatibility antigen, alpha domain
PF11057	0.000910329701049852	Cortexin of kidney
PF04272	0.000934178961220125	Phospholamban
PF06959	0.000934178961220125	RecQ helicase protein-like 5 (RecQ5)
PF07941	0.000934178961220125	Potassium channel Kv1.4 tandem inactivation domain
PF07988	0.000934178961220125	LMSTEN motif
PF08157	0.000934178961220125	NUC129 domain
PF08384	0.000934178961220125	Pro-opiomelanocortin, N-terminal region
