ann_term	q_val	annotation
PF00908	1	dTDP-4-dehydrorhamnose 3,5-epimerase
PF01753	1	MYND finger
PF10587	1	Eukaryotic elongation factor 1 beta central acidic region
PF06839	0.992741170526178	GRF zinc finger
PF01161	0.992741170526178	Phosphatidylethanolamine-binding protein
PF08385	0.992741170526178	Dynein heavy chain, N-terminal region 1
PF08246	0.992741170526178	Cathepsin propeptide inhibitor domain (I29)
PF09066	0.992741170526178	Beta2-adaptin appendage, C-terminal sub-domain
PF06333	0.992741170526178	Mediator complex subunit 13 C-terminal domain
PF16579	0.992741170526178	Adenylate sensor of SNF1-like protein kinase
PF06209	0.992741170526178	Cofactor of BRCA1 (COBRA1)
PF11798	0.992741170526178	IMS family HHH motif
PF07498	0.988236265342199	Rho termination factor, N-terminal domain
PF09112	0.988236265342199	Peptide-N-glycosidase F, N terminal
PF01348	0.987356383415944	Type II intron maturase
PF03087	0.987356383415944	Arabidopsis protein of unknown function
PF03514	0.987356383415944	GRAS domain family
PF06830	0.987356383415944	Root cap
PF08879	0.987356383415944	WRC
PF09265	0.987356383415944	Cytokinin dehydrogenase 1, FAD and cytokinin binding
PF11961	0.987356383415944	Domain of unknown function (DUF3475)
PF13710	0.987356383415944	ACT domain
PF13947	0.987356383415944	Wall-associated receptor kinase galacturonan-binding
PF17170	0.987356383415944	6-bladed beta-propeller
PF01055	0.987291478119051	Glycosyl hydrolases family 31
PF01603	0.987291478119051	Protein phosphatase 2A regulatory B subunit (B56 family)
PF13424	0.987291478119051	Tetratricopeptide repeat
PF03820	0.987291478119051	Tricarboxylate carrier
PF16884	0.987291478119051	N-terminal domain of oxidoreductase
PF17677	0.987291478119051	Glycosyl hydrolases family 38 C-terminal beta sandwich domain
PF01130	0.987291478119051	CD36 family
PF17102	0.987291478119051	Stealth protein CR3, conserved region 3
PF07893	0.987291478119051	Protein of unknown function (DUF1668)
PF12617	0.987291478119051	Iron-Sulfur binding protein C terminal
PF13952	0.987291478119051	Domain of unknown function (DUF4216)
PF14186	0.987291478119051	Cytoskeletal adhesion
PF14644	0.987291478119051	Domain of unknown function (DUF4456)
PF00161	0.985972302533406	Ribosome inactivating protein
PF00228	0.985972302533406	Bowman-Birk serine protease inhibitor family
PF02326	0.985972302533406	Plant ATP synthase F0
PF02788	0.985972302533406	Ribulose bisphosphate carboxylase large chain, N-terminal domain
PF03017	0.985972302533406	TNP1/EN/SPM transposase
PF06533	0.985972302533406	Protein of unknown function (DUF1110)
PF07762	0.985972302533406	Protein of unknown function (DUF1618)
PF08224	0.985972302533406	Domain of unknown function (DUF1719)
PF12274	0.985972302533406	Protein of unknown function (DUF3615)
PF12442	0.985972302533406	Protein of unknown function (DUF3681)
PF13016	0.985972302533406	Cys-rich Gliadin N-terminal
PF01523	0.983313739179379	Putative modulator of DNA gyrase
PF03971	0.983313739179379	Monomeric isocitrate dehydrogenase
PF11958	0.983313739179379	Domain of unknown function (DUF3472)
PF16871	0.983313739179379	Domain of unknown function (DUF5077)
PF14791	0.982455278679739	DNA polymerase beta thumb
PF14675	0.982343860728085	FANCI solenoid 1
PF14678	0.982343860728085	FANCI solenoid 4
PF13738	0.982303507414377	Pyridine nucleotide-disulphide oxidoreductase
PF06918	0.979646651076625	Protein of unknown function (DUF1280)
PF00027	0.97542418239248	Cyclic nucleotide-binding domain
PF13359	0.975353054709459	DDE superfamily endonuclease
PF04118	0.975252330130628	Dopey, N-terminal
PF14647	0.975252330130628	FAM91 N-terminus
PF11380	0.975130051322246	Stealth protein CR2, conserved region 2
PF02033	0.975089149563747	Ribosome-binding factor A
PF13092	0.975028805004782	Kinetochore complex Sim4 subunit Fta1
PF09333	0.968505703435722	Autophagy-related protein C terminal domain
PF16076	0.968505703435722	Acyltransferase C-terminus
PF01223	0.968505703435722	DNA/RNA non-specific endonuclease
PF01080	0.968505703435722	Presenilin
PF05029	0.968505703435722	Timeless protein C terminal region
PF09169	0.967973120189902	BRCA2, helical
PF02183	0.967973120189902	Homeobox associated leucine zipper
PF12204	0.967973120189902	Domain of unknown function (DUF3598)
PF14244	0.967973120189902	gag-polypeptide of LTR copia-type
PF09346	0.967942722306714	SMI1 / KNR4 family (SUKH-1)
PF15490	0.96778559271889	Telomere-capping, CST complex subunit
PF15938	0.967271887268809	Domain of unknown function (DUF4750)
PF02838	0.965334021180755	Glycosyl hydrolase family 20, domain 2
PF04674	0.965334021180755	Phosphate-induced protein 1 conserved region
PF05003	0.965334021180755	Protein of unknown function (DUF668)
PF05056	0.965334021180755	Protein of unknown function (DUF674)
PF05910	0.965334021180755	Plant protein of unknown function (DUF868)
PF13962	0.965334021180755	Domain of unknown function
PF13968	0.965334021180755	Domain of unknown function (DUF4220)
PF16719	0.965334021180755	SAWADEE domain
PF03416	0.962893714699416	Peptidase family C54
PF15511	0.962893714699416	Centromere kinetochore component CENP-T histone fold
PF16910	0.962893714699416	Repeating coiled region of VPS13
PF08614	0.962893714699416	Autophagy protein 16 (ATG16)
PF01869	0.962730735176634	BadF/BadG/BcrA/BcrD ATPase family
PF14727	0.962691167801848	PTHB1 N-terminus
PF05241	0.962629419071896	Emopamil binding protein
PF02496	0.96233234916927	ABA/WDS induced protein
PF11805	0.96233234916927	Protein of unknown function (DUF3326)
PF13963	0.96233234916927	Transposase-associated domain
PF16977	0.96233234916927	C-terminal domain of apextrin
PF16531	0.96233234916927	Centriolar protein SAS N-terminal
PF10384	0.961677109833935	Centromere protein Scm3
PF14372	0.960938179601303	Domain of unknown function (DUF4413)
PF00324	0.956636864546109	Amino acid permease
PF06027	0.956636864546109	Solute carrier family 35
PF16594	0.956548181698868	Putative AtpZ or ATP-synthase-associated
PF12832	0.956438466761819	MFS_1 like family
PF10156	0.956398756563224	Subunit 17 of Mediator complex
PF10558	0.956335464220452	Mitochondrial 18 KDa protein (MTP18)
PF15901	0.956335464220452	Sortilin, neurotensin receptor 3, C-terminal
PF00891	0.956335464220452	O-methyltransferase domain
PF10224	0.956335464220452	Short coiled-coil protein
PF05427	0.956078321271764	Acidic fibroblast growth factor binding (FIBP)
PF13598	0.954333267129637	Domain of unknown function (DUF4139)
PF13600	0.954333267129637	N-terminal domain of unknown function (DUF4140)
PF16401	0.951765713680118	Domain of unknown function (DUF5009)
PF00367	0.950663246260102	phosphotransferase system, EIIB
PF03860	0.950663246260102	Domain of Unknown Function (DUF326)
PF04236	0.950663246260102	Tc5 transposase C-terminal domain
PF04747	0.950663246260102	Protein of unknown function, DUF612
PF04986	0.950663246260102	Putative transposase
PF05393	0.950663246260102	Human adenovirus early E3A glycoprotein
PF05671	0.950663246260102	GETHR pentapeptide repeat (5 copies)
PF06779	0.950663246260102	Uncharacterised MFS-type transporter YbfB
PF07245	0.950663246260102	Phlebovirus glycoprotein G2
PF07271	0.950663246260102	Cytadhesin P30/P32
PF07652	0.950663246260102	Flavivirus DEAD domain
PF12760	0.950663246260102	Transposase zinc-ribbon domain
PF12802	0.950663246260102	MarR family
PF02225	0.950663246260102	PA domain
PF02862	0.950663246260102	DDHD domain
PF04707	0.950663246260102	PRELI-like family
PF05719	0.950663246260102	Golgi phosphoprotein 3 (GPP34)
PF12317	0.950663246260102	Intraflagellar transport complex B protein 46 C terminal
PF10716	0.950398338318787	NADH dehydrogenase transmembrane subunit
PF17238	0.950398338318787	Family of unknown function (DUF5311)
PF17886	0.950398338318787	HSP20-like domain found in ArsA
PF15305	0.950398338318787	Intraflagellar transport protein 43
PF00126	0.948429934727329	Bacterial regulatory helix-turn-helix protein, lysR family
PF00421	0.948429934727329	Photosystem II protein
PF00486	0.948429934727329	Transcriptional regulatory protein, C terminal
PF00691	0.948429934727329	OmpA family
PF02504	0.948429934727329	Fatty acid synthesis protein
PF04231	0.948429934727329	Endonuclease I
PF04386	0.948429934727329	Stringent starvation protein B
PF04481	0.948429934727329	Protein of unknown function (DUF561)
PF05491	0.948429934727329	RuvB C-terminal winged helix domain
PF07197	0.948429934727329	Protein of unknown function (DUF1409)
PF13437	0.948429934727329	HlyD family secretion protein
PF14861	0.948429934727329	Plant antimicrobial peptide
PF17864	0.948429934727329	RuvB AAA lid domain
PF01697	0.948006128761313	Glycosyltransferase family 92
PF18199	0.945807920106818	Dynein heavy chain C-terminal domain
PF18140	0.944403760448516	Propionyl-coenzyme A carboxylase BT domain
PF00954	0.944155084281432	S-locus glycoprotein domain
PF01453	0.944155084281432	D-mannose binding lectin
PF02576	0.944155084281432	RimP N-terminal domain
PF03004	0.944155084281432	Plant transposase (Ptta/En/Spm family)
PF03018	0.944155084281432	Dirigent-like protein
PF03140	0.944155084281432	Plant protein of unknown function
PF03168	0.944155084281432	Late embryogenesis abundant protein
PF03181	0.944155084281432	BURP domain
PF03760	0.944155084281432	Late embryogenesis abundant (LEA) group 1
PF03791	0.944155084281432	KNOX2 domain
PF04398	0.944155084281432	Protein of unknown function, DUF538
PF04578	0.944155084281432	Protein of unknown function, DUF594
PF04844	0.944155084281432	Transcriptional repressor, ovate
PF06200	0.944155084281432	tify domain
PF06507	0.944155084281432	Auxin response factor
PF07797	0.944155084281432	Protein of unknown function (DUF1639)
PF07911	0.944155084281432	Protein of unknown function (DUF1677)
PF08100	0.944155084281432	Dimerisation domain
PF08276	0.944155084281432	PAN-like domain
PF08414	0.944155084281432	Respiratory burst NADPH oxidase
PF10440	0.944155084281432	Ubiquitin-binding WIYLD domain
PF12515	0.944155084281432	Ca2+-ATPase N terminal autoinhibitory domain
PF12609	0.944155084281432	Wound-induced protein
