ann_term	q_val	annotation
PF06495	0.999711754282014	Fruit fly transformer protein
PF07734	0.999711754282014	F-box associated
PF07723	0.999659987591653	Leucine Rich Repeat
PF00379	0.997031841974155	Insect cuticle protein
PF13290	0.996917554264697	Chitobiase/beta-hexosaminidase C-terminal domain
PF15950	0.996690857568038	Putative sperm flagellar membrane protein
PF13349	0.996492398893178	Putative adhesin
PF08806	0.995745641610859	Sep15/SelM redox domain
PF13870	0.995650921656884	Domain of unknown function (DUF4201)
PF01128	0.994377291446386	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PF03107	0.994072985518355	C1 domain
PF12278	0.994046514741728	Sex determination protein N terminal
PF07156	0.993898949296316	Prenylcysteine lyase
PF02791	0.993691453586885	DDT domain
PF16092	0.993357402219613	Domain of unknown function (DUF4821)
PF01607	0.993357402219613	Chitin binding Peritrophin-A domain
PF04968	0.993188898826201	CHORD
PF11901	0.992120749609328	Protein of unknown function (DUF3421)
PF01302	0.992102913062041	CAP-Gly domain
PF13538	0.991774557983211	UvrD-like helicase C-terminal domain
PF17232	0.991774557983211	Elicitor peptide 1-7
PF01469	0.991774557983211	Pentapeptide repeats (8 copies)
PF02448	0.991774557983211	L71 family
PF02756	0.991774557983211	GYR motif
PF02757	0.991774557983211	YLP motif
PF03082	0.991774557983211	Male accessory gland secretory protein
PF03768	0.991774557983211	Attacin, N-terminal region
PF03940	0.991774557983211	Male specific sperm protein
PF04624	0.991774557983211	Dec-1 repeat
PF04625	0.991774557983211	DEC-1 protein, N-terminal region
PF04626	0.991774557983211	Dec-1 protein, C terminal region
PF05306	0.991774557983211	Protein of unknown function (DUF733)
PF05387	0.991774557983211	Chorion family 3
PF05777	0.991774557983211	Drosophila accessory gland-specific peptide 26Ab (Acp26Ab)
PF05836	0.991774557983211	Chorion protein S16
PF06020	0.991774557983211	Drosophila roughex protein
PF06313	0.991774557983211	Drosophila ACP53EA protein
PF06382	0.991774557983211	Protamine and protamine like
PF06740	0.991774557983211	Protein of unknown function (DUF1213)
PF06756	0.991774557983211	Chorion protein S19 C-terminal
PF07054	0.991774557983211	Pericardin like repeat
PF07240	0.991774557983211	Stress-inducible humoral factor Turandot
PF08088	0.991774557983211	Conotoxin I-superfamily
PF08105	0.991774557983211	Metchnikowin family
PF08138	0.991774557983211	Sex peptide (SP) family
PF08194	0.991774557983211	DIM protein
PF10542	0.991774557983211	Vitelline membrane cysteine-rich region
PF10675	0.991774557983211	Protein of unknown function (DUF2489)
PF11078	0.991774557983211	Optomotor-blind protein N-terminal region
PF11619	0.991774557983211	Transcription factor P53 - C terminal domain
PF12302	0.991774557983211	Protein of unknown function (DUF3629)
PF13164	0.991774557983211	Diedel
PF15881	0.991774557983211	Domain of unknown function (DUF4734)
PF15934	0.991774557983211	Yuri gagarin
