ann_term	q_val	annotation
PF08911	0.999343083502197	NUP50 (Nucleoporin 50 kDa)
PF01753	0.998153121977571	MYND finger
PF16910	0.997280320860273	Repeating coiled region of VPS13
PF01485	0.996732192642686	IBR domain, a half RING-finger domain
PF02326	0.995853518979883	Plant ATP synthase F0
PF15901	0.995565756521519	Sortilin, neurotensin receptor 3, C-terminal
PF11958	0.99417467070548	Domain of unknown function (DUF3472)
PF16871	0.99417467070548	Domain of unknown function (DUF5077)
PF17170	0.99417467070548	6-bladed beta-propeller
PF02036	0.994089106057008	SCP-2 sterol transfer family
PF06333	0.99385507468956	Mediator complex subunit 13 C-terminal domain
PF12780	0.993639040063996	P-loop containing dynein motor region D4
PF00067	0.993094678651864	Cytochrome P450
PF05719	0.992445362947076	Golgi phosphoprotein 3 (GPP34)
PF03034	0.992445362947076	Phosphatidyl serine synthase
PF05236	0.991083162983758	Transcription initiation factor TFIID component TAF4 family
PF12971	0.991073785077531	Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain
PF07498	0.990896022172679	Rho termination factor, N-terminal domain
PF16076	0.990896022172679	Acyltransferase C-terminus
PF00161	0.990536335478997	Ribosome inactivating protein
PF00228	0.990536335478997	Bowman-Birk serine protease inhibitor family
PF02788	0.990536335478997	Ribulose bisphosphate carboxylase large chain, N-terminal domain
PF07762	0.990536335478997	Protein of unknown function (DUF1618)
PF12442	0.990536335478997	Protein of unknown function (DUF3681)
PF13016	0.990536335478997	Cys-rich Gliadin N-terminal
PF12832	0.990536335478997	MFS_1 like family
PF18136	0.989514539212484	DNA mitochondrial polymerase exonuclease domain
PF06565	0.987277347743921	DUF1126 PH-like domain
PF12777	0.987217607823388	Microtubule-binding stalk of dynein motor
PF00908	0.987217607823388	dTDP-4-dehydrorhamnose 3,5-epimerase
PF02183	0.986646957676681	Homeobox associated leucine zipper
PF05804	0.986438752984888	Kinesin-associated protein (KAP)
PF14244	0.986291984835962	gag-polypeptide of LTR copia-type
PF03017	0.985864069972559	TNP1/EN/SPM transposase
