ann_term	CC	annotation
PF07303	0.883898799447732	Occludin homology domain
PF11414	0.879044860319982	Adenomatous polyposis coli tumour suppressor protein
PF05986	0.877670600766791	ADAM-TS Spacer 1
PF06009	0.877361253370775	Laminin Domain II
PF08686	0.873947214231238	PLAC (protease and lacunin) domain
PF06512	0.872632300556457	Sodium ion transport-associated
PF01034	0.870416652673689	Syndecan domain
PF07686	0.869693857496143	Immunoglobulin V-set domain
PF07474	0.868471808678962	G2F domain
PF06008	0.86689857027256	Laminin Domain I
PF00880	0.866652940824605	Nebulin repeat
PF02351	0.866353176164058	GDNF/GAS1 domain
PF14160	0.865724191780678	Centrosome-associated C terminus
PF05902	0.865441316170389	4.1 protein C-terminal domain (CTD)
PF16423	0.86458226606708	Transcription factor COE1 helix-loop-helix domain
PF01530	0.863220926481437	Zinc finger, C2HC type
PF07546	0.86227613510588	EMI domain
PF14575	0.860822352344197	Ephrin type-A receptor 2 transmembrane domain
PF01049	0.859766937965844	Cadherin cytoplasmic region
PF00061	0.859691739263024	Lipocalin / cytosolic fatty-acid binding protein family
PF11879	0.859292053048962	Domain of unknown function (DUF3399)
PF12052	0.857764068482005	Voltage gated calcium channel subunit beta domain 4Aa N terminal
PF03520	0.857293621978651	KCNQ voltage-gated potassium channel
PF05210	0.857292658536227	Sprouty protein (Spry)
PF16184	0.856878761749855	Cadherin-like
PF00777	0.855701865201727	Glycosyltransferase family 29 (sialyltransferase)
PF01463	0.85496523505051	Leucine rich repeat C-terminal domain
PF06345	0.854671217739431	DRF Autoregulatory Domain
PF06461	0.85326793148692	Domain of Unknown Function (DUF1086)
PF10534	0.85323014546902	Connector enhancer of kinase suppressor of ras
PF08430	0.852340969599705	Forkhead N-terminal region
PF13912	0.851784821814386	C2H2-type zinc finger
PF02078	0.850598877893111	Synapsin, N-terminal domain
PF16493	0.850004354966079	N-terminal of Homeobox Meis and PKNOX1
PF10524	0.849542611175549	Nuclear factor I protein pre-N-terminus
PF00229	0.848700368376316	TNF(Tumour Necrosis Factor) family
PF00079	0.848159588885403	Serpin (serine protease inhibitor)
PF02191	0.847393049674889	Olfactomedin-like domain
PF16885	0.847141379173831	Voltage-gated calcium channel subunit alpha, C-term
PF07525	0.847091630366516	SOCS box
PF06467	0.846879441576251	MYM-type Zinc finger with FCS sequence motif
PF00007	0.845336342741294	Cystine-knot domain
PF00157	0.844821302848113	Pou domain - N-terminal to homeobox domain
PF10541	0.844497245722253	Nuclear envelope localisation domain
PF00093	0.844432103844958	von Willebrand factor type C domain
PF08736	0.843718572339174	FERM adjacent (FA)
PF14061	0.843492243812389	Polycomb-like MTF2 factor 2
PF09316	0.84341100043491	C-myb, C-terminal
PF10177	0.843002674359179	Uncharacterised conserved protein (DUF2371)
PF13909	0.842172160213303	C2H2-type zinc-finger domain
PF01403	0.841188778818667	Sema domain
PF02793	0.840929312816564	Hormone receptor domain
PF05672	0.83991783482041	MAP7 (E-MAP-115) family
PF18039	0.839648101378489	UBA-like domain
PF04089	0.839321886454154	BRICHOS domain
PF00045	0.839029164103241	Hemopexin
PF01275	0.838908056131796	Myelin proteolipid protein (PLP or lipophilin)
PF00019	0.838594118797635	Transforming growth factor beta like domain
PF09727	0.838503604983076	Cortactin-binding protein-2
PF16564	0.838437162116349	p55-binding region of Methyl-CpG-binding domain proteins MBD
PF18561	0.838022675589802	Endoribonuclease Regnase 1/ ZC3H12 C-terminal domain
PF15705	0.837883218459744	Mature oligodendrocyte transmembrane protein, TMEM132D, N-term
PF02750	0.837669199419077	Synapsin, ATP binding domain
PF00055	0.83697245628449	Laminin N-terminal (Domain VI)
PF12235	0.836831526206124	Fragile X-related 1 protein core C terminal
PF08687	0.836819998033869	Apx/Shroom domain ASD2
PF00927	0.836483276644028	Transglutaminase family, C-terminal ig like domain
PF11601	0.836310095740392	Shal-type voltage-gated potassium channels, N-terminal
PF00418	0.836283968047489	Tau and MAP protein, tubulin-binding repeat
PF14051	0.835433091317292	N-terminal domain of DPF2/REQ.
PF01835	0.834964700074548	MG2 domain
PF18100	0.833406213928849	Phosphodiesterase 4 upstream conserved regions (UCR)
PF02377	0.832307931409994	Dishevelled specific domain
PF09596	0.832012620954874	MamL-1 domain
PF16519	0.831853516205652	Tetramerisation domain of TRPM
PF09738	0.831247403695606	LRRFIP family
PF17960	0.831006896155724	TIG domain
PF10515	0.83087496935843	Beta-amyloid precursor protein C-terminus
PF18020	0.830810138734538	TIG domain found in plexin
PF03826	0.830700080287476	OAR domain
PF02188	0.829966874227703	GoLoco motif
PF15706	0.829871107234383	Mature oligodendrocyte transmembrane protein, TMEM132D, C-term
PF00049	0.829819554980077	Insulin/IGF/Relaxin family
PF00683	0.829732945058867	TB domain
PF00038	0.829281411580711	Intermediate filament protein
PF17902	0.828698627736335	SH3 domain
PF09457	0.828539811216135	FIP domain
PF00167	0.828345211714558	Fibroblast growth factor
PF00046	0.828077911447558	Homeodomain
PF12605	0.827393407132314	Casein kinase 1 gamma C terminal
PF00554	0.826984084078944	Rel homology DNA-binding domain
PF00688	0.826769825060236	TGF-beta propeptide
PF01586	0.826566309035498	Myogenic Basic domain
PF01839	0.826526127534685	FG-GAP repeat
PF01390	0.826475600923204	SEA domain
PF15949	0.826034152402283	Domain of unknown function (DUF4757)
PF00868	0.825851639805768	Transglutaminase family
PF01448	0.825641554304798	ELM2 domain
PF16474	0.824871385789982	Kinase non-catalytic C-lobe domain
PF08416	0.824842420686164	Phosphotyrosine-binding domain
PF03250	0.824644872959448	Tropomodulin
PF12496	0.824632816203545	Bcl2-/adenovirus E1B nineteen kDa-interacting protein 2
PF00341	0.824608446486959	PDGF/VEGF domain
PF12004	0.82446240935609	Domain of unknown function (DUF3498)
PF11461	0.824159273775832	Rab interacting lysosomal protein
