ann_term	q_val	annotation
PF15860	0.999151116357845	Domain of unknown function (DUF4728)
PF14661	0.999151116357845	HAUS augmin-like complex subunit 6 N-terminus
PF13863	0.998445174992677	Domain of unknown function (DUF4200)
PF07156	0.997522495524655	Prenylcysteine lyase
PF01128	0.997522495524655	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PF04968	0.997522495524655	CHORD
PF10044	0.997013583386806	Retinal tissue protein
PF00530	0.994223520819485	Scavenger receptor cysteine-rich domain
PF02713	0.993928413238978	Domain of unknown function DUF220
PF01501	0.993188150687858	Glycosyl transferase family 8
PF16863	0.992260145169235	N-terminal barrel of NtMGAM and CtMGAM, maltase-glucoamylase
PF16013	0.991655401360863	Domain of unknown function (DUF4781)
PF08806	0.991607571592248	Sep15/SelM redox domain
PF05617	0.991478021732265	Prolamin-like
PF16064	0.991349286707451	Domain of unknown function (DUF4806)
PF14713	0.991319473017654	Domain of unknown function (DUF4464)
PF05303	0.991319473017654	Protein of unknown function (DUF727)
PF07786	0.990362391447292	Protein of unknown function (DUF1624)
PF17827	0.989033251181591	PrmC N-terminal domain
PF16094	0.988242245229585	Proteasome assembly chaperone 4
PF18399	0.987522608855266	Clip-domain serine protease homolog Scarface
PF13870	0.987517087791647	Domain of unknown function (DUF4201)
PF16077	0.987417669407519	Spaetzle
PF07258	0.986961044213827	COMM domain
PF10444	0.98680653006065	Nbl1 / Borealin N terminal
PF07748	0.985826230088006	Glycosyl hydrolases family 38 C-terminal domain
PF06582	0.984340027136563	Titin repeat
PF16984	0.983846615451072	Group 7 allergen
PF05719	0.983433073198018	Golgi phosphoprotein 3 (GPP34)
PF14779	0.981604593182267	Ciliary BBSome complex subunit 1
PF13679	0.979963706569727	Methyltransferase domain
PF14050	0.979722044853646	N-terminal conserved domain of Nudc.
PF10170	0.979068948671979	Cysteine-rich domain
PF06079	0.978075080914301	Apyrase
PF17919	0.977976437767215	RNase H-like domain found in reverse transcriptase
PF02958	0.97712474706615	Ecdysteroid kinase
PF05335	0.976892126348045	Protein of unknown function (DUF745)
PF11704	0.975575333458916	Vesicle coat protein involved in Golgi to plasma membrane transport
PF08518	0.975533484271887	Spa2 homology domain (SHD) of GIT
PF16033	0.975030575976706	Domain of unknown function (DUF4789)
PF01097	0.975030575976706	Arthropod defensin
PF17232	0.974955362891731	Elicitor peptide 1-7
PF05938	0.972958584618856	Plant self-incompatibility protein S1
PF14817	0.972880760157478	HAUS augmin-like complex subunit 5
PF08777	0.972674708890016	RNA binding motif
PF03107	0.972077000737491	C1 domain
PF13538	0.971987266817096	UvrD-like helicase C-terminal domain
PF15651	0.971987266817096	Salivary glad secreted protein domain toxin
PF16546	0.971427968961804	Homodimerisation domain of SGTA
PF02275	0.971110540159228	Linear amide C-N hydrolases, choloylglycine hydrolase family
PF18609	0.971070955801161	Exuperantia SAM-like domain
PF10601	0.970919814282957	LITAF-like zinc ribbon domain
PF00334	0.970911720975405	Nucleoside diphosphate kinase
PF12769	0.970911720975405	4TM region of pyridine nucleotide transhydrogenase, mitoch
PF10200	0.968980970738084	NADH:ubiquinone oxidoreductase, NDUFS5-15kDa
PF15261	0.968593708013386	Jhy protein
PF11573	0.968105443022155	Mediator complex subunit 23
PF15454	0.968105443022155	Late endosomal/lysosomal adaptor and MAPK and MTOR activator
PF07734	0.966991450970086	F-box associated
PF17064	0.966776018112821	Sleepless protein
PF02806	0.96675612242669	Alpha amylase, C-terminal all-beta domain
PF07723	0.966422144726662	Leucine Rich Repeat
PF10545	0.966115313915118	Alcohol dehydrogenase transcription factor Myb/SANT-like
PF13349	0.964907237903853	Putative adhesin
PF05918	0.964879130119317	Apoptosis inhibitory protein 5 (API5)
PF03820	0.964140977104244	Tricarboxylate carrier
PF12366	0.964089888387833	Cancer susceptibility candidate 1
PF05641	0.963234354599514	Agenet domain
PF00372	0.962905130212667	Hemocyanin, copper containing domain
PF14752	0.962905130212667	Retinol binding protein receptor
PF16092	0.962710547971628	Domain of unknown function (DUF4821)
PF05758	0.962688440937473	Ycf1
PF12398	0.962688440937473	Receptor serine/threonine kinase
PF12259	0.962547456959599	Baculovirus F protein
PF01469	0.961077619455109	Pentapeptide repeats (8 copies)
PF02448	0.961077619455109	L71 family
PF02756	0.961077619455109	GYR motif
PF02757	0.961077619455109	YLP motif
PF03082	0.961077619455109	Male accessory gland secretory protein
PF03768	0.961077619455109	Attacin, N-terminal region
PF03940	0.961077619455109	Male specific sperm protein
PF04624	0.961077619455109	Dec-1 repeat
PF04625	0.961077619455109	DEC-1 protein, N-terminal region
PF04626	0.961077619455109	Dec-1 protein, C terminal region
PF05306	0.961077619455109	Protein of unknown function (DUF733)
PF05387	0.961077619455109	Chorion family 3
PF05777	0.961077619455109	Drosophila accessory gland-specific peptide 26Ab (Acp26Ab)
PF05836	0.961077619455109	Chorion protein S16
PF06020	0.961077619455109	Drosophila roughex protein
PF06313	0.961077619455109	Drosophila ACP53EA protein
PF06382	0.961077619455109	Protamine and protamine like
PF06740	0.961077619455109	Protein of unknown function (DUF1213)
PF06756	0.961077619455109	Chorion protein S19 C-terminal
PF07054	0.961077619455109	Pericardin like repeat
PF07240	0.961077619455109	Stress-inducible humoral factor Turandot
PF08088	0.961077619455109	Conotoxin I-superfamily
