ann_term	q_val	annotation
PF04886	1	PT repeat
PF01609	0.998515939431358	Transposase DDE domain
PF05719	0.998467993044822	Golgi phosphoprotein 3 (GPP34)
PF02496	0.997526668755629	ABA/WDS induced protein
PF11805	0.997526668755629	Protein of unknown function (DUF3326)
PF13963	0.997526668755629	Transposase-associated domain
PF02036	0.996492884916203	SCP-2 sterol transfer family
PF03028	0.995906371589979	Dynein heavy chain region D6 P-loop domain
PF00339	0.995481522206748	Arrestin (or S-antigen), N-terminal domain
PF17852	0.995072187372674	Dynein heavy chain AAA lid domain
PF12777	0.994150212684402	Microtubule-binding stalk of dynein motor
PF01523	0.993431828511744	Putative modulator of DNA gyrase
PF03971	0.993431828511744	Monomeric isocitrate dehydrogenase
PF00126	0.993431828511744	Bacterial regulatory helix-turn-helix protein, lysR family
PF00691	0.993431828511744	OmpA family
PF13437	0.993431828511744	HlyD family secretion protein
PF08393	0.993383999066028	Dynein heavy chain, N-terminal region 2
PF02837	0.993383999066028	Glycosyl hydrolases family 2, sugar binding domain
PF12142	0.993383999066028	Polyphenol oxidase middle domain
PF12143	0.993383999066028	Protein of unknown function (DUF_B2219)
PF07893	0.993383999066028	Protein of unknown function (DUF1668)
PF12617	0.993383999066028	Iron-Sulfur binding protein C terminal
PF13952	0.993383999066028	Domain of unknown function (DUF4216)
PF02862	0.993066979395846	DDHD domain
PF07287	0.992695109881256	Acyclic terpene utilisation family protein AtuA
PF02149	0.991894627008816	Kinase associated domain 1
PF02738	0.991894627008816	Molybdopterin-binding domain of aldehyde dehydrogenase
PF12971	0.991894627008816	Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain
PF12657	0.991750948109199	Transcription factor IIIC subunit delta N-term
PF10184	0.991398232562776	Uncharacterized conserved protein (DUF2358)
PF04968	0.991349277219908	CHORD
PF18136	0.990673262296855	DNA mitochondrial polymerase exonuclease domain
PF11176	0.988962022563325	Translation machinery-associated protein 16
PF00728	0.988962022563325	Glycosyl hydrolase family 20, catalytic domain
PF10266	0.98888579419982	Hereditary spastic paraplegia protein strumpellin
PF12780	0.988771124372942	P-loop containing dynein motor region D4
PF01846	0.986129302949404	FF domain
PF04774	0.985693089999205	Hyaluronan / mRNA binding family
PF02148	0.983922036492649	Zn-finger in ubiquitin-hydrolases and other protein
PF06333	0.981917060665452	Mediator complex subunit 13 C-terminal domain
PF06565	0.981092557185006	DUF1126 PH-like domain
PF00211	0.980422028056148	Adenylate and Guanylate cyclase catalytic domain
PF07732	0.979157829932725	Multicopper oxidase
PF04266	0.979157829932725	ASCH domain
PF02995	0.977790255341816	Protein of unknown function (DUF229)
PF17921	0.9768498861713	Integrase zinc binding domain
PF00854	0.976463024379986	POT family
PF17857	0.976235120082585	AAA+ lid domain
PF08911	0.975969545986207	NUP50 (Nucleoporin 50 kDa)
PF14369	0.975969545986207	zinc-ribbon
PF16594	0.975637726634899	Putative AtpZ or ATP-synthase-associated
PF01753	0.975584962928913	MYND finger
PF01551	0.974771498812413	Peptidase family M23
PF07557	0.974169514470916	Shugoshin C terminus
PF16294	0.973514549016168	RNSP1-SAP18 binding (RSB) motif
PF04707	0.972879184720864	PRELI-like family
PF05219	0.971871828542598	DREV methyltransferase
PF14608	0.971693160404218	RNA-binding, Nab2-type zinc finger
PF00145	0.971270491569061	C-5 cytosine-specific DNA methylase
PF00486	0.971270491569061	Transcriptional regulatory protein, C terminal
PF02504	0.971270491569061	Fatty acid synthesis protein
PF04386	0.971270491569061	Stringent starvation protein B
PF05491	0.971270491569061	RuvB C-terminal winged helix domain
PF17864	0.971270491569061	RuvB AAA lid domain
PF12309	0.971270491569061	KIF-1 binding protein C terminal
PF13920	0.971270491569061	Zinc finger, C3HC4 type (RING finger)
PF02064	0.970898916899801	MAS20 protein import receptor
PF03017	0.970898916899801	TNP1/EN/SPM transposase
PF06533	0.970898916899801	Protein of unknown function (DUF1110)
PF08224	0.970898916899801	Domain of unknown function (DUF1719)
PF12274	0.970898916899801	Protein of unknown function (DUF3615)
PF16558	0.969247865156578	Amino-terminal Zinc-binding domain of ubiquitin ligase E3A
PF15511	0.969058689106871	Centromere kinetochore component CENP-T histone fold
PF02033	0.969058689106871	Ribosome-binding factor A
PF11945	0.96714959441617	WAHD domain of WASH complex
PF13851	0.96714959441617	Growth-arrest specific micro-tubule binding
PF18389	0.966266597479687	TrmO C-terminal domain
PF05502	0.966053563155465	Dynactin p62 family
PF06918	0.965909475301306	Protein of unknown function (DUF1280)
PF00161	0.965765931677529	Ribosome inactivating protein
PF00228	0.965765931677529	Bowman-Birk serine protease inhibitor family
PF02788	0.965765931677529	Ribulose bisphosphate carboxylase large chain, N-terminal domain
PF07762	0.965765931677529	Protein of unknown function (DUF1618)
PF12442	0.965765931677529	Protein of unknown function (DUF3681)
PF13016	0.965765931677529	Cys-rich Gliadin N-terminal
PF08210	0.963965174051024	APOBEC-like N-terminal domain
PF12781	0.96351333912352	ATP-binding dynein motor region
PF14956	0.961411037742376	Domain of unknown function (DUF4505)
PF18198	0.960403673081557	Dynein heavy chain AAA lid domain
PF02326	0.95996797459174	Plant ATP synthase F0
PF11958	0.958892539368607	Domain of unknown function (DUF3472)
PF16871	0.958892539368607	Domain of unknown function (DUF5077)
PF14845	0.958641058299422	beta-acetyl hexosaminidase like
PF02099	0.958328279042187	Josephin
PF08557	0.957735325941456	Sphingolipid Delta4-desaturase (DES)
PF12368	0.957606892337358	Rhodanase C-terminal
PF10587	0.955584829754389	Eukaryotic elongation factor 1 beta central acidic region
PF14735	0.955191965223929	HAUS augmin-like complex subunit 4
PF00497	0.954231010815948	Bacterial extracellular solute-binding proteins, family 3
PF00027	0.95273240303394	Cyclic nucleotide-binding domain
PF08385	0.952446808518836	Dynein heavy chain, N-terminal region 1
PF15901	0.950996312101586	Sortilin, neurotensin receptor 3, C-terminal
PF12204	0.950737674155616	Domain of unknown function (DUF3598)
PF15785	0.950737674155616	Serine/threonine-protein kinase smg-1
PF02936	0.950737674155616	Cytochrome c oxidase subunit IV
PF00912	0.949791293145691	Transglycosylase
PF01559	0.949791293145691	Zein seed storage protein
PF01620	0.949791293145691	Ribonuclease (pollen allergen)
PF01824	0.949791293145691	MatK/TrnK amino terminal region
PF03048	0.949791293145691	UL92 family
PF03157	0.949791293145691	High molecular weight glutenin subunit
PF03310	0.949791293145691	Caulimovirus DNA-binding protein
PF07346	0.949791293145691	Protein of unknown function (DUF1477)
PF08298	0.949791293145691	PrkA AAA domain
PF09339	0.949791293145691	IclR helix-turn-helix domain
PF10548	0.949791293145691	P22AR C-terminal domain
PF10999	0.949791293145691	Protein of unknown function (DUF2839)
PF11321	0.949791293145691	Protein of unknown function (DUF3123)
PF12847	0.949791293145691	Methyltransferase domain
PF13187	0.949791293145691	4Fe-4S dicluster domain
PF16327	0.949791293145691	Cytochrome c-type biogenesis protein CcmF C-terminal
PF16952	0.949791293145691	Glutamine synthetase N-terminal domain
PF05236	0.949791293145691	Transcription initiation factor TFIID component TAF4 family
PF12171	0.949791293145691	Zinc-finger double-stranded RNA-binding
PF04871	0.949791293145691	Uso1 / p115 like vesicle tethering protein, C terminal region
PF09496	0.947379034315213	Cenp-O kinetochore centromere component
PF07814	0.945768991769024	Wings apart-like protein regulation of heterochromatin
PF07498	0.944984191706067	Rho termination factor, N-terminal domain
PF16076	0.941532875815509	Acyltransferase C-terminus
PF13092	0.940151367805876	Kinetochore complex Sim4 subunit Fta1
PF02689	0.940151367805876	Helicase
PF12762	0.940151367805876	ISXO2-like transposase domain
PF12832	0.939514547531829	MFS_1 like family
PF07281	0.93875682808055	Insulin-induced protein (INSIG)
PF17170	0.934959358386063	6-bladed beta-propeller
PF03311	0.934101442980175	Cornichon protein
