ann_term	sum	annotation
PF00002	1204	7 transmembrane receptor (Secretin family)
PF00003	1324	7 transmembrane sweet-taste receptor of 3 GCPR
PF00004	2759	ATPase family associated with various cellular activities (AAA)
PF00005	4947	ABC transporter
PF00006	241	ATP synthase alpha/beta family, nucleotide-binding domain
PF00007	161	Cystine-knot domain
PF00008	6747	EGF-like domain
PF00009	934	Elongation factor Tu GTP binding domain
PF00010	2593	Helix-loop-helix DNA-binding domain
PF00011	507	Hsp20/alpha crystallin family
PF00012	717	Hsp70 protein
PF00013	2322	KH domain
PF00014	929	Kunitz/Bovine pancreatic trypsin inhibitor domain
PF00015	6	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016	12	Ribulose bisphosphate carboxylase large chain, catalytic domain
PF00017	1942	SH2 domain
PF00018	2278	SH3 domain
PF00019	585	Transforming growth factor beta like domain
PF00020	537	TNFR/NGFR cysteine-rich region
PF00021	336	u-PAR/Ly-6 domain
PF00022	939	Actin
PF00023	1429	Ankyrin repeat
PF00024	481	PAN domain
PF00025	950	ADP-ribosylation factor family
PF00026	422	Eukaryotic aspartyl protease
PF00027	1741	Cyclic nucleotide-binding domain
PF00028	10735	Cadherin domain
PF00029	373	Connexin
PF00030	812	Beta/Gamma crystallin
PF00031	292	Cystatin domain
PF00032	7	Cytochrome b(C-terminal)/b6/petD
PF00033	8	Cytochrome b/b6/petB
PF00034	81	Cytochrome c
PF00035	721	Double-stranded RNA binding motif
PF00036	365	EF hand
PF00037	51	4Fe-4S binding domain
PF00038	912	Intermediate filament protein
PF00039	202	Fibronectin type I domain
PF00040	359	Fibronectin type II domain
PF00041	10348	Fibronectin type III domain
PF00042	330	Globin
PF00043	534	Glutathione S-transferase, C-terminal domain
PF00044	151	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00045	1123	Hemopexin
PF00046	4301	Homeodomain
PF00047	776	Immunoglobulin domain
PF00048	387	Small cytokines (intecrine/chemokine), interleukin-8 like
PF00049	128	Insulin/IGF/Relaxin family
PF00050	508	Kazal-type serine protease inhibitor domain
PF00051	723	Kringle domain
PF00052	230	Laminin B (Domain IV)
PF00053	4145	Laminin EGF domain
PF00054	392	Laminin G domain
PF00055	304	Laminin N-terminal (Domain VI)
PF00056	237	lactate/malate dehydrogenase, NAD binding domain
PF00057	4882	Low-density lipoprotein receptor domain class A
PF00058	1870	Low-density lipoprotein receptor repeat class B
PF00059	3570	Lectin C-type domain
PF00060	708	Ligand-gated ion channel
PF00061	451	Lipocalin / cytosolic fatty-acid binding protein family
PF00062	120	C-type lysozyme/alpha-lactalbumin family
PF00063	1266	Myosin head (motor domain)
PF00066	285	LNR domain
PF00067	4297	Cytochrome P450
PF00068	147	Phospholipase A2
PF00069	16305	Protein kinase domain
PF00070	1	Pyridine nucleotide-disulphide oxidoreductase
PF00071	3764	Ras family
PF00072	358	Response regulator receiver domain
PF00074	118	Pancreatic ribonuclease
PF00075	222	RNase H
PF00076	9563	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00077	136	Retroviral aspartyl protease
PF00078	1157	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079	658	Serpin (serine protease inhibitor)
PF00080	202	Copper/zinc superoxide dismutase (SODC)
PF00081	85	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082	752	Subtilase family
PF00083	2271	Sugar (and other) transporter
PF00084	5969	Sushi repeat (SCR repeat)
PF00085	1736	Thioredoxin
PF00086	579	Thyroglobulin type-1 repeat
PF00087	35	Snake toxin and toxin-like protein
PF00088	264	Trefoil (P-type) domain
PF00089	3073	Trypsin
PF00090	5556	Thrombospondin type 1 domain
PF00091	710	Tubulin/FtsZ family, GTPase domain
PF00092	2197	von Willebrand factor type A domain
PF00093	875	von Willebrand factor type C domain
PF00094	1204	von Willebrand factor type D domain
PF00095	404	WAP-type (Whey Acidic Protein) 'four-disulfide core'
PF00096	62168	Zinc finger, C2H2 type
PF00097	732	Zinc finger, C3HC4 type (RING finger)
PF00098	1678	Zinc knuckle
PF00100	542	Zona pellucida-like domain
PF00101	30	Ribulose bisphosphate carboxylase, small chain
PF00102	1459	Protein-tyrosine phosphatase
PF00103	106	Somatotropin hormone family
PF00104	1310	Ligand-binding domain of nuclear hormone receptor
PF00105	1331	Zinc finger, C4 type (two domains)
PF00106	2378	short chain dehydrogenase
PF00107	910	Zinc-binding dehydrogenase
PF00108	249	Thiolase, N-terminal domain
PF00109	309	Beta-ketoacyl synthase, N-terminal domain
PF00110	372	wnt family
PF00111	270	2Fe-2S iron-sulfur cluster binding domain
PF00112	967	Papain family cysteine protease
PF00113	141	Enolase, C-terminal TIM barrel domain
PF00115	9	Cytochrome C and Quinol oxidase polypeptide I
PF00116	3	Cytochrome C oxidase subunit II, periplasmic domain
PF00117	324	Glutamine amidotransferase class-I
PF00118	655	TCP-1/cpn60 chaperonin family
PF00119	10	ATP synthase A chain
PF00120	123	Glutamine synthetase, catalytic domain
PF00121	77	Triosephosphate isomerase
PF00122	1253	E1-E2 ATPase
PF00123	126	Peptide hormone
PF00124	1	Photosynthetic reaction centre protein
PF00125	1967	Core histone H2A/H2B/H3/H4
PF00126	6	Bacterial regulatory helix-turn-helix protein, lysR family
PF00127	11	Copper binding proteins, plastocyanin/azurin family
PF00128	313	Alpha amylase, catalytic domain
PF00129	277	Class I Histocompatibility antigen, domains alpha 1 and 2
PF00130	1273	Phorbol esters/diacylglycerol binding domain (C1 domain)
PF00131	47	Metallothionein
PF00132	398	Bacterial transferase hexapeptide (six repeats)
PF00133	393	tRNA synthetases class I (I, L, M and V)
PF00134	1055	Cyclin, N-terminal domain
PF00135	839	Carboxylesterase family
PF00136	198	DNA polymerase family B
PF00137	326	ATP synthase subunit C
PF00139	274	Legume lectin domain
PF00140	3	Sigma-70 factor, region 1.2
PF00141	701	Peroxidase
PF00142	1	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family
PF00143	189	Interferon alpha/beta domain
PF00144	153	Beta-lactamase
PF00145	175	C-5 cytosine-specific DNA methylase
PF00146	4	NADH dehydrogenase
PF00147	1018	Fibrinogen beta and gamma chains, C-terminal globular domain
PF00148	1	Nitrogenase component 1 type Oxidoreductase
PF00149	1690	Calcineurin-like phosphoesterase
PF00150	293	Cellulase (glycosyl hydrolase family 5)
PF00151	258	Lipase
PF00152	317	tRNA synthetases class II (D, K and N)
PF00153	5875	Mitochondrial carrier protein
PF00154	32	recA bacterial DNA recombination protein
PF00155	858	Aminotransferase class I and II
PF00156	254	Phosphoribosyl transferase domain
PF00157	240	Pou domain - N-terminal to homeobox domain
PF00158	6	Sigma-54 interaction domain
PF00159	38	Pancreatic hormone peptide
PF00160	861	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00161	35	Ribosome inactivating protein
PF00162	85	Phosphoglycerate kinase
PF00163	96	Ribosomal protein S4/S9 N-terminal domain
PF00164	96	Ribosomal protein S12/S23
PF00166	101	Chaperonin 10 Kd subunit
PF00167	347	Fibroblast growth factor
PF00168	5466	C2 domain
PF00169	4249	PH domain
PF00170	916	bZIP transcription factor
PF00171	796	Aldehyde dehydrogenase family
PF00172	537	Fungal Zn(2)-Cys(6) binuclear cluster domain
PF00173	628	Cytochrome b5-like Heme/Steroid binding domain
PF00174	73	Oxidoreductase molybdopterin binding domain
PF00175	455	Oxidoreductase NAD-binding domain
PF00176	1251	SNF2 family N-terminal domain
PF00177	88	Ribosomal protein S7p/S5e
PF00178	474	Ets-domain
PF00179	1408	Ubiquitin-conjugating enzyme
PF00180	246	Isocitrate/isopropylmalate dehydrogenase
PF00181	95	Ribosomal Proteins L2, RNA binding domain
PF00182	147	Chitinase class I
PF00183	249	Hsp90 protein
PF00184	25	Neurohypophysial hormones, C-terminal Domain
PF00185	81	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
PF00186	65	Dihydrofolate reductase
PF00187	94	Chitin recognition protein
PF00188	851	Cysteine-rich secretory protein family
PF00189	57	Ribosomal protein S3, C-terminal domain
PF00190	385	Cupin
PF00191	1337	Annexin
PF00193	363	Extracellular link domain
PF00194	491	Eukaryotic-type carbonic anhydrase
PF00195	108	Chalcone and stilbene synthases, N-terminal domain
PF00196	2	Bacterial regulatory proteins, luxR family
PF00197	17	Trypsin and protease inhibitor
PF00198	213	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00199	96	Catalase
PF00200	376	Disintegrin
PF00201	1498	UDP-glucoronosyl and UDP-glucosyl transferase
PF00202	294	Aminotransferase class-III
PF00203	68	Ribosomal protein S19
PF00204	80	DNA gyrase B
PF00205	122	Thiamine pyrophosphate enzyme, central domain
PF00206	154	Lyase
PF00207	256	Alpha-2-macroglobulin family
PF00208	101	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00209	658	Sodium:neurotransmitter symporter family
PF00210	155	Ferritin-like domain
PF00211	1183	Adenylate and Guanylate cyclase catalytic domain
PF00212	46	Atrial natriuretic peptide
PF00213	54	ATP synthase delta (OSCP) subunit
PF00214	74	Calcitonin / CGRP / IAPP family
PF00215	54	Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00216	3	Bacterial DNA-binding protein
PF00217	142	ATP:guanido phosphotransferase, C-terminal catalytic domain
PF00218	28	Indole-3-glycerol phosphate synthase
PF00219	274	Insulin-like growth factor binding protein
PF00220	22	Neurohypophysial hormones, N-terminal Domain
PF00221	94	Aromatic amino acid lyase
PF00223	6	Photosystem I psaA/psaB protein
PF00224	193	Pyruvate kinase, barrel domain
PF00225	1775	Kinesin motor domain
PF00226	1990	DnaJ domain
PF00227	798	Proteasome subunit
PF00228	34	Bowman-Birk serine protease inhibitor family
PF00229	217	TNF(Tumour Necrosis Factor) family
PF00230	561	Major intrinsic protein
PF00231	59	ATP synthase
PF00232	502	Glycosyl hydrolase family 1
PF00233	514	3'5'-cyclic nucleotide phosphodiesterase
PF00234	95	Protease inhibitor/seed storage/LTP family
PF00235	124	Profilin
PF00236	15	Glycoprotein hormone
PF00237	114	Ribosomal protein L22p/L17e
PF00238	101	Ribosomal protein L14p/L23e
PF00240	1944	Ubiquitin family
PF00241	395	Cofilin/tropomyosin-type actin-binding protein
PF00243	54	Nerve growth factor family
PF00244	229	14-3-3 protein
PF00245	129	Alkaline phosphatase
PF00246	640	Zinc carboxypeptidase
PF00248	854	Aldo/keto reductase family
PF00249	2768	Myb-like DNA-binding domain
PF00250	868	Forkhead domain
PF00251	83	Glycosyl hydrolases family 32 N-terminal domain
PF00252	122	Ribosomal protein L16p/L10e
PF00253	95	Ribosomal protein S14p/S29e
PF00254	783	FKBP-type peptidyl-prolyl cis-trans isomerase
PF00255	236	Glutathione peroxidase
PF00257	44	Dehydrin
PF00258	255	Flavodoxin
PF00260	4	Protamine P1
PF00261	112	Tropomyosin
PF00262	201	Calreticulin family
PF00264	223	Common central domain of tyrosinase
PF00265	44	Thymidine kinase
PF00266	414	Aminotransferase class-V
PF00268	83	Ribonucleotide reductase, small chain
PF00270	2878	DEAD/DEAH box helicase
PF00271	4204	Helicase conserved C-terminal domain
PF00272	9	Cecropin family
PF00273	106	Serum albumin family
PF00274	103	Fructose-bisphosphate aldolase class-I
PF00275	25	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00276	104	Ribosomal protein L23
PF00277	31	Serum amyloid A protein
PF00278	155	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
PF00280	26	Potato inhibitor I family
PF00281	71	Ribosomal protein L5
PF00282	375	Pyridoxal-dependent decarboxylase conserved domain
PF00283	2	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits
PF00284	3	Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit
PF00285	127	Citrate synthase, C-terminal domain
PF00287	96	Sodium / potassium ATPase beta chain
PF00288	250	GHMP kinases N terminal domain
PF00289	196	Biotin carboxylase, N-terminal domain
PF00290	33	Tryptophan synthase alpha chain
PF00291	461	Pyridoxal-phosphate dependent enzyme
PF00292	216	'Paired box' domain
PF00293	746	NUDIX domain
PF00294	319	pfkB family carbohydrate kinase
PF00295	341	Glycosyl hydrolases family 28
PF00296	13	Luciferase-like monooxygenase
PF00297	132	Ribosomal protein L3
PF00298	109	Ribosomal protein L11, RNA binding domain
PF00300	623	Histidine phosphatase superfamily (branch 1)
PF00301	9	Rubredoxin
PF00303	51	Thymidylate synthase
PF00304	56	Gamma-thionin family
PF00305	254	Lipoxygenase
PF00306	47	ATP synthase alpha/beta chain, C terminal domain
PF00307	2131	Calponin homology (CH) domain
PF00308	2	Bacterial dnaA  protein
PF00310	43	Glutamine amidotransferases class-II
PF00311	39	Phosphoenolpyruvate carboxylase
PF00312	107	Ribosomal protein S15
PF00313	273	'Cold-shock' DNA-binding domain
PF00314	182	Thaumatin family
PF00316	93	Fructose-1-6-bisphosphatase, N-terminal domain
PF00317	52	Ribonucleotide reductase, all-alpha domain
PF00318	163	Ribosomal protein S2
PF00319	492	SRF-type transcription factor (DNA-binding and dimerisation domain)
PF00320	573	GATA zinc finger
PF00321	22	Plant thionin
PF00322	39	Endothelin family
PF00323	32	Mammalian defensin
PF00324	438	Amino acid permease
PF00326	373	Prolyl oligopeptidase family
PF00327	122	Ribosomal protein L30p/L7e
PF00328	398	Histidine phosphatase superfamily (branch 2)
PF00329	34	Respiratory-chain NADH dehydrogenase, 30 Kd subunit
PF00330	151	Aconitase family (aconitate hydratase)
PF00331	83	Glycosyl hydrolase family 10
PF00332	303	Glycosyl hydrolases family 17
PF00333	112	Ribosomal protein S5, N-terminal domain
PF00334	330	Nucleoside diphosphate kinase
PF00335	875	Tetraspanin family
PF00337	384	Galactoside-binding lectin
PF00338	123	Ribosomal protein S10p/S20e
PF00339	378	Arrestin (or S-antigen), N-terminal domain
PF00340	68	Interleukin-1 / 18
PF00341	146	PDGF/VEGF domain
PF00342	68	Phosphoglucose isomerase
PF00343	92	Carbohydrate phosphorylase
PF00344	93	SecY translocase
PF00346	42	Respiratory-chain NADH dehydrogenase, 49 Kd subunit
PF00347	161	Ribosomal protein L6
PF00348	223	Polyprenyl synthetase
PF00349	192	Hexokinase
PF00350	514	Dynamin family
PF00351	102	Biopterin-dependent aromatic amino acid hydroxylase
PF00352	213	Transcription factor TFIID (or TATA-binding protein, TBP)
PF00353	5	RTX calcium-binding nonapeptide repeat (4 copies)
PF00354	319	Pentaxin family
PF00355	233	Rieske [2Fe-2S] domain
PF00356	1	Bacterial regulatory proteins, lacI family
PF00357	73	Integrin alpha cytoplasmic region
PF00359	11	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
PF00360	23	Phytochrome region
PF00361	18	Proton-conducting membrane transporter
PF00362	160	Integrin beta chain VWA domain
PF00363	13	Casein
PF00364	450	Biotin-requiring enzyme
PF00365	217	Phosphofructokinase
PF00366	114	Ribosomal protein S17
PF00367	1	phosphotransferase system, EIIB
PF00368	62	Hydroxymethylglutaryl-coenzyme A reductase
PF00370	231	FGGY family of carbohydrate kinases, N-terminal domain
PF00372	36	Hemocyanin, copper containing domain
PF00373	927	FERM central domain
PF00375	284	Sodium:dicarboxylate symporter family
PF00377	19	Prion/Doppel alpha-helical domain
PF00378	496	Enoyl-CoA hydratase/isomerase
PF00379	598	Insect cuticle protein
PF00380	108	Ribosomal protein S9/S16
PF00381	1	PTS HPr component phosphorylation site
PF00382	225	Transcription factor TFIIB repeat
PF00383	285	Cytidine and deoxycytidylate deaminase zinc-binding region
PF00384	45	Molybdopterin oxidoreductase
PF00385	741	Chromo (CHRromatin Organisation MOdifier) domain
PF00386	642	C1q domain
PF00387	331	Phosphatidylinositol-specific phospholipase C, Y domain
PF00388	378	Phosphatidylinositol-specific phospholipase C, X domain
PF00389	293	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF00390	126	Malic enzyme, N-terminal domain
PF00391	33	PEP-utilising enzyme, mobile domain
PF00392	3	Bacterial regulatory proteins, gntR family
PF00393	70	6-phosphogluconate dehydrogenase, C-terminal domain
PF00394	388	Multicopper oxidase
PF00395	3	S-layer homology domain
PF00396	226	Granulin
PF00397	1738	WW domain
PF00398	122	Ribosomal RNA adenine dimethylase
PF00399	54	Yeast PIR protein repeat
PF00400	24091	WD domain, G-beta repeat
PF00401	3	ATP synthase, Delta/Epsilon chain, long alpha-helix domain
PF00402	218	Calponin family repeat
PF00403	735	Heavy-metal-associated domain
PF00405	136	Transferrin
PF00406	442	Adenylate kinase
PF00407	87	Pathogenesis-related protein Bet v I family
PF00408	139	Phosphoglucomutase/phosphomannomutase, C-terminal domain
PF00410	75	Ribosomal protein S8
PF00411	99	Ribosomal protein S11
PF00412	3035	LIM domain
PF00413	431	Matrixin
PF00414	33	Neuraxin and MAP1B repeat
PF00415	3737	Regulator of chromosome condensation (RCC1) repeat
PF00416	74	Ribosomal protein S13/S18
PF00418	214	Tau and MAP protein, tubulin-binding repeat
PF00420	5	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF00421	7	Photosystem II protein
PF00425	60	chorismate binding enzyme
PF00428	210	60s Acidic ribosomal protein
PF00429	94	ENV polyprotein (coat polyprotein)
PF00430	9	ATP synthase B/B' CF(0)
PF00431	3354	CUB domain
PF00432	648	Prenyltransferase and squalene oxidase repeat
PF00433	617	Protein kinase C terminal domain
PF00435	3941	Spectrin repeat
PF00436	51	Single-strand binding protein family
PF00437	1	Type II/IV secretion system protein
PF00438	92	S-adenosylmethionine synthetase, N-terminal domain
PF00439	1361	Bromodomain
PF00440	1	Bacterial regulatory proteins, tetR family
PF00441	490	Acyl-CoA dehydrogenase, C-terminal domain
PF00443	1549	Ubiquitin carboxyl-terminal hydrolase
PF00444	37	Ribosomal protein L36
PF00445	103	Ribonuclease T2 family
PF00446	14	Gonadotropin-releasing hormone
PF00447	419	HSF-type DNA-binding
PF00448	130	SRP54-type protein, GTPase domain
PF00449	19	Urease alpha-subunit, N-terminal domain
PF00450	558	Serine carboxypeptidase
PF00452	178	Apoptosis regulator proteins, Bcl-2 family
PF00453	47	Ribosomal protein L20
PF00454	763	Phosphatidylinositol 3- and 4-kinase
PF00456	85	Transketolase, thiamine diphosphate binding domain
PF00457	8	Glycosyl hydrolases family 11
PF00458	206	WHEP-TRS domain
PF00459	223	Inositol monophosphatase family
PF00460	1	Flagella basal body rod protein
PF00462	525	Glutaredoxin
PF00463	31	Isocitrate lyase family
PF00464	112	Serine hydroxymethyltransferase
PF00465	55	Iron-containing alcohol dehydrogenase
PF00466	133	Ribosomal protein L10
PF00467	253	KOW motif
PF00468	43	Ribosomal protein L34
PF00471	33	Ribosomal protein L33
PF00472	170	RF-1 domain
PF00473	45	Corticotropin-releasing factor family
PF00474	418	Sodium:solute symporter family
PF00475	24	Imidazoleglycerol-phosphate dehydratase
PF00476	108	DNA polymerase family A
PF00477	15	Small hydrophilic plant seed protein
PF00478	131	IMP dehydrogenase / GMP reductase domain
PF00479	96	Glucose-6-phosphate dehydrogenase, NAD binding domain
PF00480	32	ROK family
PF00481	1132	Protein phosphatase 2C
PF00482	1	Type II secretion system (T2SS), protein F
PF00483	226	Nucleotidyl transferase
PF00484	79	Carbonic anhydrase
PF00485	161	Phosphoribulokinase / Uridine kinase family
PF00486	3	Transcriptional regulatory protein, C terminal
PF00487	374	Fatty acid desaturase
PF00488	265	MutS domain V
PF00489	11	Interleukin-6/G-CSF/MGF family
PF00490	48	Delta-aminolevulinic acid dehydratase
PF00491	101	Arginase family
PF00493	374	MCM P-loop domain
PF00494	102	Squalene/phytoene synthase
PF00496	4	Bacterial extracellular solute-binding proteins, family 5 Middle
PF00497	141	Bacterial extracellular solute-binding proteins, family 3
PF00498	840	FHA domain
PF00501	1566	AMP-binding enzyme
PF00503	421	G-protein alpha subunit
PF00504	228	Chlorophyll A-B binding protein
PF00505	1196	HMG (high mobility group) box
PF00507	8	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3
PF00510	8	Cytochrome c oxidase subunit III
PF00512	142	His Kinase A (phospho-acceptor) domain
PF00514	2740	Armadillo/beta-catenin-like repeat
PF00515	734	Tetratricopeptide repeat
PF00517	22	Retroviral envelope protein
PF00519	1	Papillomavirus helicase
PF00520	4184	Ion transport protein
PF00521	96	DNA gyrase/topoisomerase IV, subunit A
PF00525	36	Alpha crystallin A chain, N terminal
PF00526	198	Dictyostelium (slime mold) repeat
PF00528	26	Binding-protein-dependent transport system inner membrane component
PF00530	3447	Scavenger receptor cysteine-rich domain
PF00531	1177	Death domain
PF00533	426	BRCA1 C Terminus (BRCT) domain
PF00534	457	Glycosyl transferases group 1
PF00535	550	Glycosyl transferase family 2
PF00536	1457	SAM domain (Sterile alpha motif)
PF00537	7	Scorpion toxin-like domain
PF00538	425	linker histone H1 and H5 family
PF00542	78	Ribosomal protein L7/L12 C-terminal domain
PF00543	9	Nitrogen regulatory protein P-II
PF00544	127	Pectate lyase
PF00545	2	ribonuclease
PF00547	17	Urease, gamma subunit
PF00549	180	CoA-ligase
PF00550	414	Phosphopantetheine attachment site
PF00551	144	Formyl transferase
PF00552	10	Integrase DNA binding domain
PF00553	8	Cellulose binding domain
PF00554	162	Rel homology DNA-binding domain
PF00557	461	Metallopeptidase family M24
PF00560	1422	Leucine Rich Repeat
PF00561	940	alpha/beta hydrolase fold
PF00562	165	RNA polymerase Rpb2, domain 6
PF00563	11	EAL domain
PF00564	458	PB1 domain
PF00565	229	Staphylococcal nuclease homologue
PF00566	1261	Rab-GTPase-TBC domain
PF00567	844	Tudor domain
PF00568	210	WH1 domain
PF00569	531	Zinc finger, ZZ type
PF00570	128	HRDC domain
PF00571	1226	CBS domain
PF00572	107	Ribosomal protein L13
PF00573	114	Ribosomal protein L4/L1 family
PF00574	106	Clp protease
PF00575	445	S1 RNA binding domain
PF00576	55	HIUase/Transthyretin family
PF00578	228	AhpC/TSA family
PF00579	220	tRNA synthetases class I (W and Y)
PF00580	37	UvrD/REP helicase N-terminal domain
PF00581	738	Rhodanese-like domain
PF00582	280	Universal stress protein family
PF00583	984	Acetyltransferase (GNAT) family
PF00584	63	SecE/Sec61-gamma subunits of protein translocation complex
PF00585	48	C-terminal regulatory domain of Threonine dehydratase
PF00586	99	AIR synthase related protein, N-terminal domain
PF00587	339	tRNA synthetase class II core domain (G, H, P, S and T)
PF00588	191	SpoU rRNA Methylase family
PF00589	41	Phage integrase family
PF00590	80	Tetrapyrrole (Corrin/Porphyrin) Methylases
PF00591	34	Glycosyl transferase family, a/b domain
PF00593	8	TonB dependent receptor
PF00594	165	Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain
PF00595	3853	PDZ domain
PF00596	126	Class II Aldolase and Adducin N-terminal domain
PF00605	158	Interferon regulatory factor transcription factor
PF00607	71	gag gene protein p24 (core nucleocapsid protein)
PF00609	251	Diacylglycerol kinase accessory domain
PF00610	510	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
PF00611	390	Fes/CIP4, and EFC/F-BAR homology domain
PF00612	3624	IQ calmodulin-binding motif
PF00613	256	Phosphoinositide 3-kinase family, accessory domain (PIK domain)
PF00614	214	Phospholipase D Active site motif
PF00615	833	Regulator of G protein signaling domain
PF00616	402	GTPase-activator protein for Ras-like GTPase
PF00617	597	RasGEF domain
PF00618	419	RasGEF N-terminal motif
PF00619	456	Caspase recruitment domain
PF00620	1507	RhoGAP domain
PF00621	1423	RhoGEF domain
PF00622	1697	SPRY domain
PF00623	165	RNA polymerase Rpb1, domain 2
PF00624	92	Flocculin repeat
PF00625	550	Guanylate kinase
PF00626	1041	Gelsolin repeat
PF00627	771	UBA/TS-N domain
PF00628	1648	PHD-finger
PF00629	1027	MAM domain, meprin/A5/mu
PF00630	1651	Filamin/ABP280 repeat
PF00631	268	GGL domain
PF00632	928	HECT-domain (ubiquitin-transferase)
PF00633	74	Helix-hairpin-helix motif
PF00634	127	BRCA2 repeat
PF00635	392	MSP (Major sperm protein) domain
PF00636	224	Ribonuclease III domain
PF00637	581	Region in Clathrin and VPS
PF00638	257	RanBP1 domain
PF00639	60	PPIC-type PPIASE domain
PF00640	528	Phosphotyrosine interaction domain (PTB/PID)
PF00641	705	Zn-finger in Ran binding protein and others
PF00642	1341	Zinc finger C-x8-C-x5-C-x3-H type (and similar)
PF00643	1850	B-box zinc finger
PF00644	452	Poly(ADP-ribose) polymerase catalytic domain
PF00645	123	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region
PF00646	2113	F-box domain
PF00647	54	Elongation factor 1 gamma, conserved domain
PF00648	383	Calpain family cysteine protease
PF00649	11	Copper fist DNA binding domain
PF00650	702	CRAL/TRIO domain
PF00651	3848	BTB/POZ domain
PF00652	634	Ricin-type beta-trefoil lectin domain
PF00653	328	Inhibitor of Apoptosis domain
PF00654	321	Voltage gated chloride channel
PF00656	459	Caspase domain
PF00657	606	GDSL-like Lipase/Acylhydrolase
PF00658	143	Poly-adenylate binding protein, unique domain
PF00659	167	POLO box duplicated region
PF00660	33	Seripauperin and TIP1 family
PF00662	2	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
PF00664	2288	ABC transporter transmembrane region
PF00665	709	Integrase core domain
PF00666	31	Cathelicidin
PF00667	226	FAD binding domain
PF00668	97	Condensation domain
PF00669	2	Bacterial flagellin N-terminal helical region
PF00670	97	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
PF00672	30	HAMP domain
PF00673	76	ribosomal L5P family C-terminus
PF00674	36	DUP family
PF00675	360	Insulinase (Peptidase family M16)
PF00676	235	Dehydrogenase E1 component
PF00677	40	Lumazine binding domain
PF00679	336	Elongation factor G C-terminus
PF00681	1013	Plectin repeat
PF00682	144	HMGL-like
PF00683	507	TB domain
PF00684	200	DnaJ central domain
PF00685	943	Sulfotransferase domain
PF00686	148	Starch binding domain
PF00687	174	Ribosomal protein L1p/L10e family
PF00688	387	TGF-beta propeptide
PF00689	516	Cation transporting ATPase, C-terminus
PF00690	630	Cation transporter/ATPase, N-terminus
PF00691	3	OmpA family
PF00692	106	dUTPase
PF00694	136	Aconitase C-terminal domain
PF00696	184	Amino acid kinase family
PF00697	28	N-(5'phosphoribosyl)anthranilate (PRA) isomerase
PF00698	220	Acyl transferase domain
PF00699	17	Urease beta subunit
PF00700	2	Bacterial flagellin C-terminal helical region
PF00701	78	Dihydrodipicolinate synthetase family
