ann_term	q_val	annotation
PF06758	4.98915523123921e-26	Olduvai domain
PF15840	4.98915523123921e-26	ADP-ribosylation factor-like protein 17
PF04680	4.98915523123921e-26	Opioid growth factor receptor repeat
PF15708	5.5819408826551e-25	Proline-rich protein family 20
PF15354	1.07622062417091e-24	Kidney-associated antigen 1
PF17713	1.07622062417091e-24	Family of unknown function (DUF5558)
PF16704	1.97891612419502e-23	Rab binding domain
PF02165	5.70482419437571e-23	Wilm's tumour protein
PF08180	3.9348645452793e-22	B melanoma antigen family
PF05324	5.74394877691199e-22	Sperm antigen HE2
PF15039	5.74394877691199e-22	Domain of unknown function (DUF4530)
PF17671	5.74394877691199e-22	Family of unknown function (DUF5531)
PF12549	2.29320886480227e-21	Tyrosine hydroxylase N terminal
PF15212	3.90077963990362e-21	Spermatogenesis-associated protein 19, mitochondrial
PF08954	1.33476468737577e-19	Trimerisation motif
PF15826	1.33476468737577e-19	Bcl-2-binding component 3, p53 upregulated modulator of apoptosis
PF15856	1.33476468737577e-19	Domain of unknown function (DUF4727)
PF15682	2.7526472922982e-18	Musculoskeletal, temporally activated-embryonic nuclear protein 1
PF14976	4.73549340399739e-18	FAM72 protein
PF17714	9.82734845085877e-18	Family of unknown function (DUF5559)
PF05281	1.24915389203759e-17	Neuroendocrine protein 7B2 precursor (Secretogranin V)
PF15870	4.02779213612777e-17	ElonginA binding-protein 1
PF04774	1.23407720403582e-16	Hyaluronan / mRNA binding family
PF06374	2.00898883958684e-16	NADH-ubiquinone oxidoreductase subunit b14.5b (NDUFC2)
PF15441	2.41233288820527e-16	Rho guanine nucleotide exchange factor 5/35
PF15623	6.3025147288861e-16	Cancer/testis gene family 47
PF15750	7.27971691297036e-16	Ubiquitin-binding zinc-finger
PF00446	1.91871588909712e-15	Gonadotropin-releasing hormone
PF13914	2.12553831661692e-15	Phostensin PP1-binding and SH3-binding region
PF12470	4.01430388220724e-15	Suppressor of Fused Gli/Ci N terminal binding domain
PF18464	2.35531930004725e-14	Proprotein convertase subtilisin-like/kexin type 9 C-terminal domain
PF00638	3.34021340546257e-14	RanBP1 domain
PF15825	5.08541877383473e-14	FAM25 family
PF15372	1.23261254133261e-13	Domain of unknown function (DUF4600)
PF17307	1.40689175723455e-13	Small integral membrane protein 3
PF15076	1.46189610559572e-13	Domain of unknown function (DUF4543)
PF05240	1.46189610559572e-13	APOBEC-like C-terminal domain
PF08003	1.46189610559572e-13	Protein of unknown function (DUF1698)
PF15832	1.46189610559572e-13	FAM27 D and E protein family
PF15859	1.46189610559572e-13	Deleted in esophageal cancer 1 family
PF15895	1.46189610559572e-13	CAAX box cerebral protein 1
PF15897	1.46189610559572e-13	Domain of unknown function (DUF4741)
PF17691	1.46189610559572e-13	Contingent replication of cDNA 4
PF17698	1.46189610559572e-13	Family of unknown function (DUF5544)
PF17699	1.46189610559572e-13	Family of unknown function (DUF5545)
PF17706	1.46189610559572e-13	Family of unknown function (DUF5552)
PF17709	1.46189610559572e-13	Family of unknown function (DUF5554)
PF17711	1.46189610559572e-13	Family of unknown function (DUF5556)
PF17715	1.46189610559572e-13	Family of unknown function (DUF5560)
PF17705	2.46823724967346e-13	Family of unknown function (DUF5551)
PF07681	6.28219897748665e-13	DoxX
PF15788	9.69957035586145e-13	Domain of unknown function (DUF4705)
PF06573	1.25777825374639e-12	Churchill protein
PF00034	1.25777825374639e-12	Cytochrome c
PF17229	1.62404554247434e-12	Serine/threonine-protein kinase SMG1 N-terminal
PF11627	1.64114652750331e-12	Nuclear factor hnRNPA1
PF15112	1.7193439703146e-12	Domain of unknown function (DUF4559)
PF09387	2.82942442324905e-12	Mitochondrial RNA binding protein MRP
PF08563	2.82942442324905e-12	P53 transactivation motif
PF15167	2.82942442324905e-12	Domain of unknown function (DUF4581)
PF15510	3.24267475470562e-12	CENP-W protein
PF17704	3.91064267737536e-12	Family of unknown function (DUF5550)
PF17826	3.91064267737536e-12	Family of unknown function (DUF5588)
PF08172	4.16224012272801e-12	CASP C terminal
PF03002	5.79020247831743e-12	Somatostatin/Cortistatin family
PF03247	7.01380030234722e-12	Prothymosin/parathymosin family
PF15248	7.89940431299493e-12	Domain of unknown function (DUF4587)
PF15851	8.03662898069841e-12	Domain of unknown function (DUF4723)
PF00801	8.4567895445634e-12	PKD domain
PF15803	8.55239222403764e-12	Zinc-finger of sodium channel modifier 1
PF15068	1.62673053977894e-11	FAM101 family
PF15812	1.66308757645909e-11	Melanoregulin
PF00252	1.72714929208243e-11	Ribosomal protein L16p/L10e
PF18619	1.76292797179556e-11	GPCR-Autoproteolysis-INducing (GAIN) subdomain A
PF00047	1.83454869881454e-11	Immunoglobulin domain
PF08916	2.56873520006067e-11	Phenylalanine zipper
PF03508	3.0562404387869e-11	Gap junction alpha-1 protein (Cx43)
PF15184	3.0562404387869e-11	Mitochondrial import receptor subunit TOM6 homolog
PF05831	3.70042900516723e-11	GAGE protein
PF14724	3.70042900516723e-11	Mitochondrial-associated sphingomyelin phosphodiesterase
PF15208	3.79412652032251e-11	Rab15 effector
PF06881	3.9287767595201e-11	RNA polymerase II transcription factor SIII (Elongin) subunit A
PF18587	5.06130461338494e-11	PTX/LNS-Like (PLL) domain
PF18463	5.48246711279785e-11	Proprotein convertase subtilisin-like/kexin type 9 C-terminal domain
PF05782	5.51882766816195e-11	Extracellular matrix protein 1 (ECM1)
PF15176	7.19218911544755e-11	Leucine-rich repeat family 19 TM domain
PF16545	8.88105686833608e-11	Cerebral cavernous malformation protein, harmonin-homology
