ann_term	q_val	annotation
PF00908	1	dTDP-4-dehydrorhamnose 3,5-epimerase
PF01161	1	Phosphatidylethanolamine-binding protein
PF06333	1	Mediator complex subunit 13 C-terminal domain
PF06839	1	GRF zinc finger
PF09066	1	Beta2-adaptin appendage, C-terminal sub-domain
PF11798	1	IMS family HHH motif
PF16579	1	Adenylate sensor of SNF1-like protein kinase
PF01055	0.993147320545649	Glycosyl hydrolases family 31
PF01603	0.993147320545649	Protein phosphatase 2A regulatory B subunit (B56 family)
PF01753	0.993147320545649	MYND finger
PF13424	0.993147320545649	Tetratricopeptide repeat
PF03820	0.993147320545649	Tricarboxylate carrier
PF16884	0.993147320545649	N-terminal domain of oxidoreductase
PF01130	0.993147320545649	CD36 family
PF10587	0.993147320545649	Eukaryotic elongation factor 1 beta central acidic region
PF14644	0.993147320545649	Domain of unknown function (DUF4456)
PF07498	0.988639803246485	Rho termination factor, N-terminal domain
PF09112	0.988639803246485	Peptide-N-glycosidase F, N terminal
PF01348	0.987759674998403	Type II intron maturase
PF03087	0.987759674998403	Arabidopsis protein of unknown function
PF03514	0.987759674998403	GRAS domain family
PF06830	0.987759674998403	Root cap
PF08879	0.987759674998403	WRC
PF09265	0.987759674998403	Cytokinin dehydrogenase 1, FAD and cytokinin binding
PF11961	0.987759674998403	Domain of unknown function (DUF3475)
PF13710	0.987759674998403	ACT domain
PF13947	0.987759674998403	Wall-associated receptor kinase galacturonan-binding
PF17170	0.987759674998403	6-bladed beta-propeller
PF08385	0.987684130615559	Dynein heavy chain, N-terminal region 1
PF08246	0.987684130615559	Cathepsin propeptide inhibitor domain (I29)
PF14791	0.987684130615559	DNA polymerase beta thumb
PF14675	0.987684130615559	FANCI solenoid 1
PF14678	0.987684130615559	FANCI solenoid 4
PF06209	0.987684130615559	Cofactor of BRCA1 (COBRA1)
PF13738	0.987684130615559	Pyridine nucleotide-disulphide oxidoreductase
PF07893	0.987684130615559	Protein of unknown function (DUF1668)
PF12617	0.987684130615559	Iron-Sulfur binding protein C terminal
PF13952	0.987684130615559	Domain of unknown function (DUF4216)
PF00161	0.986073638029553	Ribosome inactivating protein
PF00228	0.986073638029553	Bowman-Birk serine protease inhibitor family
PF02326	0.986073638029553	Plant ATP synthase F0
PF02788	0.986073638029553	Ribulose bisphosphate carboxylase large chain, N-terminal domain
PF03017	0.986073638029553	TNP1/EN/SPM transposase
PF06533	0.986073638029553	Protein of unknown function (DUF1110)
PF07762	0.986073638029553	Protein of unknown function (DUF1618)
PF08224	0.986073638029553	Domain of unknown function (DUF1719)
PF12274	0.986073638029553	Protein of unknown function (DUF3615)
PF12442	0.986073638029553	Protein of unknown function (DUF3681)
PF13016	0.986073638029553	Cys-rich Gliadin N-terminal
PF01523	0.98341502827931	Putative modulator of DNA gyrase
PF03971	0.98341502827931	Monomeric isocitrate dehydrogenase
PF11958	0.98341502827931	Domain of unknown function (DUF3472)
PF16871	0.98341502827931	Domain of unknown function (DUF5077)
PF17677	0.982495282719786	Glycosyl hydrolases family 38 C-terminal beta sandwich domain
PF17102	0.982203912258647	Stealth protein CR3, conserved region 3
PF14186	0.981942639281655	Cytoskeletal adhesion
PF06918	0.979647500141555	Protein of unknown function (DUF1280)
PF09333	0.975413840417403	Autophagy-related protein C terminal domain
PF01080	0.975413840417403	Presenilin
PF09169	0.97479080761506	BRCA2, helical
PF09346	0.97454891769284	SMI1 / KNR4 family (SUKH-1)
PF15490	0.974443797553731	Telomere-capping, CST complex subunit
PF00027	0.968323572403244	Cyclic nucleotide-binding domain
PF03416	0.968323572403244	Peptidase family C54
PF16910	0.968323572403244	Repeating coiled region of VPS13
PF13359	0.968323572403244	DDE superfamily endonuclease
PF01869	0.968255784689945	BadF/BadG/BcrA/BcrD ATPase family
PF04118	0.968255784689945	Dopey, N-terminal
PF14647	0.968255784689945	FAM91 N-terminus
PF05241	0.968255784689945	Emopamil binding protein
PF11380	0.968250079715719	Stealth protein CR2, conserved region 2
PF02033	0.96817326718016	Ribosome-binding factor A
PF02183	0.96817326718016	Homeobox associated leucine zipper
PF12204	0.96817326718016	Domain of unknown function (DUF3598)
PF14244	0.96817326718016	gag-polypeptide of LTR copia-type
PF13092	0.96817326718016	Kinetochore complex Sim4 subunit Fta1
PF02838	0.965335387781303	Glycosyl hydrolase family 20, domain 2
PF04674	0.965335387781303	Phosphate-induced protein 1 conserved region
PF05003	0.965335387781303	Protein of unknown function (DUF668)
PF05056	0.965335387781303	Protein of unknown function (DUF674)
PF05910	0.965335387781303	Plant protein of unknown function (DUF868)
PF13962	0.965335387781303	Domain of unknown function
PF13968	0.965335387781303	Domain of unknown function (DUF4220)
PF16719	0.965335387781303	SAWADEE domain
PF16076	0.962878172692455	Acyltransferase C-terminus
PF01223	0.962878172692455	DNA/RNA non-specific endonuclease
PF06027	0.962878172692455	Solute carrier family 35
PF05029	0.962852025786025	Timeless protein C terminal region
PF12832	0.962850991800012	MFS_1 like family
PF10156	0.962831617032004	Subunit 17 of Mediator complex
PF00891	0.962631368825125	O-methyltransferase domain
PF02496	0.962333846012678	ABA/WDS induced protein
PF11805	0.962333846012678	Protein of unknown function (DUF3326)
PF13963	0.962333846012678	Transposase-associated domain
PF16977	0.962333846012678	C-terminal domain of apextrin
PF05427	0.962333846012678	Acidic fibroblast growth factor binding (FIBP)
PF15938	0.961269291155881	Domain of unknown function (DUF4750)
PF14372	0.960939791295911	Domain of unknown function (DUF4413)
PF02225	0.956659791026634	PA domain
PF15511	0.956659791026634	Centromere kinetochore component CENP-T histone fold
PF02862	0.956659791026634	DDHD domain
PF04707	0.956659791026634	PRELI-like family
PF08614	0.956659791026634	Autophagy protein 16 (ATG16)
PF16594	0.956659791026634	Putative AtpZ or ATP-synthase-associated
PF14727	0.956436159970011	PTHB1 N-terminus
PF16531	0.955602558371052	Centriolar protein SAS N-terminal
PF13598	0.954138647195287	Domain of unknown function (DUF4139)
PF13600	0.954138647195287	N-terminal domain of unknown function (DUF4140)
PF10384	0.95323174915321	Centromere protein Scm3
PF16401	0.951669788543723	Domain of unknown function (DUF5009)
PF00367	0.950567233112534	phosphotransferase system, EIIB
PF03860	0.950567233112534	Domain of Unknown Function (DUF326)
PF04236	0.950567233112534	Tc5 transposase C-terminal domain
PF04747	0.950567233112534	Protein of unknown function, DUF612
PF04986	0.950567233112534	Putative transposase
PF05393	0.950567233112534	Human adenovirus early E3A glycoprotein
PF05671	0.950567233112534	GETHR pentapeptide repeat (5 copies)
PF06779	0.950567233112534	Uncharacterised MFS-type transporter YbfB
PF07245	0.950567233112534	Phlebovirus glycoprotein G2
PF07271	0.950567233112534	Cytadhesin P30/P32
PF07652	0.950567233112534	Flavivirus DEAD domain
PF12760	0.950567233112534	Transposase zinc-ribbon domain
PF12802	0.950567233112534	MarR family
PF00324	0.950567233112534	Amino acid permease
PF18199	0.950567233112534	Dynein heavy chain C-terminal domain
PF10558	0.950567233112534	Mitochondrial 18 KDa protein (MTP18)
PF15901	0.950567233112534	Sortilin, neurotensin receptor 3, C-terminal
PF10224	0.950567233112534	Short coiled-coil protein
PF10716	0.950302299217293	NADH dehydrogenase transmembrane subunit
PF17238	0.950302299217293	Family of unknown function (DUF5311)
PF17886	0.950302299217293	HSP20-like domain found in ArsA
PF00126	0.948236233022235	Bacterial regulatory helix-turn-helix protein, lysR family
PF00421	0.948236233022235	Photosystem II protein
PF00486	0.948236233022235	Transcriptional regulatory protein, C terminal
PF00691	0.948236233022235	OmpA family
