ann_term	CC	annotation
PF11414	0.736052294368951	Adenomatous polyposis coli tumour suppressor protein
PF00880	0.734555370049599	Nebulin repeat
PF05986	0.733589257471684	ADAM-TS Spacer 1
PF06512	0.731856724123153	Sodium ion transport-associated
PF06009	0.731430301939632	Laminin Domain II
PF08686	0.722047461271664	PLAC (protease and lacunin) domain
PF06008	0.719878708998388	Laminin Domain I
PF14160	0.715087502948482	Centrosome-associated C terminus
PF06467	0.714469368634361	MYM-type Zinc finger with FCS sequence motif
PF01034	0.712950800342258	Syndecan domain
PF00061	0.706128304645202	Lipocalin / cytosolic fatty-acid binding protein family
PF07474	0.706009343578381	G2F domain
PF07686	0.704864376908034	Immunoglobulin V-set domain
PF13909	0.703854139412851	C2H2-type zinc-finger domain
PF10524	0.703508218343357	Nuclear factor I protein pre-N-terminus
PF01530	0.70265477071083	Zinc finger, C2HC type
PF02351	0.701579974180499	GDNF/GAS1 domain
PF05210	0.700231853041733	Sprouty protein (Spry)
PF00229	0.698168726331972	TNF(Tumour Necrosis Factor) family
PF14575	0.694546330211594	Ephrin type-A receptor 2 transmembrane domain
PF16423	0.694546330211594	Transcription factor COE1 helix-loop-helix domain
PF18039	0.694546330211594	UBA-like domain
PF07546	0.694454362505085	EMI domain
PF03250	0.693816345922015	Tropomodulin
PF05902	0.692143366290426	4.1 protein C-terminal domain (CTD)
PF14061	0.691745996622333	Polycomb-like MTF2 factor 2
PF04089	0.691291249787716	BRICHOS domain
PF00683	0.691131472698952	TB domain
PF07303	0.690907513238347	Occludin homology domain
PF16184	0.689397133527607	Cadherin-like
PF11879	0.687934982786389	Domain of unknown function (DUF3399)
PF06461	0.68755149739479	Domain of Unknown Function (DUF1086)
PF06021	0.68680952216579	Aralkyl acyl-CoA:amino acid N-acyltransferase
PF07525	0.686019687232593	SOCS box
PF00007	0.684523734937861	Cystine-knot domain
PF01463	0.684237257442943	Leucine rich repeat C-terminal domain
PF06345	0.683944663624093	DRF Autoregulatory Domain
PF00093	0.683838384570486	von Willebrand factor type C domain
PF03520	0.683386652321685	KCNQ voltage-gated potassium channel
PF01049	0.683343970046891	Cadherin cytoplasmic region
PF08430	0.683061592052148	Forkhead N-terminal region
PF00045	0.682768314935995	Hemopexin
PF11933	0.68199348824189	Cytoplasmic domain of voltage-gated Na+ ion channel
PF15282	0.680327125937946	BMP-2-inducible protein kinase C-terminus
PF00038	0.680164640565945	Intermediate filament protein
PF15705	0.679524335904624	Mature oligodendrocyte transmembrane protein, TMEM132D, N-term
PF00927	0.679432887109801	Transglutaminase family, C-terminal ig like domain
PF02078	0.678838321856982	Synapsin, N-terminal domain
PF00047	0.677294476584166	Immunoglobulin domain
PF00157	0.677294476584166	Pou domain - N-terminal to homeobox domain
PF09727	0.675966392787812	Cortactin-binding protein-2
PF01403	0.675113173922059	Sema domain
PF13914	0.674432669215517	Phostensin PP1-binding and SH3-binding region
PF01390	0.67392989014718	SEA domain
PF12235	0.672191339473999	Fragile X-related 1 protein core C terminal
PF09316	0.671966648499327	C-myb, C-terminal
PF09596	0.671966648499327	MamL-1 domain
PF18561	0.671966648499327	Endoribonuclease Regnase 1/ ZC3H12 C-terminal domain
PF12052	0.671344400358494	Voltage gated calcium channel subunit beta domain 4Aa N terminal
PF02793	0.670750568597846	Hormone receptor domain
PF13922	0.669502765014016	PHD domain of transcriptional enhancer, Asx
PF12605	0.668953607362602	Casein kinase 1 gamma C terminal
PF08736	0.668569265935739	FERM adjacent (FA)
PF10534	0.667467495695224	Connector enhancer of kinase suppressor of ras
PF16519	0.667302675186915	Tetramerisation domain of TRPM
PF00777	0.667301071555568	Glycosyltransferase family 29 (sialyltransferase)
PF15706	0.667175442449421	Mature oligodendrocyte transmembrane protein, TMEM132D, C-term
PF16564	0.667175442449421	p55-binding region of Methyl-CpG-binding domain proteins MBD
PF16885	0.667175442449421	Voltage-gated calcium channel subunit alpha, C-term
PF08826	0.667004620368442	DMPK coiled coil domain like
PF10541	0.666722407929175	Nuclear envelope localisation domain
PF00019	0.666387963273632	Transforming growth factor beta like domain
PF16493	0.665420193783366	N-terminal of Homeobox Meis and PKNOX1
PF15068	0.665220224808909	FAM101 family
PF17902	0.665091465358364	SH3 domain
PF00473	0.663750162865978	Corticotropin-releasing factor family
PF12240	0.663750162865978	Angiomotin C terminal
PF01271	0.663631981743149	Granin (chromogranin or secretogranin)
PF08687	0.663255913607186	Apx/Shroom domain ASD2
PF17960	0.663179721750425	TIG domain
PF01839	0.662799748490197	FG-GAP repeat
PF05283	0.662471260818067	Multi-glycosylated core protein 24 (MGC-24), sialomucin
