ann_term	q_val	annotation
PF03022	0.999998265426301	Major royal jelly protein
PF15952	0.999820610622258	Enhancer of split M4 family
PF08806	0.998943805469076	Sep15/SelM redox domain
PF04495	0.998943805469076	GRASP55/65 PDZ-like domain
PF02819	0.998918304260427	Spider toxin
PF07327	0.998918304260427	Neuroparsin
PF02067	0.998918304260427	Metallothionein family 5
PF03769	0.998918304260427	Attacin, C-terminal region
PF08059	0.998918304260427	SEP domain
PF04527	0.998918304260427	Drosophila Retinin like protein
PF15883	0.998918304260427	Domain of unknown function (DUF4736)
PF16037	0.998918304260427	Domain of unknown function (DUF4790)
PF16039	0.998918304260427	Domain of unknown function (DUF4791)
PF13870	0.998918304260427	Domain of unknown function (DUF4201)
PF00935	0.998918304260427	Ribosomal protein L44
PF07701	0.998918304260427	Heme NO binding associated
PF16003	0.998695348906896	Domain of unknown function (DUF4776)
PF15430	0.997464627176603	Single domain von Willebrand factor type C
PF11581	0.997464627176603	Antagonist of EGFR signalling, Argos
PF04554	0.996735979485842	Extensin-like region
PF07368	0.996134186209247	Protein of unknown function (DUF1487)
PF16089	0.996134186209247	Domain of unknown function (DUF4818)
PF16546	0.995958507309525	Homodimerisation domain of SGTA
PF13538	0.99544430678071	UvrD-like helicase C-terminal domain
PF14608	0.99521679237949	RNA-binding, Nab2-type zinc finger
PF16056	0.994748526854183	Domain of unknown function (DUF4799)
PF10587	0.994658074191836	Eukaryotic elongation factor 1 beta central acidic region
PF18398	0.994422158666426	Clip-domain serine protease homolog masquerade
PF00070	0.994370734970453	Pyridine nucleotide-disulphide oxidoreductase
PF00537	0.994370734970453	Scorpion toxin-like domain
PF00807	0.994370734970453	Apidaecin
PF01372	0.994370734970453	Melittin
PF03384	0.994370734970453	Drosophila protein of unknown function, DUF287
PF03716	0.994370734970453	WCCH motif
PF04510	0.994370734970453	Family of unknown function (DUF577)
PF04632	0.994370734970453	Fusaric acid resistance protein family
PF04642	0.994370734970453	Protein of unknown function, DUF601
PF04776	0.994370734970453	Protein MS5
PF05919	0.994370734970453	Mitovirus RNA-dependent RNA polymerase
PF06176	0.994370734970453	Lipopolysaccharide core biosynthesis protein (WaaY)
PF06651	0.994370734970453	Protein of unknown function (DUF1163)
PF06683	0.994370734970453	Protein of unknown function (DUF1184)
PF06721	0.994370734970453	Protein of unknown function (DUF1204)
PF06746	0.994370734970453	Protein of unknown function (DUF1216)
PF06876	0.994370734970453	Plant self-incompatibility response (SCRL) protein
PF07127	0.994370734970453	Late nodulin protein
PF07265	0.994370734970453	Tapetum specific protein TAP35/TAP44
PF07333	0.994370734970453	S locus-related glycoprotein 1 binding pollen coat protein (SLR1-BP)
PF08026	0.994370734970453	Bee antimicrobial peptide
PF08257	0.994370734970453	Sulfakinin family
PF09331	0.994370734970453	Domain of unknown function (DUF1985)
PF10868	0.994370734970453	Cysteine-rich antifungal protein 2, defensin-like
PF11671	0.994370734970453	Complementary sex determiner protein
PF11690	0.994370734970453	Protein of unknown function (DUF3287)
PF16269	0.994370734970453	Domain of unknown function (DUF4922)
PF17454	0.994370734970453	Honey bee toxin
PF17521	0.994370734970453	Honey bee peptides
PF18209	0.994370734970453	Embryo surrounding factor 1
PF03318	0.994370734970453	Clostridium epsilon toxin ETX/Bacillus mosquitocidal toxin MTX2
PF12698	0.994370734970453	ABC-2 family transporter protein
PF16972	0.994370734970453	Na+ channel auxiliary subunit TipE
PF15055	0.994370734970453	Domain of unknown function (DUF4536)
PF04736	0.994370734970453	Eclosion hormone
PF06324	0.994370734970453	Pigment-dispersing hormone (PDH)
PF09342	0.994370734970453	Domain of unknown function (DUF1986)
PF11105	0.994370734970453	Arthropod cardioacceleratory peptide 2a
PF12355	0.994370734970453	Down syndrome cell adhesion molecule C terminal
PF12407	0.994370734970453	Homeobox protein
PF14786	0.994370734970453	Tube Death domain
PF16001	0.994370734970453	Domain of unknown function (DUF4775)
PF16071	0.994370734970453	Domain of unknown function (DUF4812)
PF16062	0.994370734970453	Domain of unknown function (DUF4804)
PF01262	0.994370734970453	Alanine dehydrogenase/PNT, C-terminal domain
PF05267	0.994370734970453	Protein of unknown function (DUF725)
PF07248	0.994370734970453	Protein of unknown function (DUF1431)
PF03881	0.994370734970453	Fructosamine kinase
PF08378	0.994370734970453	Nuclease-related domain
PF04968	0.994370734970453	CHORD
PF16051	0.994370734970453	Domain of unknown function (DUF4797)
PF16116	0.994370734970453	Domain of unknown function (DUF4832)
PF16173	0.994370734970453	Domain of unknown function (DUF4874)
PF01128	0.994370734970453	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PF07841	0.994370734970453	DM4/DM12 family
PF08781	0.994370734970453	Transcription factor DP
PF06585	0.994370734970453	Haemolymph juvenile hormone binding protein (JHBP)
PF16027	0.994370734970453	Domain of unknown function (DUF4786)
PF16061	0.994370734970453	Domain of unknown function (DUF4803)
PF15995	0.994370734970453	Domain of unknown function (DUF4771)
PF07156	0.994370734970453	Prenylcysteine lyase
PF15994	0.994355706763914	Domain of unknown function (DUF4770)
PF16042	0.993935149003626	Domain of unknown function (DUF4794)
PF15866	0.993631367946226	Domain of unknown function (DUF4729)
PF03416	0.992980049087884	Peptidase family C54
PF01469	0.992867919854077	Pentapeptide repeats (8 copies)
PF02448	0.992867919854077	L71 family
PF02756	0.992867919854077	GYR motif
PF02757	0.992867919854077	YLP motif
PF03082	0.992867919854077	Male accessory gland secretory protein
PF03768	0.992867919854077	Attacin, N-terminal region
PF03940	0.992867919854077	Male specific sperm protein
PF04624	0.992867919854077	Dec-1 repeat
PF04625	0.992867919854077	DEC-1 protein, N-terminal region
PF04626	0.992867919854077	Dec-1 protein, C terminal region
PF05306	0.992867919854077	Protein of unknown function (DUF733)
PF05387	0.992867919854077	Chorion family 3
PF05777	0.992867919854077	Drosophila accessory gland-specific peptide 26Ab (Acp26Ab)
PF05836	0.992867919854077	Chorion protein S16
PF06020	0.992867919854077	Drosophila roughex protein
PF06313	0.992867919854077	Drosophila ACP53EA protein
PF06382	0.992867919854077	Protamine and protamine like
PF06740	0.992867919854077	Protein of unknown function (DUF1213)
PF06756	0.992867919854077	Chorion protein S19 C-terminal
PF07054	0.992867919854077	Pericardin like repeat
PF07240	0.992867919854077	Stress-inducible humoral factor Turandot
PF08088	0.992867919854077	Conotoxin I-superfamily
PF08105	0.992867919854077	Metchnikowin family
PF08138	0.992867919854077	Sex peptide (SP) family
PF08194	0.992867919854077	DIM protein
PF10542	0.992867919854077	Vitelline membrane cysteine-rich region
PF10675	0.992867919854077	Protein of unknown function (DUF2489)
PF11078	0.992867919854077	Optomotor-blind protein N-terminal region
PF11619	0.992867919854077	Transcription factor P53 - C terminal domain
PF12302	0.992867919854077	Protein of unknown function (DUF3629)
PF13164	0.992867919854077	Diedel
PF15881	0.992867919854077	Domain of unknown function (DUF4734)
PF15934	0.992867919854077	Yuri gagarin
PF15957	0.992867919854077	Commissureless
PF15960	0.992867919854077	Domain of unknown function (DUF4763)
PF15972	0.992867919854077	Unpaired protein
PF15973	0.992867919854077	Domain of unknown function (DUF4766)
PF15989	0.992867919854077	Domain of unknown function (DUF4768)
PF15992	0.992867919854077	Domain of unknown function (DUF4769)
PF16007	0.992867919854077	Domain of unknown function (DUF4777)
PF16008	0.992867919854077	Domain of unknown function (DUF4778)
PF16012	0.992867919854077	Domain of unknown function (DUF4780)
PF16032	0.992867919854077	Domain of unknown function (DUF4788)
PF16055	0.992867919854077	Domain of unknown function (DUF4798)
PF16072	0.992867919854077	Domain of unknown function (DUF4813)
PF17079	0.992867919854077	Male-specific protein scotti
PF18221	0.992867919854077	Mutator 2 Fork head associated domain
PF18245	0.992867919854077	5-3 exonuclease XRN1 DCP1-binding motif
PF06652	0.992867919854077	Methuselah N-terminus
PF03103	0.992867919854077	Domain of unknown function (DUF243)
PF03015	0.992867919854077	Male sterility protein
PF13582	0.992867919854077	Metallo-peptidase family M12B Reprolysin-like
PF14680	0.992867919854077	FANCI helical domain 2
PF14791	0.992867919854077	DNA polymerase beta thumb
PF00839	0.992867919854077	Cysteine rich repeat
PF16092	0.992867919854077	Domain of unknown function (DUF4821)
PF05482	0.992867919854077	Serendipity locus alpha protein (SRY-A)
PF05177	0.992867919854077	RCSD region
PF15868	0.992219204500081	Transcription activator MBF2
PF01302	0.992219204500081	CAP-Gly domain
PF03392	0.992219204500081	Insect pheromone-binding family, A10/OS-D
PF16009	0.992219204500081	Domain of unknown function (DUF4779)
PF14934	0.991530974124002	Domain of unknown function (DUF4499)
PF16086	0.991372374167528	Domain of unknown function (DUF4816)
PF00876	0.99074680922148	Innexin
PF06757	0.990331012212258	Insect allergen related repeat, nitrile-specifier detoxification
PF06151	0.990187415398754	Trehalose receptor
PF06477	0.990187415398754	Protein of unknown function (DUF1091)
PF05953	0.989542097729363	Allatostatin
PF12278	0.989417189501932	Sex determination protein N terminal
PF18403	0.989417189501932	Thioredoxin-like domain
PF11704	0.989417189501932	Vesicle coat protein involved in Golgi to plasma membrane transport
PF07723	0.988587813581785	Leucine Rich Repeat
PF12455	0.98844229636735	Dynein associated protein
PF07734	0.987876944373703	F-box associated
PF00700	0.98764843697314	Bacterial flagellin C-terminal helical region
PF10914	0.98649522256392	Protein of unknown function (DUF2781)
PF14817	0.986130987660825	HAUS augmin-like complex subunit 5
PF02949	0.985995718741899	7tm Odorant receptor
PF16030	0.98527275903403	Serine protease gd N-terminus
PF07165	0.984688711606502	Protein of unknown function (DUF1397)
PF00272	0.984250569723322	Cecropin family
PF05444	0.984250569723322	Protein of unknown function (DUF753)
PF15749	0.984188295582976	MRN-interacting protein
PF07786	0.984188295582976	Protein of unknown function (DUF1624)
PF01030	0.984188295582976	Receptor L domain
PF05719	0.98325266133554	Golgi phosphoprotein 3 (GPP34)
PF03107	0.982785464888191	C1 domain
PF01120	0.982668379908992	Alpha-L-fucosidase
PF08395	0.982668379908992	7tm Chemosensory receptor
PF07464	0.981488297121391	Apolipophorin-III precursor (apoLp-III)
PF03820	0.981488297121391	Tricarboxylate carrier
PF16487	0.981472102342429	Mid domain of argonaute
PF13349	0.981472102342429	Putative adhesin
PF06377	0.981472102342429	Adipokinetic hormone
PF09246	0.981472102342429	PHAT
PF15928	0.981472102342429	Domain of unknown function (DUF4746)
PF16060	0.981472102342429	Domain of unknown function (DUF4802)
PF16091	0.981472102342429	Domain of unknown function (DUF4820)
