ann_term	q_val	annotation
GO:0016247	0.0328278310990037	channel regulator activity
GO:0099106	0.0328278310990037	ion channel regulator activity
GO:0045995	0.0551147268793796	regulation of embryonic development
GO:0022843	0.0959720682612807	voltage-gated cation channel activity
GO:0042613	0.0959720682612807	MHC class II protein complex
GO:0042611	0.0959720682612807	MHC protein complex
GO:0032879	0.0959720682612807	regulation of localization
GO:0001518	0.0959720682612807	voltage-gated sodium channel complex
GO:0034706	0.0959720682612807	sodium channel complex
GO:0005248	0.0959720682612807	voltage-gated sodium channel activity
GO:0050793	0.0959720682612807	regulation of developmental process
GO:0008083	0.0959720682612807	growth factor activity
GO:0048731	0.0959720682612807	system development
GO:2000026	0.0959720682612807	regulation of multicellular organismal development
GO:0005540	0.0959720682612807	hyaluronic acid binding
GO:0016477	0.0959720682612807	cell migration
GO:0030334	0.0959720682612807	regulation of cell migration
GO:0005249	0.0959720682612807	voltage-gated potassium channel activity
GO:0007129	0.0959720682612807	synapsis
GO:0007130	0.0959720682612807	synaptonemal complex assembly
GO:0045143	0.0959720682612807	homologous chromosome segregation
GO:0070192	0.0959720682612807	chromosome organization involved in meiotic cell cycle
GO:0070193	0.0959720682612807	synaptonemal complex organization
GO:0016604	0.0959720682612807	nuclear body
GO:0016607	0.0959720682612807	nuclear speck
GO:0048513	0.0959720682612807	animal organ development
GO:0005539	0.0959720682612807	glycosaminoglycan binding
GO:0035257	0.0959720682612807	nuclear hormone receptor binding
GO:0051427	0.0959720682612807	hormone receptor binding
GO:0002682	0.106564718207488	regulation of immune system process
GO:0001775	0.111619684455445	cell activation
GO:0051262	0.112866888903855	protein tetramerization
GO:0007275	0.117672707884378	multicellular organism development
GO:0005246	0.125976780505714	calcium channel regulator activity
GO:0019882	0.134731126200134	antigen processing and presentation
GO:0042113	0.142567669032122	B cell activation
GO:0050776	0.14903625780497	regulation of immune response
GO:0030155	0.14903625780497	regulation of cell adhesion
GO:0032502	0.16178829292207	developmental process
GO:0002684	0.16178829292207	positive regulation of immune system process
GO:0007212	0.16178829292207	dopamine receptor signaling pathway
GO:0048268	0.16178829292207	clathrin coat assembly
GO:0030276	0.16178829292207	clathrin binding
GO:0032051	0.16178829292207	clathrin light chain binding
GO:0051239	0.16571823927681	regulation of multicellular organismal process
GO:0007517	0.16571823927681	muscle organ development
GO:0061061	0.16571823927681	muscle structure development
GO:0002376	0.170864209475728	immune system process
GO:0048856	0.170864209475728	anatomical structure development
GO:0006955	0.174525604473507	immune response
GO:0030168	0.1895827082689	platelet activation
GO:0005577	0.1895827082689	fibrinogen complex
GO:0030141	0.196022980407701	secretory granule
GO:0099503	0.196022980407701	secretory vesicle
GO:0050778	0.196022980407701	positive regulation of immune response
GO:0051270	0.212429597136832	regulation of cellular component movement
GO:0005921	0.221600826347642	gap junction
GO:0005922	0.221600826347642	connexin complex
GO:0031854	0.2454306409006	orexigenic neuropeptide QRFP receptor binding
GO:0002520	0.2454306409006	immune system development
GO:0051694	0.336748508911336	pointed-end actin filament capping
GO:0005523	0.336748508911336	tropomyosin binding
GO:0030282	0.336748508911336	bone mineralization
GO:0030500	0.336748508911336	regulation of bone mineralization
GO:0051341	0.336748508911336	regulation of oxidoreductase activity
GO:0051354	0.336748508911336	negative regulation of oxidoreductase activity
GO:1900757	0.336748508911336	regulation of D-amino-acid oxidase activity
GO:1900758	0.336748508911336	negative regulation of D-amino-acid oxidase activity
GO:0046848	0.336748508911336	hydroxyapatite binding
GO:0001527	0.341196487189374	microfibril
GO:0044420	0.341196487189374	extracellular matrix component
