ann_term	CC	annotation
GO:0016247	1.43196646015283e-05	channel regulator activity
GO:0099106	1.43196646015283e-05	ion channel regulator activity
GO:0045995	3.60619805099539e-05	regulation of embryonic development
GO:0022843	0.000103998385809792	voltage-gated cation channel activity
GO:0042613	0.000132257778729672	MHC class II protein complex
GO:0042611	0.000132257778729672	MHC protein complex
GO:0032879	0.00021374968197789	regulation of localization
GO:0001518	0.000262919910675002	voltage-gated sodium channel complex
GO:0034706	0.000262919910675002	sodium channel complex
GO:0005248	0.000262919910675002	voltage-gated sodium channel activity
GO:0050793	0.000284122129522639	regulation of developmental process
GO:0008083	0.000321327813952566	growth factor activity
GO:0048731	0.000325551923674761	system development
GO:2000026	0.000378767184981364	regulation of multicellular organismal development
GO:0005540	0.000457299331463369	hyaluronic acid binding
GO:0016477	0.000508539868244041	cell migration
GO:0030334	0.000508539868244041	regulation of cell migration
GO:0005249	0.000509808308483916	voltage-gated potassium channel activity
GO:0007129	0.00051569194653679	synapsis
GO:0007130	0.00051569194653679	synaptonemal complex assembly
GO:0045143	0.00051569194653679	homologous chromosome segregation
GO:0070192	0.00051569194653679	chromosome organization involved in meiotic cell cycle
GO:0070193	0.00051569194653679	synaptonemal complex organization
GO:0016604	0.000537951690697282	nuclear body
GO:0016607	0.000537951690697282	nuclear speck
GO:0048513	0.000584201872101282	animal organ development
GO:0005539	0.000605855223304328	glycosaminoglycan binding
GO:0035257	0.000607020715284	nuclear hormone receptor binding
GO:0051427	0.000607020715284	hormone receptor binding
GO:0002682	0.000697260969732749	regulation of immune system process
GO:0001775	0.000754680527397774	cell activation
GO:0051262	0.000787729649928761	protein tetramerization
GO:0007275	0.000846935520214715	multicellular organism development
GO:0005246	0.000934178961220125	calcium channel regulator activity
GO:0019882	0.00102848187939034	antigen processing and presentation
GO:0042113	0.00111939718324022	B cell activation
GO:0050776	0.00123019250381978	regulation of immune response
GO:0030155	0.00123519690220041	regulation of cell adhesion
GO:0032502	0.00141210645603881	developmental process
GO:0002684	0.00148891046067607	positive regulation of immune system process
GO:0007212	0.00155260302913219	dopamine receptor signaling pathway
GO:0048268	0.00155260302913219	clathrin coat assembly
GO:0030276	0.00155260302913219	clathrin binding
GO:0032051	0.00155260302913219	clathrin light chain binding
GO:0051239	0.0016424090580589	regulation of multicellular organismal process
GO:0007517	0.00169874749095095	muscle organ development
GO:0061061	0.00169874749095095	muscle structure development
GO:0002376	0.00179284130463691	immune system process
GO:0048856	0.00182602971958793	anatomical structure development
GO:0006955	0.00190322360385504	immune response
GO:0030168	0.00215012013740082	platelet activation
GO:0005577	0.00215012013740082	fibrinogen complex
GO:0030141	0.00233572666170297	secretory granule
GO:0099503	0.00233572666170297	secretory vesicle
GO:0050778	0.00235142070281866	positive regulation of immune response
GO:0051270	0.00259455996503001	regulation of cellular component movement
GO:0005921	0.00280323837037366	gap junction
GO:0005922	0.00280323837037366	connexin complex
GO:0031854	0.00316770255413594	orexigenic neuropeptide QRFP receptor binding
GO:0002520	0.00321174230186172	immune system development
GO:0051694	0.00496293928701988	pointed-end actin filament capping
GO:0005523	0.00496293928701988	tropomyosin binding
GO:0030282	0.00506775291491433	bone mineralization
GO:0030500	0.00506775291491433	regulation of bone mineralization
GO:0051341	0.00506775291491433	regulation of oxidoreductase activity
GO:0051354	0.00506775291491433	negative regulation of oxidoreductase activity
GO:1900757	0.00506775291491433	regulation of D-amino-acid oxidase activity
GO:1900758	0.00506775291491433	negative regulation of D-amino-acid oxidase activity
GO:0046848	0.00506775291491433	hydroxyapatite binding
GO:0001527	0.00528352248428474	microfibril
GO:0044420	0.00528352248428474	extracellular matrix component
GO:0009913	0.00559303979130054	epidermal cell differentiation
GO:0030216	0.00559303979130054	keratinocyte differentiation
GO:0043588	0.00559303979130054	skin development
GO:0031214	0.00575679832234808	biomineral tissue development
GO:0070167	0.00575679832234808	regulation of biomineral tissue development
GO:0031424	0.00622119964373962	keratinization
GO:0030097	0.00649261206055487	hemopoiesis
GO:0048534	0.00649261206055487	hematopoietic or lymphoid organ development
GO:0048584	0.00672900446994912	positive regulation of response to stimulus
GO:0040012	0.00701262829079711	regulation of locomotion
GO:2000145	0.00701262829079711	regulation of cell motility
GO:0048869	0.00707096646368254	cellular developmental process
GO:0000166	0.00767579956011893	nucleotide binding
GO:1901265	0.00767579956011893	nucleoside phosphate binding
GO:0008384	0.00768304499765679	IkappaB kinase activity
GO:0018195	0.00782218929270063	peptidyl-arginine modification
GO:0036094	0.00835971334786201	small molecule binding
GO:0007155	0.00839070512113709	cell adhesion
GO:0022610	0.00839070512113709	biological adhesion
GO:0018101	0.0085644685909005	protein citrullination
GO:0043168	0.0087095191493033	anion binding
GO:0045321	0.00904213146402903	leukocyte activation
GO:0046649	0.00904213146402903	lymphocyte activation
GO:0005245	0.00904252272468174	voltage-gated calcium channel activity
GO:0030154	0.00933882830921637	cell differentiation
GO:0045597	0.00948985839472908	positive regulation of cell differentiation
GO:0045637	0.00948985839472908	regulation of myeloid cell differentiation
GO:0045639	0.00948985839472908	positive regulation of myeloid cell differentiation
GO:1903706	0.00948985839472908	regulation of hemopoiesis
GO:1903708	0.00948985839472908	positive regulation of hemopoiesis
GO:0000120	0.00948985839472908	RNA polymerase I transcription factor complex
GO:0005668	0.00948985839472908	RNA polymerase transcription factor SL1 complex
GO:0030971	0.00949596345838707	receptor tyrosine kinase binding
GO:0030296	0.00949596345838707	protein tyrosine kinase activator activity
GO:0030298	0.00949596345838707	receptor signaling protein tyrosine kinase activator activity
GO:1990782	0.00949596345838707	protein tyrosine kinase binding
GO:0032559	0.00954561509852888	adenyl ribonucleotide binding
GO:0030554	0.00958942480779252	adenyl nucleotide binding
GO:0030855	0.00986788127691536	epithelial cell differentiation
GO:0060429	0.00986788127691536	epithelium development
GO:0042287	0.0102439843327391	MHC protein binding
GO:0042289	0.0102439843327391	MHC class II protein binding
GO:0048018	0.0102608953943001	receptor ligand activity
GO:0030545	0.0102608953943001	receptor regulator activity
GO:0034703	0.0104532210833752	cation channel complex
GO:0001503	0.0110149506131392	ossification
GO:0021537	0.0112271270081651	telencephalon development
GO:0021543	0.0112271270081651	pallium development
GO:0021987	0.0112271270081651	cerebral cortex development
GO:0030900	0.0112271270081651	forebrain development
GO:0032553	0.0119068814249607	ribonucleotide binding
GO:0007259	0.0129053464764719	JAK-STAT cascade
GO:0097696	0.0129053464764719	STAT cascade
GO:0007267	0.0129228715098018	cell-cell signaling
GO:0097367	0.0131138151557114	carbohydrate derivative binding
GO:0030099	0.0133450691026697	myeloid cell differentiation
GO:0009888	0.0138897533764107	tissue development
GO:0002252	0.0141868873054993	immune effector process
GO:0007596	0.0143466160921769	blood coagulation
GO:0007599	0.0144949155986311	hemostasis
GO:0050878	0.0144949155986311	regulation of body fluid levels
GO:0019199	0.0149984318207463	transmembrane receptor protein kinase activity
GO:0007399	0.0152563576976594	nervous system development
GO:0007156	0.0157253227080385	homophilic cell adhesion via plasma membrane adhesion molecules
GO:0098742	0.0157451750329143	cell-cell adhesion via plasma-membrane adhesion molecules
GO:0032555	0.0157480280341373	purine ribonucleotide binding
GO:0098609	0.0157767540374695	cell-cell adhesion
GO:0002764	0.0158028783533204	immune response-regulating signaling pathway
GO:0007249	0.015814043603864	I-kappaB kinase/NF-kappaB signaling
GO:0043122	0.015814043603864	regulation of I-kappaB kinase/NF-kappaB signaling
GO:0043123	0.015814043603864	positive regulation of I-kappaB kinase/NF-kappaB signaling
GO:0017076	0.0159801151641061	purine nucleotide binding
GO:0000795	0.0163531087359051	synaptonemal complex
GO:0099086	0.0163531087359051	synaptonemal structure
GO:0016055	0.0171379708617833	Wnt signaling pathway
GO:0198738	0.0171379708617833	cell-cell signaling by wnt
GO:1905114	0.0171379708617833	cell surface receptor signaling pathway involved in cell-cell signaling
GO:0031109	0.018143812358653	microtubule polymerization or depolymerization
GO:0031110	0.018143812358653	regulation of microtubule polymerization or depolymerization
GO:0009052	0.0183947835891329	pentose-phosphate shunt, non-oxidative branch
GO:0004751	0.0183947835891329	ribose-5-phosphate isomerase activity
GO:0007166	0.0188952992707815	cell surface receptor signaling pathway
GO:0004675	0.0190070463376456	transmembrane receptor protein serine/threonine kinase activity
GO:0008144	0.019543143827407	drug binding
GO:0005524	0.0201398010862796	ATP binding
GO:0004860	0.0203087139782285	protein kinase inhibitor activity
GO:0019210	0.0203087139782285	kinase inhibitor activity
GO:0030865	0.0208663524677007	cortical cytoskeleton organization
GO:0030866	0.0208663524677007	cortical actin cytoskeleton organization
GO:0051049	0.0214361322106351	regulation of transport
GO:0008150	0.0215856208434687	biological_process
GO:0045229	0.0219916841108031	external encapsulating structure organization
GO:0071555	0.0219916841108031	cell wall organization
GO:0008200	0.0222682218588471	ion channel inhibitor activity
GO:0016248	0.0222682218588471	channel inhibitor activity
GO:0009664	0.022325378347334	plant-type cell wall organization
GO:0071669	0.022325378347334	plant-type cell wall organization or biogenesis
GO:0000281	0.0225082126420657	mitotic cytokinesis
GO:0018149	0.0227119674997938	peptide cross-linking
GO:0009878	0.022898546247604	nodule morphogenesis
GO:0010098	0.022898546247604	suspensor development
GO:0044111	0.022898546247604	development involved in symbiotic interaction
GO:0017080	0.022898546247604	sodium channel regulator activity
GO:0019871	0.022898546247604	sodium channel inhibitor activity
GO:0006950	0.0230244692520625	response to stress
GO:0009615	0.0233960329080752	response to virus
GO:0051607	0.0233960329080752	defense response to virus
GO:0031406	0.0234293417891503	carboxylic acid binding
GO:0043177	0.0234293417891503	organic acid binding
GO:0005811	0.0239370497605892	lipid droplet
GO:0012511	0.0239370497605892	monolayer-surrounded lipid storage body
GO:0071554	0.0244371436792152	cell wall organization or biogenesis
GO:0003824	0.0245835629801542	catalytic activity
GO:0005874	0.025799303233441	microtubule
GO:0008544	0.0260213249179551	epidermis development
GO:0003810	0.0260529830285579	protein-glutamine gamma-glutamyltransferase activity
GO:0006629	0.0262702482878999	lipid metabolic process
GO:0019955	0.0264411154692935	cytokine binding
GO:0046148	0.0268458958524995	pigment biosynthetic process
GO:0005581	0.0269626381669808	collagen trimer
GO:0018216	0.0281594051577561	peptidyl-arginine methylation
GO:0034969	0.0281594051577561	histone arginine methylation
GO:0043985	0.0281594051577561	histone H4-R3 methylation
GO:0005813	0.0284242215801106	centrosome
GO:0043167	0.028600113054401	ion binding
GO:0098661	0.0289739906580323	inorganic anion transmembrane transport
GO:0031262	0.0290691572441941	Ndc80 complex
GO:0005185	0.0291028400197276	neurohypophyseal hormone activity
GO:0007631	0.0291574363366848	feeding behavior
GO:0035435	0.0291682642435412	phosphate ion transmembrane transport
GO:0005164	0.0297128228289114	tumor necrosis factor receptor binding
GO:0032813	0.0297128228289114	tumor necrosis factor receptor superfamily binding
GO:0016887	0.0298107447512983	ATPase activity
GO:0005024	0.030730003052273	transforming growth factor beta-activated receptor activity
GO:0005026	0.030730003052273	transforming growth factor beta receptor activity, type II
GO:0006216	0.031307127358155	cytidine catabolic process
GO:0009164	0.031307127358155	nucleoside catabolic process
GO:0009972	0.031307127358155	cytidine deamination
GO:0034656	0.031307127358155	nucleobase-containing small molecule catabolic process
GO:0042454	0.031307127358155	ribonucleoside catabolic process
GO:0046087	0.031307127358155	cytidine metabolic process
GO:0046131	0.031307127358155	pyrimidine ribonucleoside metabolic process
GO:0046133	0.031307127358155	pyrimidine ribonucleoside catabolic process
GO:0046135	0.031307127358155	pyrimidine nucleoside catabolic process
GO:0072529	0.031307127358155	pyrimidine-containing compound catabolic process
GO:1901658	0.031307127358155	glycosyl compound catabolic process
GO:0004126	0.031307127358155	cytidine deaminase activity
GO:0005923	0.033925400090331	bicellular tight junction
GO:0043296	0.033925400090331	apical junction complex
GO:0070160	0.033925400090331	tight junction
GO:0071855	0.0341356554188765	neuropeptide receptor binding
GO:0035639	0.0346911798569334	purine ribonucleoside triphosphate binding
GO:0050817	0.0358697465693452	coagulation
