ann_term	q_val	annotation
GO:0001101	1	response to acid chemical
GO:0006417	1	regulation of translation
GO:0007051	1	spindle organization
GO:0034248	1	regulation of cellular amide metabolic process
GO:0000314	1	organellar small ribosomal subunit
GO:0005763	1	mitochondrial small ribosomal subunit
GO:0015935	1	small ribosomal subunit
GO:0008830	1	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0009187	0.994168215953545	cyclic nucleotide metabolic process
GO:0009190	0.994168215953545	cyclic nucleotide biosynthetic process
GO:0006030	0.994168215953545	chitin metabolic process
GO:1901071	0.994168215953545	glucosamine-containing compound metabolic process
GO:0009690	0.988536260507497	cytokinin metabolic process
GO:0034754	0.988536260507497	cellular hormone metabolic process
GO:0019139	0.988536260507497	cytokinin dehydrogenase activity
GO:0030832	0.98811168166379	regulation of actin filament length
GO:0006811	0.98811168166379	ion transport
GO:0008064	0.98811168166379	regulation of actin polymerization or depolymerization
GO:0008154	0.98811168166379	actin polymerization or depolymerization
GO:0030041	0.98811168166379	actin filament polymerization
GO:0030833	0.98811168166379	regulation of actin filament polymerization
GO:0032271	0.98811168166379	regulation of protein polymerization
GO:0032535	0.98811168166379	regulation of cellular component size
GO:0032956	0.98811168166379	regulation of actin cytoskeleton organization
GO:0032970	0.98811168166379	regulation of actin filament-based process
GO:0043254	0.98811168166379	regulation of protein complex assembly
GO:0110053	0.98811168166379	regulation of actin filament organization
GO:1902903	0.98811168166379	regulation of supramolecular fiber organization
GO:0000159	0.98811168166379	protein phosphatase type 2A complex
GO:0060589	0.98811168166379	nucleoside-triphosphatase regulator activity
GO:0015238	0.98811168166379	drug transmembrane transporter activity
GO:0019898	0.98811168166379	extrinsic component of membrane
GO:0016984	0.98811168166379	ribulose-bisphosphate carboxylase activity
GO:0030597	0.98811168166379	RNA glycosylase activity
GO:0030598	0.98811168166379	rRNA N-glycosylase activity
GO:0004448	0.986035283243928	isocitrate dehydrogenase activity
GO:0004450	0.986035283243928	isocitrate dehydrogenase (NADP+) activity
GO:0019835	0.986035283243928	cytolysis
GO:0044179	0.986035283243928	hemolysis in other organism
GO:0051715	0.986035283243928	cytolysis in other organism
GO:0043933	0.978298276802819	protein-containing complex subunit organization
GO:0015002	0.978298276802819	heme-copper terminal oxidase activity
GO:0016849	0.978298276802819	phosphorus-oxygen lyase activity
GO:0032465	0.978298276802819	regulation of cytokinesis
GO:0051302	0.978298276802819	regulation of cell division
GO:0032182	0.971698608427224	ubiquitin-like protein binding
GO:0010817	0.970840547249962	regulation of hormone levels
GO:0042445	0.970840547249962	hormone metabolic process
GO:0000123	0.964758809662135	histone acetyltransferase complex
GO:0005815	0.964758809662135	microtubule organizing center
GO:0000910	0.964758809662135	cytokinesis
GO:0005200	0.964758809662135	structural constituent of cytoskeleton
GO:0016863	0.964750298235556	intramolecular oxidoreductase activity, transposing C=C bonds
GO:0047750	0.964750298235556	cholestenol delta-isomerase activity
GO:0005770	0.958379269128437	late endosome
GO:0017134	0.957144446780654	fibroblast growth factor binding
GO:0007157	0.951541529456609	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0008982	0.951541529456609	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0010639	0.951541529456609	negative regulation of organelle organization
GO:0008047	0.951541529456609	enzyme activator activity
GO:0005742	0.951541529456609	mitochondrial outer membrane translocase complex
GO:0070273	0.95149203633388	phosphatidylinositol-4-phosphate binding
GO:0010970	0.95149203633388	transport along microtubule
GO:0030705	0.95149203633388	cytoskeleton-dependent intracellular transport
GO:0042073	0.95149203633388	intraciliary transport
GO:0099111	0.95149203633388	microtubule-based transport
GO:0005186	0.95149203633388	pheromone activity
GO:0030990	0.95149203633388	intraciliary transport particle
GO:0030991	0.95149203633388	intraciliary transport particle A
GO:0016168	0.949882060740359	chlorophyll binding
GO:0009791	0.944248230174085	post-embryonic development
GO:0009793	0.944248230174085	embryo development ending in seed dormancy
GO:0009856	0.944248230174085	pollination
GO:0009875	0.944248230174085	pollen-pistil interaction
GO:0010154	0.944248230174085	fruit development
GO:0010374	0.944248230174085	stomatal complex development
GO:0044706	0.944248230174085	multi-multicellular organism process
GO:0048316	0.944248230174085	seed development
GO:0048544	0.944248230174085	recognition of pollen
GO:0048580	0.944248230174085	regulation of post-embryonic development
GO:0048582	0.944248230174085	positive regulation of post-embryonic development
GO:0090558	0.944248230174085	plant epidermis development
GO:2000038	0.944248230174085	regulation of stomatal complex development
GO:2000123	0.944248230174085	positive regulation of stomatal complex development
GO:0010333	0.944248230174085	terpene synthase activity
GO:0050664	0.944248230174085	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor
GO:0007093	0.942175887176412	mitotic cell cycle checkpoint
GO:0000124	0.93470256357456	SAGA complex
GO:0016246	0.932078282485152	RNA interference
GO:0007017	0.927467132821344	microtubule-based process
GO:0045892	0.927467132821344	negative regulation of transcription, DNA-templated
GO:0055065	0.927467132821344	metal ion homeostasis
GO:1902679	0.927467132821344	negative regulation of RNA biosynthetic process
GO:1903507	0.927467132821344	negative regulation of nucleic acid-templated transcription
GO:0098799	0.927467132821344	outer mitochondrial membrane protein complex
GO:0008297	0.927467132821344	single-stranded DNA exodeoxyribonuclease activity
GO:0008409	0.927467132821344	5'-3' exonuclease activity
GO:0035312	0.927467132821344	5'-3' exodeoxyribonuclease activity
GO:0045145	0.927467132821344	single-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0000281	0.927467132821344	mitotic cytokinesis
GO:0006817	0.922050205191903	phosphate ion transport
GO:0009606	0.922050205191903	tropism
GO:0009733	0.922050205191903	response to auxin
GO:0010274	0.922050205191903	hydrotropism
GO:0017007	0.922050205191903	protein-bilin linkage
GO:0017009	0.922050205191903	protein-phycocyanobilin linkage
GO:0048046	0.922050205191903	apoplast
GO:0016762	0.922050205191903	xyloglucan:xyloglucosyl transferase activity
GO:0004529	0.915546610697983	exodeoxyribonuclease activity
GO:0016895	0.915546610697983	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0015996	0.915546610697983	chlorophyll catabolic process
GO:0047746	0.915546610697983	chlorophyllase activity
GO:0004097	0.913903352279858	catechol oxidase activity
GO:0007052	0.913903352279858	mitotic spindle organization
GO:1902554	0.909577235385647	serine/threonine protein kinase complex
GO:0006308	0.908029360729893	DNA catabolic process
GO:0003352	0.907827790767582	regulation of cilium movement
GO:0060632	0.907827790767582	regulation of microtubule-based movement
GO:0070461	0.902719440855569	SAGA-type complex
GO:0009767	0.897352357266648	photosynthetic electron transport chain
GO:0004564	0.897352357266648	beta-fructofuranosidase activity
GO:0004575	0.897352357266648	sucrose alpha-glucosidase activity
GO:0033926	0.897352357266648	glycopeptide alpha-N-acetylgalactosaminidase activity
GO:0051743	0.897352357266648	red chlorophyll catabolite reductase activity
GO:0090599	0.897352357266648	alpha-glucosidase activity
GO:0008137	0.896436695922365	NADH dehydrogenase (ubiquinone) activity
GO:0050136	0.896436695922365	NADH dehydrogenase (quinone) activity
GO:0048038	0.896436695922365	quinone binding
GO:0045926	0.896436695922365	negative regulation of growth
GO:0051129	0.889589055924383	negative regulation of cellular component organization
GO:0006012	0.889012208153486	galactose metabolic process
GO:0008108	0.889012208153486	UDP-glucose:hexose-1-phosphate uridylyltransferase activity
GO:0004526	0.883877488863493	ribonuclease P activity
GO:0008131	0.879988862438645	primary amine oxidase activity
GO:0016888	0.878924114435613	endodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0009772	0.876344783918201	photosynthetic electron transport in photosystem II
GO:0045156	0.876344783918201	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity
GO:0090305	0.875852249715691	nucleic acid phosphodiester bond hydrolysis
GO:0004864	0.875852249715691	protein phosphatase inhibitor activity
GO:0019212	0.875852249715691	phosphatase inhibitor activity
GO:0006625	0.87457096143273	protein targeting to peroxisome
GO:0015919	0.87457096143273	peroxisomal membrane transport
GO:0043574	0.87457096143273	peroxisomal transport
GO:0072662	0.87457096143273	protein localization to peroxisome
GO:0072663	0.87457096143273	establishment of protein localization to peroxisome
GO:0002831	0.874033958239992	regulation of response to biotic stimulus
GO:0009415	0.874033958239992	response to water
GO:0009627	0.874033958239992	systemic acquired resistance
GO:0009664	0.874033958239992	plant-type cell wall organization
GO:0009814	0.874033958239992	defense response, incompatible interaction
GO:0009832	0.874033958239992	plant-type cell wall biogenesis
GO:0010112	0.874033958239992	regulation of systemic acquired resistance
GO:0010215	0.874033958239992	cellulose microfibril organization
GO:0070726	0.874033958239992	cell wall assembly
GO:0071668	0.874033958239992	plant-type cell wall assembly
GO:0071669	0.874033958239992	plant-type cell wall organization or biogenesis
GO:0005811	0.874033958239992	lipid droplet
GO:0012511	0.874033958239992	monolayer-surrounded lipid storage body
GO:0044030	0.85896763957889	regulation of DNA methylation
GO:0003954	0.857162950903668	NADH dehydrogenase activity
GO:0010608	0.84974281749776	posttranscriptional regulation of gene expression
GO:0042803	0.84974281749776	protein homodimerization activity
GO:0030417	0.84974281749776	nicotianamine metabolic process
GO:0030418	0.84974281749776	nicotianamine biosynthetic process
GO:0072351	0.84974281749776	tricarboxylic acid biosynthetic process
GO:0030410	0.84974281749776	nicotianamine synthase activity
GO:0070652	0.839682893256915	HAUS complex
GO:0001907	0.837247238085888	killing by symbiont of host cells
GO:0044003	0.837247238085888	modification by symbiont of host morphology or physiology
GO:0044004	0.837247238085888	disruption by symbiont of host cell
GO:0051701	0.837247238085888	interaction with host
GO:0006928	0.836587621729079	movement of cell or subcellular component
GO:0007005	0.836587621729079	mitochondrion organization
GO:0019080	0.822988361479769	viral gene expression
GO:0019083	0.822988361479769	viral transcription
GO:0034219	0.822988361479769	carbohydrate transmembrane transport
GO:0046782	0.822988361479769	regulation of viral transcription
GO:0050792	0.822988361479769	regulation of viral process
GO:0042834	0.822988361479769	peptidoglycan binding
GO:0005986	0.822988361479769	sucrose biosynthetic process
GO:0050307	0.822988361479769	sucrose-phosphate phosphatase activity
GO:0016042	0.822988361479769	lipid catabolic process
GO:0034654	0.822988361479769	nucleobase-containing compound biosynthetic process
GO:0008772	0.822404305023189	[isocitrate dehydrogenase (NADP+)] kinase activity
GO:0004649	0.815309161255051	poly(ADP-ribose) glycohydrolase activity
GO:0061024	0.808825914601245	membrane organization
GO:0005875	0.808825914601245	microtubule associated complex
GO:0015075	0.808825914601245	ion transmembrane transporter activity
GO:0005892	0.803153295449728	acetylcholine-gated channel complex
GO:0043235	0.803153295449728	receptor complex
GO:0098802	0.803153295449728	plasma membrane receptor complex
GO:0033557	0.802503620746825	Slx1-Slx4 complex
GO:0017108	0.802503620746825	5'-flap endonuclease activity
GO:0048256	0.802503620746825	flap endonuclease activity
GO:0008218	0.800863947908962	bioluminescence
GO:0032268	0.795541954601526	regulation of cellular protein metabolic process
GO:0005751	0.79472664182617	mitochondrial respiratory chain complex IV
GO:0045277	0.79472664182617	respiratory chain complex IV
GO:0046556	0.792404565762132	alpha-L-arabinofuranosidase activity
GO:0006665	0.788634017561603	sphingolipid metabolic process
GO:0006493	0.783247327624831	protein O-linked glycosylation
GO:0004677	0.782278293597025	DNA-dependent protein kinase activity
GO:0006479	0.78174877213543	protein methylation
GO:0008213	0.78174877213543	protein alkylation
GO:0031902	0.778985134256099	late endosome membrane
GO:0071986	0.778985134256099	Ragulator complex
GO:0042600	0.773454496597656	chorion
GO:0001700	0.769210241893557	embryonic development via the syncytial blastoderm
GO:0002065	0.769210241893557	columnar/cuboidal epithelial cell differentiation
GO:0002066	0.769210241893557	columnar/cuboidal epithelial cell development
GO:0006527	0.769210241893557	arginine catabolic process
GO:0006805	0.769210241893557	xenobiotic metabolic process
GO:0015813	0.769210241893557	L-glutamate transmembrane transport
GO:0006855	0.769210241893557	drug transmembrane transport
GO:0007289	0.769210241893557	spermatid nucleus differentiation
GO:0007291	0.769210241893557	sperm individualization
GO:0007292	0.769210241893557	female gamete generation
GO:0007304	0.769210241893557	chorion-containing eggshell formation
GO:0007617	0.769210241893557	mating behavior
GO:0009407	0.769210241893557	toxin catabolic process
GO:0009410	0.769210241893557	response to xenobiotic stimulus
GO:0009792	0.769210241893557	embryo development ending in birth or egg hatching
GO:0009850	0.769210241893557	auxin metabolic process
GO:0009852	0.769210241893557	auxin catabolic process
GO:0010124	0.769210241893557	phenylacetate catabolic process
GO:0015800	0.769210241893557	acidic amino acid transport
GO:0015807	0.769210241893557	L-amino acid transport
GO:0019098	0.769210241893557	reproductive behavior
GO:0030703	0.769210241893557	eggshell formation
GO:0030707	0.769210241893557	ovarian follicle cell development
GO:0035092	0.769210241893557	sperm chromatin condensation
GO:0042178	0.769210241893557	xenobiotic catabolic process
GO:0042447	0.769210241893557	hormone catabolic process
GO:0042891	0.769210241893557	antibiotic transport
GO:0042908	0.769210241893557	xenobiotic transport
GO:0042919	0.769210241893557	benzoate transport
GO:0045924	0.769210241893557	regulation of female receptivity
GO:0046008	0.769210241893557	regulation of female receptivity, post-mating
GO:0048477	0.769210241893557	oogenesis
GO:0060180	0.769210241893557	female mating behavior
GO:0071466	0.769210241893557	cellular response to xenobiotic stimulus
GO:1902475	0.769210241893557	L-alpha-amino acid transmembrane transport
GO:1990397	0.769210241893557	queuosine salvage
GO:0000156	0.769210241893557	phosphorelay response regulator activity
GO:0005283	0.769210241893557	amino acid:sodium symporter activity
GO:0004040	0.769210241893557	amidase activity
GO:0005213	0.769210241893557	structural constituent of chorion
GO:0015171	0.769210241893557	amino acid transmembrane transporter activity
GO:0005310	0.769210241893557	dicarboxylic acid transmembrane transporter activity
GO:0005343	0.769210241893557	organic acid:sodium symporter activity
GO:0005416	0.769210241893557	amino acid:cation symporter activity
GO:0008791	0.769210241893557	arginine N-succinyltransferase activity
GO:0008924	0.769210241893557	malate dehydrogenase (quinone) activity
GO:0008984	0.769210241893557	protein-glutamate methylesterase activity
GO:0015501	0.769210241893557	glutamate:sodium symporter activity
GO:0016867	0.769210241893557	intramolecular transferase activity, transferring acyl groups
GO:0016901	0.769210241893557	oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor
GO:0016993	0.769210241893557	precorrin-8X methylmutase activity
GO:0017153	0.769210241893557	sodium:dicarboxylate symporter activity
GO:0042895	0.769210241893557	antibiotic transmembrane transporter activity
GO:0042925	0.769210241893557	benzoate transmembrane transporter activity
GO:0051723	0.769210241893557	protein methylesterase activity
GO:0004129	0.769210241893557	cytochrome-c oxidase activity
GO:0005543	0.769210241893557	phospholipid binding
GO:0016675	0.769210241893557	oxidoreductase activity, acting on a heme group of donors
GO:0016676	0.769210241893557	oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor
GO:0016763	0.769210241893557	transferase activity, transferring pentosyl groups
GO:0002790	0.769210241893557	peptide secretion
GO:0009306	0.769210241893557	protein secretion
GO:0035869	0.769210241893557	ciliary transition zone
GO:0036038	0.769210241893557	MKS complex
GO:0006873	0.763927444452868	cellular ion homeostasis
GO:0006875	0.763927444452868	cellular metal ion homeostasis
GO:0030003	0.763927444452868	cellular cation homeostasis
GO:0055082	0.763927444452868	cellular chemical homeostasis
GO:0001539	0.758110188824879	cilium or flagellum-dependent cell motility
GO:0006450	0.754464647845722	regulation of translational fidelity
GO:0044455	0.749959830364078	mitochondrial membrane part
GO:0008138	0.749959830364078	protein tyrosine/serine/threonine phosphatase activity
GO:0015693	0.749959830364078	magnesium ion transport
GO:0015095	0.749959830364078	magnesium ion transmembrane transporter activity
GO:0051606	0.745855174478252	detection of stimulus
GO:0031400	0.743228960833364	negative regulation of protein modification process
GO:0032039	0.737777435937482	integrator complex
GO:0030119	0.736232137576181	AP-type membrane coat adaptor complex
GO:0004197	0.736232137576181	cysteine-type endopeptidase activity
GO:0009378	0.734780782700097	four-way junction helicase activity
GO:0044782	0.731977722080862	cilium organization
GO:0048284	0.729355385049573	organelle fusion
GO:0071929	0.728513993885641	alpha-tubulin acetylation
GO:0019799	0.728513993885641	tubulin N-acetyltransferase activity
GO:0006113	0.724458723021995	fermentation
GO:0006554	0.724458723021995	lysine catabolic process
GO:0008614	0.724458723021995	pyridoxine metabolic process
GO:0008615	0.724458723021995	pyridoxine biosynthetic process
GO:0009061	0.724458723021995	anaerobic respiration
GO:0009068	0.724458723021995	aspartate family amino acid catabolic process
GO:0009401	0.724458723021995	phosphoenolpyruvate-dependent sugar phosphotransferase system
GO:0015947	0.724458723021995	methane metabolic process
GO:0015948	0.724458723021995	methanogenesis
GO:0015975	0.724458723021995	energy derivation by oxidation of reduced inorganic compounds
GO:0019475	0.724458723021995	L-lysine catabolic process to acetate
GO:0019477	0.724458723021995	L-lysine catabolic process
GO:0019665	0.724458723021995	anaerobic amino acid catabolic process
GO:0019666	0.724458723021995	nitrogenous compound fermentation
GO:0043446	0.724458723021995	cellular alkane metabolic process
GO:0043447	0.724458723021995	alkane biosynthetic process
GO:0046440	0.724458723021995	L-lysine metabolic process
GO:0009360	0.724458723021995	DNA polymerase III complex
GO:0033856	0.724458723021995	pyridoxine 5'-phosphate synthase activity
GO:0043772	0.724458723021995	acyl-phosphate glycerol-3-phosphate acyltransferase activity
GO:0055088	0.724458723021995	lipid homeostasis
GO:0050801	0.724458723021995	ion homeostasis
GO:0055080	0.724458723021995	cation homeostasis
GO:0098771	0.724458723021995	inorganic ion homeostasis
GO:0030286	0.724458723021995	dynein complex
GO:0004602	0.724458723021995	glutathione peroxidase activity
GO:0009877	0.72260353424698	nodulation
GO:0000334	0.714509748472644	3-hydroxyanthranilate 3,4-dioxygenase activity
GO:0009890	0.712474886115289	negative regulation of biosynthetic process
GO:0051246	0.712474886115289	regulation of protein metabolic process
GO:0051656	0.712474886115289	establishment of organelle localization
GO:0006013	0.705581349402624	mannose metabolic process
GO:0004523	0.705581349402624	RNA-DNA hybrid ribonuclease activity
GO:0009267	0.70398086611391	cellular response to starvation
GO:0009991	0.70398086611391	response to extracellular stimulus
GO:0031667	0.70398086611391	response to nutrient levels
GO:0031668	0.70398086611391	cellular response to extracellular stimulus
GO:0031669	0.70398086611391	cellular response to nutrient levels
GO:0042594	0.70398086611391	response to starvation
GO:0071496	0.70398086611391	cellular response to external stimulus
GO:0009878	0.701768857887748	nodule morphogenesis
GO:0010098	0.701768857887748	suspensor development
GO:0042381	0.701768857887748	hemolymph coagulation
GO:0044111	0.701768857887748	development involved in symbiotic interaction
GO:0017080	0.701768857887748	sodium channel regulator activity
GO:0019871	0.701768857887748	sodium channel inhibitor activity
GO:0010948	0.700713640667158	negative regulation of cell cycle process
GO:0034622	0.700713640667158	cellular protein-containing complex assembly
GO:0046916	0.700713640667158	cellular transition metal ion homeostasis
GO:0051336	0.700713640667158	regulation of hydrolase activity
GO:0004190	0.700713640667158	aspartic-type endopeptidase activity
GO:0070001	0.700713640667158	aspartic-type peptidase activity
GO:0018142	0.699291003935805	protein-DNA covalent cross-linking
GO:0018143	0.699291003935805	nucleic acid-protein covalent cross-linking
GO:0007006	0.693980529733072	mitochondrial membrane organization
GO:0010558	0.687516901606975	negative regulation of macromolecule biosynthetic process
GO:0031327	0.687516901606975	negative regulation of cellular biosynthetic process
GO:0051172	0.687516901606975	negative regulation of nitrogen compound metabolic process
GO:2000113	0.687516901606975	negative regulation of cellular macromolecule biosynthetic process
GO:0006026	0.687516901606975	aminoglycan catabolic process
GO:0043547	0.681475291587194	positive regulation of GTPase activity
GO:0016655	0.681127447977427	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor
GO:0006672	0.681073092003784	ceramide metabolic process
GO:0019321	0.678797767467885	pentose metabolic process
GO:0019566	0.678797767467885	arabinose metabolic process
GO:0046373	0.678797767467885	L-arabinose metabolic process
GO:0065009	0.674714569989139	regulation of molecular function
GO:0009628	0.673315355056171	response to abiotic stimulus
GO:0000098	0.670422416259467	sulfur amino acid catabolic process
GO:0030328	0.670422416259467	prenylcysteine catabolic process
GO:0030329	0.670422416259467	prenylcysteine metabolic process
GO:0060285	0.670422416259467	cilium-dependent cell motility
GO:0060294	0.670422416259467	cilium movement involved in cell motility
GO:0001534	0.670422416259467	radial spoke
GO:0005930	0.670422416259467	axoneme
GO:0032838	0.670422416259467	plasma membrane bounded cell projection cytoplasm
GO:0044447	0.670422416259467	axoneme part
GO:0097014	0.670422416259467	ciliary plasm
GO:0005094	0.669221622500729	Rho GDP-dissociation inhibitor activity
GO:0006023	0.664838304492441	aminoglycan biosynthetic process
GO:0019220	0.662452704219951	regulation of phosphate metabolic process
GO:0051174	0.662452704219951	regulation of phosphorus metabolic process
GO:0016705	0.662452704219951	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0001932	0.648550947788053	regulation of protein phosphorylation
GO:0043086	0.648550947788053	negative regulation of catalytic activity
GO:0044092	0.648550947788053	negative regulation of molecular function
GO:0006787	0.645156856197645	porphyrin-containing compound catabolic process
GO:0033015	0.645156856197645	tetrapyrrole catabolic process
GO:0045930	0.635075148065287	negative regulation of mitotic cell cycle
GO:0000981	0.634518646383074	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0006658	0.634174868450866	phosphatidylserine metabolic process
GO:0006659	0.634174868450866	phosphatidylserine biosynthetic process
GO:0016843	0.632618328888303	amine-lyase activity
GO:0016844	0.632618328888303	strictosidine synthase activity
GO:0006040	0.628836385894447	amino sugar metabolic process
GO:0043900	0.626093769552193	regulation of multi-organism process
GO:0005549	0.625035530647005	odorant binding
GO:0009288	0.624751175017077	bacterial-type flagellum
GO:0009318	0.624751175017077	exodeoxyribonuclease VII complex
GO:0008855	0.624751175017077	exodeoxyribonuclease VII activity
GO:0042618	0.624751175017077	poly-hydroxybutyrate metabolic process
GO:0042619	0.624751175017077	poly-hydroxybutyrate biosynthetic process
GO:0043570	0.624751175017077	maintenance of DNA repeat elements
GO:0043571	0.624751175017077	maintenance of CRISPR repeat elements
GO:1901440	0.624751175017077	poly(hydroxyalkanoate) metabolic process
GO:1901441	0.624751175017077	poly(hydroxyalkanoate) biosynthetic process
GO:0051493	0.623644945882111	regulation of cytoskeleton organization
GO:0006313	0.6194386409145	transposition, DNA-mediated
GO:0032196	0.6194386409145	transposition
GO:0004568	0.6194386409145	chitinase activity
GO:0008762	0.617108678017389	UDP-N-acetylmuramate dehydrogenase activity
GO:0046423	0.617108678017389	allene-oxide cyclase activity
GO:0047396	0.617108678017389	glycosylphosphatidylinositol diacylglycerol-lyase activity
GO:1904949	0.617108678017389	ATPase complex
GO:0017062	0.611288780975169	respiratory chain complex III assembly
GO:0034551	0.611288780975169	mitochondrial respiratory chain complex III assembly
GO:0006820	0.611096113974103	anion transport
GO:0022607	0.611096113974103	cellular component assembly
GO:0042802	0.611096113974103	identical protein binding
GO:0033108	0.611096113974103	mitochondrial respiratory chain complex assembly
GO:0008418	0.610669262227577	protein-N-terminal asparagine amidohydrolase activity
GO:0042030	0.608603857979364	ATPase inhibitor activity
GO:0031011	0.598338494137497	Ino80 complex
GO:0033202	0.598338494137497	DNA helicase complex
GO:0097346	0.598338494137497	INO80-type complex
GO:0031324	0.598338494137497	negative regulation of cellular metabolic process
GO:0032011	0.598338494137497	ARF protein signal transduction
GO:0032012	0.598338494137497	regulation of ARF protein signal transduction
GO:0005086	0.598338494137497	ARF guanyl-nucleotide exchange factor activity
GO:0009555	0.590837293084545	pollen development
GO:0048229	0.590837293084545	gametophyte development
GO:0010011	0.590837293084545	auxin binding
GO:0019730	0.589948507757325	antimicrobial humoral response
GO:0019731	0.589948507757325	antibacterial humoral response
GO:0015318	0.586007413086557	inorganic molecular entity transmembrane transporter activity
GO:0035658	0.579138327219681	Mon1-Ccz1 complex
