ann_term	CC	annotation
GO:0002376	0.788497318511399	immune system process
GO:0006955	0.788497318511399	immune response
GO:0048018	0.74922483548658	receptor ligand activity
GO:0030545	0.74922483548658	receptor regulator activity
GO:0022843	0.744506182949851	voltage-gated cation channel activity
GO:0005126	0.738328987975402	cytokine receptor binding
GO:0030141	0.735151679909327	secretory granule
GO:0099503	0.735151679909327	secretory vesicle
GO:0001518	0.731017704327664	voltage-gated sodium channel complex
GO:0034706	0.731017704327664	sodium channel complex
GO:0005248	0.731017704327664	voltage-gated sodium channel activity
GO:0048513	0.727545890462849	animal organ development
GO:0005102	0.72439623413321	signaling receptor binding
GO:0009888	0.720183342733833	tissue development
GO:0045995	0.719033807535407	regulation of embryonic development
GO:0048856	0.718351670734862	anatomical structure development
GO:0019209	0.717369294102993	kinase activator activity
GO:0030295	0.717369294102993	protein kinase activator activity
GO:0034703	0.715158602903909	cation channel complex
GO:0005125	0.711843469460053	cytokine activity
GO:0008083	0.71182346625142	growth factor activity
GO:0032502	0.710547915862919	developmental process
GO:0005891	0.709457598495023	voltage-gated calcium channel complex
GO:0016477	0.706095240208317	cell migration
GO:0030334	0.706095240208317	regulation of cell migration
GO:0048731	0.702780406863392	system development
GO:0010942	0.700575693893804	positive regulation of cell death
GO:0043065	0.700575693893804	positive regulation of apoptotic process
GO:0043068	0.700575693893804	positive regulation of programmed cell death
GO:0005164	0.697373913141635	tumor necrosis factor receptor binding
GO:0032813	0.697373913141635	tumor necrosis factor receptor superfamily binding
GO:0001664	0.696074915673582	G protein-coupled receptor binding
GO:0051694	0.693051690913061	pointed-end actin filament capping
GO:0005523	0.693051690913061	tropomyosin binding
GO:0007275	0.692836447457394	multicellular organism development
GO:0005179	0.690721296894721	hormone activity
GO:0034702	0.688630308514892	ion channel complex
GO:0047961	0.688496765794039	glycine N-acyltransferase activity
GO:0034704	0.686419617315807	calcium channel complex
GO:0016247	0.686077430349724	channel regulator activity
GO:0099106	0.686077430349724	ion channel regulator activity
GO:0018149	0.68372222153038	peptide cross-linking
GO:0030155	0.679171657659961	regulation of cell adhesion
GO:0051239	0.67861603757296	regulation of multicellular organismal process
GO:0003810	0.67861044936578	protein-glutamine gamma-glutamyltransferase activity
GO:0005539	0.673155470121299	glycosaminoglycan binding
GO:0016604	0.67109822036638	nuclear body
GO:0016607	0.67109822036638	nuclear speck
GO:0005245	0.670517990855456	voltage-gated calcium channel activity
GO:0008373	0.668734087723129	sialyltransferase activity
GO:0001501	0.666896867259324	skeletal system development
GO:0051216	0.666896867259324	cartilage development
GO:0061448	0.666896867259324	connective tissue development
GO:0070840	0.666523396524045	dynein complex binding
GO:0001775	0.665349795826083	cell activation
GO:0002063	0.664196879942485	chondrocyte development
GO:0032330	0.664196879942485	regulation of chondrocyte differentiation
GO:0061035	0.664196879942485	regulation of cartilage development
GO:0061181	0.664196879942485	regulation of chondrocyte development
GO:0061572	0.664196879942485	actin filament bundle organization
GO:0031005	0.664196879942485	filamin binding
GO:0007129	0.66407608980085	synapsis
GO:0007130	0.66407608980085	synaptonemal complex assembly
GO:0045143	0.66407608980085	homologous chromosome segregation
GO:0070192	0.66407608980085	chromosome organization involved in meiotic cell cycle
GO:0070193	0.66407608980085	synaptonemal complex organization
GO:0001503	0.656998124748769	ossification
GO:0005249	0.656998124748769	voltage-gated potassium channel activity
GO:0040012	0.656575286128163	regulation of locomotion
GO:2000145	0.656575286128163	regulation of cell motility
GO:0018195	0.656096917991967	peptidyl-arginine modification
GO:0007517	0.656084974378152	muscle organ development
GO:0061061	0.656084974378152	muscle structure development
GO:0002682	0.653418293716585	regulation of immune system process
GO:0018101	0.653396930675127	protein citrullination
GO:0016055	0.65338683650794	Wnt signaling pathway
GO:0198738	0.65338683650794	cell-cell signaling by wnt
GO:1905114	0.65338683650794	cell surface receptor signaling pathway involved in cell-cell signaling
GO:0004511	0.648646453671454	tyrosine 3-monooxygenase activity
GO:0050817	0.646646962383029	coagulation
GO:0015016	0.643800260928729	[heparan sulfate]-glucosamine N-sulfotransferase activity
GO:0034483	0.643800260928729	heparan sulfate sulfotransferase activity
GO:0031490	0.643078672953244	chromatin DNA binding
GO:0031492	0.643078672953244	nucleosomal DNA binding
GO:0002062	0.64259698140777	chondrocyte differentiation
GO:0004984	0.642324079152267	olfactory receptor activity
GO:0002684	0.641952256290749	positive regulation of immune system process
GO:0004415	0.640460287817108	hyalurononglucosaminidase activity
GO:0015929	0.640460287817108	hexosaminidase activity
GO:0007219	0.639435513397009	Notch signaling pathway
GO:0062023	0.639435513397009	collagen-containing extracellular matrix
GO:0046658	0.639294146546035	anchored component of plasma membrane
GO:0007156	0.638686115959467	homophilic cell adhesion via plasma membrane adhesion molecules
GO:0098742	0.638686115959467	cell-cell adhesion via plasma-membrane adhesion molecules
GO:0007212	0.637510892235034	dopamine receptor signaling pathway
GO:0048268	0.637510892235034	clathrin coat assembly
GO:0030276	0.637510892235034	clathrin binding
GO:0032051	0.637510892235034	clathrin light chain binding
GO:0031012	0.637200820304087	extracellular matrix
GO:0000795	0.636693508193485	synaptonemal complex
GO:0099086	0.636693508193485	synaptonemal structure
GO:0005882	0.635926428961508	intermediate filament
GO:0045111	0.635926428961508	intermediate filament cytoskeleton
GO:0007599	0.635847013115671	hemostasis
GO:0050878	0.635847013115671	regulation of body fluid levels
GO:0008201	0.635573719736859	heparin binding
GO:0030212	0.634067967953512	hyaluronan metabolic process
GO:1903510	0.634067967953512	mucopolysaccharide metabolic process
GO:0050778	0.63217012667108	positive regulation of immune response
GO:0019882	0.631943111516824	antigen processing and presentation
GO:0042613	0.631943111516824	MHC class II protein complex
GO:0042611	0.631943111516824	MHC protein complex
GO:0002520	0.631797032140412	immune system development
GO:0031109	0.631390737020567	microtubule polymerization or depolymerization
GO:0031110	0.631390737020567	regulation of microtubule polymerization or depolymerization
GO:0005576	0.631292953819639	extracellular region
GO:0050776	0.63100257180521	regulation of immune response
GO:0051240	0.630706018333569	positive regulation of multicellular organismal process
GO:0045321	0.629098105215916	leukocyte activation
GO:0046649	0.629098105215916	lymphocyte activation
GO:0008544	0.626397057506733	epidermis development
GO:0008384	0.626375330798614	IkappaB kinase activity
GO:0030168	0.623591440439509	platelet activation
GO:0005577	0.623591440439509	fibrinogen complex
GO:0008009	0.623591440439509	chemokine activity
GO:0042379	0.623591440439509	chemokine receptor binding
GO:0070851	0.623339770156732	growth factor receptor binding
GO:0051262	0.62230957254235	protein tetramerization
GO:2000026	0.62223250922862	regulation of multicellular organismal development
GO:0043292	0.621963239793509	contractile fiber
GO:0005861	0.621963239793509	troponin complex
GO:0005865	0.621963239793509	striated muscle thin filament
GO:0030016	0.621963239793509	myofibril
GO:0030017	0.621963239793509	sarcomere
GO:0036379	0.621963239793509	myofilament
