ann_term	q_val	annotation
GO:0046660	0.999711754282014	female sex differentiation
GO:0006672	0.999711754282014	ceramide metabolic process
GO:0140103	0.996352854012801	catalytic activity, acting on a glycoprotein
GO:0006351	0.994804029949955	transcription, DNA-templated
GO:0097659	0.994804029949955	nucleic acid-templated transcription
GO:0000098	0.993768373012473	sulfur amino acid catabolic process
GO:0030328	0.993768373012473	prenylcysteine catabolic process
GO:0030329	0.993768373012473	prenylcysteine metabolic process
GO:0001700	0.991407575761193	embryonic development via the syncytial blastoderm
GO:0002065	0.991407575761193	columnar/cuboidal epithelial cell differentiation
GO:0002066	0.991407575761193	columnar/cuboidal epithelial cell development
GO:0007289	0.991407575761193	spermatid nucleus differentiation
GO:0007291	0.991407575761193	sperm individualization
GO:0007292	0.991407575761193	female gamete generation
GO:0007304	0.991407575761193	chorion-containing eggshell formation
GO:0007617	0.991407575761193	mating behavior
GO:0009792	0.991407575761193	embryo development ending in birth or egg hatching
GO:0019098	0.991407575761193	reproductive behavior
GO:0030703	0.991407575761193	eggshell formation
GO:0030707	0.991407575761193	ovarian follicle cell development
GO:0035092	0.991407575761193	sperm chromatin condensation
GO:0045924	0.991407575761193	regulation of female receptivity
GO:0046008	0.991407575761193	regulation of female receptivity, post-mating
GO:0048477	0.991407575761193	oogenesis
GO:0060180	0.991407575761193	female mating behavior
GO:0005213	0.991407575761193	structural constituent of chorion
GO:0003352	0.991407575761193	regulation of cilium movement
GO:0060632	0.991407575761193	regulation of microtubule-based movement
GO:0034464	0.989676091598675	BBSome
GO:0007015	0.986368907926487	actin filament organization
GO:0050912	0.981259337848674	detection of chemical stimulus involved in sensory perception of taste
GO:0009593	0.981259337848674	detection of chemical stimulus
GO:0050906	0.981259337848674	detection of stimulus involved in sensory perception
GO:0050907	0.981259337848674	detection of chemical stimulus involved in sensory perception
GO:0008527	0.981259337848674	taste receptor activity
GO:0032774	0.981259337848674	RNA biosynthetic process
GO:0051253	0.979901443755361	negative regulation of RNA metabolic process
GO:0070273	0.97862256604892	phosphatidylinositol-4-phosphate binding
GO:0009664	0.97822949837789	plant-type cell wall organization
GO:0071669	0.97822949837789	plant-type cell wall organization or biogenesis
GO:0009878	0.970752399378627	nodule morphogenesis
GO:0010098	0.970752399378627	suspensor development
GO:0042381	0.970752399378627	hemolymph coagulation
GO:0044111	0.970752399378627	development involved in symbiotic interaction
GO:0017080	0.970752399378627	sodium channel regulator activity
GO:0019871	0.970752399378627	sodium channel inhibitor activity
GO:0007423	0.969838544043796	sensory organ development
GO:0007271	0.969364203746216	synaptic transmission, cholinergic
GO:0022898	0.969364203746216	regulation of transmembrane transporter activity
GO:0030431	0.969364203746216	sleep
GO:0032222	0.969364203746216	regulation of synaptic transmission, cholinergic
GO:0032409	0.969364203746216	regulation of transporter activity
GO:0032411	0.969364203746216	positive regulation of transporter activity
GO:0032412	0.969364203746216	regulation of ion transmembrane transporter activity
GO:0032414	0.969364203746216	positive regulation of ion transmembrane transporter activity
GO:0034762	0.969364203746216	regulation of transmembrane transport
