ann_term	CC	annotation
GO:0045995	0.960028760574516	regulation of embryonic development
GO:0034703	0.954185628400017	cation channel complex
GO:0016477	0.947691321497008	cell migration
GO:0030334	0.947691321497008	regulation of cell migration
GO:0048018	0.945805943184499	receptor ligand activity
GO:0030545	0.945805943184499	receptor regulator activity
GO:0005102	0.945027597279038	signaling receptor binding
GO:0001518	0.944833893417243	voltage-gated sodium channel complex
GO:0034706	0.944833893417243	sodium channel complex
GO:0005248	0.944833893417243	voltage-gated sodium channel activity
GO:0022843	0.943675988777241	voltage-gated cation channel activity
GO:0030155	0.940853456459797	regulation of cell adhesion
GO:0051239	0.939728344002059	regulation of multicellular organismal process
GO:0007517	0.936128647093778	muscle organ development
GO:0061061	0.936128647093778	muscle structure development
GO:0008083	0.93570560836592	growth factor activity
GO:0001501	0.930969468108488	skeletal system development
GO:0051216	0.930969468108488	cartilage development
GO:0061448	0.930969468108488	connective tissue development
GO:0010942	0.926938933276337	positive regulation of cell death
GO:0043065	0.926938933276337	positive regulation of apoptotic process
GO:0043068	0.926938933276337	positive regulation of programmed cell death
GO:0002062	0.926486679055887	chondrocyte differentiation
GO:0007275	0.925297086154064	multicellular organism development
GO:0051262	0.924944071088435	protein tetramerization
GO:0050793	0.924642675197504	regulation of developmental process
GO:0002063	0.923733863140696	chondrocyte development
GO:0032330	0.923733863140696	regulation of chondrocyte differentiation
GO:0061035	0.923733863140696	regulation of cartilage development
GO:0061181	0.923733863140696	regulation of chondrocyte development
GO:0061572	0.923733863140696	actin filament bundle organization
GO:0031005	0.923733863140696	filamin binding
GO:0005164	0.921892059903138	tumor necrosis factor receptor binding
GO:0032813	0.921892059903138	tumor necrosis factor receptor superfamily binding
GO:2000026	0.919820168453963	regulation of multicellular organismal development
GO:0051694	0.918673874536984	pointed-end actin filament capping
GO:0005523	0.918673874536984	tropomyosin binding
GO:0040012	0.918632572801128	regulation of locomotion
GO:2000145	0.918632572801128	regulation of cell motility
GO:0032502	0.918025261400309	developmental process
GO:0005539	0.916050284838528	glycosaminoglycan binding
GO:0030141	0.914201094439881	secretory granule
GO:0099503	0.914201094439881	secretory vesicle
GO:0005249	0.913290278062925	voltage-gated potassium channel activity
GO:0005246	0.913129891850204	calcium channel regulator activity
GO:0048856	0.91257553480545	anatomical structure development
GO:0007212	0.909904740775791	dopamine receptor signaling pathway
GO:0048268	0.909904740775791	clathrin coat assembly
GO:0030276	0.909904740775791	clathrin binding
GO:0032051	0.909904740775791	clathrin light chain binding
GO:0030212	0.909197828733228	hyaluronan metabolic process
GO:1903510	0.909197828733228	mucopolysaccharide metabolic process
GO:0030168	0.904878722279555	platelet activation
GO:0005577	0.904878722279555	fibrinogen complex
GO:0006955	0.90482900501707	immune response
GO:0002376	0.904333076582406	immune system process
GO:0016604	0.903525163014904	nuclear body
GO:0016607	0.903525163014904	nuclear speck
GO:0034702	0.902004517594198	ion channel complex
