ann_term	q_val	annotation
GO:0007093	0.99902574817591	mitotic cell cycle checkpoint
GO:0010639	0.996969943442481	negative regulation of organelle organization
GO:0070273	0.991564327934973	phosphatidylinositol-4-phosphate binding
GO:0006658	0.991564327934973	phosphatidylserine metabolic process
GO:0006659	0.991564327934973	phosphatidylserine biosynthetic process
GO:0070461	0.991013699488156	SAGA-type complex
GO:0005815	0.990254679085767	microtubule organizing center
GO:0016984	0.99013186109366	ribulose-bisphosphate carboxylase activity
GO:0030597	0.99013186109366	RNA glycosylase activity
GO:0030598	0.99013186109366	rRNA N-glycosylase activity
GO:0043933	0.989167926626269	protein-containing complex subunit organization
GO:0008830	0.986743219250109	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0010817	0.983433719682014	regulation of hormone levels
GO:0042445	0.983433719682014	hormone metabolic process
GO:0000124	0.982866155303214	SAGA complex
GO:0000314	0.975857086625888	organellar small ribosomal subunit
GO:0005763	0.975857086625888	mitochondrial small ribosomal subunit
GO:0015935	0.975857086625888	small ribosomal subunit
GO:0000981	0.973943356125234	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0004448	0.969106251566298	isocitrate dehydrogenase activity
GO:0004450	0.969106251566298	isocitrate dehydrogenase (NADP+) activity
GO:0008047	0.969051787947462	enzyme activator activity
GO:0055065	0.968938155897926	metal ion homeostasis
GO:0006928	0.961652509472132	movement of cell or subcellular component
GO:1902554	0.959417153184717	serine/threonine protein kinase complex
GO:0015238	0.959394120553289	drug transmembrane transporter activity
GO:0016168	0.959394120553289	chlorophyll binding
GO:0003954	0.957598101366355	NADH dehydrogenase activity
GO:0042803	0.957488024164246	protein homodimerization activity
GO:0004529	0.956123620849482	exodeoxyribonuclease activity
GO:0016895	0.956123620849482	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0019835	0.953502763983112	cytolysis
GO:0044179	0.953502763983112	hemolysis in other organism
GO:0051715	0.953502763983112	cytolysis in other organism
GO:0004526	0.951138320500097	ribonuclease P activity
GO:0005186	0.950829850186651	pheromone activity
GO:0007157	0.948370107782192	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0008982	0.948370107782192	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0006817	0.947823965375669	phosphate ion transport
GO:0004097	0.938972738310606	catechol oxidase activity
GO:0032182	0.936415535728313	ubiquitin-like protein binding
GO:0007051	0.935920800389161	spindle organization
GO:0005200	0.930825218451612	structural constituent of cytoskeleton
GO:0006811	0.927973447171255	ion transport
GO:0007052	0.927973447171255	mitotic spindle organization
GO:0006450	0.926174601061686	regulation of translational fidelity
GO:0001101	0.925678492663268	response to acid chemical
GO:0016246	0.925091235738211	RNA interference
GO:0009690	0.922082890571861	cytokinin metabolic process
GO:0034754	0.922082890571861	cellular hormone metabolic process
GO:0019139	0.922082890571861	cytokinin dehydrogenase activity
GO:0008297	0.916841973145085	single-stranded DNA exodeoxyribonuclease activity
GO:0008409	0.916841973145085	5'-3' exonuclease activity
GO:0035312	0.916841973145085	5'-3' exodeoxyribonuclease activity
GO:0045145	0.916841973145085	single-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0048038	0.914035399680018	quinone binding
GO:0009791	0.914035399680018	post-embryonic development
