ann_term	CC	annotation
GO:0002376	0.930172882200362	immune system process
GO:0006955	0.930172882200362	immune response
GO:0048018	0.915233594137503	receptor ligand activity
GO:0030545	0.915233594137503	receptor regulator activity
GO:0048856	0.89130511497141	anatomical structure development
GO:0008083	0.889823780627349	growth factor activity
GO:0005102	0.888087117369641	signaling receptor binding
GO:0032502	0.887161126260965	developmental process
GO:0022843	0.885846632394778	voltage-gated cation channel activity
GO:0009888	0.883481737161494	tissue development
GO:0007275	0.883212450010137	multicellular organism development
GO:0001518	0.872632300556457	voltage-gated sodium channel complex
GO:0034706	0.872632300556457	sodium channel complex
GO:0005248	0.872632300556457	voltage-gated sodium channel activity
GO:0019209	0.870609221478021	kinase activator activity
GO:0030295	0.870609221478021	protein kinase activator activity
GO:0010942	0.868337120123025	positive regulation of cell death
GO:0043065	0.868337120123025	positive regulation of apoptotic process
GO:0043068	0.868337120123025	positive regulation of programmed cell death
GO:0045995	0.86689857027256	regulation of embryonic development
GO:0005126	0.864421359462758	cytokine receptor binding
GO:0030141	0.864405774399509	secretory granule
GO:0099503	0.864405774399509	secretory vesicle
GO:0005891	0.864054558877903	voltage-gated calcium channel complex
GO:0048513	0.863474396631186	animal organ development
GO:0034703	0.861063282809868	cation channel complex
GO:0005245	0.857764068482005	voltage-gated calcium channel activity
GO:0005179	0.85708107144749	hormone activity
GO:0008373	0.855701865201727	sialyltransferase activity
GO:0005125	0.84969737942087	cytokine activity
GO:0005164	0.848700368376316	tumor necrosis factor receptor binding
GO:0032813	0.848700368376316	tumor necrosis factor receptor superfamily binding
GO:0034702	0.846221309675137	ion channel complex
GO:0005539	0.845894393967323	glycosaminoglycan binding
GO:0070840	0.842690620030751	dynein complex binding
GO:0034704	0.842494470606063	calcium channel complex
GO:0018149	0.839107899238827	peptide cross-linking
GO:0001664	0.838183995365824	G protein-coupled receptor binding
GO:0048731	0.836910773920903	system development
GO:0003810	0.836483276644028	protein-glutamine gamma-glutamyltransferase activity
GO:0016477	0.834436992885371	cell migration
GO:0030334	0.834436992885371	regulation of cell migration
GO:0016604	0.832012620954874	nuclear body
GO:0016607	0.832012620954874	nuclear speck
GO:0007517	0.826566309035498	muscle organ development
GO:0061061	0.826566309035498	muscle structure development
GO:0051694	0.824644872959448	pointed-end actin filament capping
GO:0005523	0.824644872959448	tropomyosin binding
GO:0016247	0.823358972318537	channel regulator activity
GO:0099106	0.823358972318537	ion channel regulator activity
GO:0051239	0.823213379912378	regulation of multicellular organismal process
GO:0005576	0.823017743868849	extracellular region
GO:0016055	0.822964296088023	Wnt signaling pathway
GO:0198738	0.822964296088023	cell-cell signaling by wnt
GO:1905114	0.822964296088023	cell surface receptor signaling pathway involved in cell-cell signaling
GO:0030155	0.820988790868012	regulation of cell adhesion
GO:0008201	0.819479604775996	heparin binding
GO:0004860	0.818771534576122	protein kinase inhibitor activity
GO:0019210	0.818771534576122	kinase inhibitor activity
GO:0004415	0.815539206195892	hyalurononglucosaminidase activity
GO:0015929	0.815539206195892	hexosaminidase activity
GO:0009611	0.814398914101509	response to wounding
GO:0031012	0.813178108618157	extracellular matrix
GO:0007156	0.813133980307568	homophilic cell adhesion via plasma membrane adhesion molecules
GO:0098742	0.813133980307568	cell-cell adhesion via plasma-membrane adhesion molecules
GO:0007219	0.812323186084683	Notch signaling pathway
GO:0004675	0.811933987081528	transmembrane receptor protein serine/threonine kinase activity
GO:0047961	0.809389282538903	glycine N-acyltransferase activity
GO:0043292	0.808939466955	contractile fiber
GO:0005861	0.808939466955	troponin complex
GO:0005865	0.808939466955	striated muscle thin filament
GO:0030016	0.808939466955	myofibril
GO:0030017	0.808939466955	sarcomere
GO:0036379	0.808939466955	myofilament
GO:0044449	0.808939466955	contractile fiber part
GO:0031109	0.807599302696933	microtubule polymerization or depolymerization
GO:0031110	0.807599302696933	regulation of microtubule polymerization or depolymerization
GO:0007267	0.805187880848712	cell-cell signaling
GO:0001501	0.803631739907589	skeletal system development
GO:0051216	0.803631739907589	cartilage development
GO:0061448	0.803631739907589	connective tissue development
GO:0002063	0.803480225627818	chondrocyte development
GO:0032330	0.803480225627818	regulation of chondrocyte differentiation
GO:0061035	0.803480225627818	regulation of cartilage development
GO:0061181	0.803480225627818	regulation of chondrocyte development
GO:0061572	0.803480225627818	actin filament bundle organization
GO:0031005	0.803480225627818	filamin binding
GO:0004984	0.801735470195117	olfactory receptor activity
GO:0030212	0.801649327551656	hyaluronan metabolic process
GO:1903510	0.801649327551656	mucopolysaccharide metabolic process
GO:0002682	0.801455293561839	regulation of immune system process
GO:0018195	0.801434782850904	peptidyl-arginine modification
GO:0051240	0.80123101449477	positive regulation of multicellular organismal process
GO:0046658	0.800425302454642	anchored component of plasma membrane
GO:0018101	0.800071154332961	protein citrullination
GO:0051262	0.799635821311719	protein tetramerization
GO:0015016	0.798960686976367	[heparan sulfate]-glucosamine N-sulfotransferase activity
GO:0034483	0.798960686976367	heparan sulfate sulfotransferase activity
GO:0062023	0.798571487973212	collagen-containing extracellular matrix
GO:0044421	0.798277896728676	extracellular region part
GO:0007166	0.797539085167395	cell surface receptor signaling pathway
GO:0042060	0.797538127458223	wound healing
GO:0019199	0.79720137545134	transmembrane receptor protein kinase activity
GO:0001933	0.796504941847368	negative regulation of protein phosphorylation
GO:0006469	0.796504941847368	negative regulation of protein kinase activity
GO:0033673	0.796504941847368	negative regulation of kinase activity
GO:0042326	0.796504941847368	negative regulation of phosphorylation
GO:0051348	0.796504941847368	negative regulation of transferase activity
GO:0004862	0.796504941847368	cAMP-dependent protein kinase inhibitor activity
GO:0002062	0.795601483079704	chondrocyte differentiation
GO:0008277	0.7954275273563	regulation of G protein-coupled receptor signaling pathway
GO:0015026	0.7954275273563	coreceptor activity
GO:0050817	0.791169690396391	coagulation
GO:0040012	0.790841788771537	regulation of locomotion
GO:2000145	0.790841788771537	regulation of cell motility
GO:0005184	0.790066277328449	neuropeptide hormone activity
GO:0005581	0.789664892223408	collagen trimer
GO:0007599	0.788896976199819	hemostasis
GO:0050878	0.788896976199819	regulation of body fluid levels
GO:0005249	0.788682293276648	voltage-gated potassium channel activity
GO:0032501	0.788571513211121	multicellular organismal process
GO:0030507	0.788215211316433	spectrin binding
GO:0001775	0.788060794227573	cell activation
GO:0001503	0.786662421367153	ossification
GO:0044057	0.785911982575495	regulation of system process
GO:0042470	0.785828812034448	melanosome
GO:0048770	0.785828812034448	pigment granule
GO:0005217	0.785571002500007	intracellular ligand-gated ion channel activity
GO:0005219	0.785571002500007	ryanodine-sensitive calcium-release channel activity
GO:0015278	0.785571002500007	calcium-release channel activity
GO:0099094	0.785571002500007	ligand-gated cation channel activity
GO:0099604	0.785571002500007	ligand-gated calcium channel activity
GO:0032400	0.785525783474905	melanosome localization
GO:0032401	0.785525783474905	establishment of melanosome localization
GO:0032402	0.785525783474905	melanosome transport
GO:0033059	0.785525783474905	cellular pigmentation
GO:0043473	0.785525783474905	pigmentation
GO:0051875	0.785525783474905	pigment granule localization
GO:0051904	0.785525783474905	pigment granule transport
GO:0051905	0.785525783474905	establishment of pigment granule localization
GO:0003013	0.785403888936333	circulatory system process
GO:0008015	0.785403888936333	blood circulation
GO:0005201	0.785273855365422	extracellular matrix structural constituent
GO:0004511	0.784564862076524	tyrosine 3-monooxygenase activity
GO:0007399	0.784208508226481	nervous system development
GO:0005540	0.783770730810455	hyaluronic acid binding
GO:0009790	0.783579231164695	embryo development
GO:0071855	0.783374174580422	neuropeptide receptor binding
GO:0031490	0.783011114453836	chromatin DNA binding
GO:0031492	0.783011114453836	nucleosomal DNA binding
GO:0098609	0.782045932998918	cell-cell adhesion
GO:0035988	0.781813683620506	chondrocyte proliferation
GO:0050776	0.781600310569072	regulation of immune response
GO:0008437	0.781510655060963	thyrotropin-releasing hormone activity
GO:0007212	0.780835867782072	dopamine receptor signaling pathway
GO:0048268	0.780835867782072	clathrin coat assembly
GO:0030276	0.780835867782072	clathrin binding
GO:0032051	0.780835867782072	clathrin light chain binding
GO:0030054	0.780648698942272	cell junction
GO:0007129	0.780504414558698	synapsis
GO:0007130	0.780504414558698	synaptonemal complex assembly
GO:0045143	0.780504414558698	homologous chromosome segregation
GO:0070192	0.780504414558698	chromosome organization involved in meiotic cell cycle
GO:0070193	0.780504414558698	synaptonemal complex organization
GO:0010506	0.780071269403134	regulation of autophagy
GO:0005882	0.779851151308346	intermediate filament
GO:0045111	0.779851151308346	intermediate filament cytoskeleton
GO:0019882	0.77974824444619	antigen processing and presentation
GO:0008384	0.779592869683921	IkappaB kinase activity
GO:0042613	0.779437494921652	MHC class II protein complex
