ann_term	q_val	annotation
GO:0016247	0.00346763221241607	channel regulator activity
GO:0099106	0.00346763221241607	ion channel regulator activity
GO:0032879	0.0107834332866051	regulation of localization
GO:2000026	0.0107834332866051	regulation of multicellular organismal development
GO:0048584	0.0107834332866051	positive regulation of response to stimulus
GO:0022843	0.0115158940800912	voltage-gated cation channel activity
GO:0002682	0.0215166680700889	regulation of immune system process
GO:0050776	0.0215166680700889	regulation of immune response
GO:0005249	0.0325389179850358	voltage-gated potassium channel activity
GO:0007275	0.0341383191804533	multicellular organism development
GO:0051262	0.0341383191804533	protein tetramerization
GO:0048731	0.0341383191804533	system development
GO:0045995	0.0341383191804533	regulation of embryonic development
GO:0016604	0.0341383191804533	nuclear body
GO:0016607	0.0341383191804533	nuclear speck
GO:0042613	0.0341383191804533	MHC class II protein complex
GO:0042611	0.0341383191804533	MHC protein complex
GO:0001518	0.0341383191804533	voltage-gated sodium channel complex
GO:0034706	0.0341383191804533	sodium channel complex
GO:0005248	0.0341383191804533	voltage-gated sodium channel activity
GO:0008083	0.0361036336120333	growth factor activity
GO:0032502	0.0375321050479919	developmental process
GO:0048856	0.0424161580964139	anatomical structure development
GO:0005540	0.0424161580964139	hyaluronic acid binding
GO:0016477	0.0424161580964139	cell migration
GO:0030334	0.0424161580964139	regulation of cell migration
GO:0005539	0.0424161580964139	glycosaminoglycan binding
GO:0048513	0.0439721488445175	animal organ development
GO:0007417	0.0439721488445175	central nervous system development
GO:0007420	0.0439721488445175	brain development
GO:0060322	0.0439721488445175	head development
GO:0002684	0.0484257205694759	positive regulation of immune system process
GO:0005246	0.061486231089308	calcium channel regulator activity
GO:0050793	0.0618301466893525	regulation of developmental process
GO:0007517	0.0632600340259991	muscle organ development
GO:0061061	0.0632600340259991	muscle structure development
GO:0050778	0.0632600340259991	positive regulation of immune response
GO:0007212	0.0632600340259991	dopamine receptor signaling pathway
GO:0048268	0.0632600340259991	clathrin coat assembly
GO:0030276	0.0632600340259991	clathrin binding
GO:0032051	0.0632600340259991	clathrin light chain binding
GO:0007129	0.0632600340259991	synapsis
GO:0007130	0.0632600340259991	synaptonemal complex assembly
GO:0045143	0.0632600340259991	homologous chromosome segregation
GO:0070192	0.0632600340259991	chromosome organization involved in meiotic cell cycle
GO:0070193	0.0632600340259991	synaptonemal complex organization
GO:0002376	0.0687002583425754	immune system process
GO:0035257	0.0687002583425754	nuclear hormone receptor binding
GO:0051427	0.0687002583425754	hormone receptor binding
GO:0019882	0.0688041298604048	antigen processing and presentation
GO:0006955	0.0690492358892724	immune response
GO:0030141	0.0732714298233235	secretory granule
GO:0099503	0.0732714298233235	secretory vesicle
GO:0004511	0.0774318956158184	tyrosine 3-monooxygenase activity
GO:0001775	0.084410942815703	cell activation
GO:0051270	0.0919671563645237	regulation of cellular component movement
GO:0042113	0.107353210544286	B cell activation
GO:0007399	0.11035320683994	nervous system development
GO:0051239	0.11035320683994	regulation of multicellular organismal process
GO:0071107	0.135212191997362	response to parathyroid hormone
GO:0030155	0.142765835335364	regulation of cell adhesion
GO:0010942	0.142765835335364	positive regulation of cell death
GO:0043065	0.142765835335364	positive regulation of apoptotic process
