ann_term	q_val	annotation
GO:0016567	1	protein ubiquitination
GO:0043227	1	membrane-bounded organelle
GO:0098798	1	mitochondrial protein complex
GO:0006817	0.992836497490737	phosphate ion transport
GO:0016799	0.992836497490737	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0000062	0.985451860504131	fatty-acyl-CoA binding
GO:0046914	0.985451860504131	transition metal ion binding
GO:1901567	0.985451860504131	fatty acid derivative binding
GO:1901988	0.985451860504131	negative regulation of cell cycle phase transition
GO:1901991	0.985451860504131	negative regulation of mitotic cell cycle phase transition
GO:0010970	0.985451860504131	transport along microtubule
GO:0030705	0.985451860504131	cytoskeleton-dependent intracellular transport
GO:0032465	0.985451860504131	regulation of cytokinesis
GO:0042073	0.985451860504131	intraciliary transport
GO:0051302	0.985451860504131	regulation of cell division
GO:0099111	0.985451860504131	microtubule-based transport
GO:0004448	0.981449980251368	isocitrate dehydrogenase activity
GO:0004450	0.981449980251368	isocitrate dehydrogenase (NADP+) activity
GO:0006040	0.980412575737697	amino sugar metabolic process
GO:0043231	0.972791612297419	intracellular membrane-bounded organelle
GO:0036459	0.972791612297419	thiol-dependent ubiquitinyl hydrolase activity
GO:0008270	0.972791612297419	zinc ion binding
GO:0019900	0.972791612297419	kinase binding
GO:0101005	0.972791612297419	ubiquitinyl hydrolase activity
GO:0033108	0.972791612297419	mitochondrial respiratory chain complex assembly
GO:0015850	0.972791612297419	organic hydroxy compound transport
GO:0005186	0.972791612297419	pheromone activity
GO:0009267	0.966412675978554	cellular response to starvation
GO:0009991	0.966412675978554	response to extracellular stimulus
GO:0031667	0.966412675978554	response to nutrient levels
GO:0031668	0.966412675978554	cellular response to extracellular stimulus
GO:0031669	0.966412675978554	cellular response to nutrient levels
GO:0042594	0.966412675978554	response to starvation
GO:0071496	0.966412675978554	cellular response to external stimulus
GO:0010817	0.966412675978554	regulation of hormone levels
GO:0042445	0.966412675978554	hormone metabolic process
GO:0001932	0.960698696390344	regulation of protein phosphorylation
GO:0098803	0.960698696390344	respiratory chain complex
GO:0015238	0.960698696390344	drug transmembrane transporter activity
GO:0001101	0.960698696390344	response to acid chemical
GO:0006625	0.960698696390344	protein targeting to peroxisome
GO:0015919	0.960698696390344	peroxisomal membrane transport
GO:0043574	0.960698696390344	peroxisomal transport
GO:0072662	0.960698696390344	protein localization to peroxisome
GO:0072663	0.960698696390344	establishment of protein localization to peroxisome
GO:0004097	0.960698696390344	catechol oxidase activity
GO:0030990	0.960698696390344	intraciliary transport particle
GO:0030991	0.960698696390344	intraciliary transport particle A
GO:0022402	0.947487875328017	cell cycle process
GO:0031399	0.947487875328017	regulation of protein modification process
GO:0008509	0.947487875328017	anion transmembrane transporter activity
GO:0019901	0.947487875328017	protein kinase binding
GO:0003352	0.939027795652621	regulation of cilium movement
GO:0060632	0.939027795652621	regulation of microtubule-based movement
GO:0008830	0.939027795652621	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0016984	0.938773720397786	ribulose-bisphosphate carboxylase activity
GO:0030597	0.938773720397786	RNA glycosylase activity
GO:0030598	0.938773720397786	rRNA N-glycosylase activity
GO:0009074	0.933786092216439	aromatic amino acid family catabolic process
GO:0030417	0.932470975443139	nicotianamine metabolic process
GO:0030418	0.932470975443139	nicotianamine biosynthetic process
GO:0072351	0.932470975443139	tricarboxylic acid biosynthetic process
GO:0030410	0.932470975443139	nicotianamine synthase activity
GO:0019898	0.932470975443139	extrinsic component of membrane
GO:0016863	0.932470975443139	intramolecular oxidoreductase activity, transposing C=C bonds
GO:0047750	0.932470975443139	cholestenol delta-isomerase activity
GO:0006665	0.927551788744534	sphingolipid metabolic process
GO:0009690	0.927449856262682	cytokinin metabolic process
GO:0034754	0.927449856262682	cellular hormone metabolic process
GO:0019139	0.927449856262682	cytokinin dehydrogenase activity
GO:0045926	0.926410390408764	negative regulation of growth
GO:0007157	0.92227428051876	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0008982	0.92227428051876	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0071840	0.921138396323636	cellular component organization or biogenesis
GO:0000313	0.921138396323636	organellar ribosome
GO:0005761	0.921138396323636	mitochondrial ribosome
GO:0020037	0.921138396323636	heme binding
GO:0016651	0.914051946836278	oxidoreductase activity, acting on NAD(P)H
GO:0006403	0.906394588477286	RNA localization
GO:0050657	0.906394588477286	nucleic acid transport
GO:0050658	0.906394588477286	RNA transport
GO:0051187	0.906394588477286	cofactor catabolic process
GO:0051236	0.906394588477286	establishment of RNA localization
GO:0098800	0.906394588477286	inner mitochondrial membrane protein complex
GO:0003777	0.906394588477286	microtubule motor activity
GO:0016168	0.906394588477286	chlorophyll binding
GO:0009791	0.902293839767298	post-embryonic development
GO:0019835	0.893987568509499	cytolysis
GO:0044179	0.893987568509499	hemolysis in other organism
GO:0051715	0.893987568509499	cytolysis in other organism
GO:0051606	0.89387943827708	detection of stimulus
GO:0008150	0.893247626258946	biological_process
GO:0044087	0.893247626258946	regulation of cellular component biogenesis
GO:0005694	0.893247626258946	chromosome
GO:0019783	0.893247626258946	ubiquitin-like protein-specific protease activity
GO:0031369	0.893247626258946	translation initiation factor binding
GO:0006012	0.893247626258946	galactose metabolic process
GO:0008108	0.893247626258946	UDP-glucose:hexose-1-phosphate uridylyltransferase activity
GO:0046556	0.892583845665725	alpha-L-arabinofuranosidase activity
GO:0016246	0.887903355879315	RNA interference
GO:0006308	0.884974241728624	DNA catabolic process
GO:0006486	0.87948400839297	protein glycosylation
GO:0009101	0.87948400839297	glycoprotein biosynthetic process
GO:0043413	0.87948400839297	macromolecule glycosylation
GO:0005506	0.87948400839297	iron ion binding
GO:0009793	0.877075737463207	embryo development ending in seed dormancy
GO:0009856	0.877075737463207	pollination
GO:0009875	0.877075737463207	pollen-pistil interaction
GO:0010154	0.877075737463207	fruit development
GO:0010374	0.877075737463207	stomatal complex development
GO:0044706	0.877075737463207	multi-multicellular organism process
GO:0048316	0.877075737463207	seed development
GO:0048544	0.877075737463207	recognition of pollen
GO:0048580	0.877075737463207	regulation of post-embryonic development
GO:0048582	0.877075737463207	positive regulation of post-embryonic development
GO:0090558	0.877075737463207	plant epidermis development
GO:2000038	0.877075737463207	regulation of stomatal complex development
GO:2000123	0.877075737463207	positive regulation of stomatal complex development
GO:0010333	0.877075737463207	terpene synthase activity
GO:0001907	0.877075737463207	killing by symbiont of host cells
GO:0044003	0.877075737463207	modification by symbiont of host morphology or physiology
GO:0044004	0.877075737463207	disruption by symbiont of host cell
GO:0051701	0.877075737463207	interaction with host
GO:0001401	0.875455472250604	mitochondrial sorting and assembly machinery complex
GO:0010629	0.868236074732567	negative regulation of gene expression
GO:0070085	0.868236074732567	glycosylation
GO:0003872	0.868236074732567	6-phosphofructokinase activity
GO:0015693	0.868236074732567	magnesium ion transport
GO:0015095	0.868236074732567	magnesium ion transmembrane transporter activity
GO:0006658	0.868236074732567	phosphatidylserine metabolic process
GO:0006659	0.868236074732567	phosphatidylserine biosynthetic process
GO:0009628	0.868236074732567	response to abiotic stimulus
GO:0015996	0.862646765505924	chlorophyll catabolic process
GO:0047746	0.862646765505924	chlorophyllase activity
GO:0005094	0.862232154372598	Rho GDP-dissociation inhibitor activity
GO:0007005	0.85462143777335	mitochondrion organization
GO:0032958	0.85462143777335	inositol phosphate biosynthetic process
GO:0043647	0.85462143777335	inositol phosphate metabolic process
GO:0044427	0.85462143777335	chromosomal part
GO:0044455	0.85462143777335	mitochondrial membrane part
GO:0098799	0.85462143777335	outer mitochondrial membrane protein complex
GO:0005215	0.85462143777335	transporter activity
GO:0008170	0.85462143777335	N-methyltransferase activity
GO:0009606	0.85462143777335	tropism
GO:0009733	0.85462143777335	response to auxin
GO:0010274	0.85462143777335	hydrotropism
GO:0017007	0.85462143777335	protein-bilin linkage
GO:0017009	0.85462143777335	protein-phycocyanobilin linkage
GO:0048046	0.85462143777335	apoplast
GO:0016762	0.85462143777335	xyloglucan:xyloglucosyl transferase activity
GO:0050664	0.85462143777335	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor
GO:0004526	0.846424552382847	ribonuclease P activity
GO:0009772	0.84522515377316	photosynthetic electron transport in photosystem II
GO:0019080	0.84522515377316	viral gene expression
GO:0019083	0.84522515377316	viral transcription
GO:0046782	0.84522515377316	regulation of viral transcription
GO:0050792	0.84522515377316	regulation of viral process
GO:0045156	0.84522515377316	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity
GO:0019915	0.843285487305314	lipid storage
GO:0004197	0.843285487305314	cysteine-type endopeptidase activity
GO:0004529	0.835598792998817	exodeoxyribonuclease activity
GO:0016895	0.835598792998817	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0008772	0.831838404085392	[isocitrate dehydrogenase (NADP+)] kinase activity
GO:0009767	0.83033606649769	photosynthetic electron transport chain
GO:0005811	0.83033606649769	lipid droplet
GO:0012511	0.83033606649769	monolayer-surrounded lipid storage body
GO:0004564	0.83033606649769	beta-fructofuranosidase activity
GO:0004575	0.83033606649769	sucrose alpha-glucosidase activity
GO:0051743	0.83033606649769	red chlorophyll catabolite reductase activity
GO:0090599	0.83033606649769	alpha-glucosidase activity
GO:0008017	0.829831236765322	microtubule binding
GO:0046906	0.829831236765322	tetrapyrrole binding
GO:0044770	0.829831236765322	cell cycle phase transition
GO:1901987	0.829831236765322	regulation of cell cycle phase transition
GO:0005742	0.829831236765322	mitochondrial outer membrane translocase complex
GO:0000281	0.826670595806404	mitotic cytokinesis
GO:0007052	0.824958050573227	mitotic spindle organization
GO:0006450	0.821111659478647	regulation of translational fidelity
GO:0008297	0.819336675988484	single-stranded DNA exodeoxyribonuclease activity
GO:0008409	0.819336675988484	5'-3' exonuclease activity
GO:0035312	0.819336675988484	5'-3' exodeoxyribonuclease activity
GO:0045145	0.819336675988484	single-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0007018	0.816382155014722	microtubule-based movement
GO:0043086	0.816382155014722	negative regulation of catalytic activity
GO:0044092	0.816382155014722	negative regulation of molecular function
GO:0045934	0.816382155014722	negative regulation of nucleobase-containing compound metabolic process
GO:0044030	0.816076603298414	regulation of DNA methylation
GO:0042393	0.809466527150559	histone binding
GO:0002831	0.806147880834363	regulation of response to biotic stimulus
GO:0009415	0.806147880834363	response to water
GO:0009627	0.806147880834363	systemic acquired resistance
GO:0009664	0.806147880834363	plant-type cell wall organization
GO:0009814	0.806147880834363	defense response, incompatible interaction
GO:0009832	0.806147880834363	plant-type cell wall biogenesis
GO:0010112	0.806147880834363	regulation of systemic acquired resistance
GO:0010215	0.806147880834363	cellulose microfibril organization
GO:0070726	0.806147880834363	cell wall assembly
GO:0071668	0.806147880834363	plant-type cell wall assembly
GO:0071669	0.806147880834363	plant-type cell wall organization or biogenesis
GO:0033926	0.806147880834363	glycopeptide alpha-N-acetylgalactosaminidase activity
GO:0000139	0.804042571123239	Golgi membrane
GO:0006527	0.792688790414745	arginine catabolic process
GO:0006805	0.792688790414745	xenobiotic metabolic process
GO:0015813	0.792688790414745	L-glutamate transmembrane transport
GO:0006855	0.792688790414745	drug transmembrane transport
GO:0009407	0.792688790414745	toxin catabolic process
GO:0009410	0.792688790414745	response to xenobiotic stimulus
GO:0009850	0.792688790414745	auxin metabolic process
GO:0009852	0.792688790414745	auxin catabolic process
GO:0010124	0.792688790414745	phenylacetate catabolic process
GO:0015800	0.792688790414745	acidic amino acid transport
GO:0015807	0.792688790414745	L-amino acid transport
GO:0034219	0.792688790414745	carbohydrate transmembrane transport
GO:0042178	0.792688790414745	xenobiotic catabolic process
GO:0042447	0.792688790414745	hormone catabolic process
GO:0042891	0.792688790414745	antibiotic transport
GO:0042908	0.792688790414745	xenobiotic transport
GO:0042919	0.792688790414745	benzoate transport
GO:0071466	0.792688790414745	cellular response to xenobiotic stimulus
GO:1902475	0.792688790414745	L-alpha-amino acid transmembrane transport
GO:1990397	0.792688790414745	queuosine salvage
GO:0000156	0.792688790414745	phosphorelay response regulator activity
GO:0005283	0.792688790414745	amino acid:sodium symporter activity
GO:0004040	0.792688790414745	amidase activity
GO:0015171	0.792688790414745	amino acid transmembrane transporter activity
GO:0005310	0.792688790414745	dicarboxylic acid transmembrane transporter activity
GO:0005343	0.792688790414745	organic acid:sodium symporter activity
GO:0005416	0.792688790414745	amino acid:cation symporter activity
GO:0008791	0.792688790414745	arginine N-succinyltransferase activity
GO:0008924	0.792688790414745	malate dehydrogenase (quinone) activity
GO:0008984	0.792688790414745	protein-glutamate methylesterase activity
GO:0015501	0.792688790414745	glutamate:sodium symporter activity
