ann_term	CC	annotation
GO:0006955	0.78541500234468	immune response
GO:0002376	0.781069691128388	immune system process
GO:0048018	0.752880522755018	receptor ligand activity
GO:0030545	0.752880522755018	receptor regulator activity
GO:0005102	0.739530143176654	signaling receptor binding
GO:0022843	0.73921130549039	voltage-gated cation channel activity
GO:0001518	0.730117193769759	voltage-gated sodium channel complex
GO:0034706	0.730117193769759	sodium channel complex
GO:0005248	0.730117193769759	voltage-gated sodium channel activity
GO:0005126	0.72548224846384	cytokine receptor binding
GO:0048856	0.724474184637217	anatomical structure development
GO:0030141	0.724399686461041	secretory granule
GO:0099503	0.724399686461041	secretory vesicle
GO:0010942	0.719694175312426	positive regulation of cell death
GO:0043065	0.719694175312426	positive regulation of apoptotic process
GO:0043068	0.719694175312426	positive regulation of programmed cell death
GO:0045995	0.71744154804459	regulation of embryonic development
GO:0048513	0.716258752197357	animal organ development
GO:0008083	0.715890022884016	growth factor activity
GO:0032502	0.714233791903802	developmental process
GO:0009888	0.709025239604672	tissue development
GO:0019209	0.70829948535888	kinase activator activity
GO:0030295	0.70829948535888	protein kinase activator activity
GO:0034703	0.705973378674615	cation channel complex
GO:0048731	0.702035001086465	system development
GO:0007275	0.699846167029153	multicellular organism development
GO:0005891	0.695187688649957	voltage-gated calcium channel complex
GO:0005125	0.694625385739285	cytokine activity
GO:0016477	0.691646834548174	cell migration
GO:0030334	0.691646834548174	regulation of cell migration
GO:0051694	0.68736452520049	pointed-end actin filament capping
GO:0005523	0.68736452520049	tropomyosin binding
GO:0005179	0.687226729001939	hormone activity
GO:0018149	0.684711345244384	peptide cross-linking
GO:0003810	0.68187973559262	protein-glutamine gamma-glutamyltransferase activity
GO:0001664	0.680191911343975	G protein-coupled receptor binding
GO:0005245	0.678220273684252	voltage-gated calcium channel activity
GO:0034704	0.678060098463427	calcium channel complex
GO:0016604	0.676879481724047	nuclear body
GO:0016607	0.676879481724047	nuclear speck
GO:0034702	0.673407885094896	ion channel complex
