ann_term	q_val	annotation
GO:0007034	0.998539361234216	vacuolar transport
GO:0009892	0.992502191470453	negative regulation of metabolic process
GO:0048038	0.991217338811566	quinone binding
GO:0072546	0.98925917606899	ER membrane protein complex
GO:0009664	0.988091823397106	plant-type cell wall organization
GO:0071669	0.988091823397106	plant-type cell wall organization or biogenesis
GO:0000281	0.986851338418798	mitotic cytokinesis
GO:0009100	0.980965391983594	glycoprotein metabolic process
GO:0071973	0.976560986126826	bacterial-type flagellum-dependent cell motility
GO:0097588	0.976560986126826	archaeal or bacterial-type flagellum-dependent cell motility
GO:0044085	0.976560986126826	cellular component biogenesis
GO:0003006	0.972909074471968	developmental process involved in reproduction
GO:0033227	0.967295475227242	dsRNA transport
GO:0051032	0.967295475227242	nucleic acid transmembrane transporter activity
GO:0051033	0.967295475227242	RNA transmembrane transporter activity
GO:0008137	0.966504617067841	NADH dehydrogenase (ubiquinone) activity
GO:0050136	0.966504617067841	NADH dehydrogenase (quinone) activity
GO:0006658	0.96613951573758	phosphatidylserine metabolic process
GO:0006659	0.96613951573758	phosphatidylserine biosynthetic process
GO:0003854	0.96424374679246	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0016229	0.96424374679246	steroid dehydrogenase activity
GO:0033764	0.96424374679246	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0016805	0.96424374679246	dipeptidase activity
GO:0050790	0.963597921336124	regulation of catalytic activity
GO:0042600	0.963597921336124	chorion
GO:0008061	0.963597921336124	chitin binding
GO:0007271	0.963597921336124	synaptic transmission, cholinergic
GO:0022898	0.963597921336124	regulation of transmembrane transporter activity
GO:0030431	0.963597921336124	sleep
GO:0032222	0.963597921336124	regulation of synaptic transmission, cholinergic
GO:0032409	0.963597921336124	regulation of transporter activity
GO:0032411	0.963597921336124	positive regulation of transporter activity
GO:0032412	0.963597921336124	regulation of ion transmembrane transporter activity
GO:0032414	0.963597921336124	positive regulation of ion transmembrane transporter activity
GO:0034762	0.963597921336124	regulation of transmembrane transport
GO:0034764	0.963597921336124	positive regulation of transmembrane transport
GO:0034765	0.963597921336124	regulation of ion transmembrane transport
GO:0034767	0.963597921336124	positive regulation of ion transmembrane transport
GO:0043266	0.963597921336124	regulation of potassium ion transport
GO:0043268	0.963597921336124	positive regulation of potassium ion transport
GO:0043270	0.963597921336124	positive regulation of ion transport
GO:0050804	0.963597921336124	modulation of chemical synaptic transmission
GO:0099177	0.963597921336124	regulation of trans-synaptic signaling
GO:1901016	0.963597921336124	regulation of potassium ion transmembrane transporter activity
GO:1901018	0.963597921336124	positive regulation of potassium ion transmembrane transporter activity
GO:1901379	0.963597921336124	regulation of potassium ion transmembrane transport
GO:1901381	0.963597921336124	positive regulation of potassium ion transmembrane transport
GO:1903818	0.963597921336124	positive regulation of voltage-gated potassium channel activity
GO:1904062	0.963597921336124	regulation of cation transmembrane transport
GO:1904064	0.963597921336124	positive regulation of cation transmembrane transport
GO:2001257	0.963597921336124	regulation of cation channel activity
GO:2001259	0.963597921336124	positive regulation of cation channel activity
GO:0006788	0.963597921336124	heme oxidation
GO:0004392	0.963597921336124	heme oxygenase (decyclizing) activity
GO:0006486	0.963597921336124	protein glycosylation
GO:0009101	0.963597921336124	glycoprotein biosynthetic process
GO:0043413	0.963597921336124	macromolecule glycosylation
GO:1901678	0.963597921336124	iron coordination entity transport
GO:0008131	0.963597921336124	primary amine oxidase activity
GO:0065009	0.963597921336124	regulation of molecular function
GO:0009725	0.963597921336124	response to hormone
GO:0001700	0.963597921336124	embryonic development via the syncytial blastoderm
GO:0002065	0.963597921336124	columnar/cuboidal epithelial cell differentiation
GO:0002066	0.963597921336124	columnar/cuboidal epithelial cell development
GO:0007289	0.963597921336124	spermatid nucleus differentiation
GO:0007291	0.963597921336124	sperm individualization
GO:0007292	0.963597921336124	female gamete generation
GO:0007304	0.963597921336124	chorion-containing eggshell formation
GO:0007617	0.963597921336124	mating behavior
GO:0009792	0.963597921336124	embryo development ending in birth or egg hatching
GO:0019098	0.963597921336124	reproductive behavior
GO:0030703	0.963597921336124	eggshell formation
GO:0030707	0.963597921336124	ovarian follicle cell development
GO:0035092	0.963597921336124	sperm chromatin condensation
GO:0045924	0.963597921336124	regulation of female receptivity
GO:0046008	0.963597921336124	regulation of female receptivity, post-mating
GO:0048477	0.963597921336124	oogenesis
GO:0060180	0.963597921336124	female mating behavior
GO:0005213	0.963597921336124	structural constituent of chorion
GO:0010033	0.963597921336124	response to organic substance
GO:0003872	0.963597921336124	6-phosphofructokinase activity
GO:0034219	0.963597921336124	carbohydrate transmembrane transport
GO:0042834	0.963597921336124	peptidoglycan binding
GO:0055070	0.963597921336124	copper ion homeostasis
GO:0009719	0.962419690590237	response to endogenous stimulus
GO:0019829	0.96063233962967	cation-transporting ATPase activity
GO:0022853	0.96063233962967	active ion transmembrane transporter activity
GO:0042625	0.96063233962967	ATPase coupled ion transmembrane transporter activity
GO:0043086	0.956554318243757	negative regulation of catalytic activity
GO:0044092	0.956554318243757	negative regulation of molecular function
GO:0007007	0.954597644012205	inner mitochondrial membrane organization
GO:0042407	0.954597644012205	cristae formation
GO:0098803	0.954151547213655	respiratory chain complex
GO:0032182	0.95153756370092	ubiquitin-like protein binding
