ann_term	CC	annotation
GO:0045995	0.95913988411292	regulation of embryonic development
GO:0034703	0.957868473523769	cation channel complex
GO:0005102	0.950420358455561	signaling receptor binding
GO:0016477	0.948056683392255	cell migration
GO:0030334	0.948056683392255	regulation of cell migration
GO:0048018	0.947952449372048	receptor ligand activity
GO:0030545	0.947952449372048	receptor regulator activity
GO:0001518	0.945114835830664	voltage-gated sodium channel complex
GO:0034706	0.945114835830664	sodium channel complex
GO:0005248	0.945114835830664	voltage-gated sodium channel activity
GO:0008083	0.941149496443559	growth factor activity
GO:0051239	0.940325356439116	regulation of multicellular organismal process
GO:0022843	0.940218437362057	voltage-gated cation channel activity
GO:0030155	0.938200928952911	regulation of cell adhesion
GO:0007275	0.937495188442938	multicellular organism development
GO:0010942	0.937171121439829	positive regulation of cell death
GO:0043065	0.937171121439829	positive regulation of apoptotic process
GO:0043068	0.937171121439829	positive regulation of programmed cell death
GO:0007517	0.935886798959312	muscle organ development
GO:0061061	0.935886798959312	muscle structure development
GO:0032502	0.933245664518541	developmental process
GO:0051262	0.93082298111453	protein tetramerization
GO:0048856	0.928151218280164	anatomical structure development
GO:0001501	0.92596900223103	skeletal system development
GO:0051216	0.92596900223103	cartilage development
GO:0061448	0.92596900223103	connective tissue development
GO:0050793	0.924875033066625	regulation of developmental process
GO:2000026	0.924202328464002	regulation of multicellular organismal development
GO:0002063	0.921624934300345	chondrocyte development
GO:0032330	0.921624934300345	regulation of chondrocyte differentiation
GO:0061035	0.921624934300345	regulation of cartilage development
GO:0061181	0.921624934300345	regulation of chondrocyte development
GO:0061572	0.921624934300345	actin filament bundle organization
GO:0031005	0.921624934300345	filamin binding
GO:0002062	0.921618417876612	chondrocyte differentiation
GO:0040012	0.91761522528091	regulation of locomotion
GO:2000145	0.91761522528091	regulation of cell motility
GO:0051694	0.917328778180236	pointed-end actin filament capping
GO:0005523	0.917328778180236	tropomyosin binding
GO:0005539	0.913802867730948	glycosaminoglycan binding
GO:0016604	0.913246588036194	nuclear body
GO:0016607	0.913246588036194	nuclear speck
GO:0030141	0.91164681431546	secretory granule
GO:0099503	0.91164681431546	secretory vesicle
GO:0034702	0.910319508758932	ion channel complex
GO:0005246	0.909665250193492	calcium channel regulator activity
GO:0030212	0.907129315682269	hyaluronan metabolic process
GO:1903510	0.907129315682269	mucopolysaccharide metabolic process
GO:0032879	0.906855805954078	regulation of localization
GO:0007212	0.906237560782859	dopamine receptor signaling pathway
GO:0048268	0.906237560782859	clathrin coat assembly
GO:0030276	0.906237560782859	clathrin binding
GO:0032051	0.906237560782859	clathrin light chain binding
GO:0048584	0.905535798644954	positive regulation of response to stimulus
GO:0005249	0.904733588427625	voltage-gated potassium channel activity
GO:0006955	0.902820868110142	immune response
GO:0002376	0.902482203346569	immune system process
GO:0019209	0.900756576384794	kinase activator activity
GO:0030295	0.900756576384794	protein kinase activator activity
GO:0048731	0.899615822049367	system development
GO:0007166	0.899106672809363	cell surface receptor signaling pathway
GO:0005164	0.898320227738416	tumor necrosis factor receptor binding
GO:0032813	0.898320227738416	tumor necrosis factor receptor superfamily binding
GO:0001527	0.896681451689834	microfibril
GO:0044420	0.896681451689834	extracellular matrix component
GO:0016247	0.895979407849776	channel regulator activity
GO:0099106	0.895979407849776	ion channel regulator activity
GO:0030168	0.895869011452313	platelet activation
GO:0005577	0.895869011452313	fibrinogen complex
GO:0005540	0.894592198025891	hyaluronic acid binding
GO:0005179	0.894004298718887	hormone activity
GO:0005245	0.893670812191919	voltage-gated calcium channel activity
GO:0034704	0.893001006991477	calcium channel complex
GO:0001775	0.891551810419454	cell activation
GO:0004511	0.891352728492066	tyrosine 3-monooxygenase activity
GO:0007399	0.891243700920922	nervous system development
GO:0010506	0.891219999627691	regulation of autophagy
GO:0005891	0.890409048981424	voltage-gated calcium channel complex
GO:0008013	0.889776259450132	beta-catenin binding
GO:0001503	0.889364782748714	ossification
GO:0016055	0.88858671838489	Wnt signaling pathway
GO:0198738	0.88858671838489	cell-cell signaling by wnt
GO:1905114	0.88858671838489	cell surface receptor signaling pathway involved in cell-cell signaling
GO:0007129	0.887959804237118	synapsis
GO:0007130	0.887959804237118	synaptonemal complex assembly
GO:0045143	0.887959804237118	homologous chromosome segregation
GO:0070192	0.887959804237118	chromosome organization involved in meiotic cell cycle
GO:0070193	0.887959804237118	synaptonemal complex organization
GO:0031109	0.887898053595444	microtubule polymerization or depolymerization
GO:0031110	0.887898053595444	regulation of microtubule polymerization or depolymerization
GO:0005921	0.887427548102555	gap junction
GO:0005922	0.887427548102555	connexin complex
GO:0051270	0.884573501140718	regulation of cellular component movement
GO:0009755	0.884105701437569	hormone-mediated signaling pathway
GO:0008076	0.882662617038807	voltage-gated potassium channel complex
GO:0034705	0.882662617038807	potassium channel complex
GO:0007155	0.882022695662896	cell adhesion
GO:0022610	0.882022695662896	biological adhesion
GO:0045595	0.882012786531946	regulation of cell differentiation
GO:0042287	0.880294574054846	MHC protein binding
GO:0042289	0.880294574054846	MHC class II protein binding
GO:0098609	0.880096110781723	cell-cell adhesion
GO:0007156	0.880051042597808	homophilic cell adhesion via plasma membrane adhesion molecules
