ann_term	q_val	annotation
GO:0019783	0.9965711502923	ubiquitin-like protein-specific protease activity
GO:0006030	0.9965711502923	chitin metabolic process
GO:1901071	0.9965711502923	glucosamine-containing compound metabolic process
GO:0008170	0.995508112976385	N-methyltransferase activity
GO:0042537	0.994489518800022	benzene-containing compound metabolic process
GO:0004448	0.993402340711891	isocitrate dehydrogenase activity
GO:0004450	0.993402340711891	isocitrate dehydrogenase (NADP+) activity
GO:0004097	0.993182214795936	catechol oxidase activity
GO:0007005	0.993160896411798	mitochondrion organization
GO:0044427	0.989599085766351	chromosomal part
GO:0098800	0.986379553967217	inner mitochondrial membrane protein complex
GO:0006569	0.981844241995686	tryptophan catabolic process
GO:0009310	0.981844241995686	amine catabolic process
GO:0019441	0.981844241995686	tryptophan catabolic process to kynurenine
GO:0042402	0.981844241995686	cellular biogenic amine catabolic process
GO:0042436	0.981844241995686	indole-containing compound catabolic process
GO:0046218	0.981844241995686	indolalkylamine catabolic process
GO:0070189	0.981844241995686	kynurenine metabolic process
GO:0098799	0.981844241995686	outer mitochondrial membrane protein complex
GO:0019900	0.980062801314289	kinase binding
GO:0015238	0.977203577293223	drug transmembrane transporter activity
GO:0019901	0.976360843056918	protein kinase binding
GO:0005742	0.975359981277444	mitochondrial outer membrane translocase complex
GO:0001401	0.972911735303698	mitochondrial sorting and assembly machinery complex
GO:0005507	0.968737022623779	copper ion binding
GO:0010629	0.963783916821215	negative regulation of gene expression
GO:0016984	0.963459990669039	ribulose-bisphosphate carboxylase activity
GO:0030597	0.963459990669039	RNA glycosylase activity
GO:0030598	0.963459990669039	rRNA N-glycosylase activity
GO:0016651	0.961178329431941	oxidoreductase activity, acting on NAD(P)H
GO:0005186	0.961168420615788	pheromone activity
GO:0031399	0.958159889571394	regulation of protein modification process
GO:0001932	0.955957756481322	regulation of protein phosphorylation
GO:0019898	0.955902385942089	extrinsic component of membrane
GO:0009267	0.952458901596774	cellular response to starvation
GO:0009991	0.952458901596774	response to extracellular stimulus
GO:0031667	0.952458901596774	response to nutrient levels
GO:0031668	0.952458901596774	cellular response to extracellular stimulus
GO:0031669	0.952458901596774	cellular response to nutrient levels
GO:0042594	0.952458901596774	response to starvation
GO:0071496	0.952458901596774	cellular response to external stimulus
GO:0015850	0.952458901596774	organic hydroxy compound transport
GO:0000062	0.952458901596774	fatty-acyl-CoA binding
GO:1901567	0.952458901596774	fatty acid derivative binding
GO:0010817	0.950563255138158	regulation of hormone levels
GO:0042445	0.950563255138158	hormone metabolic process
GO:0043231	0.949230889169603	intracellular membrane-bounded organelle
GO:0005506	0.945640423154093	iron ion binding
GO:0098798	0.941704467576896	mitochondrial protein complex
GO:0006012	0.940493795104638	galactose metabolic process
GO:0008108	0.940493795104638	UDP-glucose:hexose-1-phosphate uridylyltransferase activity
GO:0006665	0.940493795104638	sphingolipid metabolic process
GO:0036459	0.94011656178807	thiol-dependent ubiquitinyl hydrolase activity
GO:0101005	0.94011656178807	ubiquitinyl hydrolase activity
GO:0022402	0.932930119454635	cell cycle process
GO:0031965	0.931159855326836	nuclear membrane
GO:0006376	0.930923794354092	mRNA splice site selection
GO:0005685	0.930923794354092	U1 snRNP
GO:0044087	0.930923794354092	regulation of cellular component biogenesis
GO:0001101	0.927751006689778	response to acid chemical
GO:0003777	0.927253499065641	microtubule motor activity
GO:0008830	0.92639902603241	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0045926	0.92627584180986	negative regulation of growth
GO:0019835	0.926023253527992	cytolysis
GO:0044179	0.926023253527992	hemolysis in other organism
GO:0051715	0.926023253527992	cytolysis in other organism
GO:0016799	0.923785355572522	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0016168	0.923426416343443	chlorophyll binding
GO:0007157	0.923250399685755	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0008982	0.923250399685755	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0031369	0.921692441594706	translation initiation factor binding
GO:0006817	0.920500170792487	phosphate ion transport
GO:0016567	0.91967860529125	protein ubiquitination
GO:0006625	0.91346078345025	protein targeting to peroxisome
GO:0015919	0.91346078345025	peroxisomal membrane transport
GO:0043574	0.91346078345025	peroxisomal transport
GO:0072662	0.91346078345025	protein localization to peroxisome
GO:0072663	0.91346078345025	establishment of protein localization to peroxisome
GO:0030417	0.91346078345025	nicotianamine metabolic process
GO:0030418	0.91346078345025	nicotianamine biosynthetic process
GO:0072351	0.91346078345025	tricarboxylic acid biosynthetic process
GO:0030410	0.91346078345025	nicotianamine synthase activity
GO:0000139	0.911326404425865	Golgi membrane
GO:0051187	0.907720828354037	cofactor catabolic process
GO:0009074	0.904770647987958	aromatic amino acid family catabolic process
GO:0004197	0.901203680154432	cysteine-type endopeptidase activity
GO:0000981	0.894074347410498	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0004529	0.891038518255766	exodeoxyribonuclease activity
GO:0016895	0.891038518255766	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0043227	0.889213349283935	membrane-bounded organelle
GO:0004526	0.888619185589559	ribonuclease P activity
GO:0016246	0.888565198056849	RNA interference
GO:0043228	0.887734199362863	non-membrane-bounded organelle
GO:0043232	0.887734199362863	intracellular non-membrane-bounded organelle
GO:0071840	0.881223028473557	cellular component organization or biogenesis
GO:0070085	0.879693803323809	glycosylation
GO:0031248	0.879693803323809	protein acetyltransferase complex
GO:1902493	0.879693803323809	acetyltransferase complex
GO:0034212	0.878901100632077	peptide N-acetyltransferase activity
GO:0061733	0.878901100632077	peptide-lysine-N-acetyltransferase activity
GO:0010038	0.878901100632077	response to metal ion
GO:0001907	0.862993639860164	killing by symbiont of host cells
GO:0044003	0.862993639860164	modification by symbiont of host morphology or physiology
GO:0044004	0.862993639860164	disruption by symbiont of host cell
GO:0051701	0.862993639860164	interaction with host
GO:0000313	0.862993639860164	organellar ribosome
GO:0005761	0.862993639860164	mitochondrial ribosome
GO:0006450	0.861719485943857	regulation of translational fidelity
GO:0009690	0.861396929110819	cytokinin metabolic process
GO:0034754	0.861396929110819	cellular hormone metabolic process
GO:0019139	0.861396929110819	cytokinin dehydrogenase activity
GO:0016579	0.861396929110819	protein deubiquitination
