ann_term	CC	annotation
GO:0006955	0.926564351166887	immune response
GO:0002376	0.925822452210501	immune system process
GO:0048018	0.911536871150521	receptor ligand activity
GO:0030545	0.911536871150521	receptor regulator activity
GO:0048856	0.891572750136426	anatomical structure development
GO:0008083	0.890885755900671	growth factor activity
GO:0005102	0.890341516117476	signaling receptor binding
GO:0032502	0.88806871265098	developmental process
GO:0007275	0.884247466993188	multicellular organism development
GO:0022843	0.880499939595966	voltage-gated cation channel activity
GO:0009888	0.877096315637338	tissue development
GO:0010942	0.871955614524228	positive regulation of cell death
GO:0043065	0.871955614524228	positive regulation of apoptotic process
GO:0043068	0.871955614524228	positive regulation of programmed cell death
GO:0001518	0.867639181116996	voltage-gated sodium channel complex
GO:0034706	0.867639181116996	sodium channel complex
GO:0005248	0.867639181116996	voltage-gated sodium channel activity
GO:0019209	0.864595342988404	kinase activator activity
GO:0030295	0.864595342988404	protein kinase activator activity
GO:0045995	0.860939839464582	regulation of embryonic development
GO:0005245	0.858342622037054	voltage-gated calcium channel activity
GO:0008373	0.855477728339164	sialyltransferase activity
GO:0030141	0.855233772456576	secretory granule
GO:0099503	0.855233772456576	secretory vesicle
GO:0005126	0.855050041744861	cytokine receptor binding
GO:0005891	0.854565648073447	voltage-gated calcium channel complex
GO:0048513	0.853951106938415	animal organ development
GO:0034703	0.853233392425506	cation channel complex
GO:0005576	0.852180385276051	extracellular region
GO:0005179	0.851853632486909	hormone activity
GO:0004860	0.845360138122417	protein kinase inhibitor activity
GO:0019210	0.845360138122417	kinase inhibitor activity
GO:0070840	0.84425604877087	dynein complex binding
GO:0034702	0.838715344484025	ion channel complex
GO:0005125	0.838534263493733	cytokine activity
GO:0018149	0.838304700508029	peptide cross-linking
GO:0003810	0.836330123547155	protein-glutamine gamma-glutamyltransferase activity
GO:0034704	0.834857892132424	calcium channel complex
GO:0005539	0.83429680815401	glycosaminoglycan binding
GO:0048731	0.833504858959314	system development
GO:0005164	0.829788907314938	tumor necrosis factor receptor binding
GO:0032813	0.829788907314938	tumor necrosis factor receptor superfamily binding
GO:0016604	0.829006310921412	nuclear body
GO:0016607	0.829006310921412	nuclear speck
GO:0004675	0.828697121497673	transmembrane receptor protein serine/threonine kinase activity
GO:0001664	0.825616697876475	G protein-coupled receptor binding
GO:0009611	0.825289706967726	response to wounding
GO:0008201	0.823145264083017	heparin binding
GO:0016477	0.821782161864316	cell migration
GO:0030334	0.821782161864316	regulation of cell migration
GO:0003676	0.820869611528672	nucleic acid binding
GO:0016055	0.818905584906417	Wnt signaling pathway
GO:0198738	0.818905584906417	cell-cell signaling by wnt
GO:1905114	0.818905584906417	cell surface receptor signaling pathway involved in cell-cell signaling
GO:0031012	0.818442028956532	extracellular matrix
GO:0004415	0.81808292085158	hyalurononglucosaminidase activity
GO:0015929	0.81808292085158	hexosaminidase activity
GO:0051239	0.815470542250494	regulation of multicellular organismal process
GO:0046658	0.814807390191233	anchored component of plasma membrane
GO:0051694	0.814378326920288	pointed-end actin filament capping
GO:0005523	0.814378326920288	tropomyosin binding
GO:0098772	0.813618695502963	molecular function regulator
GO:0007517	0.812831961696672	muscle organ development
GO:0061061	0.812831961696672	muscle structure development
GO:0016247	0.81175373093452	channel regulator activity
GO:0099106	0.81175373093452	ion channel regulator activity
GO:0043292	0.811348834142499	contractile fiber
GO:0005861	0.811348834142499	troponin complex
GO:0005865	0.811348834142499	striated muscle thin filament
GO:0030016	0.811348834142499	myofibril
GO:0030017	0.811348834142499	sarcomere
GO:0036379	0.811348834142499	myofilament
GO:0044449	0.811348834142499	contractile fiber part
GO:0005488	0.810256907163771	binding
GO:0030155	0.810109553297293	regulation of cell adhesion
GO:0019199	0.809520243015609	transmembrane receptor protein kinase activity
GO:0051240	0.808461251534107	positive regulation of multicellular organismal process
GO:0007156	0.807135785039853	homophilic cell adhesion via plasma membrane adhesion molecules
GO:0098742	0.807135785039853	cell-cell adhesion via plasma-membrane adhesion molecules
GO:0007267	0.806552818741309	cell-cell signaling
GO:0009790	0.805552175672069	embryo development
GO:0007219	0.802967664842967	Notch signaling pathway
GO:0044421	0.802926377307273	extracellular region part
GO:0031109	0.802595618126919	microtubule polymerization or depolymerization
GO:0031110	0.802595618126919	regulation of microtubule polymerization or depolymerization
GO:0042060	0.801825221193579	wound healing
GO:0032501	0.801425571995319	multicellular organismal process
GO:0003674	0.799116863451545	molecular_function
GO:0030291	0.798418167791062	protein serine/threonine kinase inhibitor activity
GO:0005581	0.79803675604896	collagen trimer
GO:0062023	0.797752234439986	collagen-containing extracellular matrix
GO:0007166	0.797615500001379	cell surface receptor signaling pathway
GO:0019207	0.79667791897017	kinase regulator activity
GO:0047961	0.795345507753313	glycine N-acyltransferase activity
GO:0030212	0.795005832523385	hyaluronan metabolic process
GO:1903510	0.795005832523385	mucopolysaccharide metabolic process
GO:0004984	0.79468173558906	olfactory receptor activity
GO:0001933	0.793276488775208	negative regulation of protein phosphorylation
GO:0006469	0.793276488775208	negative regulation of protein kinase activity
GO:0033673	0.793276488775208	negative regulation of kinase activity
GO:0042326	0.793276488775208	negative regulation of phosphorylation
GO:0051348	0.793276488775208	negative regulation of transferase activity
GO:0004862	0.793276488775208	cAMP-dependent protein kinase inhibitor activity
GO:0016533	0.792496051762114	protein kinase 5 complex
GO:0061575	0.792496051762114	cyclin-dependent protein serine/threonine kinase activator activity
GO:0002682	0.79246820227343	regulation of immune system process
GO:0006333	0.792327369354745	chromatin assembly or disassembly
GO:0015016	0.791771874244567	[heparan sulfate]-glucosamine N-sulfotransferase activity
GO:0034483	0.791771874244567	heparan sulfate sulfotransferase activity
GO:0006334	0.790547599057525	nucleosome assembly
GO:0031497	0.790547599057525	chromatin assembly
GO:0051262	0.788252854175353	protein tetramerization
GO:0018101	0.78760371654188	protein citrullination
GO:0018195	0.78760371654188	peptidyl-arginine modification
GO:0007399	0.787395955546978	nervous system development
GO:0008277	0.786409872127265	regulation of G protein-coupled receptor signaling pathway
GO:0015026	0.786409872127265	coreceptor activity
GO:0002063	0.785874167441453	chondrocyte development
GO:0032330	0.785874167441453	regulation of chondrocyte differentiation
GO:0061035	0.785874167441453	regulation of cartilage development
GO:0061181	0.785874167441453	regulation of chondrocyte development
GO:0061572	0.785874167441453	actin filament bundle organization
GO:0031005	0.785874167441453	filamin binding
GO:0050789	0.785735627513191	regulation of biological process
GO:0050794	0.784153609471218	regulation of cellular process
GO:0071855	0.784104813533619	neuropeptide receptor binding
GO:0005217	0.783833211030125	intracellular ligand-gated ion channel activity
GO:0005219	0.783833211030125	ryanodine-sensitive calcium-release channel activity
