ann_term	q_val	annotation
GO:0004511	3.80025568822951e-21	tyrosine 3-monooxygenase activity
GO:0010821	1.58425650763471e-19	regulation of mitochondrion organization
GO:0010822	1.58425650763471e-19	positive regulation of mitochondrion organization
GO:0090199	1.58425650763471e-19	regulation of release of cytochrome c from mitochondria
GO:0090200	1.58425650763471e-19	positive regulation of release of cytochrome c from mitochondria
GO:2001233	1.58425650763471e-19	regulation of apoptotic signaling pathway
GO:2001235	1.58425650763471e-19	positive regulation of apoptotic signaling pathway
GO:0035988	4.0338995238482e-17	chondrocyte proliferation
GO:0001501	7.54505677130833e-17	skeletal system development
GO:0051216	7.54505677130833e-17	cartilage development
GO:0061448	7.54505677130833e-17	connective tissue development
GO:0002062	4.06217861249846e-16	chondrocyte differentiation
GO:0032400	2.7561609745747e-13	melanosome localization
GO:0032401	2.7561609745747e-13	establishment of melanosome localization
GO:0032402	2.7561609745747e-13	melanosome transport
GO:0033059	2.7561609745747e-13	cellular pigmentation
GO:0043473	2.7561609745747e-13	pigmentation
GO:0051875	2.7561609745747e-13	pigment granule localization
GO:0051904	2.7561609745747e-13	pigment granule transport
GO:0051905	2.7561609745747e-13	establishment of pigment granule localization
GO:0070449	9.72807740400545e-13	elongin complex
GO:0042470	1.59289607222285e-12	melanosome
GO:0048770	1.59289607222285e-12	pigment granule
GO:0030173	1.59289607222285e-12	integral component of Golgi membrane
GO:0031228	1.59289607222285e-12	intrinsic component of Golgi membrane
GO:0002063	2.88153864805573e-12	chondrocyte development
GO:0032330	2.88153864805573e-12	regulation of chondrocyte differentiation
GO:0061035	2.88153864805573e-12	regulation of cartilage development
GO:0061181	2.88153864805573e-12	regulation of chondrocyte development
GO:0061572	2.88153864805573e-12	actin filament bundle organization
GO:0031005	2.88153864805573e-12	filamin binding
GO:0001836	2.88153864805573e-12	release of cytochrome c from mitochondria
GO:0008637	2.88153864805573e-12	apoptotic mitochondrial changes
GO:0051648	4.73097800011324e-12	vesicle localization
GO:0051650	4.73097800011324e-12	establishment of vesicle localization
GO:0050290	1.79495168321549e-11	sphingomyelin phosphodiesterase D activity
GO:0006120	7.88822881412532e-11	mitochondrial electron transport, NADH to ubiquinone
GO:0009264	1.73157267087182e-10	deoxyribonucleotide catabolic process
GO:0060284	4.32285907883998e-10	regulation of cell development
GO:0000350	6.08242906318761e-10	generation of catalytic spliceosome for second transesterification step
GO:0000393	6.08242906318761e-10	spliceosomal conformational changes to generate catalytic conformation
GO:0003352	1.77266835602157e-09	regulation of cilium movement
GO:0060632	1.77266835602157e-09	regulation of microtubule-based movement
GO:0016579	2.88670679418538e-09	protein deubiquitination
GO:0070646	2.88670679418538e-09	protein modification by small protein removal
GO:0006269	3.73971686203833e-09	DNA replication, synthesis of RNA primer
GO:0003896	5.31340127866236e-09	DNA primase activity
GO:0097193	7.36712208354681e-09	intrinsic apoptotic signaling pathway
GO:0006891	7.36712208354681e-09	intra-Golgi vesicle-mediated transport
GO:0005212	1.28952371484494e-08	structural constituent of eye lens
GO:0051126	2.35860834951411e-08	negative regulation of actin nucleation
GO:0019783	3.26465762323669e-08	ubiquitin-like protein-specific protease activity
GO:0036459	3.54599670124079e-08	thiol-dependent ubiquitinyl hydrolase activity
GO:0101005	3.54599670124079e-08	ubiquitinyl hydrolase activity
GO:0014065	4.20981645152236e-08	phosphatidylinositol 3-kinase signaling
GO:0014066	4.20981645152236e-08	regulation of phosphatidylinositol 3-kinase signaling
GO:0014068	4.20981645152236e-08	positive regulation of phosphatidylinositol 3-kinase signaling
GO:0048017	4.20981645152236e-08	inositol lipid-mediated signaling
GO:0048015	4.20981645152236e-08	phosphatidylinositol-mediated signaling
GO:0043548	4.20981645152236e-08	phosphatidylinositol 3-kinase binding
GO:0071816	6.10378918235599e-08	tail-anchored membrane protein insertion into ER membrane
GO:0071107	8.14654095998623e-08	response to parathyroid hormone
GO:0031300	1.59531150701444e-07	intrinsic component of organelle membrane
GO:0031301	1.59531150701444e-07	integral component of organelle membrane
GO:0008217	1.783592926909e-07	regulation of blood pressure
GO:0097190	2.53901144184705e-07	apoptotic signaling pathway
GO:0000818	2.99624457838533e-07	nuclear MIS12/MIND complex
GO:0000012	3.89817417805332e-07	single strand break repair
GO:0051125	1.88430266799919e-06	regulation of actin nucleation
GO:0045087	3.48503743183998e-06	innate immune response
GO:0005249	4.1511425650696e-06	voltage-gated potassium channel activity
GO:0021549	4.33357005049073e-06	cerebellum development
GO:0022037	4.33357005049073e-06	metencephalon development
GO:0030902	4.33357005049073e-06	hindbrain development
GO:0005542	7.26932861815509e-06	folic acid binding
GO:2000026	9.44558850078332e-06	regulation of multicellular organismal development
GO:0004714	1.42010932113447e-05	transmembrane receptor protein tyrosine kinase activity
GO:0045595	1.64585971734744e-05	regulation of cell differentiation
GO:0005143	1.96366332963738e-05	interleukin-12 receptor binding
GO:0006376	2.02343151253048e-05	mRNA splice site selection
GO:0005685	2.02343151253048e-05	U1 snRNP
GO:0009888	3.1731262535909e-05	tissue development
