ann_term	q_val	annotation
GO:0008830	1	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0098803	0.992656019313238	respiratory chain complex
GO:0033108	0.992656019313238	mitochondrial respiratory chain complex assembly
GO:1901988	0.992656019313238	negative regulation of cell cycle phase transition
GO:1901991	0.992656019313238	negative regulation of mitotic cell cycle phase transition
GO:0009690	0.987025850291136	cytokinin metabolic process
GO:0034754	0.987025850291136	cellular hormone metabolic process
GO:0019139	0.987025850291136	cytokinin dehydrogenase activity
GO:0016799	0.986595324690428	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0004526	0.985192184130615	ribonuclease P activity
GO:0016984	0.984405664889593	ribulose-bisphosphate carboxylase activity
GO:0030597	0.984405664889593	RNA glycosylase activity
GO:0030598	0.984405664889593	rRNA N-glycosylase activity
GO:0004448	0.981291253833735	isocitrate dehydrogenase activity
GO:0004450	0.981291253833735	isocitrate dehydrogenase (NADP+) activity
GO:0019835	0.981291253833735	cytolysis
GO:0044179	0.981291253833735	hemolysis in other organism
GO:0051715	0.981291253833735	cytolysis in other organism
GO:0006403	0.981173204823006	RNA localization
GO:0006486	0.981173204823006	protein glycosylation
GO:0009101	0.981173204823006	glycoprotein biosynthetic process
GO:0043413	0.981173204823006	macromolecule glycosylation
GO:0050657	0.981173204823006	nucleic acid transport
GO:0050658	0.981173204823006	RNA transport
GO:0051236	0.981173204823006	establishment of RNA localization
GO:0098798	0.981173204823006	mitochondrial protein complex
GO:0046906	0.981173204823006	tetrapyrrole binding
GO:0032465	0.981173204823006	regulation of cytokinesis
GO:0051302	0.981173204823006	regulation of cell division
GO:0005186	0.975102958844715	pheromone activity
GO:0008270	0.968548450802242	zinc ion binding
GO:0008509	0.968548450802242	anion transmembrane transporter activity
GO:0010970	0.968393754546352	transport along microtubule
GO:0030705	0.968393754546352	cytoskeleton-dependent intracellular transport
GO:0042073	0.968393754546352	intraciliary transport
GO:0099111	0.968393754546352	microtubule-based transport
GO:0016863	0.968393754546352	intramolecular oxidoreductase activity, transposing C=C bonds
GO:0047750	0.968393754546352	cholestenol delta-isomerase activity
GO:0030990	0.968393754546352	intraciliary transport particle
GO:0030991	0.968393754546352	intraciliary transport particle A
GO:0010817	0.968393754546352	regulation of hormone levels
GO:0042445	0.968393754546352	hormone metabolic process
GO:0009791	0.966721344320642	post-embryonic development
GO:0042393	0.963696799554589	histone binding
GO:0006665	0.963696799554589	sphingolipid metabolic process
GO:0007157	0.949237902017795	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0008982	0.949237902017795	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0006817	0.949237902017795	phosphate ion transport
GO:0009267	0.949170541242466	cellular response to starvation
GO:0009991	0.949170541242466	response to extracellular stimulus
GO:0031667	0.949170541242466	response to nutrient levels
GO:0031668	0.949170541242466	cellular response to extracellular stimulus
GO:0031669	0.949170541242466	cellular response to nutrient levels
GO:0042594	0.949170541242466	response to starvation
GO:0071496	0.949170541242466	cellular response to external stimulus
GO:0016168	0.94694847260018	chlorophyll binding
GO:0015850	0.943425456923464	organic hydroxy compound transport
GO:0009793	0.941539552972027	embryo development ending in seed dormancy
GO:0009856	0.941539552972027	pollination
GO:0009875	0.941539552972027	pollen-pistil interaction
GO:0010154	0.941539552972027	fruit development
GO:0010374	0.941539552972027	stomatal complex development
GO:0044706	0.941539552972027	multi-multicellular organism process
GO:0048316	0.941539552972027	seed development
GO:0048544	0.941539552972027	recognition of pollen
GO:0048580	0.941539552972027	regulation of post-embryonic development
GO:0048582	0.941539552972027	positive regulation of post-embryonic development
GO:0090558	0.941539552972027	plant epidermis development
GO:2000038	0.941539552972027	regulation of stomatal complex development
GO:2000123	0.941539552972027	positive regulation of stomatal complex development
GO:0010333	0.941539552972027	terpene synthase activity
GO:0016651	0.939036045325718	oxidoreductase activity, acting on NAD(P)H
GO:0004529	0.933002801831718	exodeoxyribonuclease activity
GO:0016895	0.933002801831718	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0008297	0.932499471075897	single-stranded DNA exodeoxyribonuclease activity
GO:0008409	0.932499471075897	5'-3' exonuclease activity
GO:0035312	0.932499471075897	5'-3' exodeoxyribonuclease activity
GO:0045145	0.932499471075897	single-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0010629	0.932499471075897	negative regulation of gene expression
GO:0000062	0.932499471075897	fatty-acyl-CoA binding
GO:0019900	0.932499471075897	kinase binding
GO:1901567	0.932499471075897	fatty acid derivative binding
GO:0015238	0.932499471075897	drug transmembrane transporter activity
GO:0006625	0.932499471075897	protein targeting to peroxisome
GO:0015919	0.932499471075897	peroxisomal membrane transport
GO:0043574	0.932499471075897	peroxisomal transport
GO:0072662	0.932499471075897	protein localization to peroxisome
GO:0072663	0.932499471075897	establishment of protein localization to peroxisome
GO:0016246	0.932081001705801	RNA interference
