ann_term	CC	annotation
GO:0006955	0.795359698188237	immune response
GO:0002376	0.791217199760173	immune system process
GO:0048018	0.762211222734282	receptor ligand activity
GO:0030545	0.762211222734282	receptor regulator activity
GO:0022843	0.749918271656906	voltage-gated cation channel activity
GO:0005102	0.745306233331828	signaling receptor binding
GO:0001518	0.736647930173059	voltage-gated sodium channel complex
GO:0034706	0.736647930173059	sodium channel complex
GO:0005248	0.736647930173059	voltage-gated sodium channel activity
GO:0048856	0.736635694279805	anatomical structure development
GO:0030141	0.735966534637942	secretory granule
GO:0099503	0.735966534637942	secretory vesicle
GO:0005126	0.734555370049599	cytokine receptor binding
GO:0048513	0.730855310919002	animal organ development
GO:0032502	0.726760752782837	developmental process
GO:0009888	0.723101832488409	tissue development
GO:0019209	0.720331620288461	kinase activator activity
GO:0030295	0.720331620288461	protein kinase activator activity
GO:0045995	0.717483105973435	regulation of embryonic development
GO:0034703	0.715912407894053	cation channel complex
GO:0048731	0.71551809324335	system development
GO:0007275	0.713094740001889	multicellular organism development
GO:0008083	0.712509729626962	growth factor activity
GO:0010942	0.70832033979304	positive regulation of cell death
GO:0043065	0.70832033979304	positive regulation of apoptotic process
GO:0043068	0.70832033979304	positive regulation of programmed cell death
GO:0005125	0.707900693873623	cytokine activity
GO:0005891	0.705748690376297	voltage-gated calcium channel complex
GO:0016477	0.700147510293946	cell migration
GO:0030334	0.700147510293946	regulation of cell migration
GO:0001664	0.694484211469763	G protein-coupled receptor binding
GO:0051694	0.691606739724811	pointed-end actin filament capping
GO:0005523	0.691606739724811	tropomyosin binding
GO:0034704	0.689397133527607	calcium channel complex
GO:0005179	0.689291641225753	hormone activity
GO:0018149	0.689072065402565	peptide cross-linking
GO:0003810	0.686365875753778	protein-glutamine gamma-glutamyltransferase activity
GO:0016604	0.686340266649046	nuclear body
GO:0016607	0.686340266649046	nuclear speck
GO:0034702	0.684977921133199	ion channel complex
GO:0016247	0.684491632887464	channel regulator activity
GO:0099106	0.684491632887464	ion channel regulator activity
GO:0047961	0.68141219782657	glycine N-acyltransferase activity
GO:0005245	0.675966392787812	voltage-gated calcium channel activity
GO:0051239	0.675263910782402	regulation of multicellular organismal process
GO:0005164	0.673152908776103	tumor necrosis factor receptor binding
GO:0032813	0.673152908776103	tumor necrosis factor receptor superfamily binding
