ann_term	q_val	annotation
GO:0007423	0.999338897857688	sensory organ development
GO:0007034	0.999338897857688	vacuolar transport
GO:0003006	0.996613216253874	developmental process involved in reproduction
GO:0008297	0.995638896537391	single-stranded DNA exodeoxyribonuclease activity
GO:0008409	0.995638896537391	5'-3' exonuclease activity
GO:0035312	0.995638896537391	5'-3' exodeoxyribonuclease activity
GO:0045145	0.995638896537391	single-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0048038	0.9953157901527	quinone binding
GO:0007591	0.994630868908441	molting cycle, chitin-based cuticle
GO:0018990	0.994630868908441	ecdysis, chitin-based cuticle
GO:0022404	0.994630868908441	molting cycle process
GO:0042303	0.994630868908441	molting cycle
GO:0008255	0.994630868908441	ecdysis-triggering hormone activity
GO:0016805	0.994630868908441	dipeptidase activity
GO:0008200	0.994630868908441	ion channel inhibitor activity
GO:0016248	0.994630868908441	channel inhibitor activity
GO:0009878	0.994630868908441	nodule morphogenesis
GO:0010098	0.994630868908441	suspensor development
GO:0042381	0.994630868908441	hemolymph coagulation
GO:0044111	0.994630868908441	development involved in symbiotic interaction
GO:0017080	0.994630868908441	sodium channel regulator activity
GO:0019871	0.994630868908441	sodium channel inhibitor activity
GO:0008137	0.994630868908441	NADH dehydrogenase (ubiquinone) activity
GO:0050136	0.994630868908441	NADH dehydrogenase (quinone) activity
GO:0004529	0.994630868908441	exodeoxyribonuclease activity
GO:0016895	0.994630868908441	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0007349	0.994630868908441	cellularization
GO:0009719	0.993580171193033	response to endogenous stimulus
GO:0043486	0.992548296322735	histone exchange
GO:0051801	0.990367636822923	cytolysis in other organism involved in symbiotic interaction
GO:0052331	0.990367636822923	hemolysis in other organism involved in symbiotic interaction
GO:0009892	0.990351653064862	negative regulation of metabolic process
GO:0001700	0.990351653064862	embryonic development via the syncytial blastoderm
GO:0002065	0.990351653064862	columnar/cuboidal epithelial cell differentiation
GO:0002066	0.990351653064862	columnar/cuboidal epithelial cell development
GO:0007289	0.990351653064862	spermatid nucleus differentiation
GO:0007291	0.990351653064862	sperm individualization
GO:0007292	0.990351653064862	female gamete generation
GO:0007304	0.990351653064862	chorion-containing eggshell formation
GO:0007617	0.990351653064862	mating behavior
GO:0009792	0.990351653064862	embryo development ending in birth or egg hatching
GO:0019098	0.990351653064862	reproductive behavior
GO:0030703	0.990351653064862	eggshell formation
GO:0030707	0.990351653064862	ovarian follicle cell development
GO:0035092	0.990351653064862	sperm chromatin condensation
GO:0045924	0.990351653064862	regulation of female receptivity
GO:0046008	0.990351653064862	regulation of female receptivity, post-mating
GO:0048477	0.990351653064862	oogenesis
GO:0060180	0.990351653064862	female mating behavior
GO:0005213	0.990351653064862	structural constituent of chorion
GO:0003854	0.990351653064862	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0016229	0.990351653064862	steroid dehydrogenase activity
GO:0033764	0.990351653064862	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0003341	0.989329791263031	cilium movement
GO:0000123	0.986514468703818	histone acetyltransferase complex
GO:0032182	0.986170744062253	ubiquitin-like protein binding
GO:0072546	0.985284834344633	ER membrane protein complex
GO:0050912	0.985284834344633	detection of chemical stimulus involved in sensory perception of taste
GO:0009593	0.985284834344633	detection of chemical stimulus
GO:0050906	0.985284834344633	detection of stimulus involved in sensory perception
GO:0050907	0.985284834344633	detection of chemical stimulus involved in sensory perception
GO:0008527	0.985284834344633	taste receptor activity
GO:0010033	0.985284834344633	response to organic substance
GO:0015077	0.985284834344633	monovalent inorganic cation transmembrane transporter activity
GO:0046660	0.983086288386878	female sex differentiation
GO:0032543	0.981036535570628	mitochondrial translation
GO:0140053	0.981036535570628	mitochondrial gene expression
GO:0019730	0.980333871540727	antimicrobial humoral response
GO:0019731	0.980333871540727	antibacterial humoral response
GO:0006959	0.979585737496934	humoral immune response
GO:0009877	0.975293006474811	nodulation
GO:0005549	0.975293006474811	odorant binding
GO:0044422	0.973894267542316	organelle part
GO:0098803	0.973246029652353	respiratory chain complex
GO:0007007	0.968403959428587	inner mitochondrial membrane organization
GO:0042407	0.968403959428587	cristae formation
GO:0044085	0.967362307747548	cellular component biogenesis
GO:0000281	0.963271085183386	mitotic cytokinesis
GO:0044427	0.962891729200146	chromosomal part
GO:0003015	0.960545443417749	heart process
GO:0008016	0.960545443417749	regulation of heart contraction
GO:0045823	0.960545443417749	positive regulation of heart contraction
GO:0060047	0.960545443417749	heart contraction
GO:1903524	0.960545443417749	positive regulation of blood circulation
GO:0071858	0.960545443417749	corazonin receptor binding
GO:0009664	0.960545443417749	plant-type cell wall organization
GO:0071669	0.960545443417749	plant-type cell wall organization or biogenesis
GO:0006788	0.960545443417749	heme oxidation
GO:0004392	0.960545443417749	heme oxygenase (decyclizing) activity
GO:0006022	0.960545443417749	aminoglycan metabolic process
GO:0003872	0.959937546123973	6-phosphofructokinase activity
GO:0055070	0.957872635005112	copper ion homeostasis
GO:0044446	0.957421566095013	intracellular organelle part
GO:0007608	0.954745083283543	sensory perception of smell
GO:0033227	0.954745083283543	dsRNA transport
GO:0051032	0.954745083283543	nucleic acid transmembrane transporter activity
GO:0051033	0.954745083283543	RNA transmembrane transporter activity
GO:0006996	0.954135722104626	organelle organization
GO:0008131	0.954135722104626	primary amine oxidase activity
GO:0017022	0.954135722104626	myosin binding
GO:0006658	0.953827463813343	phosphatidylserine metabolic process
GO:0006659	0.953827463813343	phosphatidylserine biosynthetic process
GO:0019829	0.953593949559112	cation-transporting ATPase activity
GO:0022853	0.953593949559112	active ion transmembrane transporter activity
GO:0042625	0.953593949559112	ATPase coupled ion transmembrane transporter activity
GO:0098791	0.953313307953369	Golgi subcompartment
GO:0019239	0.952355992827666	deaminase activity
GO:0009288	0.951331424635796	bacterial-type flagellum
GO:0009318	0.951331424635796	exodeoxyribonuclease VII complex
GO:0008855	0.951331424635796	exodeoxyribonuclease VII activity
GO:0006112	0.94139954359582	energy reserve metabolic process
GO:0071973	0.94097568611905	bacterial-type flagellum-dependent cell motility
GO:0097588	0.94097568611905	archaeal or bacterial-type flagellum-dependent cell motility
GO:0070569	0.937846464675789	uridylyltransferase activity
GO:0004677	0.932475249998375	DNA-dependent protein kinase activity
GO:0007271	0.930019148680972	synaptic transmission, cholinergic
GO:0022898	0.930019148680972	regulation of transmembrane transporter activity
GO:0030431	0.930019148680972	sleep
GO:0032222	0.930019148680972	regulation of synaptic transmission, cholinergic
GO:0032409	0.930019148680972	regulation of transporter activity
GO:0032411	0.930019148680972	positive regulation of transporter activity
GO:0032412	0.930019148680972	regulation of ion transmembrane transporter activity
GO:0032414	0.930019148680972	positive regulation of ion transmembrane transporter activity
GO:0034762	0.930019148680972	regulation of transmembrane transport
GO:0034764	0.930019148680972	positive regulation of transmembrane transport
GO:0034765	0.930019148680972	regulation of ion transmembrane transport
GO:0034767	0.930019148680972	positive regulation of ion transmembrane transport
GO:0043266	0.930019148680972	regulation of potassium ion transport
GO:0043268	0.930019148680972	positive regulation of potassium ion transport
GO:0043270	0.930019148680972	positive regulation of ion transport
GO:0050804	0.930019148680972	modulation of chemical synaptic transmission
GO:0099177	0.930019148680972	regulation of trans-synaptic signaling
GO:1901016	0.930019148680972	regulation of potassium ion transmembrane transporter activity
GO:1901018	0.930019148680972	positive regulation of potassium ion transmembrane transporter activity
GO:1901379	0.930019148680972	regulation of potassium ion transmembrane transport
GO:1901381	0.930019148680972	positive regulation of potassium ion transmembrane transport
GO:1903818	0.930019148680972	positive regulation of voltage-gated potassium channel activity
GO:1904062	0.930019148680972	regulation of cation transmembrane transport
GO:1904064	0.930019148680972	positive regulation of cation transmembrane transport
GO:2001257	0.930019148680972	regulation of cation channel activity
GO:2001259	0.930019148680972	positive regulation of cation channel activity
GO:0006508	0.930019148680972	proteolysis
GO:0005044	0.930019148680972	scavenger receptor activity
GO:0038024	0.930019148680972	cargo receptor activity
GO:0004560	0.928341969934729	alpha-L-fucosidase activity
GO:0015928	0.928341969934729	fucosidase activity
GO:0022402	0.926078519801161	cell cycle process
GO:0034219	0.925942133244318	carbohydrate transmembrane transport
GO:0042834	0.925942133244318	peptidoglycan binding
GO:0003964	0.924465287538961	RNA-directed DNA polymerase activity
GO:0005751	0.924343913096071	mitochondrial respiratory chain complex IV
GO:0045277	0.924343913096071	respiratory chain complex IV
GO:0042600	0.923671088711122	chorion
GO:0044782	0.923207515007474	cilium organization
GO:0009725	0.922997267109618	response to hormone
GO:0008417	0.919610370304646	fucosyltransferase activity
GO:0008061	0.913850849318864	chitin binding
GO:0140103	0.912890705795363	catalytic activity, acting on a glycoprotein
GO:1901678	0.912799323175603	iron coordination entity transport
GO:0009267	0.910104586692943	cellular response to starvation
GO:0009991	0.910104586692943	response to extracellular stimulus
GO:0031667	0.910104586692943	response to nutrient levels
GO:0031668	0.910104586692943	cellular response to extracellular stimulus
GO:0031669	0.910104586692943	cellular response to nutrient levels
GO:0042594	0.910104586692943	response to starvation
GO:0071496	0.910104586692943	cellular response to external stimulus
GO:0006213	0.910104586692943	pyrimidine nucleoside metabolic process
GO:0042221	0.907329920535022	response to chemical
GO:0006325	0.906185788084742	chromatin organization
GO:0006665	0.906084852684555	sphingolipid metabolic process
GO:0005742	0.900367483284247	mitochondrial outer membrane translocase complex
GO:0070176	0.900352617735847	DRM complex
GO:0090568	0.900352617735847	nuclear transcriptional repressor complex
GO:0090571	0.900352617735847	RNA polymerase II transcription repressor complex
GO:0065009	0.899541394829139	regulation of molecular function
GO:0070652	0.892019949152472	HAUS complex
GO:0043047	0.888781056174254	single-stranded telomeric DNA binding
GO:0098847	0.888781056174254	sequence-specific single stranded DNA binding
GO:0050790	0.888781056174254	regulation of catalytic activity
GO:0004645	0.877455925211706	phosphorylase activity
GO:0008184	0.877455925211706	glycogen phosphorylase activity
GO:0051817	0.875177481836587	modification of morphology or physiology of other organism involved in symbiotic interaction
GO:0051818	0.875177481836587	disruption of cells of other organism involved in symbiotic interaction
GO:0051883	0.875177481836587	killing of cells in other organism involved in symbiotic interaction
GO:0045026	0.873422417323941	plasma membrane fusion
GO:0022884	0.87318823434714	macromolecule transmembrane transporter activity
GO:0035658	0.870360775363121	Mon1-Ccz1 complex
GO:0016655	0.870112067198938	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor
GO:0030198	0.868378386164608	extracellular matrix organization
GO:0043062	0.868378386164608	extracellular structure organization
GO:0006013	0.868378386164608	mannose metabolic process
GO:0008484	0.867917909183171	sulfuric ester hydrolase activity
GO:0007281	0.864593641744876	germ cell development
GO:0007218	0.861405578529905	neuropeptide signaling pathway
GO:0045944	0.857750985811582	positive regulation of transcription by RNA polymerase II
GO:0015002	0.850850503099968	heme-copper terminal oxidase activity
GO:0000245	0.850812108238502	spliceosomal complex assembly
