ann_term	CC	annotation
GO:0032502	0.934608870210032	developmental process
GO:0034703	0.934216623423789	cation channel complex
GO:0007275	0.934065653051059	multicellular organism development
GO:0001501	0.933229745084948	skeletal system development
GO:0051216	0.933229745084948	cartilage development
GO:0061448	0.933229745084948	connective tissue development
GO:0002062	0.931643134591772	chondrocyte differentiation
GO:0048856	0.930733449242445	anatomical structure development
GO:0002063	0.927951412946335	chondrocyte development
GO:0032330	0.927951412946335	regulation of chondrocyte differentiation
GO:0061035	0.927951412946335	regulation of cartilage development
GO:0061181	0.927951412946335	regulation of chondrocyte development
GO:0061572	0.927951412946335	actin filament bundle organization
GO:0031005	0.927951412946335	filamin binding
GO:0048018	0.924759574643051	receptor ligand activity
GO:0030545	0.924759574643051	receptor regulator activity
GO:0016477	0.924635565303036	cell migration
GO:0030334	0.924635565303036	regulation of cell migration
GO:0005102	0.924577124051251	signaling receptor binding
GO:0048731	0.924562528532727	system development
GO:0001518	0.924204482145488	voltage-gated sodium channel complex
GO:0034706	0.924204482145488	sodium channel complex
GO:0005248	0.924204482145488	voltage-gated sodium channel activity
GO:0051239	0.922250415569071	regulation of multicellular organismal process
GO:0022843	0.922169894387092	voltage-gated cation channel activity
GO:0045995	0.920669025091172	regulation of embryonic development
GO:0040012	0.915482544335503	regulation of locomotion
GO:2000145	0.915482544335503	regulation of cell motility
GO:0030141	0.911628312286684	secretory granule
GO:0099503	0.911628312286684	secretory vesicle
GO:0006955	0.910921665600007	immune response
GO:2000026	0.910706776884502	regulation of multicellular organismal development
GO:0002376	0.910338435542163	immune system process
GO:0004511	0.910000573532758	tyrosine 3-monooxygenase activity
GO:0032879	0.909329316233613	regulation of localization
GO:0030155	0.905282492814753	regulation of cell adhesion
GO:0050793	0.905174120441034	regulation of developmental process
GO:0008083	0.904663514145312	growth factor activity
GO:0016247	0.902937381238573	channel regulator activity
GO:0099106	0.902937381238573	ion channel regulator activity
GO:0005249	0.901569828412942	voltage-gated potassium channel activity
GO:0051262	0.900368094865988	protein tetramerization
GO:0007212	0.899113216007381	dopamine receptor signaling pathway
GO:0048268	0.899113216007381	clathrin coat assembly
GO:0030276	0.899113216007381	clathrin binding
GO:0032051	0.899113216007381	clathrin light chain binding
GO:0007517	0.898351429349171	muscle organ development
GO:0061061	0.898351429349171	muscle structure development
GO:0001775	0.895730361812406	cell activation
GO:0035988	0.895442202829197	chondrocyte proliferation
GO:0051694	0.89273378147594	pointed-end actin filament capping
GO:0005523	0.89273378147594	tropomyosin binding
GO:0051270	0.891763129724668	regulation of cellular component movement
GO:0010942	0.89031499472856	positive regulation of cell death
GO:0043065	0.89031499472856	positive regulation of apoptotic process
GO:0043068	0.89031499472856	positive regulation of programmed cell death
GO:0030212	0.888728607411419	hyaluronan metabolic process
GO:1903510	0.888728607411419	mucopolysaccharide metabolic process
GO:0001503	0.888679750352838	ossification
GO:0034702	0.888645127241957	ion channel complex
GO:0005125	0.887879035898399	cytokine activity
GO:0005246	0.886741861501313	calcium channel regulator activity
GO:0016604	0.886596367720344	nuclear body
GO:0016607	0.886596367720344	nuclear speck
GO:0007129	0.884100191497084	synapsis
GO:0007130	0.884100191497084	synaptonemal complex assembly
GO:0045143	0.884100191497084	homologous chromosome segregation
GO:0070192	0.884100191497084	chromosome organization involved in meiotic cell cycle
GO:0070193	0.884100191497084	synaptonemal complex organization
GO:0045595	0.882969917942097	regulation of cell differentiation
GO:0048584	0.881905678998515	positive regulation of response to stimulus
GO:0019209	0.879785471349864	kinase activator activity
GO:0030295	0.879785471349864	protein kinase activator activity
GO:0005164	0.87945901781112	tumor necrosis factor receptor binding
GO:0032813	0.87945901781112	tumor necrosis factor receptor superfamily binding
GO:0001527	0.878864244824754	microfibril
GO:0044420	0.878864244824754	extracellular matrix component
GO:0048513	0.878524270744057	animal organ development
GO:0005891	0.874738286611615	voltage-gated calcium channel complex
GO:0030168	0.874069740064585	platelet activation
GO:0005577	0.874069740064585	fibrinogen complex
GO:0005539	0.873837414782105	glycosaminoglycan binding
GO:0034704	0.873288407226192	calcium channel complex
GO:0008013	0.872393270139983	beta-catenin binding
GO:0002520	0.872095655732815	immune system development
GO:0007166	0.870678284169014	cell surface receptor signaling pathway
GO:0001664	0.870093627654124	G protein-coupled receptor binding
GO:0005212	0.869019159223172	structural constituent of eye lens
GO:0042470	0.868320983056506	melanosome
GO:0048770	0.868320983056506	pigment granule
GO:0005179	0.867695872621955	hormone activity
GO:0048869	0.867330198107783	cellular developmental process
GO:0005126	0.866387431423578	cytokine receptor binding
GO:0008076	0.864748450839303	voltage-gated potassium channel complex
GO:0034705	0.864748450839303	potassium channel complex
GO:0045321	0.863885462420319	leukocyte activation
GO:0046649	0.863885462420319	lymphocyte activation
GO:0008384	0.86387647275443	IkappaB kinase activity
GO:0005185	0.863074196578999	neurohypophyseal hormone activity
GO:0009755	0.86192895905986	hormone-mediated signaling pathway
GO:0005921	0.861305428815278	gap junction
GO:0005922	0.861305428815278	connexin complex
GO:0000795	0.861113752211387	synaptonemal complex
GO:0099086	0.861113752211387	synaptonemal structure
GO:0002250	0.860675146821393	adaptive immune response
GO:0002263	0.860675146821393	cell activation involved in immune response
GO:0002285	0.860675146821393	lymphocyte activation involved in immune response
GO:0002286	0.860675146821393	T cell activation involved in immune response
GO:0002287	0.860675146821393	alpha-beta T cell activation involved in immune response
GO:0002292	0.860675146821393	T cell differentiation involved in immune response
GO:0002293	0.860675146821393	alpha-beta T cell differentiation involved in immune response
GO:0002294	0.860675146821393	CD4-positive, alpha-beta T cell differentiation involved in immune response
GO:0002295	0.860675146821393	T-helper cell lineage commitment
GO:0002360	0.860675146821393	T cell lineage commitment
GO:0002363	0.860675146821393	alpha-beta T cell lineage commitment
GO:0002366	0.860675146821393	leukocyte activation involved in immune response
GO:0002460	0.860675146821393	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0002521	0.860675146821393	leukocyte differentiation
GO:0003012	0.860675146821393	muscle system process
GO:0006936	0.860675146821393	muscle contraction
GO:0006937	0.860675146821393	regulation of muscle contraction
GO:0006939	0.860675146821393	smooth muscle contraction
GO:0006940	0.860675146821393	regulation of smooth muscle contraction
GO:0007622	0.860675146821393	rhythmic behavior
GO:0008406	0.860675146821393	gonad development
GO:0022410	0.860675146821393	circadian sleep/wake cycle process
GO:0030098	0.860675146821393	lymphocyte differentiation
GO:0030217	0.860675146821393	T cell differentiation
GO:0035710	0.860675146821393	CD4-positive, alpha-beta T cell activation
GO:0042093	0.860675146821393	T-helper cell differentiation
GO:0042745	0.860675146821393	circadian sleep/wake cycle
GO:0043367	0.860675146821393	CD4-positive, alpha-beta T cell differentiation
GO:0043368	0.860675146821393	positive T cell selection
GO:0043369	0.860675146821393	CD4-positive or CD8-positive, alpha-beta T cell lineage commitment
GO:0043373	0.860675146821393	CD4-positive, alpha-beta T cell lineage commitment
GO:0045058	0.860675146821393	T cell selection
GO:0045137	0.860675146821393	development of primary sexual characteristics
GO:0046631	0.860675146821393	alpha-beta T cell activation
GO:0046632	0.860675146821393	alpha-beta T cell differentiation
GO:0048512	0.860675146821393	circadian behavior
GO:0072538	0.860675146821393	T-helper 17 type immune response
GO:0072539	0.860675146821393	T-helper 17 cell differentiation
GO:0072540	0.860675146821393	T-helper 17 cell lineage commitment
GO:0090257	0.860675146821393	regulation of muscle system process
GO:0005138	0.860675146821393	interleukin-6 receptor binding
GO:0016499	0.860675146821393	orexin receptor activity
GO:0031109	0.860470712532394	microtubule polymerization or depolymerization
GO:0031110	0.860470712532394	regulation of microtubule polymerization or depolymerization
