ann_term	q_val	annotation
GO:0004526	0.997130397524641	ribonuclease P activity
GO:0016567	0.995995619577779	protein ubiquitination
GO:0015850	0.99230041042264	organic hydroxy compound transport
GO:0019835	0.99174094577966	cytolysis
GO:0044179	0.99174094577966	hemolysis in other organism
GO:0051715	0.99174094577966	cytolysis in other organism
GO:0016984	0.989915979642887	ribulose-bisphosphate carboxylase activity
GO:0030597	0.989915979642887	RNA glycosylase activity
GO:0030598	0.989915979642887	rRNA N-glycosylase activity
GO:0001401	0.989244509565378	mitochondrial sorting and assembly machinery complex
GO:0008830	0.986528021018761	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0005186	0.986422502572437	pheromone activity
GO:0007005	0.986020015735025	mitochondrion organization
GO:0043227	0.984282152537735	membrane-bounded organelle
GO:0010817	0.983864604874808	regulation of hormone levels
GO:0042445	0.983864604874808	hormone metabolic process
GO:0098800	0.982973727151402	inner mitochondrial membrane protein complex
GO:0020037	0.982973727151402	heme binding
GO:0008170	0.978515837242702	N-methyltransferase activity
GO:0004529	0.978515837242702	exodeoxyribonuclease activity
GO:0016895	0.978515837242702	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0006376	0.975898483634347	mRNA splice site selection
GO:0005685	0.975898483634347	U1 snRNP
GO:0000981	0.971676844500715	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0004448	0.970169717836584	isocitrate dehydrogenase activity
GO:0004450	0.970169717836584	isocitrate dehydrogenase (NADP+) activity
GO:0008150	0.966200710125966	biological_process
GO:0000139	0.962823979902618	Golgi membrane
GO:0010629	0.96173019594805	negative regulation of gene expression
GO:0022402	0.960309753186212	cell cycle process
GO:0016168	0.960309753186212	chlorophyll binding
GO:0043231	0.960309753186212	intracellular membrane-bounded organelle
GO:0001101	0.960309753186212	response to acid chemical
GO:0003777	0.960173918159544	microtubule motor activity
GO:0006665	0.958410175716592	sphingolipid metabolic process
GO:0009074	0.956333754779291	aromatic amino acid family catabolic process
GO:0006486	0.956233144124567	protein glycosylation
GO:0009101	0.956233144124567	glycoprotein biosynthetic process
GO:0043413	0.956233144124567	macromolecule glycosylation
GO:0044427	0.956210452053102	chromosomal part
GO:0009267	0.952374352432421	cellular response to starvation
GO:0009991	0.952374352432421	response to extracellular stimulus
GO:0031667	0.952374352432421	response to nutrient levels
GO:0031668	0.952374352432421	cellular response to extracellular stimulus
GO:0031669	0.952374352432421	cellular response to nutrient levels
GO:0042594	0.952374352432421	response to starvation
GO:0071496	0.952374352432421	cellular response to external stimulus
GO:0007157	0.95067077296998	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0008982	0.95067077296998	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0006625	0.949109381008445	protein targeting to peroxisome
GO:0015919	0.949109381008445	peroxisomal membrane transport
