ann_term	CC	annotation
GO:0006955	0.93134199259925	immune response
GO:0002376	0.930648513825907	immune system process
GO:0048018	0.916398566073964	receptor ligand activity
GO:0030545	0.916398566073964	receptor regulator activity
GO:0048856	0.898505175200198	anatomical structure development
GO:0005102	0.895486722661932	signaling receptor binding
GO:0032502	0.895217663520752	developmental process
GO:0007275	0.89164824330283	multicellular organism development
GO:0008083	0.890363701447181	growth factor activity
GO:0022843	0.888176261236018	voltage-gated cation channel activity
GO:0009888	0.885270667993672	tissue development
GO:0001518	0.874746808000164	voltage-gated sodium channel complex
GO:0034706	0.874746808000164	sodium channel complex
GO:0005248	0.874746808000164	voltage-gated sodium channel activity
GO:0019209	0.872739920831933	kinase activator activity
GO:0030295	0.872739920831933	protein kinase activator activity
GO:0010942	0.871206027114289	positive regulation of cell death
GO:0043065	0.871206027114289	positive regulation of apoptotic process
GO:0043068	0.871206027114289	positive regulation of programmed cell death
GO:0045995	0.865352070111194	regulation of embryonic development
GO:0030141	0.864856212650419	secretory granule
GO:0099503	0.864856212650419	secretory vesicle
GO:0048513	0.86400862441229	animal organ development
GO:0005126	0.863195651165538	cytokine receptor binding
GO:0005891	0.862906540371659	voltage-gated calcium channel complex
GO:0034703	0.861363605423853	cation channel complex
GO:0005245	0.860027222097595	voltage-gated calcium channel activity
GO:0005179	0.856146508415041	hormone activity
GO:0005576	0.855327042158514	extracellular region
GO:0008373	0.854890874243394	sialyltransferase activity
GO:0005125	0.8487040419403	cytokine activity
GO:0034702	0.84782971295562	ion channel complex
GO:0004860	0.847809322173878	protein kinase inhibitor activity
GO:0019210	0.847809322173878	kinase inhibitor activity
GO:0070840	0.847437426217411	dynein complex binding
GO:0034704	0.844495275680838	calcium channel complex
GO:0048731	0.844231493810156	system development
GO:0018149	0.843278569736476	peptide cross-linking
GO:0003810	0.841440775202369	protein-glutamine gamma-glutamyltransferase activity
GO:0016604	0.839032988231066	nuclear body
GO:0016607	0.839032988231066	nuclear speck
GO:0005164	0.837949584738734	tumor necrosis factor receptor binding
GO:0032813	0.837949584738734	tumor necrosis factor receptor superfamily binding
GO:0001664	0.836803951672273	G protein-coupled receptor binding
GO:0005539	0.8361918730554	glycosaminoglycan binding
GO:0016477	0.831640854686277	cell migration
GO:0030334	0.831640854686277	regulation of cell migration
GO:0003676	0.830335522637974	nucleic acid binding
GO:0004675	0.830135844737911	transmembrane receptor protein serine/threonine kinase activity
GO:0008201	0.828019232676033	heparin binding
GO:0016055	0.827576071839765	Wnt signaling pathway
GO:0198738	0.827576071839765	cell-cell signaling by wnt
GO:1905114	0.827576071839765	cell surface receptor signaling pathway involved in cell-cell signaling
GO:0051239	0.827359315725897	regulation of multicellular organismal process
GO:0016247	0.82497280816	channel regulator activity
GO:0099106	0.82497280816	ion channel regulator activity
GO:0009611	0.824946684902075	response to wounding
GO:0051694	0.823769459678761	pointed-end actin filament capping
GO:0005523	0.823769459678761	tropomyosin binding
GO:0098772	0.823115750332041	molecular function regulator
GO:0031012	0.822950028086158	extracellular matrix
GO:0046658	0.818935387792882	anchored component of plasma membrane
GO:0005488	0.818919643350814	binding
GO:0030155	0.818099115622144	regulation of cell adhesion
GO:0007517	0.817275437682136	muscle organ development
GO:0061061	0.817275437682136	muscle structure development
GO:0051240	0.816449435670893	positive regulation of multicellular organismal process
GO:0004415	0.815716055224193	hyalurononglucosaminidase activity
GO:0015929	0.815716055224193	hexosaminidase activity
GO:0007267	0.814630603888499	cell-cell signaling
GO:0007156	0.814185339178353	homophilic cell adhesion via plasma membrane adhesion molecules
GO:0098742	0.814185339178353	cell-cell adhesion via plasma-membrane adhesion molecules
GO:0019199	0.813213686998311	transmembrane receptor protein kinase activity
GO:0031109	0.811238047437551	microtubule polymerization or depolymerization
GO:0031110	0.811238047437551	regulation of microtubule polymerization or depolymerization
GO:0007219	0.810287308365838	Notch signaling pathway
GO:0062023	0.808406237925347	collagen-containing extracellular matrix
GO:0047961	0.808379482418631	glycine N-acyltransferase activity
