ann_term	CC	annotation
GO:0007399	9.61624485012927e-08	nervous system development
GO:0016247	3.13732992218232e-07	channel regulator activity
GO:0099106	3.13732992218232e-07	ion channel regulator activity
GO:0007420	4.79790684566355e-07	brain development
GO:0060322	4.79790684566355e-07	head development
GO:0051049	5.5749597536642e-07	regulation of transport
GO:0032879	9.28020503483688e-07	regulation of localization
GO:0007417	1.5105664388739e-06	central nervous system development
GO:0019956	3.45299233448726e-06	chemokine binding
GO:0007212	7.00648657713408e-06	dopamine receptor signaling pathway
GO:0016477	1.06911261227544e-05	cell migration
GO:0048731	1.43195418657008e-05	system development
GO:0019955	1.46421266191261e-05	cytokine binding
GO:0030168	1.51820037166591e-05	platelet activation
GO:0004952	1.72706560635213e-05	dopamine neurotransmitter receptor activity
GO:0004936	1.97992898530011e-05	alpha-adrenergic receptor activity
GO:0062023	2.42670100350942e-05	collagen-containing extracellular matrix
GO:0046580	2.50570932874817e-05	negative regulation of Ras protein signal transduction
GO:0051058	2.50570932874817e-05	negative regulation of small GTPase mediated signal transduction
GO:0016917	2.84997338507472e-05	GABA receptor activity
GO:0048584	2.897675784094e-05	positive regulation of response to stimulus
GO:0017017	3.27523999149945e-05	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	3.27523999149945e-05	MAP kinase phosphatase activity
GO:0004890	3.39239850391447e-05	GABA-A receptor activity
GO:0016604	3.64845286029006e-05	nuclear body
GO:0016607	3.64845286029006e-05	nuclear speck
GO:1903522	4.22311415777664e-05	regulation of blood circulation
GO:0035257	4.38569029198747e-05	nuclear hormone receptor binding
GO:0051427	4.38569029198747e-05	hormone receptor binding
GO:0043114	4.44934515796383e-05	regulation of vascular permeability
GO:0048245	4.44934515796383e-05	eosinophil chemotaxis
GO:0071621	4.44934515796383e-05	granulocyte chemotaxis
GO:0072677	4.44934515796383e-05	eosinophil migration
GO:0097530	4.44934515796383e-05	granulocyte migration
GO:0030374	4.60397335296267e-05	nuclear receptor transcription coactivator activity
GO:0005923	4.79051378820125e-05	bicellular tight junction
GO:0043296	4.79051378820125e-05	apical junction complex
GO:0070160	4.79051378820125e-05	tight junction
GO:0099528	5.27367973645422e-05	G protein-coupled neurotransmitter receptor activity
GO:0035586	5.55240114206764e-05	purinergic receptor activity
GO:0040011	6.16004326966718e-05	locomotion
GO:0008083	6.65414682224168e-05	growth factor activity
GO:0045907	6.85745901085284e-05	positive regulation of vasoconstriction
GO:0042613	6.9873096916967e-05	MHC class II protein complex
GO:0004910	7.39138909400808e-05	interleukin-1, type II, blocking receptor activity
GO:0050776	7.80192075711505e-05	regulation of immune response
GO:0045995	7.80765141460802e-05	regulation of embryonic development
GO:0098797	0.000101436447011387	plasma membrane protein complex
GO:0007275	0.000102586522007177	multicellular organism development
GO:0007193	0.000102886095095987	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
GO:0007195	0.000102886095095987	adenylate cyclase-inhibiting dopamine receptor signaling pathway
GO:0001614	0.000104199606941556	purinergic nucleotide receptor activity
GO:0016502	0.000104199606941556	nucleotide receptor activity
GO:0048856	0.000111609356755219	anatomical structure development
GO:0042611	0.000117938386160626	MHC protein complex
GO:0042310	0.000144044708960332	vasoconstriction
GO:0097756	0.000144044708960332	negative regulation of blood vessel diameter
GO:0004993	0.000158389209827899	G protein-coupled serotonin receptor activity
GO:0099589	0.000158389209827899	serotonin receptor activity
GO:0050778	0.000165681376251867	positive regulation of immune response
GO:0001518	0.000170834448506085	voltage-gated sodium channel complex
GO:0034706	0.000170834448506085	sodium channel complex
GO:0005248	0.000170834448506085	voltage-gated sodium channel activity
GO:0003013	0.000181880771900974	circulatory system process
GO:0008015	0.000181880771900974	blood circulation
GO:0030334	0.000184027281279299	regulation of cell migration
GO:0003012	0.000185752788672603	muscle system process
GO:0007586	0.000191341602267934	digestion
GO:0043269	0.000203554614506805	regulation of ion transport
GO:0005540	0.000203660484283617	hyaluronic acid binding
GO:0048013	0.00021479760794536	ephrin receptor signaling pathway
GO:0046875	0.00021479760794536	ephrin receptor binding
GO:0006936	0.00022000775639542	muscle contraction
GO:0097755	0.000220141619297227	positive regulation of blood vessel diameter
GO:0035196	0.000220141619297227	production of miRNAs involved in gene silencing by miRNA
GO:0030422	0.000220141619297227	production of siRNA involved in RNA interference
GO:0031050	0.000220141619297227	dsRNA processing
GO:0042311	0.000220141619297227	vasodilation
GO:0050885	0.000220141619297227	neuromuscular process controlling balance
GO:0050905	0.000220141619297227	neuromuscular process
GO:0050957	0.000220141619297227	equilibrioception
GO:0070918	0.000220141619297227	production of small RNA involved in gene silencing by RNA
GO:0070920	0.000220141619297227	regulation of production of small RNA involved in gene silencing by RNA
GO:0090065	0.000220141619297227	regulation of production of siRNA involved in RNA interference
GO:0090075	0.000220141619297227	relaxation of muscle
GO:1900368	0.000220141619297227	regulation of RNA interference
GO:1903798	0.000220141619297227	regulation of production of miRNAs involved in gene silencing by miRNA
GO:0043293	0.000220141619297227	apoptosome
GO:0070578	0.000220141619297227	RISC-loading complex
GO:0005018	0.000220141619297227	platelet-derived growth factor alpha-receptor activity
GO:0035197	0.000220141619297227	siRNA binding
GO:0061980	0.000220141619297227	regulatory RNA binding
GO:0070883	0.000220141619297227	pre-miRNA binding
GO:0002684	0.000227585632299517	positive regulation of immune system process
GO:0007517	0.000232198638379432	muscle organ development
GO:0061061	0.000232198638379432	muscle structure development
GO:0009605	0.000239504452172817	response to external stimulus
GO:0043696	0.000253767827670713	dedifferentiation
GO:0043697	0.000253767827670713	cell dedifferentiation
GO:0004693	0.000253767827670713	cyclin-dependent protein serine/threonine kinase activity
GO:0097472	0.000253767827670713	cyclin-dependent protein kinase activity
GO:0007267	0.000264735653135473	cell-cell signaling
GO:0006616	0.000311837411859118	SRP-dependent cotranslational protein targeting to membrane, translocation
GO:0001775	0.000320158784649792	cell activation
GO:0005911	0.000342980080353025	cell-cell junction
GO:0007167	0.000348201933266946	enzyme linked receptor protein signaling pathway
GO:0001608	0.000364751253179228	G protein-coupled nucleotide receptor activity
GO:0045028	0.000364751253179228	G protein-coupled purinergic nucleotide receptor activity
GO:0019229	0.000370975237922653	regulation of vasoconstriction
GO:0003018	0.000397603990124404	vascular process in circulatory system
GO:0035150	0.000397603990124404	regulation of tube size
GO:0035296	0.000397603990124404	regulation of tube diameter
GO:0050880	0.000397603990124404	regulation of blood vessel size
GO:0097746	0.000397603990124404	regulation of blood vessel diameter
GO:0032101	0.000438498289206179	regulation of response to external stimulus
GO:0048513	0.000438647218796771	animal organ development
GO:0006939	0.000448812422229785	smooth muscle contraction
GO:0043560	0.000464371218403868	insulin receptor substrate binding
GO:0006935	0.000476407285181636	chemotaxis
GO:0042330	0.000476407285181636	taxis
GO:0019882	0.000488339556203408	antigen processing and presentation
GO:0007217	0.000514246778541606	tachykinin receptor signaling pathway
GO:0005539	0.000530883242451673	glycosaminoglycan binding
GO:0042287	0.000612215754006379	MHC protein binding
GO:0007189	0.000630294852428358	adenylate cyclase-activating G protein-coupled receptor signaling pathway
GO:0019933	0.000630294852428358	cAMP-mediated signaling
GO:0019935	0.000630294852428358	cyclic-nucleotide-mediated signaling
GO:0099503	0.000640216155496489	secretory vesicle
GO:0007169	0.000652863675165161	transmembrane receptor protein tyrosine kinase signaling pathway
GO:0040012	0.000733497201720756	regulation of locomotion
GO:0004715	0.000753685616578099	non-membrane spanning protein tyrosine kinase activity
GO:0030155	0.000846625674228644	regulation of cell adhesion
GO:0002682	0.000857930549961773	regulation of immune system process
GO:0016528	0.000873423451155527	sarcoplasm
GO:0030314	0.000873423451155527	junctional membrane complex
GO:0004699	0.000938881905224298	calcium-independent protein kinase C activity
GO:0007584	0.00098350248541803	response to nutrient
GO:0046683	0.00098350248541803	response to organophosphorus
GO:0014074	0.00098350248541803	response to purine-containing compound
GO:0033198	0.00098350248541803	response to ATP
GO:0004931	0.00098350248541803	extracellularly ATP-gated cation channel activity
GO:0035381	0.00098350248541803	ATP-gated ion channel activity
GO:0042043	0.000990202993006961	neurexin family protein binding
GO:0044057	0.000997622887435073	regulation of system process
GO:0051694	0.00101903754586662	pointed-end actin filament capping
GO:0005523	0.00101903754586662	tropomyosin binding
GO:0005184	0.00103663272220141	neuropeptide hormone activity
GO:0004985	0.0010563949695936	opioid receptor activity
GO:0009611	0.00105930987611757	response to wounding
GO:1904659	0.00106008290863942	glucose transmembrane transport
GO:0005355	0.00106008290863942	glucose transmembrane transporter activity
GO:0004954	0.00112337094801868	prostanoid receptor activity
GO:0006836	0.00112659970012699	neurotransmitter transport
GO:0005030	0.00116721519081036	neurotrophin receptor activity
GO:0031012	0.00121215283736222	extracellular matrix
GO:0002520	0.00122339689443805	immune system development
GO:0045125	0.00122511680548454	bioactive lipid receptor activity
GO:0019199	0.00123021449638303	transmembrane receptor protein kinase activity
GO:0007268	0.00123248342644705	chemical synaptic transmission
GO:0098916	0.00123248342644705	anterograde trans-synaptic signaling
GO:0099536	0.00123248342644705	synaptic signaling
GO:0099537	0.00123248342644705	trans-synaptic signaling
GO:0004935	0.00124336214374004	adrenergic receptor activity
GO:0008091	0.00124807681300279	spectrin
GO:0038036	0.00125098063475782	sphingosine-1-phosphate receptor activity
GO:0004949	0.00128181175681468	cannabinoid receptor activity
GO:0016055	0.00128990751280869	Wnt signaling pathway
GO:0198738	0.00128990751280869	cell-cell signaling by wnt
GO:1905114	0.00128990751280869	cell surface receptor signaling pathway involved in cell-cell signaling
GO:0003730	0.00131809522509297	mRNA 3'-UTR binding
GO:1903530	0.00133093496650573	regulation of secretion by cell
GO:0002252	0.00136861015354674	immune effector process
GO:0004938	0.00138253420277593	alpha2-adrenergic receptor activity
GO:0030162	0.00141280214414947	regulation of proteolysis
GO:0001527	0.00143902943924402	microfibril
GO:0044420	0.00143902943924402	extracellular matrix component
GO:0004994	0.00158242361934796	somatostatin receptor activity
GO:0051240	0.00159191833691481	positive regulation of multicellular organismal process
GO:0051239	0.00160627794280663	regulation of multicellular organismal process
GO:1901698	0.00162002772877025	response to nitrogen compound
GO:0046777	0.0017179954406561	protein autophosphorylation
GO:0051262	0.00173534812407252	protein tetramerization
GO:0070915	0.00173957260065802	lysophosphatidic acid receptor activity
GO:0005577	0.00176183521950289	fibrinogen complex
GO:0099094	0.0017809694845392	ligand-gated cation channel activity
GO:0002474	0.0018450979886178	antigen processing and presentation of peptide antigen via MHC class I
GO:0002483	0.0018450979886178	antigen processing and presentation of endogenous peptide antigen
GO:0019883	0.0018450979886178	antigen processing and presentation of endogenous antigen
GO:0019885	0.0018450979886178	antigen processing and presentation of endogenous peptide antigen via MHC class I
GO:0048002	0.0018450979886178	antigen processing and presentation of peptide antigen
GO:0005160	0.00185429274960437	transforming growth factor beta receptor binding
GO:0051270	0.00185955225783324	regulation of cellular component movement
GO:0007129	0.00189979449089431	synapsis
GO:0007130	0.00189979449089431	synaptonemal complex assembly
GO:0045143	0.00189979449089431	homologous chromosome segregation
GO:0070192	0.00189979449089431	chromosome organization involved in meiotic cell cycle
GO:0070193	0.00189979449089431	synaptonemal complex organization
GO:0006047	0.00194615340470496	UDP-N-acetylglucosamine metabolic process
GO:1901618	0.00206402871893705	organic hydroxy compound transmembrane transporter activity
GO:0004955	0.00209083166767301	prostaglandin receptor activity
GO:0008543	0.00210858678072443	fibroblast growth factor receptor signaling pathway
GO:0044344	0.00210858678072443	cellular response to fibroblast growth factor stimulus
GO:0071774	0.00210858678072443	response to fibroblast growth factor
GO:0051090	0.00215623619681759	regulation of DNA-binding transcription factor activity
GO:0016492	0.00215623619681759	G protein-coupled neurotensin receptor activity
GO:0080134	0.0021948177350977	regulation of response to stress
GO:0051046	0.00221585066331455	regulation of secretion
GO:0051018	0.00224097585264351	protein kinase A binding
GO:0031110	0.00229567365785364	regulation of microtubule polymerization or depolymerization
GO:0048534	0.00249693132434044	hematopoietic or lymphoid organ development
GO:0072507	0.00251082712060451	divalent inorganic cation homeostasis
GO:0055074	0.00251082712060451	calcium ion homeostasis
GO:0044092	0.00264829418139098	negative regulation of molecular function
GO:0098772	0.00265268571658943	molecular function regulator
GO:0048699	0.00267097953197957	generation of neurons
GO:0004714	0.00267877934167733	transmembrane receptor protein tyrosine kinase activity
GO:0042470	0.00268499994797404	melanosome
GO:0048770	0.00268499994797404	pigment granule
GO:0031854	0.00271703708655918	orexigenic neuropeptide QRFP receptor binding
GO:0014070	0.00277317801525135	response to organic cyclic compound
GO:0051345	0.00281497546695643	positive regulation of hydrolase activity
GO:0007623	0.00283719726860742	circadian rhythm
GO:0048511	0.00283719726860742	rhythmic process
GO:0031058	0.002838990735568	positive regulation of histone modification
GO:0031060	0.002838990735568	regulation of histone methylation
GO:0031062	0.002838990735568	positive regulation of histone methylation
GO:0036123	0.002838990735568	histone H3-K9 dimethylation
GO:0051567	0.002838990735568	histone H3-K9 methylation
GO:0051570	0.002838990735568	regulation of histone H3-K9 methylation
GO:0051574	0.002838990735568	positive regulation of histone H3-K9 methylation
GO:0061647	0.002838990735568	histone H3-K9 modification
GO:1900109	0.002838990735568	regulation of histone H3-K9 dimethylation
GO:1900111	0.002838990735568	positive regulation of histone H3-K9 dimethylation
GO:1905269	0.002838990735568	positive regulation of chromatin organization
GO:2001252	0.002838990735568	positive regulation of chromosome organization
GO:0016298	0.00285831427095113	lipase activity
GO:0022008	0.00286729459276249	neurogenesis
GO:0004679	0.0028679924328719	AMP-activated protein kinase activity
GO:0030097	0.00286848157139306	hemopoiesis
GO:2000145	0.00288489982054855	regulation of cell motility
GO:0004465	0.00299908677245461	lipoprotein lipase activity
GO:0007187	0.0030230181506046	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
GO:0007188	0.0030230181506046	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
GO:0007214	0.00303788942167916	gamma-aminobutyric acid signaling pathway
GO:0007155	0.00315766479500098	cell adhesion
GO:0022610	0.00315766479500098	biological adhesion
GO:0030141	0.00325268921747406	secretory granule
GO:0018101	0.00325952470829961	protein citrullination
GO:1903524	0.00326871599698735	positive regulation of blood circulation
GO:0030971	0.00331360028256209	receptor tyrosine kinase binding
GO:0030296	0.00331360028256209	protein tyrosine kinase activator activity
GO:0030298	0.00331360028256209	receptor signaling protein tyrosine kinase activator activity
GO:1990782	0.00331360028256209	protein tyrosine kinase binding
GO:0008437	0.00334039821709219	thyrotropin-releasing hormone activity
GO:0015280	0.00334079824189838	ligand-gated sodium channel activity
GO:0048018	0.00353644478642635	receptor ligand activity
GO:0030545	0.00353644478642635	receptor regulator activity
GO:0002376	0.0036121942187479	immune system process
GO:0005003	0.00362894667929086	ephrin receptor activity
GO:0009743	0.00369718467169648	response to carbohydrate
GO:0009746	0.00369718467169648	response to hexose
GO:0009749	0.00369718467169648	response to glucose
GO:0034284	0.00369718467169648	response to monosaccharide
GO:0071322	0.00369718467169648	cellular response to carbohydrate stimulus
GO:0071326	0.00369718467169648	cellular response to monosaccharide stimulus
GO:0071331	0.00369718467169648	cellular response to hexose stimulus
GO:0071333	0.00369718467169648	cellular response to glucose stimulus
GO:0010942	0.00376182436193533	positive regulation of cell death
GO:0043065	0.00376182436193533	positive regulation of apoptotic process
GO:0043068	0.00376182436193533	positive regulation of programmed cell death
GO:0043410	0.00383958093696236	positive regulation of MAPK cascade
GO:0001973	0.00390418117008268	adenosine receptor signaling pathway
GO:0035587	0.00390418117008268	purinergic receptor signaling pathway
GO:0035588	0.00390418117008268	G protein-coupled purinergic receptor signaling pathway
GO:0001609	0.00390418117008268	G protein-coupled adenosine receptor activity
GO:0006955	0.00404715964817309	immune response
GO:0006874	0.00412554680484919	cellular calcium ion homeostasis
GO:0072503	0.00412554680484919	cellular divalent inorganic cation homeostasis
GO:0003015	0.00423362578320519	heart process
GO:0008016	0.00423362578320519	regulation of heart contraction
GO:0060047	0.00423362578320519	heart contraction
GO:0001516	0.0042401740354574	prostaglandin biosynthetic process
GO:0046456	0.0042401740354574	icosanoid biosynthetic process
GO:0046457	0.0042401740354574	prostanoid biosynthetic process
GO:1901570	0.0042401740354574	fatty acid derivative biosynthetic process
GO:0008116	0.0042401740354574	prostaglandin-I synthase activity
GO:0005452	0.00437790057223819	inorganic anion exchanger activity
GO:0048666	0.00446987514846078	neuron development
GO:0006690	0.00450822091492784	icosanoid metabolic process
GO:0001649	0.00451892943654938	osteoblast differentiation
GO:0048585	0.00452440420246481	negative regulation of response to stimulus
GO:0001570	0.00455524477526377	vasculogenesis
GO:0004965	0.00455524477526377	G protein-coupled GABA receptor activity
GO:0030182	0.00465988852328572	neuron differentiation
GO:0004937	0.00466265207415756	alpha1-adrenergic receptor activity
GO:0004860	0.00466371471448724	protein kinase inhibitor activity
GO:0019210	0.00466371471448724	kinase inhibitor activity
GO:0010243	0.00474178677497853	response to organonitrogen compound
GO:0008643	0.00497965596269905	carbohydrate transport
GO:0015144	0.00501448220594956	carbohydrate transmembrane transporter activity
GO:0004953	0.00504472334554877	icosanoid receptor activity
GO:0042060	0.00505882000314339	wound healing
GO:0015467	0.00508548111449102	G-protein activated inward rectifier potassium channel activity
GO:0031424	0.00511224329480312	keratinization
GO:0051354	0.00511224329480312	negative regulation of oxidoreductase activity
GO:1900757	0.00511224329480312	regulation of D-amino-acid oxidase activity
GO:1900758	0.00511224329480312	negative regulation of D-amino-acid oxidase activity
GO:0031306	0.00511641588789427	intrinsic component of mitochondrial outer membrane
GO:0031307	0.00511641588789427	integral component of mitochondrial outer membrane
GO:0048483	0.00512055828926261	autonomic nervous system development
GO:0048484	0.00512055828926261	enteric nervous system development
GO:0004962	0.00512055828926261	endothelin receptor activity
GO:0005246	0.0051657141700982	calcium channel regulator activity
GO:0098609	0.00517842955985841	cell-cell adhesion
GO:0090092	0.00524602383495908	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0090101	0.00524602383495908	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0090287	0.00524602383495908	regulation of cellular response to growth factor stimulus
GO:0090288	0.00524602383495908	negative regulation of cellular response to growth factor stimulus
GO:0007178	0.00526687466274926	transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0006937	0.00535447058448463	regulation of muscle contraction
GO:0090257	0.00535447058448463	regulation of muscle system process
GO:0005164	0.00539750449211571	tumor necrosis factor receptor binding
GO:0032813	0.00539750449211571	tumor necrosis factor receptor superfamily binding
GO:0005243	0.00541906131590379	gap junction channel activity
GO:0001558	0.0054481371441078	regulation of cell growth
GO:0007200	0.00546793994350377	phospholipase C-activating G protein-coupled receptor signaling pathway
GO:0008384	0.00557458869177788	IkappaB kinase activity
GO:0032270	0.00558325660840913	positive regulation of cellular protein metabolic process
GO:0051247	0.00558325660840913	positive regulation of protein metabolic process
GO:0008645	0.00560562105766131	hexose transmembrane transport
GO:0015749	0.00560562105766131	monosaccharide transmembrane transport
GO:0015145	0.00560562105766131	monosaccharide transmembrane transporter activity
GO:0015149	0.00560562105766131	hexose transmembrane transporter activity
GO:0051119	0.00560562105766131	sugar transmembrane transporter activity
GO:0001696	0.00563141252930293	gastric acid secretion
GO:0014046	0.00563141252930293	dopamine secretion
GO:0014059	0.00563141252930293	regulation of dopamine secretion
GO:0015837	0.00563141252930293	amine transport
GO:0015844	0.00563141252930293	monoamine transport
GO:0015872	0.00563141252930293	dopamine transport
GO:0016486	0.00563141252930293	peptide hormone processing
GO:0045637	0.00563141252930293	regulation of myeloid cell differentiation
GO:0045639	0.00563141252930293	positive regulation of myeloid cell differentiation
GO:0045738	0.00563141252930293	negative regulation of DNA repair
GO:0050432	0.00563141252930293	catecholamine secretion
GO:0050433	0.00563141252930293	regulation of catecholamine secretion
GO:0051937	0.00563141252930293	catecholamine transport
GO:0051952	0.00563141252930293	regulation of amine transport
GO:1990108	0.00563141252930293	protein linear deubiquitination
GO:2000780	0.00563141252930293	negative regulation of double-strand break repair
GO:2001021	0.00563141252930293	negative regulation of response to DNA damage stimulus
GO:2001023	0.00563141252930293	regulation of response to drug
GO:2001033	0.00563141252930293	negative regulation of double-strand break repair via nonhomologous end joining
GO:0005668	0.00563141252930293	RNA polymerase transcription factor SL1 complex
GO:0004941	0.00563141252930293	beta2-adrenergic receptor activity
GO:0004951	0.00563141252930293	cholecystokinin receptor activity
GO:0004978	0.00563141252930293	corticotropin receptor activity
GO:0038046	0.00563141252930293	enkephalin receptor activity
GO:0018025	0.00563141252930293	calmodulin-lysine N-methyltransferase activity
GO:2000026	0.00580156833118034	regulation of multicellular organismal development
GO:0004113	0.00611320634135698	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity
GO:0003726	0.00618850239982975	double-stranded RNA adenosine deaminase activity
GO:0030099	0.00620131363941243	myeloid cell differentiation
GO:0030594	0.0062500688682033	neurotransmitter receptor activity
GO:0050839	0.00630275340946933	cell adhesion molecule binding
GO:0009109	0.00653816290013387	coenzyme catabolic process
GO:0009256	0.00653816290013387	10-formyltetrahydrofolate metabolic process
GO:0009258	0.00653816290013387	10-formyltetrahydrofolate catabolic process
GO:0009397	0.00653816290013387	folic acid-containing compound catabolic process
GO:0042560	0.00653816290013387	pteridine-containing compound catabolic process
GO:0016155	0.00653816290013387	formyltetrahydrofolate dehydrogenase activity
GO:0009967	0.00664100775331127	positive regulation of signal transduction
GO:0010647	0.00664100775331127	positive regulation of cell communication
GO:0023056	0.00664100775331127	positive regulation of signaling
GO:0010385	0.00674052652476651	double-stranded methylated DNA binding
GO:0000795	0.00690484323547643	synaptonemal complex
GO:0099086	0.00690484323547643	synaptonemal structure
GO:0005501	0.00693048908428464	retinoid binding
GO:0015665	0.00693048908428464	alcohol transmembrane transporter activity
GO:0034632	0.00693048908428464	retinol transmembrane transporter activity
GO:0005520	0.00700137904572438	insulin-like growth factor binding
GO:0034219	0.00702029581352904	carbohydrate transmembrane transport
GO:0016049	0.00725843043085164	cell growth
GO:0050817	0.00726009542441083	coagulation
GO:0004896	0.00734308970302993	cytokine receptor activity
GO:0004939	0.00791647058493954	beta-adrenergic receptor activity
GO:0065009	0.00794179916486505	regulation of molecular function
GO:0019838	0.0080910051739107	growth factor binding
GO:0007194	0.00809212506174447	negative regulation of adenylate cyclase activity
GO:0031280	0.00809212506174447	negative regulation of cyclase activity
GO:0051350	0.00809212506174447	negative regulation of lyase activity
GO:0031175	0.00809666025818049	neuron projection development
GO:0052547	0.00838308148145565	regulation of peptidase activity
GO:0070628	0.00842275876192369	proteasome binding
GO:0008502	0.00858702690284293	melatonin receptor activity
GO:0007259	0.00861823390486534	JAK-STAT cascade
GO:0097696	0.00861823390486534	STAT cascade
GO:0010825	0.00866446924596721	positive regulation of centrosome duplication
GO:0036215	0.00866446924596721	response to stem cell factor
GO:0036216	0.00866446924596721	cellular response to stem cell factor stimulus
GO:0038093	0.00866446924596721	Fc receptor signaling pathway
GO:0038109	0.00866446924596721	Kit signaling pathway
GO:0046607	0.00866446924596721	positive regulation of centrosome cycle
