ann_term	CC	annotation
GO:0048731	0.798882452546831	system development
GO:0048513	0.785671052993699	animal organ development
GO:0048018	0.766948180753622	receptor ligand activity
GO:0030545	0.766948180753622	receptor regulator activity
GO:0048856	0.755992796549445	anatomical structure development
GO:0032502	0.754044361506791	developmental process
GO:0007275	0.749755022460976	multicellular organism development
GO:0009888	0.748554201690014	tissue development
GO:0008091	0.744017192813425	spectrin
GO:0010942	0.739881920943951	positive regulation of cell death
GO:0043065	0.739881920943951	positive regulation of apoptotic process
GO:0043068	0.739881920943951	positive regulation of programmed cell death
GO:0005126	0.733778424104983	cytokine receptor binding
GO:0030141	0.732799194533617	secretory granule
GO:0009611	0.731095211563133	response to wounding
GO:0016477	0.731095211563133	cell migration
GO:0002682	0.730633441297502	regulation of immune system process
GO:0050776	0.730633441297502	regulation of immune response
GO:0004890	0.730365501202169	GABA-A receptor activity
GO:0030334	0.728912837797273	regulation of cell migration
GO:0016917	0.72809021926696	GABA receptor activity
GO:0004896	0.725100358057932	cytokine receptor activity
GO:0051240	0.724548090265553	positive regulation of multicellular organismal process
GO:0008283	0.720234994698522	cell proliferation
GO:0008083	0.720112531360607	growth factor activity
GO:0045995	0.719033807535407	regulation of embryonic development
GO:0005125	0.719033807535407	cytokine activity
GO:1903522	0.718569257652262	regulation of blood circulation
GO:0099528	0.716182315068436	G protein-coupled neurotransmitter receptor activity
GO:0004715	0.712947911704824	non-membrane spanning protein tyrosine kinase activity
GO:0007399	0.712163245720495	nervous system development
GO:0007417	0.711418701212471	central nervous system development
GO:0005164	0.711025604752891	tumor necrosis factor receptor binding
GO:0032813	0.711025604752891	tumor necrosis factor receptor superfamily binding
GO:0051239	0.708821499186	regulation of multicellular organismal process
GO:0044057	0.708571772328404	regulation of system process
GO:0023061	0.704974454112748	signal release
GO:0008227	0.704974454112748	G protein-coupled amine receptor activity
GO:0060627	0.704822715331957	regulation of vesicle-mediated transport
GO:0008543	0.704653131384699	fibroblast growth factor receptor signaling pathway
GO:0044344	0.704653131384699	cellular response to fibroblast growth factor stimulus
GO:0071774	0.704653131384699	response to fibroblast growth factor
GO:0001518	0.704199758947263	voltage-gated sodium channel complex
GO:0034706	0.704199758947263	sodium channel complex
GO:0005248	0.704199758947263	voltage-gated sodium channel activity
GO:0015296	0.702855499953585	anion:cation symporter activity
GO:0007187	0.701404883484128	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
GO:0007188	0.701404883484128	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
GO:0016247	0.701073658335511	channel regulator activity
GO:0099106	0.701073658335511	ion channel regulator activity
GO:0051694	0.699683764510316	pointed-end actin filament capping
GO:0005523	0.699683764510316	tropomyosin binding
GO:0006955	0.699067694478202	immune response
GO:0048584	0.699067694478202	positive regulation of response to stimulus
GO:0007420	0.698623400830952	brain development
GO:0060322	0.698623400830952	head development
GO:0007269	0.698249737539336	neurotransmitter secretion
GO:0099643	0.698249737539336	signal release from synapse
GO:0008284	0.697462793309345	positive regulation of cell proliferation
GO:0016604	0.697462793309345	nuclear body
GO:0016607	0.697462793309345	nuclear speck
GO:0007229	0.695159428522259	integrin-mediated signaling pathway
GO:0040008	0.695086044426441	regulation of growth
GO:0002684	0.695066013950893	positive regulation of immune system process
GO:0050778	0.695066013950893	positive regulation of immune response
GO:0002376	0.695015128133401	immune system process
GO:0030522	0.694358288302168	intracellular receptor signaling pathway
GO:0062023	0.693994857543511	collagen-containing extracellular matrix
GO:0017017	0.693994857543511	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	0.693994857543511	MAP kinase phosphatase activity
GO:0005576	0.693642875184542	extracellular region
GO:0140030	0.693308436794009	modification-dependent protein binding
GO:0042127	0.690171104380529	regulation of cell proliferation
GO:0099503	0.689630110011791	secretory vesicle
GO:0002253	0.687875675875539	activation of immune response
GO:0006616	0.68785897337758	SRP-dependent cotranslational protein targeting to membrane, translocation
GO:0046658	0.68695627092386	anchored component of plasma membrane
GO:0070840	0.686419617315807	dynein complex binding
GO:0030155	0.685997503465589	regulation of cell adhesion
GO:0015379	0.68554684237463	potassium:chloride symporter activity
GO:0007249	0.684548570411281	I-kappaB kinase/NF-kappaB signaling
GO:0043122	0.684548570411281	regulation of I-kappaB kinase/NF-kappaB signaling
GO:0060070	0.68357805901876	canonical Wnt signaling pathway
GO:0040012	0.683576327303687	regulation of locomotion
GO:2000145	0.683576327303687	regulation of cell motility
GO:0042165	0.68352630717434	neurotransmitter binding
GO:0047961	0.68309679116036	glycine N-acyltransferase activity
GO:0045087	0.683082988714211	innate immune response
GO:0015377	0.681748728183207	cation:chloride symporter activity
GO:0003013	0.681078687687796	circulatory system process
GO:0008015	0.681078687687796	blood circulation
GO:0031012	0.680402573786655	extracellular matrix
GO:0017049	0.680309298627566	GTP-Rho binding
GO:0005547	0.679829002022313	phosphatidylinositol-3,4,5-trisphosphate binding
GO:0045862	0.679787543718553	positive regulation of proteolysis
GO:0030100	0.679430450258673	regulation of endocytosis
GO:0050793	0.677800276768786	regulation of developmental process
GO:0031593	0.673744177554672	polyubiquitin modification-dependent protein binding
GO:0070530	0.673744177554672	K63-linked polyubiquitin modification-dependent protein binding
GO:0003015	0.673032800067913	heart process
GO:0008016	0.673032800067913	regulation of heart contraction
GO:0060047	0.673032800067913	heart contraction
GO:0022008	0.672810817453016	neurogenesis
GO:0042060	0.672810817453016	wound healing
GO:0004908	0.670917576544293	interleukin-1 receptor activity
GO:0006954	0.670825531313136	inflammatory response
GO:0004860	0.670378140705486	protein kinase inhibitor activity
GO:0019210	0.670378140705486	kinase inhibitor activity
GO:0005102	0.670265288404249	signaling receptor binding
GO:0002063	0.669596854576163	chondrocyte development
GO:0032330	0.669596854576163	regulation of chondrocyte differentiation
GO:0061035	0.669596854576163	regulation of cartilage development
GO:0061181	0.669596854576163	regulation of chondrocyte development
GO:0061572	0.669596854576163	actin filament bundle organization
GO:0031005	0.669596854576163	filamin binding
GO:0015026	0.668199991073163	coreceptor activity
GO:0003810	0.667795247983915	protein-glutamine gamma-glutamyltransferase activity
GO:0008373	0.666523396524045	sialyltransferase activity
GO:1903524	0.666082459702009	positive regulation of blood circulation
GO:0007596	0.663583088371045	blood coagulation
GO:0007599	0.663583088371045	hemostasis
GO:0004969	0.662948910593217	histamine receptor activity
GO:0080134	0.662402858212498	regulation of response to stress
GO:0009896	0.661496892625645	positive regulation of catabolic process
GO:0031331	0.661496892625645	positive regulation of cellular catabolic process
GO:0050878	0.661083717040081	regulation of body fluid levels
GO:0006956	0.660323370353244	complement activation
GO:0072376	0.660323370353244	protein activation cascade
GO:0005923	0.659782015107874	bicellular tight junction
GO:0043296	0.659782015107874	apical junction complex
GO:0070160	0.659782015107874	tight junction
GO:0030374	0.659782015107874	nuclear receptor transcription coactivator activity
GO:0048699	0.659114323574123	generation of neurons
