ann_term	q_val	annotation
GO:0046173	0.999350498697374	polyol biosynthetic process
GO:0035600	0.998186286217619	tRNA methylthiolation
GO:0035598	0.998186286217619	N6-threonylcarbomyladenosine methylthiotransferase activity
GO:1901682	0.997846276004345	sulfur compound transmembrane transporter activity
GO:0090304	0.995394938663876	nucleic acid metabolic process
GO:0052689	0.993267903887135	carboxylic ester hydrolase activity
GO:0033036	0.992765397849682	macromolecule localization
GO:0006654	0.992573185338564	phosphatidic acid biosynthetic process
GO:0046473	0.992573185338564	phosphatidic acid metabolic process
GO:0044179	0.992417346925265	hemolysis in other organism
GO:0051715	0.992417346925265	cytolysis in other organism
GO:0005853	0.992417346925265	eukaryotic translation elongation factor 1 complex
GO:0019478	0.990384027790549	D-amino acid catabolic process
GO:0046655	0.990384027790549	folic acid metabolic process
GO:0046656	0.990384027790549	folic acid biosynthetic process
GO:0008696	0.990384027790549	4-amino-4-deoxychorismate lyase activity
GO:0030597	0.990384027790549	RNA glycosylase activity
GO:0030598	0.990384027790549	rRNA N-glycosylase activity
GO:0071973	0.990384027790549	bacterial-type flagellum-dependent cell motility
GO:0097588	0.990384027790549	archaeal or bacterial-type flagellum-dependent cell motility
GO:0006527	0.990384027790549	arginine catabolic process
GO:1901071	0.990096312046524	glucosamine-containing compound metabolic process
GO:0015772	0.990096312046524	oligosaccharide transport
GO:0008830	0.987747548731434	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0016307	0.987280128769696	phosphatidylinositol phosphate kinase activity
GO:0070925	0.986775414064931	organelle assembly
GO:0071702	0.979752539355702	organic substance transport
GO:0022884	0.979246710206433	macromolecule transmembrane transporter activity
GO:0031090	0.977762923050423	organelle membrane
GO:0045735	0.977227702241842	nutrient reservoir activity
GO:0005953	0.976433980663974	CAAX-protein geranylgeranyltransferase complex
GO:0008174	0.975745886875417	mRNA methyltransferase activity
GO:0009310	0.975573299715618	amine catabolic process
GO:0000184	0.975556629780838	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0047750	0.969870990618755	cholestenol delta-isomerase activity
GO:0000782	0.966381771631319	telomere cap complex
GO:0000783	0.966381771631319	nuclear telomere cap complex
GO:1990879	0.966381771631319	CST complex
GO:0016790	0.964864569711368	thiolester hydrolase activity
GO:0043229	0.964029930208819	intracellular organelle
GO:0048312	0.963303898588743	intracellular distribution of mitochondria
GO:0006729	0.960402592928519	tetrahydrobiopterin biosynthetic process
GO:0034311	0.960402592928519	diol metabolic process
GO:0034312	0.960402592928519	diol biosynthetic process
GO:0046146	0.960402592928519	tetrahydrobiopterin metabolic process
GO:0006625	0.960402592928519	protein targeting to peroxisome
GO:0043574	0.960402592928519	peroxisomal transport
GO:0072662	0.960402592928519	protein localization to peroxisome
GO:0072663	0.960402592928519	establishment of protein localization to peroxisome
GO:0016168	0.960402592928519	chlorophyll binding
GO:0048311	0.960402592928519	mitochondrion distribution
GO:0051646	0.960402592928519	mitochondrion localization
GO:0043226	0.959368802932999	organelle
GO:0009360	0.959254811597888	DNA polymerase III complex
GO:0044036	0.958750965547869	cell wall macromolecule metabolic process
GO:0003854	0.958461460645967	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0009279	0.958372194877275	cell outer membrane
GO:0044462	0.958372194877275	external encapsulating structure part
GO:0000062	0.957287857644144	fatty-acyl-CoA binding
GO:1901567	0.957287857644144	fatty acid derivative binding
GO:0016411	0.957241163438249	acylglycerol O-acyltransferase activity
GO:0006569	0.955422053348145	tryptophan catabolic process
GO:0042402	0.955422053348145	cellular biogenic amine catabolic process
GO:0042436	0.955422053348145	indole-containing compound catabolic process
GO:0046218	0.955422053348145	indolalkylamine catabolic process
GO:0001101	0.955422053348145	response to acid chemical
GO:0004133	0.954069554210487	glycogen debranching enzyme activity
GO:0004134	0.954069554210487	4-alpha-glucanotransferase activity
GO:0006898	0.953805850018111	receptor-mediated endocytosis
GO:0008022	0.951966620542374	protein C-terminus binding
GO:0071840	0.951807414135006	cellular component organization or biogenesis
GO:0031122	0.951622813636475	cytoplasmic microtubule organization
GO:0007157	0.951086792744359	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0008982	0.951086792744359	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0007088	0.949757011103548	regulation of mitotic nuclear division
GO:0051783	0.949757011103548	regulation of nuclear division
GO:0016125	0.947743665225216	sterol metabolic process
GO:0010467	0.945928866220633	gene expression
GO:0051304	0.943121675763425	chromosome separation
GO:0031965	0.943121675763425	nuclear membrane
GO:0004097	0.942172210589463	catechol oxidase activity
GO:0039694	0.938321125862859	viral RNA genome replication
