ann_term	q_val	annotation
GO:0007399	0.000550930148479129	nervous system development
GO:0032879	0.000550930148479129	regulation of localization
GO:0048731	0.000550930148479129	system development
GO:0016247	0.000550930148479129	channel regulator activity
GO:0099106	0.000550930148479129	ion channel regulator activity
GO:0051049	0.000550930148479129	regulation of transport
GO:0007420	0.000550930148479129	brain development
GO:0060322	0.000550930148479129	head development
GO:0009896	0.000797130168346718	positive regulation of catabolic process
GO:0031331	0.000797130168346718	positive regulation of cellular catabolic process
GO:0048513	0.000797130168346718	animal organ development
GO:0042165	0.000975042005874054	neurotransmitter binding
GO:0007417	0.00103090214187135	central nervous system development
GO:0019956	0.00218404186153867	chemokine binding
GO:0007212	0.00413367219976333	dopamine receptor signaling pathway
GO:0016477	0.00502364395043132	cell migration
GO:0062023	0.00632562724258826	collagen-containing extracellular matrix
GO:0019955	0.00632562724258826	cytokine binding
GO:0030168	0.00632562724258826	platelet activation
GO:0004952	0.00632562724258826	dopamine neurotransmitter receptor activity
GO:0004936	0.00632562724258826	alpha-adrenergic receptor activity
GO:0050776	0.00632562724258826	regulation of immune response
GO:0046580	0.00632562724258826	negative regulation of Ras protein signal transduction
GO:0051058	0.00632562724258826	negative regulation of small GTPase mediated signal transduction
GO:0048699	0.00632562724258826	generation of neurons
GO:0048584	0.00632562724258826	positive regulation of response to stimulus
GO:0016917	0.00632562724258826	GABA receptor activity
GO:0032410	0.00632562724258826	negative regulation of transporter activity
GO:0032413	0.00632562724258826	negative regulation of ion transmembrane transporter activity
GO:0034763	0.00632562724258826	negative regulation of transmembrane transport
GO:0034766	0.00632562724258826	negative regulation of ion transmembrane transport
GO:0043271	0.00632562724258826	negative regulation of ion transport
GO:0051051	0.00632562724258826	negative regulation of transport
GO:0051926	0.00632562724258826	negative regulation of calcium ion transport
GO:1901020	0.00632562724258826	negative regulation of calcium ion transmembrane transporter activity
GO:1901385	0.00632562724258826	regulation of voltage-gated calcium channel activity
GO:1901386	0.00632562724258826	negative regulation of voltage-gated calcium channel activity
GO:1901841	0.00632562724258826	regulation of high voltage-gated calcium channel activity
GO:1901842	0.00632562724258826	negative regulation of high voltage-gated calcium channel activity
GO:1903170	0.00632562724258826	negative regulation of calcium ion transmembrane transport
GO:1904063	0.00632562724258826	negative regulation of cation transmembrane transport
GO:2001258	0.00632562724258826	negative regulation of cation channel activity
GO:0017017	0.00632562724258826	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	0.00632562724258826	MAP kinase phosphatase activity
GO:0004890	0.00632562724258826	GABA-A receptor activity
GO:0022008	0.00632562724258826	neurogenesis
GO:0004993	0.00632562724258826	G protein-coupled serotonin receptor activity
GO:0099589	0.00632562724258826	serotonin receptor activity
GO:0016604	0.00632562724258826	nuclear body
GO:0016607	0.00632562724258826	nuclear speck
GO:1903522	0.00632562724258826	regulation of blood circulation
GO:0030182	0.00632562724258826	neuron differentiation
GO:0035257	0.00632562724258826	nuclear hormone receptor binding
GO:0051427	0.00632562724258826	hormone receptor binding
GO:0050778	0.00632562724258826	positive regulation of immune response
GO:0043114	0.00632562724258826	regulation of vascular permeability
GO:0048245	0.00632562724258826	eosinophil chemotaxis
