ann_term	CC	annotation
GO:0007399	1.08087885696403e-07	nervous system development
GO:0032879	2.52965302915125e-07	regulation of localization
GO:0048731	2.83208063447671e-07	system development
GO:0016247	4.50392407726099e-07	channel regulator activity
GO:0099106	4.50392407726099e-07	ion channel regulator activity
GO:0051049	6.05548377713877e-07	regulation of transport
GO:0007420	6.54117124938117e-07	brain development
GO:0060322	6.54117124938117e-07	head development
GO:0009896	1.19469555235358e-06	positive regulation of catabolic process
GO:0031331	1.19469555235358e-06	positive regulation of cellular catabolic process
GO:0048513	1.30134043511634e-06	animal organ development
GO:0042165	1.73649511286563e-06	neurotransmitter binding
GO:0007417	1.98897712144961e-06	central nervous system development
GO:0019956	4.53793203644129e-06	chemokine binding
GO:0007212	9.20229786234046e-06	dopamine receptor signaling pathway
GO:0016477	1.19291040675128e-05	cell migration
GO:0062023	1.63075987302202e-05	collagen-containing extracellular matrix
GO:0019955	1.9035892226769e-05	cytokine binding
GO:0030168	2.00710548203542e-05	platelet activation
GO:0004952	2.34119811718841e-05	dopamine neurotransmitter receptor activity
GO:0004936	2.57578410734192e-05	alpha-adrenergic receptor activity
GO:0050776	2.67310084984024e-05	regulation of immune response
GO:0046580	2.68079232225624e-05	negative regulation of Ras protein signal transduction
GO:0051058	2.68079232225624e-05	negative regulation of small GTPase mediated signal transduction
GO:0048699	3.1589179721685e-05	generation of neurons
GO:0048584	3.51540412960702e-05	positive regulation of response to stimulus
GO:0016917	3.72956914457137e-05	GABA receptor activity
GO:0032410	4.05025137229318e-05	negative regulation of transporter activity
GO:0032413	4.05025137229318e-05	negative regulation of ion transmembrane transporter activity
GO:0034763	4.05025137229318e-05	negative regulation of transmembrane transport
GO:0034766	4.05025137229318e-05	negative regulation of ion transmembrane transport
GO:0043271	4.05025137229318e-05	negative regulation of ion transport
GO:0051051	4.05025137229318e-05	negative regulation of transport
GO:0051926	4.05025137229318e-05	negative regulation of calcium ion transport
GO:1901020	4.05025137229318e-05	negative regulation of calcium ion transmembrane transporter activity
GO:1901385	4.05025137229318e-05	regulation of voltage-gated calcium channel activity
GO:1901386	4.05025137229318e-05	negative regulation of voltage-gated calcium channel activity
GO:1901841	4.05025137229318e-05	regulation of high voltage-gated calcium channel activity
GO:1901842	4.05025137229318e-05	negative regulation of high voltage-gated calcium channel activity
GO:1903170	4.05025137229318e-05	negative regulation of calcium ion transmembrane transport
GO:1904063	4.05025137229318e-05	negative regulation of cation transmembrane transport
GO:2001258	4.05025137229318e-05	negative regulation of cation channel activity
GO:0017017	4.2590469106761e-05	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	4.2590469106761e-05	MAP kinase phosphatase activity
GO:0004890	4.44154348332886e-05	GABA-A receptor activity
GO:0022008	4.62290901682379e-05	neurogenesis
GO:0004993	4.77673146599943e-05	G protein-coupled serotonin receptor activity
GO:0099589	4.77673146599943e-05	serotonin receptor activity
GO:0016604	4.94849027042785e-05	nuclear body
GO:0016607	4.94849027042785e-05	nuclear speck
GO:1903522	5.52917752430001e-05	regulation of blood circulation
GO:0030182	5.76099609299652e-05	neuron differentiation
GO:0035257	5.94994040430252e-05	nuclear hormone receptor binding
GO:0051427	5.94994040430252e-05	hormone receptor binding
GO:0050778	5.97740518559803e-05	positive regulation of immune response
GO:0043114	5.98812090768716e-05	regulation of vascular permeability
GO:0048245	5.98812090768716e-05	eosinophil chemotaxis
GO:0071621	5.98812090768716e-05	granulocyte chemotaxis
GO:0072677	5.98812090768716e-05	eosinophil migration
GO:0097530	5.98812090768716e-05	granulocyte migration
GO:1901019	6.05334725039199e-05	regulation of calcium ion transmembrane transporter activity
GO:1903169	6.05334725039199e-05	regulation of calcium ion transmembrane transport
GO:0005923	6.10219309540275e-05	bicellular tight junction
GO:0043296	6.10219309540275e-05	apical junction complex
GO:0070160	6.10219309540275e-05	tight junction
GO:0030374	6.22292139816833e-05	nuclear receptor transcription coactivator activity
GO:0008083	6.81508374103435e-05	growth factor activity
GO:0099528	7.06761024534836e-05	G protein-coupled neurotransmitter receptor activity
GO:0007275	7.2490340856752e-05	multicellular organism development
GO:0035586	7.4167570790019e-05	purinergic receptor activity
GO:0042613	7.64595079574284e-05	MHC class II protein complex
GO:0040011	8.28419668929206e-05	locomotion
GO:0042043	8.824666917342e-05	neurexin family protein binding
GO:0045907	9.03133653374579e-05	positive regulation of vasoconstriction
GO:0004910	9.8114563696491e-05	interleukin-1, type II, blocking receptor activity
GO:0045995	0.000104177007875092	regulation of embryonic development
GO:0002684	0.000108406353157177	positive regulation of immune system process
GO:0043269	0.00011263530785349	regulation of ion transport
GO:0098797	0.000112997432519111	plasma membrane protein complex
GO:0042611	0.000133194472131333	MHC protein complex
GO:0048856	0.0001339981606713	anatomical structure development
GO:0007193	0.000137175808874596	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
GO:0007195	0.000137175808874596	adenylate cyclase-inhibiting dopamine receptor signaling pathway
GO:0001614	0.000137359899178	purinergic nucleotide receptor activity
GO:0016502	0.000137359899178	nucleotide receptor activity
GO:0003013	0.000184874372194002	circulatory system process
GO:0008015	0.000184874372194002	blood circulation
GO:0042310	0.000190121722008907	vasoconstriction
GO:0097756	0.000190121722008907	negative regulation of blood vessel diameter
GO:0099503	0.000205183716195319	secretory vesicle
GO:0001518	0.000214914122881075	voltage-gated sodium channel complex
GO:0034706	0.000214914122881075	sodium channel complex
GO:0005248	0.000214914122881075	voltage-gated sodium channel activity
GO:0030334	0.000231877152857873	regulation of cell migration
GO:0007586	0.000234481286303584	digestion
GO:0060627	0.000239424532619055	regulation of vesicle-mediated transport
GO:0003012	0.000242709730342716	muscle system process
GO:0009605	0.000243592500800412	response to external stimulus
GO:0005540	0.000267622777911574	hyaluronic acid binding
GO:0007229	0.000267996152988963	integrin-mediated signaling pathway
GO:0048013	0.000281757308325375	ephrin receptor signaling pathway
GO:0046875	0.000281757308325375	ephrin receptor binding
GO:0097755	0.000285198976029428	positive regulation of blood vessel diameter
GO:0035196	0.000285198976029428	production of miRNAs involved in gene silencing by miRNA
GO:0030422	0.000285198976029428	production of siRNA involved in RNA interference
GO:0031050	0.000285198976029428	dsRNA processing
GO:0042311	0.000285198976029428	vasodilation
GO:0050885	0.000285198976029428	neuromuscular process controlling balance
GO:0050905	0.000285198976029428	neuromuscular process
GO:0050957	0.000285198976029428	equilibrioception
GO:0070918	0.000285198976029428	production of small RNA involved in gene silencing by RNA
GO:0070920	0.000285198976029428	regulation of production of small RNA involved in gene silencing by RNA
GO:0090065	0.000285198976029428	regulation of production of siRNA involved in RNA interference
GO:0090075	0.000285198976029428	relaxation of muscle
GO:1900368	0.000285198976029428	regulation of RNA interference
GO:1903798	0.000285198976029428	regulation of production of miRNAs involved in gene silencing by miRNA
GO:0043293	0.000285198976029428	apoptosome
GO:0070578	0.000285198976029428	RISC-loading complex
GO:0005018	0.000285198976029428	platelet-derived growth factor alpha-receptor activity
GO:0035197	0.000285198976029428	siRNA binding
GO:0061980	0.000285198976029428	regulatory RNA binding
GO:0070883	0.000285198976029428	pre-miRNA binding
GO:0006936	0.000287008698404609	muscle contraction
GO:0007517	0.000304299804704984	muscle organ development
GO:0061061	0.000304299804704984	muscle structure development
GO:0010896	0.0003233351658886	regulation of triglyceride catabolic process
GO:0010898	0.0003233351658886	positive regulation of triglyceride catabolic process
GO:0019216	0.0003233351658886	regulation of lipid metabolic process
GO:0045834	0.0003233351658886	positive regulation of lipid metabolic process
GO:0050994	0.0003233351658886	regulation of lipid catabolic process
GO:0050996	0.0003233351658886	positive regulation of lipid catabolic process
GO:0090207	0.0003233351658886	regulation of triglyceride metabolic process
GO:0090208	0.0003233351658886	positive regulation of triglyceride metabolic process
