ann_term	q_val	annotation
GO:0006625	1	protein targeting to peroxisome
GO:0043574	1	peroxisomal transport
GO:0072662	1	protein localization to peroxisome
GO:0072663	1	establishment of protein localization to peroxisome
GO:0005623	1	cell
GO:0044464	1	cell part
GO:0008174	1	mRNA methyltransferase activity
GO:0009310	0.993219703677086	amine catabolic process
GO:0006569	0.993219703677086	tryptophan catabolic process
GO:0006898	0.993219703677086	receptor-mediated endocytosis
GO:0042402	0.993219703677086	cellular biogenic amine catabolic process
GO:0042436	0.993219703677086	indole-containing compound catabolic process
GO:0046218	0.993219703677086	indolalkylamine catabolic process
GO:0016411	0.993219703677086	acylglycerol O-acyltransferase activity
GO:0046039	0.986426778772304	GTP metabolic process
GO:0043226	0.986426778772304	organelle
GO:0043229	0.986426778772304	intracellular organelle
GO:0004601	0.986426778772304	peroxidase activity
GO:0005388	0.986426778772304	calcium-transporting ATPase activity
GO:0016790	0.986426778772304	thiolester hydrolase activity
GO:0008352	0.986426778772304	katanin complex
GO:0006788	0.986426778772304	heme oxidation
GO:0004392	0.986426778772304	heme oxygenase (decyclizing) activity
GO:0009279	0.981374972742713	cell outer membrane
GO:0044462	0.981374972742713	external encapsulating structure part
GO:0003854	0.980185922833044	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0004133	0.979659621083852	glycogen debranching enzyme activity
GO:0004134	0.979659621083852	4-alpha-glucanotransferase activity
GO:0002790	0.979659621083852	peptide secretion
GO:0009306	0.979659621083852	protein secretion
GO:0017136	0.979659621083852	NAD-dependent histone deacetylase activity
GO:0034979	0.979659621083852	NAD-dependent protein deacetylase activity
GO:0035065	0.973316835538885	regulation of histone acetylation
GO:1901983	0.973316835538885	regulation of protein acetylation
GO:2000756	0.973316835538885	regulation of peptidyl-lysine acetylation
GO:0031306	0.973316835538885	intrinsic component of mitochondrial outer membrane
GO:0031307	0.973316835538885	integral component of mitochondrial outer membrane
GO:0001101	0.973316835538885	response to acid chemical
GO:0033108	0.966404480209597	mitochondrial respiratory chain complex assembly
GO:0017134	0.965397667075272	fibroblast growth factor binding
GO:0006729	0.958847768039263	tetrahydrobiopterin biosynthetic process
GO:0034311	0.958847768039263	diol metabolic process
GO:0034312	0.958847768039263	diol biosynthetic process
GO:0046146	0.958847768039263	tetrahydrobiopterin metabolic process
GO:0070925	0.958847768039263	organelle assembly
GO:0007088	0.958847768039263	regulation of mitotic nuclear division
GO:0051304	0.958847768039263	chromosome separation
GO:0051783	0.958847768039263	regulation of nuclear division
GO:0008240	0.958847768039263	tripeptidyl-peptidase activity
GO:0005953	0.958847768039263	CAAX-protein geranylgeranyltransferase complex
GO:0004097	0.958847768039263	catechol oxidase activity
GO:0009164	0.952546947848306	nucleoside catabolic process
GO:0034656	0.952546947848306	nucleobase-containing small molecule catabolic process
GO:0042454	0.952546947848306	ribonucleoside catabolic process
GO:1901658	0.952546947848306	glycosyl compound catabolic process
GO:0071973	0.950292919776865	bacterial-type flagellum-dependent cell motility
GO:0097588	0.950292919776865	archaeal or bacterial-type flagellum-dependent cell motility
GO:0070205	0.946593623143003	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity
GO:0047480	0.946593623143003	UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity
GO:0003904	0.946433233789053	deoxyribodipyrimidine photo-lyase activity
GO:0042136	0.945992498033627	neurotransmitter biosynthetic process
GO:0016763	0.945992498033627	transferase activity, transferring pentosyl groups
GO:0005853	0.938197933943845	eukaryotic translation elongation factor 1 complex
GO:0008830	0.936965539008296	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0019478	0.936406867255914	D-amino acid catabolic process
GO:0046655	0.936406867255914	folic acid metabolic process
GO:0046656	0.936406867255914	folic acid biosynthetic process
GO:0008696	0.936406867255914	4-amino-4-deoxychorismate lyase activity
GO:0030597	0.936406867255914	RNA glycosylase activity
GO:0030598	0.936406867255914	rRNA N-glycosylase activity
GO:0016730	0.934135175242719	oxidoreductase activity, acting on iron-sulfur proteins as donors
GO:0044085	0.931824569558826	cellular component biogenesis
GO:0046173	0.931824569558826	polyol biosynthetic process
GO:0051495	0.931824569558826	positive regulation of cytoskeleton organization
GO:0022857	0.931824569558826	transmembrane transporter activity
GO:0019213	0.931824569558826	deacetylase activity
GO:0007091	0.931824569558826	metaphase/anaphase transition of mitotic cell cycle
GO:0010965	0.931824569558826	regulation of mitotic sister chromatid separation
GO:0030071	0.931824569558826	regulation of mitotic metaphase/anaphase transition
GO:0033045	0.931824569558826	regulation of sister chromatid segregation
GO:0033047	0.931824569558826	regulation of mitotic sister chromatid segregation
GO:0044784	0.931824569558826	metaphase/anaphase transition of cell cycle
GO:0051306	0.931824569558826	mitotic sister chromatid separation
GO:0051983	0.931824569558826	regulation of chromosome segregation
GO:1902099	0.931824569558826	regulation of metaphase/anaphase transition of cell cycle
GO:1905818	0.931824569558826	regulation of chromosome separation
GO:0030417	0.931824569558826	nicotianamine metabolic process
GO:0030418	0.931824569558826	nicotianamine biosynthetic process
GO:0072351	0.931824569558826	tricarboxylic acid biosynthetic process
GO:0030410	0.931824569558826	nicotianamine synthase activity
GO:0009698	0.926269407780425	phenylpropanoid metabolic process
GO:0009737	0.926269407780425	response to abscisic acid
GO:0009738	0.926269407780425	abscisic acid-activated signaling pathway
GO:0009791	0.926269407780425	post-embryonic development
GO:0009808	0.926269407780425	lignin metabolic process
GO:0046271	0.926269407780425	phenylpropanoid catabolic process
GO:0046274	0.926269407780425	lignin catabolic process
GO:0071215	0.926269407780425	cellular response to abscisic acid stimulus
GO:0010427	0.926269407780425	abscisic acid binding
GO:0019139	0.926269407780425	cytokinin dehydrogenase activity
GO:0052716	0.926269407780425	hydroquinone:oxygen oxidoreductase activity
GO:0008446	0.926269407780425	GDP-mannose 4,6-dehydratase activity
GO:0045926	0.926269407780425	negative regulation of growth
GO:0007157	0.922088045929371	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0008982	0.922088045929371	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0006855	0.921067131526984	drug transmembrane transport
GO:0008023	0.920960758685692	transcription elongation factor complex
GO:0031090	0.920960758685692	organelle membrane
GO:0042887	0.920960758685692	amide transmembrane transporter activity
GO:0046556	0.919834322736245	alpha-L-arabinofuranosidase activity
GO:0009187	0.913553199869965	cyclic nucleotide metabolic process
GO:0071702	0.905898536566724	organic substance transport
GO:0016168	0.905509387901905	chlorophyll binding
GO:0044036	0.905509387901905	cell wall macromolecule metabolic process
GO:0009068	0.904096741445666	aspartate family amino acid catabolic process
GO:0003878	0.904096741445666	ATP citrate synthase activity
GO:0047750	0.904096741445666	cholestenol delta-isomerase activity
GO:0030990	0.903480697351845	intraciliary transport particle
GO:0030991	0.903480697351845	intraciliary transport particle A
GO:0000966	0.901975054970676	RNA 5'-end processing
GO:0001682	0.901975054970676	tRNA 5'-leader removal
GO:0034471	0.901975054970676	ncRNA 5'-end processing
GO:0099116	0.901975054970676	tRNA 5'-end processing
GO:0019700	0.901832336695273	organic phosphonate catabolic process
GO:0070290	0.901401726443483	N-acylphosphatidylethanolamine-specific phospholipase D activity
GO:0015772	0.897606728343515	oligosaccharide transport
GO:0044179	0.893737030398558	hemolysis in other organism
GO:0051715	0.893737030398558	cytolysis in other organism
GO:0010467	0.892473122768057	gene expression
GO:0051346	0.892473122768057	negative regulation of hydrolase activity
GO:0016307	0.892473122768057	phosphatidylinositol phosphate kinase activity
GO:0016705	0.892473122768057	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0099516	0.892473122768057	ion antiporter activity
GO:0044772	0.892473122768057	mitotic cell cycle phase transition
GO:1901990	0.892473122768057	regulation of mitotic cell cycle phase transition
GO:0006826	0.892473122768057	iron ion transport
GO:0006654	0.892473122768057	phosphatidic acid biosynthetic process
GO:0046473	0.892473122768057	phosphatidic acid metabolic process
GO:0015804	0.89129551925948	neutral amino acid transport
GO:0015807	0.89129551925948	L-amino acid transport
GO:1902475	0.89129551925948	L-alpha-amino acid transmembrane transport
GO:0018991	0.887299321119986	oviposition
GO:0035262	0.887299321119986	gonad morphogenesis
GO:0039694	0.887299321119986	viral RNA genome replication
GO:0015693	0.886736474850661	magnesium ion transport
GO:0015095	0.886736474850661	magnesium ion transmembrane transporter activity
GO:0009267	0.88622430237651	cellular response to starvation
GO:0031668	0.88622430237651	cellular response to extracellular stimulus
GO:0031669	0.88622430237651	cellular response to nutrient levels
GO:0042594	0.88622430237651	response to starvation
GO:0071496	0.88622430237651	cellular response to external stimulus
GO:0016153	0.883767056535951	urocanate hydratase activity
GO:0009360	0.883767056535951	DNA polymerase III complex
GO:0030429	0.883277651141136	kynureninase activity
GO:0000184	0.880228438079506	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0000280	0.880228438079506	nuclear division
GO:0033036	0.880228438079506	macromolecule localization
GO:0000123	0.880228438079506	histone acetyltransferase complex
GO:0008442	0.88013835265918	3-hydroxyisobutyrate dehydrogenase activity
GO:0035600	0.879769062688185	tRNA methylthiolation
GO:0035598	0.879769062688185	N6-threonylcarbomyladenosine methylthiotransferase activity
GO:0009606	0.877968503279956	tropism
GO:0009637	0.877968503279956	response to blue light
GO:0009785	0.877968503279956	blue light signaling pathway
GO:0009793	0.877968503279956	embryo development ending in seed dormancy
GO:0009856	0.877968503279956	pollination
GO:0009875	0.877968503279956	pollen-pistil interaction
GO:0010154	0.877968503279956	fruit development
GO:0010274	0.877968503279956	hydrotropism
GO:0010374	0.877968503279956	stomatal complex development
GO:0044706	0.877968503279956	multi-multicellular organism process
GO:0048316	0.877968503279956	seed development
GO:0048544	0.877968503279956	recognition of pollen
GO:0048580	0.877968503279956	regulation of post-embryonic development
GO:0048582	0.877968503279956	positive regulation of post-embryonic development
GO:0071483	0.877968503279956	cellular response to blue light
GO:0090558	0.877968503279956	plant epidermis development
GO:2000038	0.877968503279956	regulation of stomatal complex development
GO:2000123	0.877968503279956	positive regulation of stomatal complex development
GO:0048046	0.877968503279956	apoplast
GO:0010333	0.877968503279956	terpene synthase activity
GO:0046524	0.877968503279956	sucrose-phosphate synthase activity
GO:0001907	0.877968503279956	killing by symbiont of host cells
GO:0043570	0.877968503279956	maintenance of DNA repeat elements
GO:0043571	0.877968503279956	maintenance of CRISPR repeat elements
GO:0044003	0.877968503279956	modification by symbiont of host morphology or physiology
GO:0044004	0.877968503279956	disruption by symbiont of host cell
GO:0051701	0.877968503279956	interaction with host
GO:0006527	0.877968503279956	arginine catabolic process
GO:0008242	0.8770190484183	omega peptidase activity
GO:0050220	0.876258093078526	prostaglandin-E synthase activity
GO:0034622	0.869399478871783	cellular protein-containing complex assembly
GO:0090304	0.869399478871783	nucleic acid metabolic process
GO:0000062	0.869399478871783	fatty-acyl-CoA binding
GO:0000179	0.869399478871783	rRNA (adenine-N6,N6-)-dimethyltransferase activity
GO:0016433	0.869399478871783	rRNA (adenine) methyltransferase activity
GO:0016849	0.869399478871783	phosphorus-oxygen lyase activity
GO:1901567	0.869399478871783	fatty acid derivative binding
GO:0016125	0.869399478871783	sterol metabolic process
GO:0045735	0.869399478871783	nutrient reservoir activity
GO:0006567	0.867426369576743	threonine catabolic process
GO:0015816	0.865412582146362	glycine transport
GO:0043090	0.865412582146362	amino acid import
GO:1904983	0.865412582146362	glycine import into mitochondrion
GO:0015175	0.865412582146362	neutral amino acid transmembrane transporter activity
GO:0015179	0.865412582146362	L-amino acid transmembrane transporter activity
GO:0015187	0.865412582146362	glycine transmembrane transporter activity
GO:0009288	0.864366001566695	bacterial-type flagellum
GO:0008276	0.855878819585803	protein methyltransferase activity
GO:0020037	0.855878819585803	heme binding
GO:0022884	0.855878819585803	macromolecule transmembrane transporter activity
GO:1902652	0.855878819585803	secondary alcohol metabolic process
GO:0009733	0.855717836024857	response to auxin
GO:0010411	0.855717836024857	xyloglucan metabolic process
GO:2000379	0.855717836024857	positive regulation of reactive oxygen species metabolic process
GO:0017007	0.855717836024857	protein-bilin linkage
GO:0017009	0.855717836024857	protein-phycocyanobilin linkage
GO:0051353	0.855717836024857	positive regulation of oxidoreductase activity
GO:2000377	0.855717836024857	regulation of reactive oxygen species metabolic process
GO:0090322	0.855717836024857	regulation of superoxide metabolic process
GO:1900407	0.855717836024857	regulation of cellular response to oxidative stress
GO:1900409	0.855717836024857	positive regulation of cellular response to oxidative stress
