ann_term	CC	annotation
GO:0048731	0.790085011413974	system development
GO:0048513	0.775447048290359	animal organ development
GO:0048018	0.756506444885157	receptor ligand activity
GO:0030545	0.756506444885157	receptor regulator activity
GO:0010942	0.746530229307127	positive regulation of cell death
GO:0043065	0.746530229307127	positive regulation of apoptotic process
GO:0043068	0.746530229307127	positive regulation of programmed cell death
GO:0032502	0.745442252342444	developmental process
GO:0048856	0.745442252342444	anatomical structure development
GO:0008091	0.74107112322422	spectrin
GO:0007275	0.740892863042593	multicellular organism development
GO:0009888	0.736560200366018	tissue development
GO:0009611	0.729676460175681	response to wounding
GO:0004890	0.726681392676177	GABA-A receptor activity
GO:0005126	0.72548224846384	cytokine receptor binding
GO:0016917	0.724283104251503	GABA receptor activity
GO:0016477	0.722792719985345	cell migration
GO:0030334	0.722792719985345	regulation of cell migration
GO:0030141	0.721914610349683	secretory granule
GO:0045995	0.719976677189623	regulation of embryonic development
GO:0099528	0.71879338266184	G protein-coupled neurotransmitter receptor activity
GO:0051240	0.718203559858454	positive regulation of multicellular organismal process
GO:0002682	0.717603912095943	regulation of immune system process
GO:0050776	0.717603912095943	regulation of immune response
GO:0008083	0.715890022884016	growth factor activity
GO:1903522	0.712013755149542	regulation of blood circulation
GO:0008227	0.711711674458275	G protein-coupled amine receptor activity
GO:0008283	0.711434909454227	cell proliferation
GO:0004896	0.711077857063922	cytokine receptor activity
GO:0004715	0.710625592043146	non-membrane spanning protein tyrosine kinase activity
GO:0007399	0.705096796854112	nervous system development
GO:0005125	0.70476590231942	cytokine activity
GO:0023061	0.70462996625471	signal release
GO:0044057	0.70405829419815	regulation of system process
GO:0005164	0.701499364217101	tumor necrosis factor receptor binding
GO:0032813	0.701499364217101	tumor necrosis factor receptor superfamily binding
GO:0007229	0.699548925347455	integrin-mediated signaling pathway
GO:0007269	0.697548258051145	neurotransmitter secretion
GO:0099643	0.697548258051145	signal release from synapse
GO:0001518	0.696702787367754	voltage-gated sodium channel complex
GO:0034706	0.696702787367754	sodium channel complex
GO:0005248	0.696702787367754	voltage-gated sodium channel activity
GO:0007417	0.696376314051241	central nervous system development
GO:0051239	0.695710361437038	regulation of multicellular organismal process
GO:0042165	0.695535171663618	neurotransmitter binding
GO:0015296	0.695532513312934	anion:cation symporter activity
GO:0051694	0.694342845253286	pointed-end actin filament capping
GO:0005523	0.694342845253286	tropomyosin binding
GO:0007187	0.694057251742716	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
GO:0007188	0.694057251742716	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
GO:0060627	0.692125102771063	regulation of vesicle-mediated transport
GO:0008543	0.692090256594251	fibroblast growth factor receptor signaling pathway
GO:0044344	0.692090256594251	cellular response to fibroblast growth factor stimulus
GO:0071774	0.692090256594251	response to fibroblast growth factor
GO:0046658	0.691990811194414	anchored component of plasma membrane
