ann_term	q_val	annotation
GO:0005186	0.998252175013994	pheromone activity
GO:0061025	0.996675623079891	membrane fusion
GO:0016827	0.995308286424735	hydrolase activity, acting on acid carbon-phosphorus bonds
GO:0050194	0.995308286424735	phosphonoacetaldehyde hydrolase activity
GO:0000334	0.989782091364746	3-hydroxyanthranilate 3,4-dioxygenase activity
GO:1901989	0.989400409450917	positive regulation of cell cycle phase transition
GO:1902751	0.989400409450917	positive regulation of cell cycle G2/M phase transition
GO:0017110	0.989149260982898	nucleoside-diphosphatase activity
GO:0042447	0.987944568835385	hormone catabolic process
GO:0016755	0.986935146495981	transferase activity, transferring amino-acyl groups
GO:0097164	0.984513085665564	ammonium ion metabolic process
GO:0043546	0.984202547656561	molybdopterin cofactor binding
GO:0140104	0.983103904990423	molecular carrier activity
GO:0032988	0.98054204931332	ribonucleoprotein complex disassembly
GO:0043232	0.980459091797575	intracellular non-membrane-bounded organelle
GO:0004370	0.980459091797575	glycerol kinase activity
GO:0009628	0.980233496497499	response to abiotic stimulus
GO:0043228	0.97966101985828	non-membrane-bounded organelle
GO:0043227	0.977431725601946	membrane-bounded organelle
GO:0043226	0.977422529980287	organelle
GO:1902652	0.977422529980287	secondary alcohol metabolic process
GO:0005669	0.976799150096909	transcription factor TFIID complex
GO:0006928	0.97613020251361	movement of cell or subcellular component
GO:0005743	0.975533518762041	mitochondrial inner membrane
GO:0070011	0.974267631850995	peptidase activity, acting on L-amino acid peptides
GO:0046910	0.970906806146743	pectinesterase inhibitor activity
GO:0009725	0.970354695117747	response to hormone
GO:0044422	0.969742919752524	organelle part
GO:0003774	0.962881133295402	motor activity
GO:0043229	0.959853161156044	intracellular organelle
GO:0000380	0.958101093762161	alternative mRNA splicing, via spliceosome
GO:0001700	0.958101093762161	embryonic development via the syncytial blastoderm
GO:0002065	0.958101093762161	columnar/cuboidal epithelial cell differentiation
GO:0002066	0.958101093762161	columnar/cuboidal epithelial cell development
GO:0007289	0.958101093762161	spermatid nucleus differentiation
GO:0007291	0.958101093762161	sperm individualization
GO:0007292	0.958101093762161	female gamete generation
GO:0007304	0.958101093762161	chorion-containing eggshell formation
GO:0007617	0.958101093762161	mating behavior
GO:0009792	0.958101093762161	embryo development ending in birth or egg hatching
GO:0030703	0.958101093762161	eggshell formation
GO:0030707	0.958101093762161	ovarian follicle cell development
GO:0035092	0.958101093762161	sperm chromatin condensation
GO:0045924	0.958101093762161	regulation of female receptivity
GO:0046008	0.958101093762161	regulation of female receptivity, post-mating
GO:0048477	0.958101093762161	oogenesis
GO:0060180	0.958101093762161	female mating behavior
GO:0005213	0.958101093762161	structural constituent of chorion
GO:0030215	0.958101093762161	semaphorin receptor binding
GO:0007094	0.958101093762161	mitotic spindle assembly checkpoint
GO:0031577	0.958101093762161	spindle checkpoint
GO:0033046	0.958101093762161	negative regulation of sister chromatid segregation
GO:0033048	0.958101093762161	negative regulation of mitotic sister chromatid segregation
GO:0045839	0.958101093762161	negative regulation of mitotic nuclear division
GO:0045841	0.958101093762161	negative regulation of mitotic metaphase/anaphase transition
GO:0051985	0.958101093762161	negative regulation of chromosome segregation
GO:0071173	0.958101093762161	spindle assembly checkpoint
GO:0071174	0.958101093762161	mitotic spindle checkpoint
GO:1902100	0.958101093762161	negative regulation of metaphase/anaphase transition of cell cycle
GO:1905819	0.958101093762161	negative regulation of chromosome separation
GO:2000816	0.958101093762161	negative regulation of mitotic sister chromatid separation
GO:0030431	0.958101093762161	sleep
GO:0032222	0.958101093762161	regulation of synaptic transmission, cholinergic
GO:0043266	0.958101093762161	regulation of potassium ion transport
GO:0043268	0.958101093762161	positive regulation of potassium ion transport
GO:0050804	0.958101093762161	modulation of chemical synaptic transmission
GO:0099177	0.958101093762161	regulation of trans-synaptic signaling
GO:1901016	0.958101093762161	regulation of potassium ion transmembrane transporter activity
GO:1901018	0.958101093762161	positive regulation of potassium ion transmembrane transporter activity
GO:1901379	0.958101093762161	regulation of potassium ion transmembrane transport
GO:1901381	0.958101093762161	positive regulation of potassium ion transmembrane transport
GO:1903818	0.958101093762161	positive regulation of voltage-gated potassium channel activity
GO:0006508	0.958101093762161	proteolysis
GO:0009267	0.958101093762161	cellular response to starvation
GO:0031668	0.958101093762161	cellular response to extracellular stimulus
GO:0031669	0.958101093762161	cellular response to nutrient levels
GO:0042594	0.958101093762161	response to starvation
GO:0071496	0.958101093762161	cellular response to external stimulus
GO:0019866	0.958101093762161	organelle inner membrane
GO:0019805	0.958101093762161	quinolinate biosynthetic process
GO:0046874	0.958101093762161	quinolinate metabolic process
GO:0004502	0.958101093762161	kynurenine 3-monooxygenase activity
GO:0009379	0.958101093762161	Holliday junction helicase complex
GO:0009425	0.958101093762161	bacterial-type flagellum basal body
GO:0030694	0.958101093762161	bacterial-type flagellum basal body, rod
GO:0048476	0.958101093762161	Holliday junction resolvase complex
GO:0099516	0.958101093762161	ion antiporter activity
GO:0065008	0.957102215342667	regulation of biological quality
GO:0090304	0.956465326915574	nucleic acid metabolic process
GO:0019556	0.956043798001106	histidine catabolic process to glutamate and formamide
GO:0043606	0.956043798001106	formamide metabolic process
GO:0008233	0.955884712453287	peptidase activity
GO:0016567	0.953216470848412	protein ubiquitination
GO:0009756	0.952702972417694	carbohydrate mediated signaling
GO:0009757	0.952702972417694	hexose mediated signaling
GO:0010182	0.952702972417694	sugar mediated signaling pathway
GO:0010255	0.952702972417694	glucose mediated signaling pathway
GO:1902659	0.952702972417694	regulation of glucose mediated signaling pathway
GO:0051499	0.952563025746601	D-aminoacyl-tRNA deacylase activity
GO:0034622	0.952533102059481	cellular protein-containing complex assembly
GO:0009218	0.950780024199636	pyrimidine ribonucleotide metabolic process
GO:0009220	0.950780024199636	pyrimidine ribonucleotide biosynthetic process
GO:0046132	0.950780024199636	pyrimidine ribonucleoside biosynthetic process
GO:0046134	0.950780024199636	pyrimidine nucleoside biosynthetic process
GO:0004690	0.950362305759527	cyclic nucleotide-dependent protein kinase activity
GO:0004692	0.950362305759527	cGMP-dependent protein kinase activity
GO:0051495	0.948332317952163	positive regulation of cytoskeleton organization
GO:0008970	0.946560386687822	phospholipase A1 activity
GO:0007271	0.946248760915233	synaptic transmission, cholinergic
GO:0016570	0.945518614265619	histone modification
GO:0016569	0.945518614265619	covalent chromatin modification
GO:0006729	0.945502349319413	tetrahydrobiopterin biosynthetic process
GO:0034311	0.945502349319413	diol metabolic process
GO:0034312	0.945502349319413	diol biosynthetic process
GO:0046146	0.945502349319413	tetrahydrobiopterin metabolic process
GO:0016458	0.945502349319413	gene silencing
GO:0005545	0.945334738520902	1-phosphatidylinositol binding
GO:0098798	0.943332935415183	mitochondrial protein complex
GO:0000987	0.942449636700782	proximal promoter sequence-specific DNA binding
GO:0009878	0.942208393407313	nodule morphogenesis
GO:0010098	0.942208393407313	suspensor development
GO:0016143	0.942208393407313	S-glycoside metabolic process
GO:0016145	0.942208393407313	S-glycoside catabolic process
GO:0019757	0.942208393407313	glycosinolate metabolic process
GO:0019759	0.942208393407313	glycosinolate catabolic process
GO:0019760	0.942208393407313	glucosinolate metabolic process
GO:0019762	0.942208393407313	glucosinolate catabolic process
GO:0042381	0.942208393407313	hemolymph coagulation
GO:0044111	0.942208393407313	development involved in symbiotic interaction
GO:0050898	0.942208393407313	nitrile metabolic process
GO:0080028	0.942208393407313	nitrile biosynthetic process
GO:0017080	0.942208393407313	sodium channel regulator activity
GO:0019871	0.942208393407313	sodium channel inhibitor activity
GO:0005938	0.942208393407313	cell cortex
GO:0044446	0.942208393407313	intracellular organelle part
GO:0019206	0.938070396961088	nucleoside kinase activity
GO:0010038	0.937763286002865	response to metal ion
GO:0043649	0.936189516247315	dicarboxylic acid catabolic process
GO:0003878	0.935651351940902	ATP citrate synthase activity
GO:0019700	0.935484724810652	organic phosphonate catabolic process
GO:0005634	0.934248723657436	nucleus
GO:0051731	0.934081373865702	polynucleotide 5'-hydroxyl-kinase activity
GO:0044461	0.931327173968113	bacterial-type flagellum part
GO:0070449	0.930611185023784	elongin complex
GO:0015918	0.92854218589454	sterol transport
GO:0007423	0.927493191640048	sensory organ development
GO:0015630	0.927493191640048	microtubule cytoskeleton
GO:0072546	0.927239774045038	ER membrane protein complex
GO:0008107	0.926433500389219	galactoside 2-alpha-L-fucosyltransferase activity
GO:0031127	0.926433500389219	alpha-(1,2)-fucosyltransferase activity
GO:0050912	0.926151644562837	detection of chemical stimulus involved in sensory perception of taste
GO:0009593	0.926151644562837	detection of chemical stimulus
GO:0050907	0.926151644562837	detection of chemical stimulus involved in sensory perception
GO:0008527	0.926151644562837	taste receptor activity
GO:0004649	0.92601337625484	poly(ADP-ribose) glycohydrolase activity
GO:0009908	0.920823669565209	flower development
GO:0048367	0.920823669565209	shoot system development
GO:0090567	0.920823669565209	reproductive shoot system development
GO:0000075	0.920823669565209	cell cycle checkpoint
GO:0099568	0.920273944784586	cytoplasmic region
GO:0004617	0.919754033255476	phosphoglycerate dehydrogenase activity
GO:0044271	0.917473952707898	cellular nitrogen compound biosynthetic process
GO:0009882	0.917473952707898	blue light photoreceptor activity
GO:0000214	0.913699927015375	tRNA-intron endonuclease complex
GO:0003868	0.91102477999308	4-hydroxyphenylpyruvate dioxygenase activity
GO:0043231	0.910855972621318	intracellular membrane-bounded organelle
GO:0019239	0.90861219981958	deaminase activity
GO:0008375	0.907429716183854	acetylglucosaminyltransferase activity
GO:0007349	0.90708737895058	cellularization
GO:0045737	0.906691605860204	positive regulation of cyclin-dependent protein serine/threonine kinase activity
GO:1904031	0.906691605860204	positive regulation of cyclin-dependent protein kinase activity
GO:0034729	0.90517652593985	histone H3-K79 methylation
GO:0008200	0.903452560977934	ion channel inhibitor activity
GO:0016248	0.903452560977934	channel inhibitor activity
GO:0010467	0.903061500933114	gene expression
GO:0006376	0.902713557807452	mRNA splice site selection
GO:0008036	0.902713557807452	diuretic hormone receptor activity
GO:0047304	0.902713557807452	2-aminoethylphosphonate-pyruvate transaminase activity
GO:0033036	0.902015081511993	macromolecule localization
GO:0009891	0.899567395356018	positive regulation of biosynthetic process
GO:0010557	0.899567395356018	positive regulation of macromolecule biosynthetic process
GO:0031328	0.899567395356018	positive regulation of cellular biosynthetic process
GO:0005751	0.898784455619072	mitochondrial respiratory chain complex IV
GO:0007591	0.897643559721228	molting cycle, chitin-based cuticle
GO:0018990	0.897643559721228	ecdysis, chitin-based cuticle
GO:0022404	0.897643559721228	molting cycle process
GO:0008255	0.897643559721228	ecdysis-triggering hormone activity
GO:0004067	0.895334524660233	asparaginase activity
GO:0042562	0.894383845422867	hormone binding
GO:0006213	0.893813741127834	pyrimidine nucleoside metabolic process
GO:1901071	0.893811428067831	glucosamine-containing compound metabolic process
GO:0006040	0.893811428067831	amino sugar metabolic process
GO:0009008	0.891487154932292	DNA-methyltransferase activity
GO:0019226	0.885641440541791	transmission of nerve impulse
GO:0035637	0.885641440541791	multicellular organismal signaling
GO:0042063	0.885641440541791	gliogenesis
GO:0042065	0.885641440541791	glial cell growth
GO:0048588	0.885641440541791	developmental cell growth
GO:0005034	0.885641440541791	osmosensor activity
GO:0051130	0.885497417252341	positive regulation of cellular component organization
GO:1901678	0.885497417252341	iron coordination entity transport
GO:0071973	0.883551096017932	bacterial-type flagellum-dependent cell motility
GO:0097588	0.883551096017932	archaeal or bacterial-type flagellum-dependent cell motility
GO:0061400	0.882514727361255	positive regulation of transcription from RNA polymerase II promoter in response to calcium ion
GO:1901522	0.882514727361255	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus
GO:0035869	0.882514727361255	ciliary transition zone
GO:0036038	0.882514727361255	MKS complex
GO:0052856	0.882514727361255	NADHX epimerase activity
GO:0052857	0.882514727361255	NADPHX epimerase activity
GO:0009318	0.882514727361255	exodeoxyribonuclease VII complex
GO:0009420	0.882514727361255	bacterial-type flagellum filament
GO:0008855	0.882514727361255	exodeoxyribonuclease VII activity
GO:0005739	0.881721932173569	mitochondrion
GO:0030908	0.880745549796634	protein splicing
GO:0010628	0.879000427960545	positive regulation of gene expression
GO:0002115	0.878882331173909	store-operated calcium entry
GO:2001256	0.878882331173909	regulation of store-operated calcium entry
GO:0016073	0.878145278237813	snRNA metabolic process
GO:0016180	0.878145278237813	snRNA processing
GO:0005760	0.876558804724307	gamma DNA polymerase complex
GO:0032542	0.874831407427217	sulfiredoxin activity
GO:0015816	0.874816438657568	glycine transport
GO:0043090	0.874816438657568	amino acid import
GO:1904983	0.874816438657568	glycine import into mitochondrion
GO:0015175	0.874816438657568	neutral amino acid transmembrane transporter activity
GO:0015179	0.874816438657568	L-amino acid transmembrane transporter activity
GO:0015187	0.874816438657568	glycine transmembrane transporter activity
GO:0019098	0.872856651965645	reproductive behavior
GO:0004989	0.872856651965645	octopamine receptor activity
GO:0001507	0.872382357664756	acetylcholine catabolic process in synaptic cleft
GO:0006581	0.872382357664756	acetylcholine catabolic process
GO:0008291	0.872382357664756	acetylcholine metabolic process
GO:1900619	0.872382357664756	acetate ester metabolic process
GO:0003990	0.872382357664756	acetylcholinesterase activity
