ann_term	CC	annotation
GO:0048856	0.967184822513061	anatomical structure development
GO:0007275	0.962088536522577	multicellular organism development
GO:0016917	0.95690725832904	GABA receptor activity
GO:0045995	0.95627511784396	regulation of embryonic development
GO:0048731	0.955992051459177	system development
GO:0004890	0.955712363075576	GABA-A receptor activity
GO:0005102	0.954561710152008	signaling receptor binding
GO:0032502	0.953923470921341	developmental process
GO:0048018	0.950869038477624	receptor ligand activity
GO:0030545	0.950869038477624	receptor regulator activity
GO:0048513	0.950130957406911	animal organ development
GO:0030334	0.947149093541752	regulation of cell migration
GO:0008083	0.945661427257883	growth factor activity
GO:0009611	0.944695839628107	response to wounding
GO:0016477	0.944477369391375	cell migration
GO:0030155	0.941083325164478	regulation of cell adhesion
GO:0042165	0.939994665242208	neurotransmitter binding
GO:0032879	0.938909380790033	regulation of localization
GO:0060627	0.938303898132528	regulation of vesicle-mediated transport
GO:0099503	0.937956019292945	secretory vesicle
GO:0007399	0.937931948963794	nervous system development
GO:0008091	0.937783764668146	spectrin
GO:0051239	0.937630253947096	regulation of multicellular organismal process
GO:0004715	0.936650269747969	non-membrane spanning protein tyrosine kinase activity
GO:0001518	0.936368444891916	voltage-gated sodium channel complex
GO:0034706	0.936368444891916	sodium channel complex
GO:0005248	0.936368444891916	voltage-gated sodium channel activity
GO:0007517	0.936284287103825	muscle organ development
GO:0061061	0.936284287103825	muscle structure development
GO:0048584	0.93627670295197	positive regulation of response to stimulus
GO:0007420	0.936232007940385	brain development
GO:0060322	0.936232007940385	head development
GO:0010942	0.935343517518209	positive regulation of cell death
GO:0043065	0.935343517518209	positive regulation of apoptotic process
GO:0043068	0.935343517518209	positive regulation of programmed cell death
GO:0042060	0.935309601775202	wound healing
GO:0017017	0.934619411311723	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	0.934619411311723	MAP kinase phosphatase activity
GO:0007417	0.934480795192921	central nervous system development
GO:0030522	0.933959868943564	intracellular receptor signaling pathway
GO:1903522	0.933693028249062	regulation of blood circulation
GO:2000026	0.933008754966165	regulation of multicellular organismal development
GO:0051262	0.931880070905324	protein tetramerization
GO:0099528	0.930733728052406	G protein-coupled neurotransmitter receptor activity
GO:0040012	0.930463433895377	regulation of locomotion
GO:0005164	0.929752345749837	tumor necrosis factor receptor binding
GO:0032813	0.929752345749837	tumor necrosis factor receptor superfamily binding
GO:0007249	0.92834133153471	I-kappaB kinase/NF-kappaB signaling
GO:0043122	0.92834133153471	regulation of I-kappaB kinase/NF-kappaB signaling
GO:0044057	0.927536595279406	regulation of system process
GO:0062023	0.927484828683522	collagen-containing extracellular matrix
GO:0046777	0.927330062972215	protein autophosphorylation
GO:0005539	0.927171737432104	glycosaminoglycan binding
GO:0001501	0.927071733768597	skeletal system development
GO:0051216	0.927071733768597	cartilage development
GO:0061448	0.927071733768597	connective tissue development
GO:2000145	0.926474597382588	regulation of cell motility
GO:0004879	0.926056909892547	nuclear receptor activity
GO:0098531	0.926056909892547	transcription factor activity, direct ligand regulated sequence-specific DNA binding
GO:0006836	0.925210290443826	neurotransmitter transport
GO:0009896	0.925089093793223	positive regulation of catabolic process
GO:0031331	0.925089093793223	positive regulation of cellular catabolic process
GO:0002063	0.924447412674885	chondrocyte development
GO:0032330	0.924447412674885	regulation of chondrocyte differentiation
GO:0061035	0.924447412674885	regulation of cartilage development
GO:0061181	0.924447412674885	regulation of chondrocyte development
GO:0061572	0.924447412674885	actin filament bundle organization
GO:0031005	0.924447412674885	filamin binding
GO:0005160	0.924048969595796	transforming growth factor beta receptor binding
GO:0043114	0.923761411577596	regulation of vascular permeability
GO:0048245	0.923761411577596	eosinophil chemotaxis
GO:0071621	0.923761411577596	granulocyte chemotaxis
GO:0072677	0.923761411577596	eosinophil migration
GO:0097530	0.923761411577596	granulocyte migration
GO:0002062	0.923538225081582	chondrocyte differentiation
GO:0016604	0.923306649209808	nuclear body
GO:0016607	0.923306649209808	nuclear speck
GO:0005496	0.922838356892762	steroid binding
GO:0009967	0.922659383127443	positive regulation of signal transduction
GO:0010647	0.922659383127443	positive regulation of cell communication
GO:0023056	0.922659383127443	positive regulation of signaling
GO:0003013	0.922421194594533	circulatory system process
GO:0008015	0.922421194594533	blood circulation
GO:0015379	0.922235142829297	potassium:chloride symporter activity
GO:0051694	0.921655065249056	pointed-end actin filament capping
GO:0005523	0.921655065249056	tropomyosin binding
GO:0043560	0.919956831372705	insulin receptor substrate binding
GO:0015026	0.919271710640471	coreceptor activity
GO:0035586	0.918736991842481	purinergic receptor activity
GO:0009605	0.918652346063575	response to external stimulus
GO:0008277	0.918637047505553	regulation of G protein-coupled receptor signaling pathway
GO:0019229	0.918280524241683	regulation of vasoconstriction
GO:0048699	0.917653135878563	generation of neurons
GO:0007169	0.917330086359831	transmembrane receptor protein tyrosine kinase signaling pathway
GO:0050878	0.916728859519208	regulation of body fluid levels
GO:0051049	0.916340711021068	regulation of transport
GO:0006955	0.915829118548015	immune response
GO:0045907	0.915816729120732	positive regulation of vasoconstriction
GO:0005923	0.915177799711838	bicellular tight junction
GO:0043296	0.915177799711838	apical junction complex
GO:0070160	0.915177799711838	tight junction
GO:0040011	0.915073393537129	locomotion
GO:0030168	0.914014171278288	platelet activation
GO:0003012	0.913868666609938	muscle system process
GO:0030212	0.913767871627017	hyaluronan metabolic process
GO:1903510	0.913767871627017	mucopolysaccharide metabolic process
GO:0006936	0.913583959171774	muscle contraction
GO:0042310	0.913361684994831	vasoconstriction
GO:0097756	0.913361684994831	negative regulation of blood vessel diameter
GO:0019955	0.913112904008928	cytokine binding
GO:0022008	0.91310226491953	neurogenesis
GO:0002376	0.912707468693537	immune system process
GO:0031110	0.912694972892384	regulation of microtubule polymerization or depolymerization
GO:0003018	0.911708302121027	vascular process in circulatory system
GO:0035150	0.911708302121027	regulation of tube size
GO:0035296	0.911708302121027	regulation of tube diameter
GO:0050880	0.911708302121027	regulation of blood vessel size
GO:0097746	0.911708302121027	regulation of blood vessel diameter
GO:0006935	0.911576141644662	chemotaxis
GO:0042330	0.911576141644662	taxis
