ann_term	q_val	annotation
GO:0016705	0.998971342308334	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0008023	0.996376141840967	transcription elongation factor complex
GO:0006826	0.99617836214809	iron ion transport
GO:0009279	0.99276103592903	cell outer membrane
GO:0044462	0.99276103592903	external encapsulating structure part
GO:0031965	0.992601888596892	nuclear membrane
GO:0004097	0.992549743777003	catechol oxidase activity
GO:0009310	0.992549743777003	amine catabolic process
GO:0004407	0.992263253350597	histone deacetylase activity
GO:0033558	0.992263253350597	protein deacetylase activity
GO:0035600	0.99145514990321	tRNA methylthiolation
GO:0035598	0.99145514990321	N6-threonylcarbomyladenosine methylthiotransferase activity
GO:0034316	0.989534075149268	negative regulation of Arp2/3 complex-mediated actin nucleation
GO:0071933	0.989534075149268	Arp2/3 complex binding
GO:0016763	0.984216333073496	transferase activity, transferring pentosyl groups
GO:0031306	0.981040283434059	intrinsic component of mitochondrial outer membrane
GO:0031307	0.981040283434059	integral component of mitochondrial outer membrane
GO:0004601	0.980188225005985	peroxidase activity
GO:0006625	0.979643709964833	protein targeting to peroxisome
GO:0043574	0.979643709964833	peroxisomal transport
GO:0072662	0.979643709964833	protein localization to peroxisome
GO:0072663	0.979643709964833	establishment of protein localization to peroxisome
GO:0048312	0.978720987109553	intracellular distribution of mitochondria
GO:0034622	0.975905562653449	cellular protein-containing complex assembly
GO:0008174	0.975869835896221	mRNA methyltransferase activity
GO:0048311	0.974662175965964	mitochondrion distribution
GO:0051646	0.974662175965964	mitochondrion localization
GO:0006040	0.974078876405412	amino sugar metabolic process
GO:0033036	0.972847748987234	macromolecule localization
GO:0046173	0.971272255344802	polyol biosynthetic process
GO:0006569	0.970380175311648	tryptophan catabolic process
GO:0042402	0.970380175311648	cellular biogenic amine catabolic process
GO:0042436	0.970380175311648	indole-containing compound catabolic process
GO:0046218	0.970380175311648	indolalkylamine catabolic process
GO:0004133	0.967531302884091	glycogen debranching enzyme activity
GO:0004134	0.967531302884091	4-alpha-glucanotransferase activity
GO:0000782	0.967115576131976	telomere cap complex
GO:0000783	0.967115576131976	nuclear telomere cap complex
GO:1990879	0.967115576131976	CST complex
GO:0019478	0.96357376175993	D-amino acid catabolic process
GO:0046655	0.96357376175993	folic acid metabolic process
GO:0046656	0.96357376175993	folic acid biosynthetic process
GO:0008696	0.96357376175993	4-amino-4-deoxychorismate lyase activity
GO:0030597	0.96357376175993	RNA glycosylase activity
GO:0030598	0.96357376175993	rRNA N-glycosylase activity
GO:0005953	0.96357376175993	CAAX-protein geranylgeranyltransferase complex
GO:0006654	0.96296803121265	phosphatidic acid biosynthetic process
GO:0046473	0.96296803121265	phosphatidic acid metabolic process
GO:0006479	0.96296803121265	protein methylation
GO:0008213	0.96296803121265	protein alkylation
GO:0003904	0.961858236801019	deoxyribodipyrimidine photo-lyase activity
GO:0006729	0.95687064648969	tetrahydrobiopterin biosynthetic process
GO:0034311	0.95687064648969	diol metabolic process
GO:0034312	0.95687064648969	diol biosynthetic process
GO:0046146	0.95687064648969	tetrahydrobiopterin metabolic process
GO:0016790	0.95399339706453	thiolester hydrolase activity
GO:0000966	0.95399339706453	RNA 5'-end processing
GO:0001682	0.95399339706453	tRNA 5'-leader removal
GO:0034471	0.95399339706453	ncRNA 5'-end processing
GO:0099116	0.95399339706453	tRNA 5'-end processing
GO:0044772	0.953325093555532	mitotic cell cycle phase transition
GO:1901990	0.953325093555532	regulation of mitotic cell cycle phase transition
GO:0046556	0.953286067164916	alpha-L-arabinofuranosidase activity
GO:0042887	0.952374169804562	amide transmembrane transporter activity
GO:0007088	0.95216965025869	regulation of mitotic nuclear division
GO:0051783	0.95216965025869	regulation of nuclear division
GO:0008202	0.952109637727498	steroid metabolic process
GO:0003854	0.951524844477654	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0071973	0.951211463853912	bacterial-type flagellum-dependent cell motility
GO:0097588	0.951211463853912	archaeal or bacterial-type flagellum-dependent cell motility
GO:0051304	0.950261584535758	chromosome separation
GO:0015919	0.950021709211468	peroxisomal membrane transport
GO:0070205	0.949784763886626	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity
GO:0047480	0.949784763886626	UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity
GO:0008022	0.949735528685568	protein C-terminus binding
GO:0051495	0.947519084549455	positive regulation of cytoskeleton organization
GO:0015772	0.945158715417815	oligosaccharide transport
GO:0043130	0.94434610724197	ubiquitin binding
GO:0016307	0.943796443606356	phosphatidylinositol phosphate kinase activity
GO:0004523	0.943246663183034	RNA-DNA hybrid ribonuclease activity
GO:0006030	0.942341842610137	chitin metabolic process
GO:0006366	0.941800961092032	transcription by RNA polymerase II
GO:0071702	0.940213423584744	organic substance transport
GO:0043044	0.9396630745858	ATP-dependent chromatin remodeling
GO:0005623	0.939112611933128	cell
GO:0044464	0.939112611933128	cell part
GO:0022884	0.939112611933128	macromolecule transmembrane transporter activity
GO:0031090	0.939112611933128	organelle membrane
GO:0008184	0.932957513922555	glycogen phosphorylase activity
GO:0046039	0.928751053354431	GTP metabolic process
