ann_term	CC	annotation
GO:0048731	0.913783229890761	system development
GO:0007275	0.91156879331121	multicellular organism development
GO:0048856	0.910780970247463	anatomical structure development
GO:0048018	0.908690130995496	receptor ligand activity
GO:0030545	0.908690130995496	receptor regulator activity
GO:0032502	0.908407943184504	developmental process
GO:0009888	0.893437997566679	tissue development
GO:0009611	0.890586895613049	response to wounding
GO:0048513	0.890252207575396	animal organ development
GO:0008083	0.88946940334757	growth factor activity
GO:0010942	0.88021030145794	positive regulation of cell death
GO:0043065	0.88021030145794	positive regulation of apoptotic process
GO:0043068	0.88021030145794	positive regulation of programmed cell death
GO:0008091	0.877591847255982	spectrin
GO:0099528	0.872975381149849	G protein-coupled neurotransmitter receptor activity
GO:0008227	0.8724797344901	G protein-coupled amine receptor activity
GO:0005576	0.872153363055959	extracellular region
GO:0004890	0.871580699119684	GABA-A receptor activity
GO:0016917	0.870077912085609	GABA receptor activity
GO:0004860	0.86633564498025	protein kinase inhibitor activity
GO:0019210	0.86633564498025	kinase inhibitor activity
GO:0008283	0.866073828894412	cell proliferation
GO:0051240	0.865970064110978	positive regulation of multicellular organismal process
GO:0023061	0.864336967937076	signal release
GO:0045995	0.862651893442421	regulation of embryonic development
GO:0007269	0.8622835746324	neurotransmitter secretion
GO:0099643	0.8622835746324	signal release from synapse
GO:0015296	0.861372632577541	anion:cation symporter activity
GO:0008373	0.85645962530139	sialyltransferase activity
GO:0070840	0.855898541322976	dynein complex binding
GO:0030141	0.855160409061984	secretory granule
GO:0005126	0.854191306296819	cytokine receptor binding
GO:0031012	0.853433526181463	extracellular matrix
GO:0015377	0.852379775575901	cation:chloride symporter activity
GO:0030522	0.850891658188693	intracellular receptor signaling pathway
GO:0007399	0.850541680642637	nervous system development
GO:0004715	0.849796753057716	non-membrane spanning protein tyrosine kinase activity
GO:0006869	0.849609605957846	lipid transport
GO:0002682	0.848569381854934	regulation of immune system process
GO:0015464	0.847822351723835	acetylcholine receptor activity
GO:0016907	0.847822351723835	G protein-coupled acetylcholine receptor activity
GO:0050776	0.847797891384613	regulation of immune response
GO:0005164	0.846748932413782	tumor necrosis factor receptor binding
GO:0032813	0.846748932413782	tumor necrosis factor receptor superfamily binding
GO:0016477	0.845734194147412	cell migration
GO:0030334	0.845386498787213	regulation of cell migration
GO:0043565	0.844138460229356	sequence-specific DNA binding
